Time [s],Flexion(+)/extension(-),Sidebend left(-)/right(+)
0.0,2.676837423677444,-13.773329127450427
0.05,2.7486928619660036,-13.776251087397982
0.1,2.828614100845419,-13.76936439799552
0.15,2.883532339968832,-13.769824215230985
0.2,2.9904950942735153,-13.757699136686451
0.25,3.0767007424382875,-13.707452521451733
0.3,3.0782176869373816,-13.683240076154457
0.35,3.1350662469591213,-13.59326040125381
0.4,3.182317256479174,-13.53451580601717
0.45,3.2797582467197155,-13.49818050992868
0.5,3.3199917118450823,-13.52494077160087
0.55,3.3947667686576515,-13.523649635819458
0.6,3.4366918767754786,-13.52430071013855
0.65,3.4398292524261165,-13.540895126186337
0.7,3.369957509713107,-13.569807574757286
0.75,3.32159311995058,-13.571478057144134
0.8,3.2450479715539915,-13.595699878959328
0.85,3.186713555151483,-13.580147957926984
0.9,3.1770821645504586,-13.576054930624627
0.95,3.1656831164153765,-13.616257730261818
1.0,3.2429936764434175,-13.637993263196961
1.05,3.2955347587608546,-13.652275526283114
1.1,3.363124573239542,-13.626261477081112
1.15,3.3878881461539567,-13.601161655275453
1.2,3.3875805498002713,-13.587112903657795
1.25,3.3847351183534977,-13.588805513394554
1.3,3.462110673389875,-13.576614022847103
1.35,3.5857085083118188,-13.526575491859745
1.4,2.434580177868129,-13.625487391003457
1.45,-1.739846161460663,-13.968757443070992
1.5,-7.398608386366564,-14.558379890610693
1.55,-11.494311339790418,-15.066757094187116
1.6,-11.876418204846878,-14.97222275755847
1.65,-8.938621556488894,-14.297857377318907
1.7,-3.539249203789437,-12.98524307149366
1.75,3.3528326918630094,-11.618648663377263
1.8,9.898272779268682,-10.361763871098063
1.85,14.3382699988226,-9.061922342759246
1.9,16.46309817463431,-8.255804813148343
1.95,16.517603945967966,-8.036405369131804
2.0,14.625091257365995,-8.451558280032442
2.05,11.920748653485266,-8.9606352898584
2.1,9.560824435255665,-9.246521160535002
2.15,8.39334293651106,-9.175499682879916
2.2,8.586793371476217,-8.771557913435387
2.25,9.559704883360983,-8.317156551243782
2.3,10.43752679121332,-8.011135965902774
2.35,10.464714814086307,-7.982703952833904
2.4,9.442639616163417,-8.435803593209476
2.45,7.783457325355048,-9.309036690918662
2.5,5.895510773633195,-10.274174029809863
2.55,4.830138990052771,-11.012620518479375
2.6,5.054091379124528,-11.50914966668396
2.65,6.775653841693283,-12.166880439111413
2.7,7.475898441947865,-12.848401247781236
2.75,6.585269332084811,-13.094538428011075
2.8,4.439592926302408,-12.982625810017144
2.85,1.8294735384600709,-12.971481220611908
2.9,-0.690408050256093,-13.389175169242414
2.95,-2.8054685771925265,-13.993429530131474
3.0,-4.712217808683324,-14.882844130077965
3.05,-6.661222693516056,-16.62240397253701
3.1,-9.034611469210265,-17.65552199456245
3.15,-10.882108554656048,-17.257901150827955
3.2,-10.869726877961863,-16.340840533199625
3.25,-10.409905128456344,-15.28442726144638
3.3,-10.096249303463,-14.63057296706862
3.35,-9.304705017960758,-14.980844625058706
3.4,-8.439247612751421,-15.653855487806211
3.45,-7.708494500967498,-16.38348302365947
3.5,-6.400558866156518,-17.393033007682078
3.55,-5.672141464489661,-18.957770695128236
3.6,-6.370776154188497,-20.958516895606103
3.65,-8.097810900672268,-22.18016680947963
3.7,-10.801096349604162,-21.897710128161357
3.75,-12.985455802955808,-19.461232674988345
3.8,-13.519379772096933,-16.312135776066793
3.85,-13.523887971120557,-14.068941693479882
3.9,-13.49510435620032,-13.521867050411288
3.95,-13.70444231466842,-14.543039797705488
4.0,-15.485542144140458,-13.86184117093994
4.05,-17.388638360582366,-11.126860639453287
4.1,-18.279645517123907,-9.15389216174259
4.15,-19.045205788040022,-8.29866422792041
4.2,-19.8911954178025,-7.908154310734427
4.25,-20.057236654958754,-7.731039320165766
4.3,-19.658224159682977,-8.086438462725607
4.35,-19.272229338435555,-8.693164945053953
4.4,-19.12025309799311,-8.977727117673375
4.45,-18.639931222146473,-8.887395614223497
4.5,-18.01191124874678,-9.070152897644931
4.55,-17.623937308774167,-9.426233176578087
4.6,-17.344353922292655,-9.832594191343961
4.65,-18.03353489875766,-10.27074657709258
4.7,-19.236628112524592,-11.952016058054745
4.75,-21.398468449775745,-15.117856209350336
4.8,-23.30996330790518,-18.232724343062287
4.85,-23.79615412451024,-20.105239090318737
4.9,-22.91730819681677,-20.84440509854856
4.95,-22.19032774178829,-21.73224255716647
5.0,-21.65684565609503,-22.678190293790358
5.05,-21.11482421300065,-23.885976643038845
5.1,-20.61201259259472,-24.996249683440535
5.15,-20.661483846032066,-26.171361560658628
5.2,-20.217735888581515,-28.062083609725658
5.25,-18.550068263506102,-30.436181177410585
5.3,-16.343858376718934,-31.727249679453067
5.35,-13.432537922073903,-31.71195845169286
5.4,-8.984552419366281,-31.206615505166614
5.45,-5.008750139763511,-31.080437402378795
5.5,-1.9890096292027077,-30.822172431657183
5.55,0.2424741425953671,-30.742770659656564
5.6,2.385534431388439,-30.925922998500745
5.65,4.366559631122555,-30.308638186221643
5.7,5.9412134404349315,-29.602606988098664
5.75,5.898725282359502,-28.373821408295946
5.8,4.007060694087677,-26.080727346114465
5.85,2.627076777553959,-22.890664096984356
5.9,4.2066747948700005,-20.567875519617225
5.95,7.397587610206756,-21.84457038081958
6.0,8.331194134566882,-23.256998507242574
6.05,8.387973654663728,-22.417346020077364
6.1,8.093327006186225,-20.78004973818788
6.15,8.159454332480026,-18.632454429076446
6.2,8.906248213074715,-16.95653505453819
6.25,11.059989023759936,-16.22809140728294
6.3,13.691525999941794,-15.465281086939129
6.35,15.366644408930712,-14.52112561790835
6.4,16.569638425910664,-13.959490392639978
6.45,17.460617037277117,-13.73004190832895
6.5,18.24653937336142,-13.520728614368329
6.55,19.42220772705854,-13.796635445789821
6.6,21.299160662963594,-14.887556526031464
6.65,22.996211736801794,-16.32329808666468
6.7,23.58876901340248,-17.53147088857984
6.75,23.603171082634102,-19.85777911252412
6.8,23.681499848476296,-21.62566221267563
6.85,23.62484500958287,-23.248740821507948
6.9,24.522620103116328,-23.368640336421468
6.95,25.081394922112455,-22.824860866684148
7.0,24.93185189272752,-21.199481398351168
7.05,24.509100445142682,-18.92293301865543
7.1,23.524772158509734,-17.50093274932704
7.15,21.81268700964663,-17.819449522374676
7.2,19.893295153270127,-18.927245222951036
7.25,18.834556331740842,-19.4188207203644
7.3,18.399283592600863,-18.576953159286415
7.35,18.10951095691699,-16.7555024889446
7.4,17.508707870129232,-15.242281275273957
7.45,17.078944074681317,-14.469559866040196
7.5,17.16851672165584,-14.254872126954035
7.55,18.03797450046816,-14.14941761556049
7.6,18.742209300170632,-14.531253411204226
7.65,17.779122490205477,-15.30340564766408
7.7,16.69158663490642,-15.083776491858133
7.75,16.94541462203722,-13.726069101685791
7.8,17.491285937676235,-12.206638731090361
7.85,18.410654594568783,-11.923810080733293
7.9,19.011362944846162,-12.843813747727259
7.95,18.683792312821698,-12.661740097380187
8.0,19.386474649913858,-11.403345162311659
8.05,21.469238428968858,-11.041542590075442
8.1,23.33255444602418,-11.306326568114306
8.15,24.153838092758285,-11.696879224934428
8.2,24.463469702897324,-12.762085025979864
8.25,24.508288645075865,-14.154583399430138
8.3,25.068448688247752,-14.579605638112307
8.35,25.76860227234814,-14.203939634251226
8.4,25.782111124458805,-13.798687032342091
8.45,24.495179070353867,-13.697276188021334
8.5,22.931416650021387,-14.146496098727033
8.55,21.586409951949243,-15.675828249981194
8.6,20.99739966128387,-17.150368229951827
