Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-3.1021553089586753,-3.0586943336848593,-19.05370192447325
0.05,-3.122282039192375,-3.077155572657742,-19.045683388514675
0.1,-3.1443122726404287,-3.0946054167939017,-19.04055935363203
0.15,-3.1646039560220594,-3.11293097973764,-19.037187613993986
0.2,-3.1640050303458724,-3.142557060170423,-19.010267248757458
0.25,-3.160052763863223,-3.17106781375562,-18.969498423294528
0.3,-3.186428844392236,-3.2025085567892413,-18.937175076603037
0.35,-3.2043999261171687,-3.2404373592204334,-18.919412281472955
0.4,-3.2156344305133255,-3.2763458830247214,-18.915411099244206
0.45,-3.2206517277559508,-3.30154653492649,-18.94016692986964
0.5,-3.2289293952483016,-3.3260625182432104,-19.01633787583873
0.55,-3.248688980604921,-3.350902155518367,-19.119309389505
0.6,-3.2587655827199944,-3.3688760532954096,-19.217690241658193
0.65,-3.274174932643156,-3.3789332449607774,-19.286203429783356
0.7,-3.2798951695832383,-3.3672412904217284,-19.314995729669782
0.75,-3.291682497158141,-3.37743855151619,-19.314763534639848
0.8,-3.2929741336527574,-3.4023116898105394,-19.319191087705356
0.85,-3.269497854869471,-3.408757170931189,-19.33554931301669
0.9,-3.2559889264748283,-3.3992846263522276,-19.351324659116365
0.95,-3.2699915859673,-3.406519921586508,-19.384083694928727
1.0,-3.2929711081451902,-3.4291388081803214,-19.382676799319455
1.05,-3.3047207508104353,-3.4413765495654265,-19.359571917746244
1.1,-3.308565269292892,-3.4601249117892783,-19.337845608453524
1.15,-3.3174866187701637,-3.481146543867123,-19.31822365172599
1.2,-3.3381394309743757,-3.525769756449759,-19.282624049770053
1.25,-3.359718879954163,-3.5635398251734336,-19.251944824439164
1.3,-3.370486190087257,-3.594585796238842,-19.221261742645215
1.35,-3.370113108548458,-3.6088068654345014,-19.21197218722925
1.4,-3.3568797668645387,-3.6153497524222304,-19.21270788488038
1.45,-3.273872039530591,-3.5441708803365866,-19.200119073787494
1.5,-3.1636494067982217,-3.4190673492807298,-19.276213306929876
1.55,-3.0852986565827143,-3.252755081406178,-19.44822314974136
1.6,-3.0165213179552293,-3.1363003892708248,-19.839690727471034
1.65,-2.836445365688651,-3.041056202063333,-20.496740830268656
