Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-73.46764430750547,-10.426757530585855
0.05,-73.45867666593483,-10.393432535153403
0.1,-73.45545591627014,-10.354094849195198
0.15,-73.46483278855035,-10.376964459510912
0.2,-73.49285771501367,-10.393958877364541
0.25,-73.52078704587007,-10.426142010246883
0.3,-73.54174854536542,-10.41913265551111
0.35,-73.53292673707566,-10.397002047705701
0.4,-73.50412218444474,-10.39228071033223
0.45,-73.49127450782919,-10.39300604143006
0.5,-73.49101011979282,-10.390514980379209
0.55,-73.49809930080654,-10.41679724522277
0.6,-73.4973201729869,-10.43630107112658
0.65,-73.46309788292476,-10.442070362349956
0.7,-73.43348248861207,-10.425318385796981
0.75,-73.41549993716782,-10.4156848857899
0.8,-73.40209439962716,-10.427057701270645
0.85,-73.4085152171799,-10.4227842377234
0.9,-73.42448494371234,-10.40796818802171
0.95,-73.40883779397663,-10.386185582932121
1.0,-73.39148484284921,-10.375156671463024
1.05,-73.38926282890614,-10.375054331036088
1.1,-73.39856404891334,-10.373178799949102
1.15,-73.4186558963902,-10.327424820461454
1.2,-73.42681758883961,-10.314130612449315
1.25,-73.35168036017589,-10.380461571376847
1.3,-73.29930319089006,-10.388880171271376
1.35,-73.22116418174494,-10.374331576205803
1.4,-73.0714860249814,-10.346548814601018
1.45,-72.90035425323347,-10.28147707965715
1.5,-72.83793883305208,-10.270770717505945
1.55,-72.88085586515713,-10.272729238264857
1.6,-72.94053365805699,-10.272713873499525
1.65,-73.07140118300435,-10.351813488664595
1.7,-73.11735082234512,-10.404858812192211
1.75,-73.13451099965049,-10.44628419894248
1.8,-73.11517344250058,-10.480893272452358
1.85,-73.10730947330288,-10.500140837821963
1.9,-73.10761962406207,-10.553469260985947
1.95,-73.10825733169095,-10.605215631576774
2.0,-73.10262756817704,-10.626213613017928
2.05,-73.08041540464659,-10.635400340978023
2.1,-73.05626253031821,-10.638964537248112
2.15,-73.01324449513339,-10.664313407633562
2.2,-72.99476449609821,-10.696013083905767
2.25,-72.98105948566386,-10.729690239794197
2.3,-72.94010628392058,-10.722734959488388
2.35,-72.91372509857433,-10.72419350212126
2.4,-72.90423802725323,-10.730692259184375
2.45,-72.89880601204709,-10.764751424393278
2.5,-72.88598237597255,-10.780511980258817
2.55,-72.86536237800878,-10.800617876098723
2.6,-72.84825654424102,-10.80852101724759
2.65,-72.85766792983222,-10.816650675959549
2.7,-72.85069681255858,-10.804133838211005
2.75,-72.8343338055654,-10.740074941572162
2.8,-72.70001059704687,-10.654481542248766
2.85,-72.24989541612716,-10.429934592203184
2.9,-70.85678770148152,-9.70743212001808
2.95,-68.64356080239139,-8.115009307201463
3.0,-66.38776791891081,-5.509007043796358
3.05,-65.2606097206878,-2.16726874600041
3.1,-65.16601227871816,-0.12592723106754247
3.15,-64.76299667604715,1.2191883474835932
3.2,-64.34078467339967,1.8358656771884436
3.25,-63.4786475935758,1.4153486783770743
3.3,-62.436317832890644,0.40512142477700336
3.35,-61.70827342884537,-0.7959631133763765
3.4,-61.24234757584487,-2.5216152280312363
3.45,-60.71213885026147,-3.8903502813008064
