Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,-0.18040505051612854,-0.754713237285614,-0.3315613567829132,-0.4559221863746643,-0.0714711844921112,0.16037122905254364
0.025,-0.10063892602920532,-0.6117545366287231,-0.3455328345298767,-0.4279886782169342,-0.03394272178411484,0.08668122440576553
0.05,-0.01586008071899414,-0.3351812958717346,-0.34827640652656555,-0.3886176347732544,-0.04199378937482834,0.008895419538021088
0.075,-0.006826994940638542,-0.04587750509381294,-0.36211326718330383,-0.34900960326194763,-0.06418311595916748,-0.06442512571811676
0.1,-0.05987062305212021,0.1456441581249237,-0.40824732184410095,-0.3051535487174988,-0.08067352324724197,-0.13501544296741486
0.125,-0.11240973323583603,0.31967446208000183,-0.4378250539302826,-0.22380490601062775,-0.11780547350645065,-0.1880500614643097
0.15,-0.16308459639549255,0.5408306121826172,-0.3964073657989502,-0.12128505110740662,-0.1746142953634262,-0.20025599002838135
0.175,-0.20933815836906433,0.7419109344482422,-0.3476504981517792,-0.04030222073197365,-0.21263615787029266,-0.17247119545936584
0.2,-0.207803413271904,0.8095045685768127,-0.3796655833721161,0.013282768428325653,-0.20210517942905426,-0.1281692534685135
0.225,-0.18720097839832306,0.7035322189331055,-0.49479132890701294,0.045648910105228424,-0.12680117785930634,-0.08667172491550446
0.25,-0.15150313079357147,0.534001350402832,-0.5981523990631104,0.06576810032129288,-0.03465639427304268,-0.04617848992347717
0.275,-0.09093743562698364,0.4032144546508789,-0.6180897355079651,0.07920093834400177,0.026295574381947517,-0.013228096067905426
0.3,-0.06428690999746323,0.27846047282218933,-0.5830801725387573,0.0855027288198471,0.06283356994390488,0.0034857732243835926
0.325,-0.07606671005487442,0.14637750387191772,-0.570928692817688,0.08596035838127136,0.08908697962760925,0.007613439578562975
0.35,-0.10762051492929459,0.027522018179297447,-0.603746235370636,0.08408314734697342,0.09094918519258499,-0.00444688368588686
0.375,-0.15015871822834015,-0.12777242064476013,-0.5807147026062012,0.07068625092506409,0.054443903267383575,-0.022051723673939705
0.4,-0.158971905708313,-0.3037024438381195,-0.4349678158760071,0.041082870215177536,0.006049523130059242,-0.031571004539728165
0.425,-0.11022508889436722,-0.3871518075466156,-0.24562540650367737,0.021677803248167038,-0.017482541501522064,-0.04408493638038635
0.45,-0.04401538521051407,-0.3381548225879669,-0.08464270830154419,0.020406823605298996,-0.009474271908402443,-0.06026235967874527
0.475,0.014270409941673279,-0.2381897270679474,0.0019204049604013562,0.013992666266858578,0.02517789602279663,-0.07024067640304565
0.5,0.05900818109512329,-0.1806030422449112,-0.011480415239930153,-0.005560189485549927,0.06841307878494263,-0.08339741080999374
0.525,0.08364367485046387,-0.13085845112800598,-0.08570525050163269,-0.02338218130171299,0.10519354790449142,-0.10124386847019196
0.55,0.10342488437891006,-0.08756830543279648,-0.14660407602787018,-0.03464221581816673,0.11207930743694305,-0.12019776552915573
0.575,0.061956506222486496,-0.1277962028980255,-0.1260143220424652,-0.045674748718738556,0.0711507648229599,-0.12383812665939331
0.6,-0.07269978523254395,-0.22176364064216614,-0.023137662559747696,-0.054350949823856354,0.02444356307387352,-0.09470522403717041
0.625,-0.20523245632648468,-0.2539377510547638,0.11575579643249512,-0.058582525700330734,0.010982437990605831,-0.03607071936130524
0.65,-0.2815006375312805,-0.13236618041992188,0.1670675277709961,-0.05292003974318504,0.0767507329583168,0.03587951883673668
0.675,-0.3378310799598694,0.05147172510623932,0.059569016098976135,-0.06235096603631973,0.23128139972686768,0.10662424564361572
0.7,-0.4025818109512329,-0.003400813788175583,-0.0905112475156784,-0.10771483927965164,0.42036527395248413,0.17458607256412506
0.725,-0.4952816069126129,-0.3533821702003479,-0.1854451447725296,-0.14276643097400665,0.601509690284729,0.23259595036506653
0.75,-0.634426474571228,-0.739199697971344,-0.24510899186134338,-0.11515092104673386,0.7289901375770569,0.2672116160392761
0.775,-0.7738738059997559,-1.0947953462600708,-0.27565354108810425,-0.05334777757525444,0.7585716247558594,0.2894786298274994
0.8,-0.8434197902679443,-1.4592009782791138,-0.26669472455978394,0.0040279049426317215,0.6962531208992004,0.31984782218933105
0.825,-0.8348918557167053,-1.7171814441680908,-0.2649143934249878,0.07129564881324768,0.62271648645401,0.3396669030189514
0.85,-0.8102209568023682,-1.823235273361206,-0.3270809054374695,0.151096910238266,0.6192184090614319,0.33273783326148987
0.875,-0.7328660488128662,-1.7536604404449463,-0.4115767776966095,0.20891715586185455,0.6746640801429749,0.31703585386276245
0.9,-0.4265749752521515,-1.1969586610794067,-0.42411911487579346,0.28106188774108887,0.6969743967056274,0.29561853408813477
0.925,0.07061630487442017,-0.034340906888246536,-0.3796919584274292,0.4006892442703247,0.6580554842948914,0.2294454127550125
0.95,0.479740172624588,1.0028945207595825,-0.38382938504219055,0.4975470006465912,0.5744865536689758,0.06580129265785217
0.975,0.5991284847259521,1.0376243591308594,-0.539469838142395,0.4967634677886963,0.4627826511859894,-0.1642027348279953
1.0,0.4673592448234558,0.2303580641746521,-0.7488642930984497,0.4536527097225189,0.3249804973602295,-0.3540354073047638
1.025,0.29784518480300903,-0.698377788066864,-0.7887294888496399,0.4921475946903229,0.07840390503406525,-0.48112958669662476
1.05,0.25528484582901,-1.3092482089996338,-0.5958471298217773,0.6392381191253662,-0.273127943277359,-0.5684606432914734
1.075,0.3454941213130951,-1.4714032411575317,-0.2377767562866211,0.8351987600326538,-0.6202420592308044,-0.604135274887085
1.1,0.4751017987728119,-1.4590531587600708,0.17388474941253662,1.0238070487976074,-0.8553483486175537,-0.5999378561973572
1.125,0.5350260138511658,-1.6022588014602661,0.5208808779716492,1.1896556615829468,-0.8926528096199036,-0.5667617321014404
1.15,0.5534504055976868,-1.656943440437317,0.778226912021637,1.369232177734375,-0.7595431208610535,-0.49888986349105835
1.175,0.6051439642906189,-1.245248794555664,0.9242703318595886,1.5663394927978516,-0.5491441488265991,-0.40284857153892517
1.2,0.66112220287323,-0.4984559416770935,0.9452775120735168,1.7079863548278809,-0.36268728971481323,-0.29824957251548767
1.225,0.6832755208015442,0.16333210468292236,0.893405020236969,1.729938268661499,-0.2904781997203827,-0.1935335099697113
1.25,0.6303781867027283,0.5521937608718872,0.7318630814552307,1.6355953216552734,-0.28146040439605713,-0.08410569280385971
1.275,0.46794530749320984,0.7886964678764343,0.48066848516464233,1.4965922832489014,-0.2509463429450989,0.027034327387809753
1.3,0.24203583598136902,0.9480716586112976,0.25681155920028687,1.3558458089828491,-0.2409951090812683,0.13446716964244843
1.325,-0.023731717839837074,1.016302227973938,0.10718657076358795,1.1817811727523804,-0.2716822624206543,0.25935009121894836
1.35,-0.2792630195617676,1.067799687385559,-0.005187289789319038,0.9720717072486877,-0.30698150396347046,0.3994995355606079
1.375,-0.44598889350891113,1.1924926042556763,-0.12878385186195374,0.7757166028022766,-0.3357662558555603,0.48534196615219116
1.4,-0.4914846122264862,1.3103820085525513,-0.23110167682170868,0.6006424427032471,-0.3723178803920746,0.46069619059562683
1.425,-0.3954407870769501,1.3436833620071411,-0.21510650217533112,0.4399240016937256,-0.40907445549964905,0.36412233114242554
1.45,-0.2441089004278183,1.3581591844558716,-0.08954153954982758,0.31025174260139465,-0.3772597312927246,0.2749769687652588
1.475,-0.20539355278015137,1.4166556596755981,-0.020130008459091187,0.20311203598976135,-0.24980881810188293,0.22194118797779083
1.5,-0.3101928234100342,1.477437138557434,-0.1266833394765854,0.08229592442512512,-0.10326828807592392,0.19012852013111115
1.525,-0.4321865737438202,1.4033433198928833,-0.3399674892425537,-0.05457000061869621,-0.020052079111337662,0.14082340896129608
1.55,-0.4615322947502136,1.169266700744629,-0.52945876121521,-0.1559375524520874,-0.011653526686131954,0.04925748333334923
1.575,-0.3838922381401062,0.9061012864112854,-0.6304222345352173,-0.2083258032798767,-0.036677196621894836,-0.053673386573791504
1.6,-0.2561783194541931,0.6759147644042969,-0.6646050214767456,-0.24720224738121033,-0.05288231000304222,-0.12548574805259705
1.625,-0.1283547282218933,0.4887342154979706,-0.6518063545227051,-0.27421414852142334,-0.03845980390906334,-0.16881431639194489
1.65,-0.03476996347308159,0.3811063766479492,-0.5740046501159668,-0.2850923240184784,0.005217629484832287,-0.19833813607692719
1.675,0.056874554604291916,0.36794087290763855,-0.4500557482242584,-0.2932973802089691,0.05282843858003616,-0.1980629861354828
1.7,0.13079240918159485,0.4513874053955078,-0.40812814235687256,-0.2963920533657074,0.10409963876008987,-0.17386862635612488
1.725,0.14910416305065155,0.6337738037109375,-0.5289965867996216,-0.3021961748600006,0.15295232832431793,-0.15009453892707825
1.75,0.1685057282447815,0.8883400559425354,-0.7459185719490051,-0.33610835671424866,0.16437381505966187,-0.13507243990898132
1.775,0.2227829247713089,1.1883316040039062,-0.9128379821777344,-0.39472222328186035,0.13676273822784424,-0.12069640308618546
1.8,0.296299546957016,1.5402604341506958,-0.9260267615318298,-0.44653308391571045,0.10820797830820084,-0.09769430011510849
1.825,0.35236793756484985,1.9124242067337036,-0.8447423577308655,-0.47441747784614563,0.11306390911340714,-0.07725907117128372
1.85,0.3054564893245697,2.1141197681427,-0.8700662851333618,-0.5252654552459717,0.13901197910308838,-0.07786645740270615
1.875,0.15254388749599457,1.9810677766799927,-1.1082500219345093,-0.6248212456703186,0.13506919145584106,-0.10197073966264725
1.9,-0.03628051280975342,1.5763074159622192,-1.376020073890686,-0.7150529026985168,0.08368373662233353,-0.14559145271778107
1.925,-0.19727812707424164,1.052088737487793,-1.4774072170257568,-0.7933869361877441,0.032938431948423386,-0.178126722574234
1.95,-0.31945812702178955,0.5162190198898315,-1.413619041442871,-0.8787999153137207,0.018326979130506516,-0.17193761467933655
1.975,-0.46644270420074463,-0.03275696560740471,-1.3125486373901367,-0.950873851776123,0.04537975788116455,-0.14600713551044464
2.0,-0.6596240997314453,-0.6405699253082275,-1.2534162998199463,-0.998253583908081,0.10016690194606781,-0.11726224422454834
2.025,-0.8659830093383789,-1.2466862201690674,-1.2371389865875244,-1.0433846712112427,0.17987443506717682,-0.06011499464511871
2.05,-1.0323354005813599,-1.6833451986312866,-1.213396430015564,-1.0864360332489014,0.26434949040412903,0.030986011028289795
2.075,-1.098535418510437,-1.8704155683517456,-1.1106245517730713,-1.1194268465042114,0.3094620406627655,0.1160171777009964
2.1,-1.049828052520752,-1.934094786643982,-0.899046003818512,-1.1708629131317139,0.32391542196273804,0.17551438510417938
2.125,-0.9264624714851379,-1.9207662343978882,-0.6305079460144043,-1.2314090728759766,0.3499111235141754,0.21247747540473938
2.15,-0.7988860011100769,-1.7343456745147705,-0.4223040044307709,-1.2775907516479492,0.40599700808525085,0.23277556896209717
2.175,-0.589261531829834,-1.196956753730774,-0.16399279236793518,-1.317018985748291,0.45243164896965027,0.25029948353767395
2.2,-0.09554716944694519,0.005332987289875746,0.3375459909439087,-1.321122407913208,0.4330819547176361,0.22148390114307404
2.225,0.6299247741699219,1.8275302648544312,0.8921891450881958,-1.2599270343780518,0.37724965810775757,0.08536577224731445
2.25,1.1422563791275024,3.2880167961120605,0.9952237010002136,-1.2409117221832275,0.3782283663749695,-0.11490841954946518
2.275,1.026649832725525,3.5732007026672363,0.4895150363445282,-1.325181245803833,0.47033464908599854,-0.2459171712398529
2.3,0.533858060836792,2.9779446125030518,-0.1411954015493393,-1.395361304283142,0.4288322329521179,-0.29475924372673035
2.325,0.22659170627593994,2.02557110786438,-0.42803287506103516,-1.4169636964797974,0.09658440202474594,-0.3289364278316498
2.35,0.23499047756195068,1.0060921907424927,-0.3571986258029938,-1.405143141746521,-0.2980550229549408,-0.3513166308403015
2.375,0.42680108547210693,0.2063903957605362,-0.10093046724796295,-1.3307404518127441,-0.54342120885849,-0.3420771062374115
2.4,0.758655846118927,-0.22737598419189453,0.202378511428833,-1.1778024435043335,-0.7109135985374451,-0.3254876434803009
2.425,1.1505999565124512,-0.47047901153564453,0.42345353960990906,-0.9673548340797424,-0.8509308695793152,-0.34902510046958923
2.45,1.439223289489746,-0.7233152389526367,0.40596386790275574,-0.747217059135437,-0.9106987118721008,-0.4260524809360504
2.475,1.5501809120178223,-1.0402165651321411,0.12096669524908066,-0.5708052515983582,-0.932221531867981,-0.5047399997711182
2.5,1.5548592805862427,-1.4042226076126099,-0.26604029536247253,-0.45629292726516724,-1.0082834959030151,-0.547660231590271
2.525,1.574660301208496,-1.6811460256576538,-0.6201760768890381,-0.3705231547355652,-1.1501483917236328,-0.5739271640777588
2.55,1.6304447650909424,-1.8355039358139038,-0.9503882527351379,-0.320514976978302,-1.3170031309127808,-0.5889475345611572
2.575,1.696829080581665,-2.018754482269287,-1.2288025617599487,-0.36224326491355896,-1.4833993911743164,-0.5718964338302612
2.6,1.8385374546051025,-2.1832289695739746,-1.3452868461608887,-0.46106404066085815,-1.6805167198181152,-0.5186713933944702
2.625,2.1084375381469727,-2.198406219482422,-1.300403118133545,-0.5471325516700745,-1.9089062213897705,-0.4591779112815857
