Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-0.0301479141682451,0.1876494272686555,-0.9089778458076745
0.05,-0.03570427289494848,0.08912229172016935,-0.9141304190041123
0.1,-0.019009903241613793,0.02849288797933796,-0.9162996354559796
0.15,-0.07006704562665854,-0.04139333702206478,-0.8753419692648992
0.2,-0.13404585362621949,-0.09160379668413703,-0.8732855437138356
0.25,-0.14651698682616907,-0.14601935645418299,-0.8801446807532886
0.3,-0.16515128121032416,-0.17401917154912733,-0.8543604626089563
0.35,-0.14618753153469524,-0.17559801235960956,-0.8240645154785923
0.4,-0.16546696947656947,-0.17911673639571074,-0.8425995621173666
0.45,-0.1642314305294755,-0.20244864642208502,-0.7905650265630614
0.5,-0.21599670211907823,-0.15670969349075162,-0.7534534690752134
0.55,-0.309120224420787,-0.18424213085215485,-0.6758609812937221
0.6,-0.40780090292372206,-0.19926495211472503,-0.6448614270071131
0.65,-0.3884129265870228,-0.16826939366117064,-0.5716221635358328
0.7,-0.3217542990900634,-0.16861738660281844,-0.509580801509559
0.75,-0.3150425910895071,-0.1673190013247944,-0.5081900859981241
0.8,-0.35250107627984245,-0.17470612794777396,-0.4678293210836713
0.85,-0.4001236340298074,-0.16154733863359214,-0.4164078888918405
0.9,-0.44982802805764943,-0.18365670375487775,-0.3137584587850858
0.95,-0.3895406466491181,-0.20382638343191417,-0.24844874961344676
1.0,-0.4493841668657533,-0.19231589079279876,-0.22839995439551186
1.05,-0.6783795652534101,-0.2649689493266488,-0.09153041595943014
1.1,-0.5570792776924088,-0.4468906592456311,0.4240796712724386
1.15,-0.45200238103721047,-0.6430826144192126,0.8940199577546019
1.2,-0.5749465093595825,-0.7768213703762017,0.9884933034919586
1.25,-0.5480516419137977,-0.8676017751594691,1.1654085211516054
1.3,-0.36552916746760883,-0.9648975945505095,1.4507929923693146
1.35,-0.23142216271144686,-0.9003473983564194,1.5401351997851291
1.4,-0.07213637365446492,-0.7110351754819312,1.498458931004387
1.45,-0.18129593274817066,-0.5004350282129367,1.419739495152113
1.5,-0.47273928837927937,-0.4910563383139541,1.5115070253348468
1.55,-0.44352938996326957,-0.47848154035970203,1.824335232608231
1.6,-0.47176271065464587,-0.5465598318817703,1.9776603140305695
1.65,-0.933448358427983,-0.3851026745151877,1.8540226248148965
1.7,-1.3340770325221722,0.01748379396010851,2.095581628549968
1.75,-1.6250978429930092,0.5816472402962701,2.747905650090535
1.8,-1.9067759374090585,1.2721803230292548,3.3880822573485143
1.85,-2.519908993095789,2.0148508503192772,3.7451210956772645
1.9,-3.1746094299923775,2.3494327198778375,3.6110307926179317
1.95,-3.297838078146528,2.019740399300673,3.0548638515192263
2.0,-3.308730016874859,2.035248168237267,2.0322682380458787
2.05,-3.2995745173064246,2.299497733225734,0.8712701576815163
2.1,-3.284077139944238,2.3059150446023984,0.09421381551904377
2.15,-3.3820538505480933,1.8557336684681562,-0.6201951772943672
2.2,-3.4208532998948753,1.1471739292096528,-1.5494623923593105
2.25,-3.51430943727782,0.6812857570918486,-2.799028254949497
2.3,-3.8448677468532533,0.4786273625633837,-4.090490047019861
2.35,-4.236599438100791,0.23812558659143843,-5.05728469189573
2.4,-4.749421352128782,0.12497453184958876,-5.472148630036049
2.45,-5.610588765328764,0.026832870519948742,-5.592510553039173
2.5,-6.933574956495862,-0.5149589096872308,-5.06132464032997
2.55,-8.2448375647703,-1.4102355448190251,-3.6252150088660056
2.6,-10.145053424197805,-2.827156916511166,-1.8668695634573167
2.65,-12.153014056035564,-4.781208672864142,0.6920803903402634
2.7,-13.497576990395553,-6.90512485511146,4.636473536903955
2.75,-14.647349227470631,-9.22840393050682,9.48647962211837
2.8,-15.76619260551477,-10.893058356766058,13.662253232211159
2.85,-17.547487136994064,-11.5681303379898,16.704194980964125
2.9,-19.75531167247283,-12.464076844023523,20.46006001159362
2.95,-21.657513809646414,-13.388523460604011,24.94255921166255
3.0,-23.577937882219832,-13.55922454003981,28.393326681152676
3.05,-25.880724246967162,-12.453056567424971,30.279937811208256
3.1,-28.24985531988457,-12.313282474786531,32.389910298389225
3.15,-30.75020727389167,-12.51426479099439,34.75994908432777
3.2,-33.09154832980584,-12.263115920623669,36.67738786821327
3.25,-35.822231622853735,-11.693424109481375,37.81076226256338
3.3,-36.83486659932343,-11.49905986243778,39.180262261969176
3.35,-36.27866492180857,-11.769119424502845,39.98627923444568
3.4,-35.29393744085984,-11.705024352521052,39.763398603006685
3.45,-32.878698685367524,-10.916215769273423,38.51308981421637
3.5,-30.76526482776241,-9.691716600703687,35.79123691023345
