Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-18.816589462910425,-7.810027898673531,-34.84819781860851
0.002,-18.816396565855026,-7.81044187505951,-34.84837866447242
0.004,-18.81622723778098,-7.810855991750687,-34.848601414189744
0.006,-18.81605246580409,-7.811322405223709,-34.848835895166054
0.008,-18.815831712314615,-7.811769408842403,-34.8490346006553
0.01,-18.81561899377513,-7.812246031759244,-34.849300357278295
0.012,-18.81539068663943,-7.812777618279047,-34.84955301838653
0.014,-18.81516583300003,-7.813304931299634,-34.84984039534788
0.016,-18.814911779684994,-7.813869658350116,-34.85015501224924
0.018,-18.81465592624403,-7.814417809237051,-34.85045096295896
0.02,-18.814340449977415,-7.815005396075047,-34.85077603046621
0.022,-18.81404466156031,-7.815590757109974,-34.85110670976112
0.024,-18.813727514430916,-7.816214503752053,-34.85146984928845
0.026,-18.813386552159145,-7.816847280541854,-34.851834378950436
0.028,-18.812999608976444,-7.817499983736531,-34.85222059345519
0.03,-18.8126353690682,-7.818149629617805,-34.85260681358618
0.032,-18.812220621432946,-7.81881144388115,-34.85299500807803
0.034,-18.811809310559617,-7.819492118866227,-34.85341118532061
0.036,-18.811360131715503,-7.820202061196306,-34.85382571405647
0.038,-18.810894142779162,-7.820849837820358,-34.854270964158935
0.04,-18.810425220099674,-7.82154912347836,-34.85467608221312
0.042,-18.809900815535865,-7.822244698651221,-34.855093176643884
0.044,-18.80936823005227,-7.822932262763211,-34.85551395927606
0.046,-18.80880213670528,-7.823616760785442,-34.85591977407633
0.048,-18.808249705507457,-7.824292638783962,-34.856362764434806
0.05,-18.807641234573385,-7.824978147040202,-34.85675048106459
0.052,-18.807023843739888,-7.825654250501178,-34.857129837128376
0.054,-18.806370277015905,-7.826329867369403,-34.85750744844848
0.056,-18.805647546875935,-7.827015216099105,-34.857867365271126
0.058,-18.804937448155208,-7.827704372434442,-34.858215851336276
