Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-12.042600176107303,-9.195891401157496,5.953349216222549
0.002,-12.042350463493124,-9.195792987537585,5.952022359410818
0.004,-12.042122647239689,-9.195683889240883,5.950589318533615
0.006,-12.041879319556292,-9.19557645592528,5.949084268112082
0.008,-12.041595328386112,-9.19544975247295,5.9475002904139975
0.01,-12.04130742336752,-9.195299301334423,5.945798634719204
0.012,-12.041038091394169,-9.195178271695596,5.944029439733852
0.014,-12.040725079171168,-9.194997506679348,5.942150272357378
0.016,-12.040415559529933,-9.194862372673834,5.94016122467645
0.018,-12.040114685467369,-9.194655131491983,5.9380791922844
0.02,-12.039741852844953,-9.194447697794159,5.935890830681894
0.022,-12.039405758627233,-9.194204582650974,5.933600839825148
0.024,-12.039037840847271,-9.193983563289724,5.9312267801333425
0.026,-12.038662377386178,-9.193718448924539,5.928725265252562
0.028,-12.038257467580593,-9.193436578007995,5.926155078181086
0.03,-12.037863519538535,-9.193155981385368,5.923476974114138
0.032,-12.037439260779516,-9.19282943997223,5.920727899940619
0.034,-12.037006791777307,-9.192522496975275,5.917894985713767
0.036,-12.036550661889517,-9.192165259603662,5.9149775407788505
0.038,-12.036086297096825,-9.191768226105985,5.912002805997762
0.04,-12.03562056197395,-9.191412817209434,5.90900793971604
0.042,-12.035116548043357,-9.190997852835718,5.905924057645279
0.044,-12.034611375918129,-9.190578297786239,5.902832797099938
0.046,-12.034064740786832,-9.1901167386979,5.899682910635768
0.048,-12.033528772262587,-9.189663220126771,5.89652984886859
0.05,-12.032943872569458,-9.18918207610218,5.8933616794394315
0.052,-12.032370943914533,-9.188712109683367,5.890178206628363
0.054,-12.031757679589527,-9.188187622258571,5.887017650745744
0.056,-12.031079809202046,-9.187647647031877,5.88377674495774
0.058,-12.03040473868389,-9.187114661807584,5.880550658339758
0.06,-12.029709120024803,-9.186551468085886,5.8773741181232255
0.062,-12.02899627056312,-9.18603274274798,5.874229653978652
0.064,-12.028243332730604,-9.185451205373251,5.8710862397824215
0.066,-12.027437770278578,-9.184871958220613,5.867994928463865
0.068,-12.026623340705695,-9.184295184851157,5.8649494121157755
0.07,-12.025785594995721,-9.183735113287176,5.861941884363342
0.072,-12.024896129295287,-9.183119731019575,5.858969904553537
0.074,-12.023969129813109,-9.182535913898755,5.8560255651688164
0.076,-12.02304463449367,-9.18194917414093,5.853098262834564
0.078,-12.022040457589757,-9.18137902083025,5.850238124563756
0.08,-12.021057385503827,-9.18082168985579,5.847429196888159
0.082,-12.02002817045535,-9.180223747589704,5.844632195640656
0.084,-12.0189607203228,-9.179681388473364,5.841910767433935
0.086,-12.017875206257402,-9.179129782156066,5.839238665675614
0.088,-12.016725836206001,-9.178596664313805,5.836554236735537
0.09,-12.015589104989992,-9.178050206635405,5.8339724457577065
0.092,-12.01440885031549,-9.177554188349896,5.831408203297722
0.094,-12.013216595056212,-9.177062565099499,5.828902888592359
0.096,-12.011996223473407,-9.176552460302451,5.826449904548962
0.098,-12.010779155750727,-9.176120504644272,5.8240307601089665
0.1,-12.009524557506372,-9.175660051529157,5.821669569604995
0.102,-12.008264369034245,-9.175236914742328,5.819367284889519
0.104,-12.006984679998792,-9.174841898410216,5.817109016214686
0.106,-12.005681450645982,-9.174450504065234,5.8148933572218295
0.108,-12.004442289462276,-9.174082769489276,5.812750035276819
0.11,-12.003129863372608,-9.173775079604656,5.81066224413623
0.112,-12.001872973816141,-9.173461937768474,5.808602121263875
0.114,-12.000573680602107,-9.17318268135962,5.806589279997082
0.116,-11.999298684552631,-9.172917083351951,5.804639952728619
0.118,-11.998031157389923,-9.172710506346213,5.802757885731146
0.12,-11.996756677935146,-9.17246802363476,5.800901539328434
0.122,-11.995559005145173,-9.172319214539426,5.799116137023499
0.124,-11.994323534259204,-9.17214457024272,5.797344352486671
0.126,-11.993096537131807,-9.171994338554217,5.795650930571911
0.128,-11.991944569522117,-9.17189205016186,5.793979743730545
0.13,-11.990785821058386,-9.171803616174966,5.792364146719597
0.132,-11.989662572810337,-9.171693959832364,5.790756622946046
0.134,-11.988582020666247,-9.17164290302091,5.78922849575301
0.136,-11.987534893777234,-9.17158739608712,5.787681543730907
0.138,-11.986531068934422,-9.171542298441992,5.786216659117411
0.14,-11.98555362640566,-9.171515438048186,5.784758101689933
0.142,-11.984623384718919,-9.171501785693017,5.78336471647202
0.144,-11.98376541325695,-9.171491552843948,5.781964016944672
0.146,-11.982927267010146,-9.17145967638561,5.780608028325156
0.148,-11.982111152480494,-9.17145668711974,5.779281986716338
0.15,-11.981404603540257,-9.171440033133731,5.777939943035621
0.152,-11.98068645145216,-9.171423191775053,5.776641855343155
0.154,-11.980019971545575,-9.171411976272243,5.7753755638431254
0.156,-11.97941689566149,-9.171392172507385,5.774122546526608
0.158,-11.978864432738423,-9.171347125629959,5.772854054668769
0.16,-11.978367458277916,-9.171346665349235,5.771636700502561
0.162,-11.977887360065273,-9.171288056346263,5.770379949322293
0.164,-11.977462019888137,-9.171213031958409,5.769185356076361
0.166,-11.977090166213738,-9.171172395016763,5.767971391524807
0.168,-11.976711300807603,-9.171082624405242,5.766777305608291
0.17,-11.976374689443743,-9.170984920085154,5.765544085423068
0.172,-11.976077864900624,-9.170892730194563,5.764338959914707
0.174,-11.97579483726703,-9.170757920120206,5.763131075578793
0.176,-11.975525950621105,-9.170634333368211,5.761896513894373
0.178,-11.975297543270388,-9.170512801084474,5.760685441272853
0.18,-11.975037525239728,-9.170377929632643,5.759457431770775
0.182,-11.974798832421843,-9.170194522333503,5.75820950068062
0.184,-11.974564325248716,-9.170064504382074,5.75696284308939
0.186,-11.974331835654626,-9.169912927694165,5.755696730365834
0.188,-11.974032899192133,-9.16975224468975,5.754434729451337
0.19,-11.97376678089483,-9.169535463951382,5.753135901358263
0.192,-11.973501291099366,-9.169390544800157,5.751820397154528
0.194,-11.973180445643031,-9.169186177072344,5.750486662554857
0.196,-11.972824510010568,-9.16900057890455,5.749111570127961
0.198,-11.972431993323559,-9.168795202515705,5.747725306897546
0.2,-11.972013704088916,-9.1686229061963,5.746313924291486
0.202,-11.97155967275611,-9.168409380972605,5.74487170191375
0.204,-11.97106328811968,-9.168203408345788,5.743409877548198
0.206,-11.970499770503997,-9.168000478787997,5.741926408149484
0.208,-11.96990664701088,-9.167777642164067,5.7403709310101085
0.21,-11.969217549828505,-9.167550410845289,5.738817432568724
0.212,-11.968536511008299,-9.16733448716565,5.737217994428781
0.214,-11.967767871576603,-9.167124255680653,5.7355712766237
0.216,-11.96696403592653,-9.166891672832033,5.733929053396147
0.218,-11.966125904890154,-9.166671769601507,5.732255549047356
0.22,-11.965224408323396,-9.166411517679773,5.730516424162458
0.222,-11.964224336745678,-9.166160896115297,5.728775237630795
0.224,-11.963252603329924,-9.16589899647915,5.726998889024646
0.226,-11.962185928474504,-9.16565171562165,5.725202890330881
0.228,-11.961086056641431,-9.165393146375203,5.723374276061981
0.23,-11.9599576725427,-9.165101206276212,5.721538402571452
0.232,-11.958786600395173,-9.164817562427524,5.719671926107915
0.234,-11.95757086224679,-9.164492787187141,5.717780852076574
0.236,-11.956358180308984,-9.164151528160705,5.715883496028156
0.238,-11.955110779536364,-9.163794810334172,5.713960107987218
0.24,-11.953857227851056,-9.163412721271717,5.71202598277038
0.242,-11.952595530114595,-9.163047578731875,5.710072220279666
0.244,-11.95131632840428,-9.162623438175677,5.708120977765928
0.246,-11.950023079540326,-9.16216841330184,5.706127526465853
0.248,-11.948769922691291,-9.161706317979926,5.70414614780052
0.25,-11.947520458842048,-9.161162663771123,5.7021245971229275
