Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,-0.02011691778898239,0.30951789021492004,-0.1807064563035965,-0.008830956183373928,0.004652546718716621,0.006875354330986738
0.002,-0.020189553499221802,0.3095140755176544,-0.1808324158191681,-0.008830971084535122,0.004652570001780987,0.006875324063003063
0.004,-0.0202670618891716,0.3095121681690216,-0.180962935090065,-0.008830981329083443,0.004652591422200203,0.006875296588987112
0.006,-0.020346112549304962,0.309508353471756,-0.1811002939939499,-0.008830995298922062,0.004652615636587143,0.006875261198729277
0.008,-0.020435526967048645,0.30950453877449036,-0.18125036358833313,-0.008831005543470383,0.00465264031663537,0.006875222083181143
0.01,-0.020524010062217712,0.30950263142585754,-0.18140360713005066,-0.008831021375954151,0.004652667790651321,0.006875189486891031
0.012,-0.020620696246623993,0.3094988167285919,-0.18156841397285461,-0.008831038139760494,0.00465269573032856,0.006875147111713886
0.014,-0.02072436362504959,0.3094950020313263,-0.1817411482334137,-0.008831053972244263,0.004652724601328373,0.006875105667859316
0.016,-0.020828254520893097,0.3094930946826935,-0.18192288279533386,-0.008831070736050606,0.00465275626629591,0.006875063758343458
0.018,-0.02094125747680664,0.30948927998542786,-0.18211586773395538,-0.008831091225147247,0.004652789793908596,0.006875019986182451
0.02,-0.021058209240436554,0.30948546528816223,-0.1823151707649231,-0.008831108920276165,0.004652825184166431,0.006874971557408571
0.022,-0.02118353545665741,0.3094806969165802,-0.1825243979692459,-0.008831129409372807,0.004652860574424267,0.006874918472021818
0.024,-0.021310955286026,0.309477835893631,-0.1827448308467865,-0.008831150829792023,0.004652898758649826,0.006874868180602789
0.026,-0.021444611251354218,0.30947402119636536,-0.18297474086284637,-0.008831172250211239,0.004652936942875385,0.006874813232570887
0.028,-0.021585427224636078,0.3094682991504669,-0.18321093916893005,-0.008831193670630455,0.004652976989746094,0.006874754559248686
0.03,-0.021728359162807465,0.3094644844532013,-0.1834568977355957,-0.00883121695369482,0.004653020761907101,0.006874697748571634
0.032,-0.021878667175769806,0.30945780873298645,-0.18371178209781647,-0.008831240236759186,0.004653063137084246,0.006874638143926859
0.034,-0.022032015025615692,0.30945494771003723,-0.18397468328475952,-0.008831264451146126,0.004653110168874264,0.006874574813991785
0.036,-0.022189974784851074,0.3094492256641388,-0.1842467188835144,-0.008831292390823364,0.004653157666325569,0.006874508690088987
0.038,-0.02235032618045807,0.30944350361824036,-0.18452249467372894,-0.008831318467855453,0.004653206095099449,0.00687444070354104
0.04,-0.022517569363117218,0.3094377815723419,-0.18480771780014038,-0.008831345476210117,0.004653254523873329,0.00687437504529953
0.042,-0.022687159478664398,0.3094320595264435,-0.18509888648986816,-0.008831372484564781,0.004653304815292358,0.006874305661767721
0.044,-0.022860169410705566,0.30942538380622864,-0.18539267778396606,-0.008831402286887169,0.0046533565036952496,0.0068742320872843266
0.046,-0.023034654557704926,0.3094206154346466,-0.1856919527053833,-0.008831430226564407,0.004653408192098141,0.00687416223809123
0.048,-0.023211002349853516,0.30941393971443176,-0.18599629402160645,-0.00883146096020937,0.004653462208807468,0.006874086335301399
0.05,-0.023360446095466614,0.3093290627002716,-0.1862848848104477,-0.008831489831209183,0.004653514362871647,0.006874016020447016
0.052,-0.023513294756412506,0.30918601155281067,-0.1865689903497696,-0.008831517770886421,0.004653567913919687,0.006873940117657185
0.054,-0.02368287742137909,0.30906394124031067,-0.18678538501262665,-0.008831548504531384,0.004653623327612877,0.006873863749206066
0.056,-0.023817718029022217,0.3088732063770294,-0.18706738948822021,-0.008831579238176346,0.0046536787413060665,0.006873785518109798
0.058,-0.023981817066669464,0.3086395561695099,-0.18727563321590424,-0.008831612765789032,0.00465373694896698,0.006873706355690956
0.06,-0.024115607142448425,0.3083029091358185,-0.18744626641273499,-0.008831643499433994,0.004653792828321457,0.006873627658933401
0.062,-0.024225518107414246,0.30798056721687317,-0.18757502734661102,-0.008831675164401531,0.004653847310692072,0.00687355175614357
