Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,0.0009301262907683849,-0.0682230070233345,-0.010523783974349499,-0.017546333372592926,-0.0025247279554605484,0.0032790007535368204
0.002,0.0015682713128626347,-0.06777287274599075,-0.010739053599536419,-0.0175761878490448,-0.0024058371782302856,0.0032165010925382376
0.004,0.002028824295848608,-0.06731797009706497,-0.01102784089744091,-0.017620092257857323,-0.002278913278132677,0.003143102629110217
0.006,0.002551247365772724,-0.06684399396181107,-0.011305682361125946,-0.017667368054389954,-0.0021390430629253387,0.0030617087613791227
0.008,0.0031792297959327698,-0.06623459607362747,-0.011608143337070942,-0.017713766545057297,-0.0019895764999091625,0.0029700954910367727
0.01,0.003715032944455743,-0.0656128004193306,-0.01193715538829565,-0.01776604726910591,-0.0018314881017431617,0.002867446979507804
0.012,0.004316210281103849,-0.06493283063173294,-0.012342531234025955,-0.017814530059695244,-0.001665892661549151,0.0027499136049300432
0.014,0.004846540279686451,-0.06412125378847122,-0.012732243165373802,-0.017861075699329376,-0.0014921770198270679,0.0026237040292471647
0.016,0.005345006473362446,-0.06324959546327591,-0.013126397505402565,-0.017902638763189316,-0.0013053382281213999,0.002490126295015216
0.018,0.005914912559092045,-0.06230641156435013,-0.013558153063058853,-0.017932480201125145,-0.0011108785402029753,0.0023524730931967497
0.02,0.00646504620090127,-0.0612335279583931,-0.0140175586566329,-0.017954200506210327,-0.0009161552879959345,0.0022135525941848755
0.022,0.006959051825106144,-0.06006050854921341,-0.014503717422485352,-0.017962714657187462,-0.0007203238201327622,0.002076779492199421
0.024,0.007448696531355381,-0.058894168585538864,-0.01505190134048462,-0.017956212162971497,-0.0005217519938014448,0.001937215100042522
0.026,0.00789874792098999,-0.05760384723544121,-0.015620522201061249,-0.01793404296040535,-0.0003260912490077317,0.0017996132373809814
0.028,0.008239439688622952,-0.05621052905917168,-0.016137337312102318,-0.017897937446832657,-0.00012239343777764589,0.0016572978347539902
0.03,0.008600744418799877,-0.05479336902499199,-0.016658682376146317,-0.01784655824303627,6.733688496751711e-05,0.0015177484601736069
0.032,0.008919153362512589,-0.053337108343839645,-0.01719377189874649,-0.017781734466552734,0.0002522243303246796,0.0013745632022619247
0.034,0.009146214462816715,-0.05182553455233574,-0.017711734399199486,-0.017701704055070877,0.0004311905358918011,0.0012378301471471786
