Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,0.036953702569007874,-0.1504078060388565,-0.009320125915110111,-0.011376459151506424,-0.01916111446917057,0.002710473258048296
0.002,0.03793415427207947,-0.15020562708377838,-0.008702157065272331,-0.011373873800039291,-0.01920223794877529,0.002700976561754942
0.004,0.038977641612291336,-0.1499796062707901,-0.008034116588532925,-0.011353207752108574,-0.01924705319106579,0.002693590708076954
0.006,0.03999149054288864,-0.14982320368289948,-0.007337820716202259,-0.011312535032629967,-0.01929219625890255,0.002690243534743786
0.008,0.040986061096191406,-0.1495666652917862,-0.006557277403771877,-0.01124492846429348,-0.019337423145771027,0.0026923208497464657
0.01,0.041944876313209534,-0.14925862848758698,-0.0057967184111475945,-0.011146464385092258,-0.01937377080321312,0.002704458776861429
0.012,0.04289932921528816,-0.1489257961511612,-0.004932132549583912,-0.01101002749055624,-0.019391657784581184,0.0027225306257605553
0.014,0.04385104030370712,-0.14857007563114166,-0.004078038968145847,-0.010838428512215614,-0.01938689686357975,0.002753698267042637
0.016,0.044738225638866425,-0.14823438227176666,-0.0032258937135338783,-0.010639374144375324,-0.01935110054910183,0.002794325351715088
0.018,0.04559744894504547,-0.14782144129276276,-0.002372271381318569,-0.010415147989988327,-0.01926778256893158,0.0028437664732337
0.02,0.04635201022028923,-0.1474142223596573,-0.0015428428305312991,-0.010173795744776726,-0.019127923995256424,0.0029087511356920004
0.022,0.047063350677490234,-0.14695169031620026,-0.000705874350387603,-0.009931124746799469,-0.01892540417611599,0.0029859254136681557
0.024,0.04766290634870529,-0.14646722376346588,9.290431626141071e-05,-0.009697448462247849,-0.018650222569704056,0.0030759230721741915
0.026,0.0481729581952095,-0.14597035944461823,0.0008604780887253582,-0.009479806758463383,-0.018303653225302696,0.003174279583618045
0.028,0.048634711652994156,-0.1454801708459854,0.0015703564276918769,-0.009287112392485142,-0.01789860986173153,0.0032785977236926556
0.03,0.04897483438253403,-0.14503861963748932,0.0022478080354630947,-0.009126173332333565,-0.017439885064959526,0.003383304225280881
0.032,0.049212995916604996,-0.14458657801151276,0.0027842982672154903,-0.00901046209037304,-0.01694650389254093,0.003476143581792712
0.034,0.049330055713653564,-0.14417172968387604,0.0032090763561427593,-0.008941590785980225,-0.016439778730273247,0.0035479783546179533
0.036,0.049369245767593384,-0.14379312098026276,0.003559823613613844,-0.00892329216003418,-0.015943430364131927,0.0035993841011077166
0.038,0.04930988326668739,-0.1434202343225479,0.003733239835128188,-0.008950313553214073,-0.015464500524103642,0.0036271780263632536
0.04,0.049151401966810226,-0.14305879175662994,0.0037709062453359365,-0.009025766514241695,-0.015020622871816158,0.003622217569500208
0.042,0.04889954626560211,-0.14274217188358307,0.0037245003040879965,-0.009151768870651722,-0.014625140465795994,0.0035783196799457073
0.044,0.04855170100927353,-0.14248181879520416,0.0035586392041295767,-0.00931951217353344,-0.014279483817517757,0.0035065687261521816
0.046,0.0481296144425869,-0.1422729641199112,0.003173695644363761,-0.00952179729938507,-0.013982553035020828,0.0034096434246748686
0.048,0.047660671174526215,-0.14210034906864166,0.00265235616825521,-0.009752972051501274,-0.013729948550462723,0.0032997929956763983
0.05,0.0471411868929863,-0.14199258387088776,0.001970566576346755,-0.009996429085731506,-0.013508695177733898,0.0031842938624322414
0.052,0.0465688556432724,-0.14190484583377838,0.0011727361707016826,-0.010237392969429493,-0.013307522982358932,0.003070729086175561
0.054,0.04597622901201248,-0.1418638378381729,0.0002417991345282644,-0.010462615638971329,-0.013122813776135445,0.0029706794302910566
0.056,0.04537297040224075,-0.1418905407190323,-0.0008044822025112808,-0.010655002668499947,-0.012939284555613995,0.0028919910546392202
0.058,0.04472770914435387,-0.14197732508182526,-0.0019457099260762334,-0.010796596296131611,-0.01275696326047182,0.0028390090446919203
0.06,0.04408840835094452,-0.1420622020959854,-0.003155345330014825,-0.010880191810429096,-0.012574671767652035,0.0028157914057374
0.062,0.04343513399362564,-0.14223386347293854,-0.00443618930876255,-0.010905898176133633,-0.012399244122207165,0.002821088768541813
0.064,0.04281129688024521,-0.14239121973514557,-0.005728861317038536,-0.010877837426960468,-0.01223871298134327,0.0028524943627417088
0.066,0.042237188667058945,-0.14257337152957916,-0.007118375971913338,-0.010803166776895523,-0.012101272121071815,0.0029133069328963757
0.068,0.041658129543066025,-0.14281941950321198,-0.00852803885936737,-0.010694650933146477,-0.011990978382527828,0.0029987343586981297
0.07,0.04101794213056564,-0.14308644831180573,-0.010003065690398216,-0.01057232916355133,-0.01191201712936163,0.0031066108494997025
0.072,0.04043610394001007,-0.1433420330286026,-0.011433329433202744,-0.010464200749993324,-0.011878404766321182,0.0032315512653440237
0.074,0.039789509028196335,-0.14361287653446198,-0.012948434799909592,-0.010403679683804512,-0.011890366673469543,0.003367191180586815
0.076,0.039148151874542236,-0.14388276636600494,-0.014516713097691536,-0.01041106041520834,-0.011951539665460587,0.0035138872917741537
0.078,0.03854324668645859,-0.14417649805545807,-0.016088047996163368,-0.010504504665732384,-0.012066601775586605,0.003672704566270113
0.08,0.03799287602305412,-0.14447976648807526,-0.017617328092455864,-0.010704358108341694,-0.012231769971549511,0.0038460558280348778
0.082,0.03740770369768143,-0.14475728571414948,-0.019085021689534187,-0.011016134172677994,-0.012443367391824722,0.004038567654788494
0.084,0.036921367049217224,-0.14502717554569244,-0.020504796877503395,-0.011435508728027344,-0.012705071829259396,0.004257934633642435
0.086,0.03642365708947182,-0.14530183374881744,-0.02195913903415203,-0.011947393417358398,-0.013016484677791595,0.00450137909501791
0.088,0.03594363108277321,-0.1456155925989151,-0.02323954738676548,-0.012540631927549839,-0.013365205377340317,0.0047697583213448524
0.09,0.03544382005929947,-0.14597226679325104,-0.02452791854739189,-0.013195105828344822,-0.013746174052357674,0.00506091583520174
0.092,0.03498072549700737,-0.14630986750125885,-0.025723658502101898,-0.013886973261833191,-0.014155450277030468,0.005375924054533243
0.094,0.034447673708200455,-0.1466818004846573,-0.026903212070465088,-0.01459121610969305,-0.01458186749368906,0.005712277255952358
0.096,0.03387617692351341,-0.14703179895877838,-0.02797386609017849,-0.015284290537238121,-0.015001963824033737,0.00605695741251111
0.098,0.033339060842990875,-0.14734841883182526,-0.028988298028707504,-0.01595333218574524,-0.015400080010294914,0.006395234260708094
0.1,0.0328105092048645,-0.14767076075077057,-0.029976438730955124,-0.01658095046877861,-0.015756957232952118,0.00671778991818428
0.102,0.0322955921292305,-0.1479797512292862,-0.030877860262989998,-0.01715354062616825,-0.016047915443778038,0.007004704792052507
