Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-1.0960748093720214,3.94191421396051
0.025,-1.1051556099687792,3.941920147932964
0.05,-1.116965865379498,3.942853574788716
0.075,-1.1289238228760772,3.9465263149698697
0.1,-1.1434766159924732,3.950410830080162
0.125,-1.1618274167431133,3.947009263031891
0.15,-1.1813854361861476,3.939294777552892
0.175,-1.2005250763507982,3.9350544845899136
0.2,-1.2200074270415677,3.931792992192146
0.225,-1.2367562656388744,3.9343272904065434
0.25,-1.2523138788390151,3.9513791122115536
0.275,-1.2706406826314305,3.9764347652533676
0.3,-1.2897902538303339,3.9918174178225114
0.325,-1.3061148648843746,3.9880701722475878
0.35,-1.3205700819516861,3.9782430636421173
0.375,-1.3346380665520994,3.975011073285708
0.4,-1.3456187426031925,3.97024666642493
0.425,-1.3539894930313492,3.9586387149646374
0.45,-1.3636111587804363,3.9447492087921843
0.475,-1.3747310687777228,3.9339358414246934
0.5,-1.3875116959286746,3.935057494406441
0.525,-1.4057340641111955,3.9556898241462966
0.55,-1.432586371093352,3.9849936152556755
0.575,-1.4668650177082259,4.002961338153754
0.6,-1.5033325544144225,4.007752282831204
0.625,-1.5377248569506299,4.014030154238649
0.65,-1.5720246813192398,4.023294127645585
0.675,-1.6106327807413252,4.026309672225829
0.7,-1.6536609798807338,4.025392149602571
0.725,-1.6945298253542747,4.024508415994496
0.75,-1.727838687883993,4.016122266125714
0.775,-1.7545242210636833,3.997591448861427
0.8,-1.7783156173901644,3.976459539972308
0.825,-1.8000314934255823,3.955944356780668
0.85,-1.8163738228786919,3.9340530411682226
0.875,-1.8121029908073634,3.913974517739661
0.9,-1.7641561863244877,3.8918800988241493
0.925,-1.6660306066992945,3.854182838579284
0.95,-1.4965707303988443,3.8016852461660178
0.975,-1.2640549927297746,3.669418357226652
1.0,-1.0348238145121011,3.3526033060318774
1.025,-0.8718500330860545,2.852112734805027
1.05,-0.7739556808467895,2.2507248370141166
1.075,-0.7047988892581506,1.4761853296671605
1.1,-0.6724270387765712,0.2765855078606431
1.125,-0.7300118340814531,-1.4785205681897267
1.15,-0.9076415098253067,-3.5977837422258503
1.175,-1.1895441606659793,-5.6710401809328115
1.2,-1.5350100525016772,-7.327435604144588
1.225,-1.901664893544223,-8.394674819938766
1.25,-2.2882743533974748,-8.86094637989102
1.275,-2.7474649280789083,-8.796818512639488
1.3,-3.28920932796229,-8.37516515147334
1.325,-3.8059697535194585,-7.852919868335909
1.35,-4.145139722022627,-7.446419447574386
1.375,-4.232429513398526,-7.250900709805048
1.4,-4.119328352780532,-7.25419395449487
1.425,-3.927916628739479,-7.38262074142495
1.45,-3.7481018199038245,-7.519219669439671
1.475,-3.586870310560163,-7.510287783823807
1.5,-3.4212587754364683,-7.222728192789582
1.525,-3.2774339385710762,-6.623359137506905
1.55,-3.2098844793368877,-5.754890853858304
1.575,-3.2268675713906605,-4.7226455243856735
1.6,-3.2648846281256216,-3.7014299257641747
1.625,-3.2475036746077497,-2.834579467395411
1.65,-3.175984583187388,-2.1339626466629475
1.675,-3.1416956762791193,-1.5087595109493253
1.7,-3.2474593222310664,-0.8729833463139268
1.725,-3.540212381895155,-0.18822276505822647
1.75,-4.015690378014626,0.5603686523235232
1.775,-4.654296198895891,1.4092906835676664
1.8,-5.408090276540406,2.3306703845510284
1.825,-6.185478569427049,3.0523090966573814
1.85,-6.916039642778721,3.14444407649072
1.875,-7.595449545849563,2.590005664787775
1.9,-8.205047228509905,2.011341297826015
1.925,-8.670671354372862,2.1237642273527157
1.95,-8.960611522421033,3.1382437742912086
1.975,-9.140212855638008,4.75472348809596
2.0,-9.3088057258167,6.472202647098036
2.025,-9.528379793876901,7.877088493162357
2.05,-9.822540360115747,8.80138558815865
2.075,-10.190294375674439,9.315520197121502
2.1,-10.61367846612092,9.664172088386495
2.125,-11.058548831006636,10.08235512399431
2.15,-11.47523922559972,10.621817975139399
2.175,-11.825140052499782,11.189705710903148
2.2,-12.099713066842726,11.679932675704666
2.225,-12.310560532634815,12.052676917822865
2.25,-12.468498089463758,12.327390923420511
2.275,-12.583542041194562,12.538316680454855
2.3,-12.667224093013349,12.705770627854662
2.325,-12.729932999487371,12.840302955806202
2.35,-12.777246119361505,12.953532875054908
2.375,-12.824106513129532,13.048987651669599
2.4,-12.89803107754666,13.126157504291815
2.425,-13.017382738358913,13.209079633543551
2.45,-13.170286331261098,13.345173540237374
2.475,-13.320365994311064,13.566736029630517
2.5,-13.428160225308773,13.853439504562065
2.525,-13.463377343825936,14.126287215961717
2.55,-13.429476448315697,14.302832458217061
2.575,-13.406826445884114,14.373306541071576
2.6,-13.516761500062367,14.435655942804138
2.625,-13.821082194873828,14.686898664776768
2.65,-14.329340371591819,15.340051867363496
2.675,-15.080561394180316,16.54620983589063
2.7,-16.06765883305888,18.305149879197884
2.725,-17.140107513090044,20.360436126420165
2.75,-18.130524405844902,22.33315955421983
2.775,-19.010228030766392,23.981163234266937
2.8,-19.841971038965337,25.282440497038376
2.825,-20.65874408650288,26.32773694515631
2.85,-21.396924193431783,27.197736987691346
2.875,-21.92237357496552,27.945499492553065
2.9,-22.156062868501,28.6561284081524
2.925,-22.137893450802014,29.406727705300348
2.95,-21.95185754558637,30.230325462001645
2.975,-21.60332629274211,31.20481667845192
3.0,-21.009674779669428,32.42610577485443
3.025,-20.151527975115975,33.821185534768766
3.05,-19.124025646462645,35.15207516563657
3.075,-17.986960656583634,36.22159903370984
3.1,-16.70162570977019,36.84101585268327
3.125,-15.25820313480048,36.688741611279596
3.15,-13.788346159271693,35.55492415631168
3.175,-12.479504528707233,33.58498201036247
3.2,-11.56321091811989,31.02595254265212
3.225,-11.484593317815639,27.836698337552917
3.25,-12.693935243533303,23.917767824303027
3.275,-15.210986752324477,19.631535120654252
3.3,-18.567044497723366,15.635919068509983
3.325,-22.232181842349746,12.183675324328371
3.35,-26.170603006411586,8.930588133808085
3.375,-30.771641647023376,5.640697906997092
3.4,-36.209003695750745,2.7010773079801473
3.425,-41.853107570707294,0.8556410739895579
3.45,-46.618607238945906,0.8444744527510564
3.475,-49.86579333857947,3.1124372696727898
3.5,-51.67054894531438,7.490186024946433
3.525,-52.88587336996039,12.814105226755235
3.55,-55.11234137958125,17.57157966240704
3.575,-59.58885135141598,21.034515080567058
3.6,-66.10962479534632,23.59987892424525
3.625,-73.74803411033116,25.862694558663957
3.65,-81.63453971797243,27.61662269659847
3.675,-88.79106395852178,28.449359000249448
3.7,-94.21801540946167,28.33029392163946
3.725,-97.69180571426597,27.60732726838617
3.75,-99.86432693621003,26.7863889137817
3.775,-101.48133620517784,25.870444982301066
3.8,-102.94173851635367,24.302523297818475
3.825,-104.27074980765755,21.65564788964864
3.85,-105.25604440931437,18.021638822312703
3.875,-105.602138380495,14.011917384020787
3.9,-104.94216095025651,10.33321023539801
3.925,-102.94158836058143,7.4733732251355764
3.95,-99.51845097520385,5.664965343062382
3.975,-94.84201899579094,4.807584750372399
4.0,-89.12088536437382,4.705537017173839
4.025,-82.58460312378786,5.31454695970988
4.05,-75.57178165700215,6.522986463519034
4.075,-68.43335103341735,8.093958045175746
4.1,-61.43588241151352,9.72663566384699
4.125,-54.724448055390134,11.091089391730135
4.15,-48.38681188815688,11.96869589376972
4.175,-42.531553465159746,12.430765838032661
4.2,-37.25267562026118,12.741075883442868
4.225,-32.56983291750093,13.153449538399649
4.25,-28.397163479710837,13.881160576262939
4.275,-24.65491546318329,15.040916391070796
4.3,-21.464800307942696,16.563621622768753
4.325,-19.026446106252727,18.180159569038015
4.35,-17.376230527295913,19.45731741609586
4.375,-16.36040586708187,20.06085499682013
4.4,-15.727676037532381,20.089690692195795
4.425,-15.276763461355578,20.074455924312527
4.45,-14.915455274696836,20.491142801398563
4.475,-14.642746481860366,21.218642709532613
4.5,-14.436991080749118,21.634217846076094
4.525,-14.234325136050636,21.47647331148272
4.55,-13.999990647931677,21.144350571472103
4.575,-13.746949042813826,21.08141454996894
4.6,-13.517398760640031,21.29879029259682
4.625,-13.337116308251579,21.491005559288833
4.65,-13.187591835198079,21.45644775391129
4.675,-13.04989566339582,21.340468495799563
4.7,-12.93491761668256,21.412584868986077
