Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-6.3879171358108024,2.132085790596211,-4.087748289957042
0.025,-6.39182312169301,2.1424507356921088,-4.105349600413341
0.05,-6.39525677220123,2.1562675216670275,-4.131654183060147
0.075,-6.395895354898157,2.169163185511508,-4.161492310293742
0.1,-6.39040413984761,2.1835542033350013,-4.191815787066282
0.125,-6.387235397904353,2.1935390848170586,-4.2110093736866645
0.15,-6.386705247657568,2.201198533870893,-4.224719082692716
0.175,-6.3869601445253625,2.210297440595246,-4.239607188792375
0.2,-6.389997459515181,2.2209385441059637,-4.255511207377709
0.225,-6.395559210047439,2.2325994939644427,-4.273214706812518
0.25,-6.405945940574203,2.242800055901717,-4.291066304441303
0.275,-6.420318700355524,2.2498688924454626,-4.307492818744525
0.3,-6.434771126471491,2.2555486442076056,-4.321817589745011
0.325,-6.446766022590327,2.260607466221477,-4.333093688988047
0.35,-6.4540133930925565,2.264264544286362,-4.339376866152483
0.375,-6.460449652082782,2.2660105707595295,-4.339151893045414
0.4,-6.472931297396879,2.2652375929591853,-4.330718136464243
0.425,-6.489425293771722,2.263702362610868,-4.31295134586539
0.45,-6.502631859749006,2.263841558663484,-4.286973213209733
0.475,-6.510251054188916,2.2638553566899042,-4.25670244647019
0.5,-6.512905347729348,2.261557473846878,-4.22596573042242
0.525,-6.514251611776582,2.2572313149662087,-4.194855372168061
0.55,-6.512623157747307,2.250520096078802,-4.164515099320538
0.575,-6.4982512556972285,2.237409197297897,-4.139039760692078
0.6,-6.472073590517342,2.2153272777408017,-4.121277263045333
0.625,-6.446935143922526,2.189159528206542,-4.109670972584827
0.65,-6.430353746083189,2.1675741864230944,-4.10688801204777
0.675,-6.424463256227676,2.151853475262417,-4.117254952067596
0.7,-6.422596613392214,2.137432767446786,-4.142490227300158
0.725,-6.420262470725492,2.1190390820900875,-4.177342828268082
0.75,-6.41934177518031,2.0988559152471478,-4.213466574593779
0.775,-6.420627024808945,2.083089784758715,-4.24460783304553
0.8,-6.417873693276013,2.0747978092909545,-4.268024649630811
0.825,-6.407710524411746,2.072381670432429,-4.281987844358308
0.85,-6.3913388768607176,2.0743110396535944,-4.28652702495198
0.875,-6.370548304466973,2.079643495174624,-4.281812696744197
0.9,-6.351721216363995,2.0855578832052886,-4.267802162853654
0.925,-6.341448890818295,2.0882066451848296,-4.245370520798717
0.95,-6.338316429250718,2.0870237560367526,-4.2179622503291085
0.975,-6.339619559921638,2.0851284430222985,-4.189646852955021
1.0,-6.342360012439077,2.085508272182219,-4.166593352245715
1.025,-6.344678070156207,2.0891093189513943,-4.151180933687191
1.05,-6.3476913110357165,2.0939827243365974,-4.141238749685639
