Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-107.85022180250539,-70.7940694126152
0.05,-107.59983254246023,-71.00656964319904
0.1,-107.37981628940324,-71.28134084718859
0.15,-107.27231207385113,-71.46158702556367
0.2,-106.86939447698148,-71.59547141048645
0.25,-106.34403124857987,-71.80958900324055
0.3,-106.02141416374324,-72.71540815730222
0.35,-106.05649696978817,-73.98123696155864
0.4,-106.18104627032989,-74.96786882148893
0.45,-106.1703545296511,-75.8799399229708
0.5,-105.9990952529604,-76.52884044582922
0.55,-105.85555644464726,-77.09909570858571
0.6,-105.75761004252576,-77.69872579931656
0.65,-105.69402827079506,-77.73787786496318
0.7,-105.74210263738672,-77.77919158971794
0.75,-105.89619371870558,-77.52745359569144
0.8,-106.06300070255605,-76.98668260002904
0.85,-106.13247270997816,-76.20665329914313
0.9,-106.11229993798963,-75.65013002875634
0.95,-105.99433442988372,-75.46764594589474
1.0,-105.86883304685594,-75.65504239150142
1.05,-105.76307308776539,-75.97779499556803
1.1,-105.70799835250803,-76.16466630102511
1.15,-105.55050516710395,-75.68642355971913
1.2,-105.4884910283885,-75.19033101705476
1.25,-105.47338618954015,-74.90315731818188
1.3,-105.40374246355029,-75.05012087262682
1.35,-105.31547925293569,-75.50974955358299
1.4,-105.28943145663085,-76.0117084152717
1.45,-105.2281720573798,-76.11159601948673
1.5,-105.2285726559624,-75.86151520695725
1.55,-105.23502877907511,-75.44565670313008
1.6,-105.40867063499475,-75.04416327582216
1.65,-105.45727761430346,-74.83480949998592
1.7,-105.32219144603623,-75.37810149527623
1.75,-105.33817687027233,-77.21780332283912
1.8,-105.12922252309959,-79.67574042402903
1.85,-104.71622343440578,-82.06758873906898
1.9,-104.14336947454683,-84.31091255583588
1.95,-103.92988442647682,-85.97345139784136
2.0,-103.76154879733953,-86.89039499908782
2.05,-103.6240676834908,-87.04999441215796
2.1,-103.8027152590076,-87.1727722753075
2.15,-103.43840157415494,-87.29582805889336
2.2,-102.96444091797402,-87.54350637308043
2.25,-102.30154885785097,-88.340669744545
2.3,-101.50864581316188,-88.92971577166863
2.35,-100.68162955725057,-89.74146169132972
2.4,-100.76770675338642,-90.16481690268475
2.45,-100.92883627649277,-89.6865292998089
2.5,-100.65728792952952,-89.01650806838494
2.55,-100.53286403682505,-89.02198380192209
2.6,-100.28442725831393,-89.29431115892392
2.65,-100.18850242254551,-90.13159314694141
2.7,-99.91140071550865,-91.19716642913176
2.75,-99.62444809586115,-92.07983619745244
2.8,-99.57172690390902,-92.44339461730772
2.85,-100.39966492493144,-92.2698852939456
2.9,-100.75248170740446,-91.25684087126716
2.95,-100.26120185491904,-90.42527481233431
3.0,-99.76581803355546,-90.87030276343859
3.05,-99.83978276194458,-92.60442123256132
3.1,-99.50790326641355,-92.96322126196678
3.15,-99.11411443806051,-91.7154605069655
3.2,-98.7859870658355,-88.9655493333046
3.25,-98.3012160974013,-85.72322954374867
3.3,-97.80367142590173,-82.74695312005892
3.35,-97.28156319060601,-80.10689781335348
3.4,-96.39653025759779,-78.71147583171542
3.45,-95.81283265841363,-78.02896363148174
3.5,-95.25401048427378,-77.43766791667896
3.55,-94.81380863431178,-77.00755568861102
3.6,-94.67025670995673,-75.80457067743995
3.65,-94.91609764169144,-73.66461928703268
3.7,-95.3680132560185,-70.95597215862553
3.75,-95.59128563087857,-68.39513263652455
3.8,-95.56571178951958,-66.23011409512063
3.85,-95.52150946881082,-64.58288922562956
3.9,-94.9458590408644,-63.157247808201454
3.95,-94.26238332227103,-61.81874619827223
4.0,-93.32714473424531,-60.47487951061025
4.05,-92.17443010952155,-58.835500113170546
4.1,-91.37006400507332,-56.66761885174379
4.15,-91.04565444715469,-54.03001796805179
4.2,-90.8554127687617,-51.54393802223095
4.25,-90.72734613150799,-49.5598682958952
4.3,-90.47855281812039,-48.22306711503197
4.35,-90.22146966146566,-47.647169401837616
4.4,-89.8965660026215,-47.56871591860723
4.45,-89.58097123253093,-47.81095836658337
4.5,-89.44297548302566,-48.30457518437848
4.55,-89.38848463807885,-48.95508624830059
4.6,-89.41827887201208,-49.971428872864486
4.65,-89.52826890030745,-51.16225051595274
4.7,-89.70140951583005,-52.28611981272883
4.75,-90.17068759138326,-53.571106644826536
4.8,-90.99845632854941,-55.10461992289531
4.85,-91.86890381871487,-56.73956088564927
4.9,-92.8754718298005,-58.86990608683274
4.95,-93.70240635913488,-61.29336495533429
5.0,-94.47293545755844,-64.03966555307063
5.05,-95.04695603739786,-66.99211069400263
5.1,-95.42121589275641,-69.90360522149481
5.15,-94.84497658451144,-72.28562460093394
5.2,-93.42324422920709,-73.55167831555896
5.25,-92.05594307166758,-73.79756675613858
5.3,-90.60086082906274,-73.13855399708929
5.35,-89.45832790945742,-72.50952374645058
5.4,-88.80241363098106,-72.43392392638432
5.45,-88.60826786394023,-72.83672761696782
