Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,-46.69160285156366,46.883512116453474
0.05,-43.61320498911449,41.06084902719428
0.1,-39.45103460533534,30.914562060830104
0.15,-34.187793218230276,18.86407874905692
0.2,-29.267919270862055,10.743154058324773
0.25,-28.032381699411747,8.536564789196689
0.3,-29.00932223755309,12.341318047293132
0.35,-32.473106028530744,17.93194305473177
0.4,-37.248801547103675,23.99572837578869
0.45,-42.23670263401604,29.60475559697675
0.5,-46.639172884257455,34.529943641201015
0.55,-49.89164330013026,38.72688356399269
0.6,-51.47374005078164,42.17317059766652
0.65,-51.38877788593325,44.44233240625079
0.7,-49.77466041578225,44.85964459359581
0.75,-47.478822950933946,45.525526027956126
0.8,-44.02397752272203,43.845324527784484
0.85,-39.79752257319956,41.930634317335404
0.9,-36.10543858830471,41.17490762735742
0.95,-33.82254517995284,41.29301037869898
1.0,-32.10084991670948,40.610877778495194
1.05,-32.455820211044525,37.9205071233295
1.1,-33.090999078828894,36.36150631083106
1.15,-31.521495258916815,35.27785319808516
1.2,-31.580641891883545,34.07163344860133
1.25,-31.96502387435462,33.17490161462698
1.3,-33.26850401041932,33.54452448765581
1.35,-35.330507480829944,35.00973940263738
1.4,-37.65157449731156,36.51347136330097
1.45,-39.96229222773341,37.57999281105207
1.5,-41.96457988037709,38.40128338203314
1.55,-42.24762974313183,39.443197673521205
1.6,-42.286788585879464,40.230737405479424
1.65,-41.871049045194866,41.128916426330214
1.7,-40.60959357743645,42.15037053060176
1.75,-39.47224358456953,42.21750455633358
1.8,-37.91774624804514,41.06734940722908
1.85,-37.13204418963068,39.568457488676906
1.9,-36.894264604371195,38.606588698067846
1.95,-38.125632749272846,39.85283570836807
2.0,-40.38229898954178,40.403432242777306
2.05,-40.23243323325679,40.20766649303207
2.1,-39.01122246216423,38.86157569085067
2.15,-38.210185158024295,36.42253396844534
2.2,-38.88509667497641,33.65174967041652
2.25,-40.42969953748263,31.15901865111582
2.3,-41.5222189966821,29.81308248216551
2.35,-43.00156169834897,26.61108871566038
2.4,-44.467503582121786,22.81661053460468
2.45,-46.35385455047951,18.503122221406173
2.5,-47.847857423728755,15.525547440097707
2.55,-48.43146166733092,13.98153885197609
2.6,-48.72664442792485,11.578412756290597
2.65,-48.31557883431906,9.038548840862353
2.7,-47.26365298850245,7.15154155953174
2.75,-45.72625073161252,5.5840444903002195
2.8,-44.93770195247357,4.192975479283277
2.85,-45.335479170521296,3.9840103023503084
2.9,-45.94344926377899,5.04605018587468
2.95,-45.70051316436371,7.20138137431898
3.0,-45.2321641353164,9.1162660410386
3.05,-44.078471958017154,10.967018601635008
3.1,-42.4210234244958,13.761059322040072
3.15,-42.05911026848316,15.739236903038808
3.2,-42.20610979344084,18.034338814312978
3.25,-42.70390965124273,21.15896511023194
3.3,-43.33330579169576,23.94528352781265
3.35,-43.47023891012505,26.365686501969126
3.4,-42.37093716410322,27.971912882993973
3.45,-41.84826874342052,27.687768075151695
3.5,-41.773344236720355,28.019350896669703
3.55,-42.058430391593845,28.69195211930466
3.6,-43.42980459348103,28.304355438340647
