Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-2.5170371438807644,-1.135456869200638,-2.506519418598897
0.025,-2.5626587838016395,-1.1354003707864988,-2.365498845877422
0.05,-2.6342285338450213,-1.1309090690969759,-2.1716264068418125
0.075,-2.721326585661228,-1.1268380173864596,-1.977158553610222
0.1,-2.8130802537739803,-1.1244330950727124,-1.7890456533710284
0.125,-2.8961511762754646,-1.1244204513322267,-1.6021687239382378
0.15,-2.9726996034907183,-1.1240178438898092,-1.4107524264612663
0.175,-3.0589648204209468,-1.113525219012542,-1.1692700266136378
0.2,-3.1587886489139967,-1.087815509936782,-0.8561222525090851
0.225,-3.2339836777900683,-1.0530458701195737,-0.5907821495577912
0.25,-3.281823975364246,-1.0135532148429705,-0.364700171842802
0.275,-3.3154516835086905,-0.9752626837662173,-0.13554017402811594
0.3,-3.3468386972044537,-0.9437521635093515,0.10464057774335532
0.325,-3.3783505981667203,-0.9190211049477965,0.3505853041090401
0.35,-3.40831341357288,-0.8950882633064342,0.591435978144489
0.375,-3.4387228836556205,-0.8682160964282087,0.8198088701034982
0.4,-3.4665402013712896,-0.8360379120754756,1.0386321980137108
0.425,-3.4892082088717986,-0.7971148043634376,1.253161197925437
0.45,-3.5072058613180657,-0.7523915820902608,1.4618586387249037
0.475,-3.515597079749109,-0.7009855068896019,1.6615313907892162
0.5,-3.509748475362527,-0.6413614189354414,1.8486682815852666
0.525,-3.4932879888572406,-0.5729618154971338,2.0225537673930183
0.55,-3.474745871467542,-0.49591503766140016,2.1830726009995676
0.575,-3.458182530586174,-0.41346169545214867,2.3295474480957563
0.6,-3.4391561786501677,-0.33495523022669954,2.4621877052074073
0.625,-3.4183465675811853,-0.2693237006315579,2.5828457492666796
0.65,-3.4037731549452803,-0.21669352263642425,2.698170649508962
0.675,-3.402716648426,-0.16964398472765915,2.804131864668319
0.7,-3.415091172785196,-0.12374027229809709,2.893394684811962
0.725,-3.438229109400024,-0.07908639792188159,2.967074143438606
0.75,-3.4667011828096386,-0.03629839387436914,3.0309478419881573
0.775,-3.492145990662682,0.003253167100586588,3.0889502772722066
0.8,-3.505470893755407,0.039831765022073654,3.136292235705717
0.825,-3.5061107924798747,0.07300674719129525,3.1682828152032636
0.85,-3.5069518794549537,0.09918830885557453,3.1918769929803106
0.875,-3.5215672563421703,0.11897955376558979,3.2199299154940966
0.9,-3.551709902265778,0.13641653971083598,3.252641527395085
0.925,-3.5985003511908853,0.14933377804328973,3.284657314087689
0.95,-3.6616595214327012,0.1547686524874598,3.311575760658676
0.975,-3.7383277815729605,0.15991986488149754,3.3278998023835613
1.0,-3.8190888400303287,0.17687666653618586,3.3324510102641365
1.025,-3.893568977092164,0.2156391230551806,3.3276111499970344
1.05,-3.9633798818241286,0.27896238721140765,3.3178945082748266
1.075,-4.0374266388566795,0.36131611231742844,3.3115637137134715
1.1,-4.125012288740866,0.45812910391051254,3.3153593810484048
1.125,-4.230392813932807,0.566644257612455,3.3304615650818445
1.15,-4.353726592138366,0.684847270374985,3.350552598110572
1.175,-4.495879215057795,0.8144683949622469,3.368947422262542
1.2,-4.646553555233317,0.9686754552958041,3.387402168898732
1.225,-4.7948143671857615,1.1739946894589959,3.423200838758056
1.25,-4.914930208172904,1.431463378822042,3.4878084490418733
1.275,-4.996960599007502,1.7220089852411944,3.576172866598285
1.3,-5.046975118081832,2.0203260554578617,3.677428215305054
1.325,-5.062966264975519,2.302645262465634,3.8011411815267184
1.35,-5.036642846217431,2.552442976202786,3.9579441181969153
1.375,-4.980783158091696,2.7680696665215625,4.149122202436574
1.4,-4.9168067965062745,2.9529754922228917,4.37877829302811
1.425,-4.854231020186188,3.111611782843519,4.644559592051986
1.45,-4.7797445656347435,3.2467289373880432,4.946552630684074
1.475,-4.683127335661863,3.3579306580695945,5.283671552998234
1.5,-4.560934974819592,3.4498627842439213,5.665988482668777
1.525,-4.404371215827554,3.5319421179771147,6.114768829736809
1.55,-4.225752874881161,3.614904355574214,6.63749834952167
1.575,-4.056584298280273,3.703317683569665,7.23221904617887
1.6,-3.9465715094075375,3.7953502543207565,7.883981039938346
1.625,-3.9506960900771277,3.8963085609532233,8.591849195099934
1.65,-4.093559981642453,4.0206213889583635,9.348005979378465
1.675,-4.357310477758746,4.180689849325456,10.143332595614238
1.7,-4.7228654661830785,4.395412671542462,10.964362070359828
1.725,-5.196294468703703,4.686173781830399,11.781565452566403
1.75,-5.7347685205173935,5.037393819852918,12.560582942262329
1.775,-6.205064301766164,5.378355414866679,13.299972322614995
1.8,-6.506408322221309,5.614283634025461,14.014425038816531
1.825,-6.5829318300281985,5.678428276537524,14.665999192455422
1.85,-6.42071346606846,5.532828432612616,15.240446512148749
1.875,-6.07337281164539,5.133115144114852,15.798198867015742
1.9,-5.670386983141785,4.4854533703272566,16.39490335071509
1.925,-5.3496249894181584,3.700041197196635,16.977396947571734
1.95,-5.18794664030615,2.94686374259305,17.43710289174121
1.975,-5.146583867155675,2.341285052068808,17.748331151504974
2.0,-5.058581648635327,1.8665636912627344,17.973866122249667
2.025,-4.8038023431383285,1.4380691213282852,18.179791551891256
2.05,-4.388291474272341,0.9851607386176319,18.43298314724937
2.075,-3.8395648547148262,0.46325238506610544,18.77884174997068
2.1,-3.214117820357893,-0.12874118856576688,19.227728556495705
2.125,-2.5801716954754883,-0.7626345824873232,19.782662173441096
2.15,-1.9789679340248465,-1.3941763901844804,20.434266480588107
2.175,-1.420853355379929,-1.9825630844607092,21.15301273717225
2.2,-0.8877404205111407,-2.496641090783158,21.92187868340957
2.225,-0.36656553074445786,-2.904535530424901,22.73420425487483
2.25,0.14506824936709994,-3.2000936375142204,23.58109260322719
2.275,0.6587901008286114,-3.429116054935292,24.433691384310297
2.3,1.18165206572673,-3.6649807513106705,25.25468842208962
2.325,1.7113176864364308,-3.960302051680402,26.044888900944834
2.35,2.2348296103309644,-4.307666557316956,26.816436502517824
2.375,2.746893711674225,-4.662366704334754,27.536772131546638
2.4,3.252371630880736,-4.976740925935937,28.15615983750673
2.425,3.7049068331280104,-5.210941864593323,28.647402632524933
2.45,4.044075076842983,-5.369124140874659,28.986920276172054
2.475,4.254753985097669,-5.499001943729573,29.147127501617444
2.5,4.3412157711195265,-5.636176165496317,29.12853223414512
2.525,4.293128449549006,-5.782331219592205,28.95807242530484
2.55,4.072394253885461,-5.908818195296643,28.699419439590418
2.575,3.6839793225707647,-5.977574097250603,28.399038256937867
2.6,3.193894033773569,-5.962278160611278,28.04794946856274
2.625,2.701659214691456,-5.864145696288632,27.625016291464664
2.65,2.295297118509468,-5.71409990358415,27.128529479850098
2.675,2.009816143589252,-5.550019056690578,26.56587253075783
2.7,1.8212913623846405,-5.40286407965965,25.96059466266731
2.725,1.6807773437131703,-5.287448618886321,25.324087440220822
2.75,1.574101842413264,-5.191492251459843,24.635135478257055
2.775,1.4975412582980554,-5.09557464344215,23.872806001399383
2.8,1.4413701117258484,-4.998116184663415,23.027844430492557
2.825,1.3933543600434959,-4.9054607274223585,22.092947509111944
2.85,1.3586371142770592,-4.81947990189852,21.02576276705845
2.875,1.3848147109091342,-4.72882026749008,19.75911453885972
2.9,1.5147830201964612,-4.612063357869359,18.267857143734943
2.925,1.7494351899705873,-4.456723375578509,16.588390611909347
2.95,2.0769446225180506,-4.2598385990201875,14.781745176212231
2.975,2.4690013497235146,-4.025131231783899,12.898828475236447
3.0,2.858391113285255,-3.7644276290962675,10.960420156480343
3.025,3.1952063312832055,-3.499089793240551,8.953217279723008
3.05,3.4119726697082253,-3.2455013206655816,6.850697779333158
3.075,3.432215641260458,-3.0275927460097725,4.629442907742983
3.1,3.198338594292557,-2.8670704960407423,2.264546435547555
3.125,2.715471704281127,-2.7612622497099117,-0.2538550105519187
3.15,2.0543857438599264,-2.666048295411596,-2.908522566137847
3.175,1.3425984462453735,-2.50881581970764,-5.656087111657436
3.2,0.7654471889704237,-2.250648179190744,-8.358537775706932
3.225,0.4128503156291353,-1.9228257337507342,-10.813440782524363
3.25,0.23081543278259622,-1.5801274356853736,-12.96918494946725
3.275,0.012113529208363168,-1.2363616183562554,-14.971181946272031
3.3,-0.37645605082833405,-0.9393817114932659,-16.972007096492902
3.325,-0.9277815921285759,-0.7720318509925282,-18.97343321365581
3.35,-1.6560846377551304,-0.7367218008048022,-20.929088282169875
3.375,-2.58232085468253,-0.7369222729930961,-22.894254557240792
3.4,-3.6519528477393264,-0.6986450597327366,-24.97978392386714
3.425,-4.759462649474138,-0.6595453704456721,-27.161374053925552
3.45,-5.774604186947792,-0.6890822426042883,-29.347753916798883
3.475,-6.641707867705597,-0.8124073233828607,-31.502042600829096
3.5,-7.42717653163141,-1.0165856016941344,-33.67332665792641
