Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-111.31658213661113,-40.34376123030327
0.05,-111.3711404941692,-40.35921257941039
0.1,-111.34628301884955,-40.31977047687541
0.15,-111.28379231889093,-40.29692584784658
0.2,-111.19300054015707,-40.26462300769089
0.25,-111.21663492925892,-40.28912656156894
0.3,-111.16270003146917,-40.203600399034386
0.35,-111.02573238517661,-40.16320205531402
0.4,-110.90946794152983,-40.34243324999439
0.45,-110.86016980419704,-40.87614763120394
0.5,-110.7399188173651,-41.95489852023398
0.55,-110.35574585412678,-43.05266711277807
0.6,-110.15878871678295,-43.536677735965654
0.65,-110.35317099487462,-43.56885365366005
0.7,-110.84944344310381,-42.975070816299855
0.75,-111.35996407129764,-42.73166826693595
0.8,-111.56700579373047,-43.361530040806514
0.85,-111.49975115722064,-43.704524709808524
0.9,-111.35347756024342,-43.7250876389058
0.95,-111.11699591710361,-43.75710349974394
1.0,-110.7944893151742,-43.69000826029911
1.05,-110.56652611093352,-43.59809621061923
1.1,-110.2821121143444,-44.05958176472423
1.15,-110.04380453013331,-44.617450643292074
1.2,-110.02655753255354,-44.885194388660295
1.25,-110.02986773049746,-44.95051938833658
1.3,-110.13704616993124,-45.11335103507151
1.35,-110.1194531481395,-45.33393085706285
1.4,-110.037364379367,-45.55189510228472
1.45,-109.99866201805067,-45.6764997847459
1.5,-110.02827786080192,-45.680304771371496
1.55,-110.17444817292784,-45.7693723057759
1.6,-110.01516883463592,-46.00609760400982
1.65,-109.76276512034518,-46.19012479951874
1.7,-109.7044243606654,-46.56623186087469
1.75,-109.89007578134695,-46.73753193009361
1.8,-110.0566360816498,-46.648730111063436
1.85,-110.1191071228535,-46.74486444466079
1.9,-109.12280764084534,-46.85531034817828
1.95,-106.1114311247641,-46.73841789517712
2.0,-100.3419311628215,-46.44447825990268
2.05,-91.33855131191011,-47.183634482903166
2.1,-80.56954214239981,-48.59163087914056
2.15,-73.35389570906081,-48.0562329348704
2.2,-70.54969873487126,-45.79455338007976
2.25,-69.79069918070863,-41.97256461080311
2.3,-68.94660024007085,-37.65743877909808
2.35,-67.43144201400716,-34.28230140520504
2.4,-66.29769546349145,-30.97849454742211
2.45,-68.13195967733459,-26.776216678189765
2.5,-70.81338314465363,-26.572151832166522
2.55,-72.55134979358857,-26.81102804434343
2.6,-73.68067887072421,-25.09794909573739
2.65,-74.18967491839709,-24.112933585148134
2.7,-75.8700246252181,-24.523637566071926
2.75,-77.8181380232596,-25.240033964348285
2.8,-79.52567349465157,-25.166697743189697
2.85,-81.8116182882392,-24.154700026801365
2.9,-84.62249317920569,-23.297909695632374
2.95,-87.37091793942736,-23.381347728063233
3.0,-89.56608156397981,-24.81028767110758
3.05,-91.59601876498375,-26.10134216329623
3.1,-93.51264883063675,-27.161484317004128
3.15,-95.14288823160898,-27.40311164419906
3.2,-95.98406273817619,-26.471431443606235
3.25,-95.4290128220028,-25.12004913592392
3.3,-94.06129543214367,-23.804487185650217
3.35,-92.44019456616631,-23.360715179357694
3.4,-90.85091526184466,-22.952267158139872
3.45,-89.20071110609251,-22.465054466921476
3.5,-87.21194177896078,-22.166830254146745
3.55,-84.58661564576958,-21.668598453659186
3.6,-81.85849839990006,-20.702834501719533
3.65,-79.25884356725025,-19.979645350044436
3.7,-76.80213857413096,-20.09520950995826
3.75,-72.87153424990629,-23.068785982092514
3.8,-68.63804507765131,-25.63116789765709
3.85,-64.61855443094876,-26.44448985252943
3.9,-60.70736534615739,-26.583659675731763
3.95,-57.6937339773926,-26.46454305052516
4.0,-54.854139511225746,-27.034826243908757
4.05,-50.3612634268801,-29.01153418512202
4.1,-48.01247011188231,-28.694731338299224
4.15,-48.23332936726276,-28.224706165746166
4.2,-49.45351606421558,-28.2188520728286
4.25,-49.86361640645679,-27.98775821698321
4.3,-49.22412040086603,-27.76201097075026
4.35,-47.688904014011904,-27.21032886277613
4.4,-46.74311878753345,-25.443040209765172
4.45,-47.068493726646956,-24.441693076682583
4.5,-47.766591602747255,-24.416953343485638
4.55,-48.468805703814965,-24.020510557506153
4.6,-49.53180108233155,-23.22549280512184
4.65,-50.36474493413208,-22.96590166149217
4.7,-50.907816307136486,-22.1545544760382
4.75,-51.51633284736334,-20.268249075666656
4.8,-52.766820115924,-17.31564368891217
4.85,-53.47701729070885,-17.6235496022238
4.9,-54.43380620244453,-17.11805321696618
4.95,-54.78912697351596,-16.361881838544935
5.0,-55.12461446612478,-16.496196245584166
5.05,-55.561498243967364,-16.38106934331745
5.1,-55.664473103460644,-16.303369850680458
5.15,-56.05412592715369,-16.310554796018355
5.2,-56.35016332039238,-16.235513272084923
5.25,-57.07054402561647,-15.783315060825387
5.3,-57.7285348239806,-15.294456637230388
5.35,-57.94833409319414,-15.019623842454509
5.4,-58.04258305602556,-14.971786809345103
5.45,-58.098714444252,-14.841790257838761
5.5,-58.20231685159119,-14.651693137488127
5.55,-58.1514984421076,-14.492697123354043
5.6,-57.95082612440191,-14.495097439495755
5.65,-57.95480113115894,-14.529432282338313
5.7,-57.93864842849927,-14.46391999507564
5.75,-57.955549084968716,-14.422978448248882
5.8,-58.003820564492166,-14.414346405978362
5.85,-57.916609059599864,-14.382785241516634
5.9,-57.50059857703433,-14.621063371824505
5.95,-56.73200161099458,-15.340567713346912
6.0,-56.36201190744177,-15.603421279870236
6.05,-56.330422746893646,-15.557526759309662
6.1,-56.427876796231025,-15.529740917173262
6.15,-56.45288009271536,-15.484412984470826
6.2,-56.55231189345441,-15.440195303725055
6.25,-56.62564554660286,-15.413226674352266
6.3,-56.650420831538916,-15.304451933318546
6.35,-56.71661313570731,-15.25285334297585
6.4,-56.789413057792956,-15.133781556478814
6.45,-56.852391295899594,-15.022509566864287
6.5,-56.83076612443559,-15.079028557963367
6.55,-56.800059053545475,-15.145438935281051
6.6,-56.40167383110144,-15.318183290457542
6.65,-55.699527815204284,-15.520818913055454
6.7,-55.05695347137339,-15.37341826188849
6.75,-54.65287342548076,-15.040716735333438
6.8,-54.586764366165134,-15.016565108235303
6.85,-54.080694547248484,-15.428612072012788
6.9,-52.420801087105886,-15.497081312141965
6.95,-50.81471793843841,-14.952738107775485
7.0,-50.02087360618047,-14.422391938480702
7.05,-49.82042538548699,-13.853397150456319
7.1,-49.60220257548867,-13.38077199144585
7.15,-48.929003844788745,-12.955945374737237
7.2,-48.224011443752424,-12.819160437938407
7.25,-48.01043046634559,-13.347537060249396
7.3,-47.809402787495536,-13.639862331704261
7.35,-45.87504242734427,-15.88728008530074
7.4,-43.39538694935539,-19.57649847846931
7.45,-40.4137168676368,-22.9035551531172
7.5,-37.35640563783088,-26.037296014459763
7.55,-36.64083240361028,-28.014859458312106
7.6,-36.636026798093425,-28.754687811286782
7.65,-35.50569234092798,-29.743394520400244
7.7,-33.25614860330144,-32.02080203142688
7.75,-31.00780225416113,-34.67498513526364
7.8,-30.48565183910881,-36.093322728891735
7.85,-32.19106918236764,-36.39032002108519
7.9,-33.8376794964818,-36.9353772825312
7.95,-34.16068041633425,-36.153011152317276
8.0,-34.51572898206233,-34.83609396947672
8.05,-36.181737155513574,-34.19403826726063
8.1,-38.190670985446516,-33.96095748637443
8.15,-39.1469719057794,-33.050155103775744
8.2,-40.62446140703344,-31.111648579487422
8.25,-43.04439943237713,-29.183279874573508
8.3,-46.4361109405469,-27.273979866689963
8.35,-51.16492315923816,-23.326071349448345
8.4,-57.0410236354034,-17.018231183339765
8.45,-62.679721292317794,-10.791107764906123
8.5,-68.91621111872357,-3.5843690500337493
8.55,-73.93246772127155,2.4202230758739356
8.6,-78.48110876730888,8.602936717750612
8.65,-81.90667739941117,14.556188476699603
8.7,-83.22523407527477,18.02365165696533
8.75,-82.79213830435734,18.814635710144316
8.8,-82.20807649086015,18.777012353908813
8.85,-82.70786727202889,18.38452990182428
8.9,-84.27091719373341,18.439253685632565
8.95,-85.87904090578488,18.483763066920744
9.0,-86.79861150691016,18.698928301778935
9.05,-87.05701793665492,18.837810141815766
9.1,-87.11604249110233,19.043877920022073
9.15,-87.10467072768313,19.104446573140372
9.2,-87.23277685326015,18.998102567880384
9.25,-87.28031231654525,18.553102022318612
9.3,-87.16521388298,18.172515273884247
9.35,-86.9809726474297,17.515028017434954
9.4,-86.3595014414996,16.07580520112754
9.45,-85.50944546276543,15.205692977201311
9.5,-85.0959585267135,15.261156406479124
9.55,-85.1889486373724,15.64452376394929
9.6,-85.2753104449728,15.866541240031475
9.65,-85.19544229691391,15.887581649497653
9.7,-85.16907649291207,15.529201559991357
9.75,-85.12851392819593,15.41067031849868
9.8,-84.95837692397507,15.519364041275795
9.85,-84.88641932891426,15.510723035948256
9.9,-84.89065729152604,15.692793046309943
9.95,-84.93455151356015,15.937260348543859
10.0,-85.08264950471535,16.043425496996203
10.05,-85.29292186866097,16.189499732477998
10.1,-85.21359665870528,16.844032312310286
10.15,-88.17132114312268,18.763576704696003
10.2,-92.43876845224828,20.934288564606398
10.25,-94.68197764336395,22.838660486777332
10.3,-95.04238103183191,26.021890828281766
10.35,-93.51096936365055,28.253282547959454
10.4,-88.79955779197653,25.797284020093684
10.45,-83.24317168478451,22.4142486398907
10.5,-77.36462105257543,18.594580769737316
10.55,-71.23249185633003,13.307584805010292
10.6,-66.45703181592776,8.24091353927842
10.65,-62.87875389702641,3.9779808838052966
10.7,-60.18159432520134,1.6006843800318244
