Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-6.415887104067058,3.0207339550201997,2.9413851474341026
0.025,-6.413190876242195,3.0187322194600035,2.928637435009006
0.05,-6.405328413768907,3.0170905802541843,2.912799240730176
0.075,-6.394524900227908,3.01213231158222,2.908226599178232
0.1,-6.387053766372833,2.9966331529876418,2.923283873547281
0.125,-6.376965940903998,2.97471746707721,2.9399892799734766
0.15,-6.352561564093637,2.959193371130304,2.9388911298319416
0.175,-6.306984306947481,2.94600472201961,2.925453967058907
0.2,-6.253871011098665,2.9235359847893596,2.909912376623013
0.225,-6.227054824028049,2.8980178650801327,2.893396931268595
0.25,-6.224274800069122,2.872753436463211,2.883933627474103
0.275,-6.238657969314811,2.857561794874482,2.8624471287252313
0.3,-6.2666842467769195,2.8602200875416783,2.81482810361381
0.325,-6.299935329803395,2.8488473006127917,2.793665671938434
0.35,-6.307041117643257,2.7502457744773405,2.8709496772746848
0.375,-6.253164751472967,2.4908284593883705,3.053877043543342
0.4,-6.110028480983116,2.0571806696819723,3.2603456474410977
0.425,-5.867883987650401,1.493031878798998,3.324552656538747
0.45,-5.548405169207101,0.860613519990443,3.038790067298539
0.475,-5.212980613076715,0.2605758350343497,2.2393015065660924
0.5,-4.974348562847907,-0.1852655459824661,0.9048162133200456
0.525,-4.848253601251293,-0.43970216451409627,-0.767940198583924
0.55,-4.710573672134124,-0.5964125819101813,-2.451304909167823
0.575,-4.501927238899907,-0.7421550649209366,-3.9036318927426237
0.6,-4.283539781909565,-0.9011771837383649,-5.059338974044903
0.625,-4.211018567153606,-1.069172705350389,-5.953108087984568
0.65,-4.420152667121916,-1.196511949181283,-6.624565040241989
0.675,-4.874655452505501,-1.2284754235732793,-7.0715188059994425
0.7,-5.358445109229791,-1.1902781194488545,-7.274595959677473
0.725,-5.660827590523479,-1.1860856322154607,-7.2096440265622705
0.75,-5.741595026670906,-1.2853014264854603,-6.867755363560426
0.775,-5.666477640069691,-1.4844604334888034,-6.273969570120811
0.8,-5.521269608629275,-1.7418419676948778,-5.480021891116864
0.825,-5.344571392888012,-1.9799340479846212,-4.571658729201784
0.85,-5.112807685473427,-2.1498839883706045,-3.615738941563749
0.875,-4.825921207452255,-2.250746144677342,-2.629063333505429
0.9,-4.521272528983975,-2.305207248047621,-1.6213897428229966
0.925,-4.171727277479143,-2.3783566954728923,-0.6054357983862747
0.95,-3.7216440654561924,-2.5457354902970497,0.38627136438826515
0.975,-3.2541443412454205,-2.8313148839653444,1.298876305618618
1.0,-2.9337656410885504,-3.248074699618389,2.0856401739734105
1.025,-2.8542348597105867,-3.8095497457262235,2.678865592307251
1.05,-2.983962271901194,-4.378325507410628,3.00312716849998
1.075,-3.338251572096983,-4.752605856868834,3.1208787699005263
1.1,-3.8850300834313374,-4.774455355861498,3.2181422962130357
1.125,-4.637634483437181,-4.383260274229238,3.3980509377477137
1.15,-5.627875286912115,-3.6933164787669592,3.5640922592716096
1.175,-6.7028837483900485,-2.9291579146007805,3.5574350586083137
1.2,-7.56704608460035,-2.3435697785883556,3.4216213820589516
1.225,-7.866260065758333,-2.1540477767710997,3.3740460849618534
1.25,-7.656469515595483,-2.4273806767318855,3.5137864314968783
1.275,-7.35951808428113,-2.9384577495485362,3.745120829477042
1.3,-7.187387924776981,-3.2663008104512627,3.9611365431569383
1.325,-7.119477984712542,-3.182633734793265,4.105283159440329
1.35,-7.105110696047154,-2.8625658498631696,4.195937147703487
1.375,-7.1054129141121996,-2.631210261770398,4.381349569713141
1.4,-7.033073163543293,-2.6511143244317803,4.762328517153916
1.425,-6.826698116158614,-2.8835211901783837,5.179101142198538
1.45,-6.545814303773595,-3.1710133952298274,5.365854982140208
1.475,-6.322363877887313,-3.3722530601181884,5.242614828215353
1.5,-6.227687359806195,-3.4700807741470525,4.981670786573912
1.525,-6.173471842701558,-3.5311846387004953,4.8565775911279125
1.55,-5.965382339315727,-3.6206205367466278,5.04087554011273
1.575,-5.539488451598222,-3.743754532848602,5.443308682355005
1.6,-5.029434322588485,-3.8690701356352193,5.81043816639037
1.625,-4.620982583011109,-3.9603852054296835,5.960735298527266
1.65,-4.425956954822807,-3.989978185541042,5.879925007118132
1.675,-4.443116467270094,-3.938830562849368,5.666495601475388
1.7,-4.639934143820055,-3.8013261987333395,5.474371498148713
1.725,-4.94461192409071,-3.6080019780339634,5.486956581290919
1.75,-5.301330446536678,-3.4458002395840652,5.81797416147909
1.775,-5.748076410584677,-3.4393970157749676,6.458480034411741
1.8,-6.30076136604095,-3.677960708653274,7.362174742679847
1.825,-6.89607042174569,-4.168900517746738,8.510493160057012
1.85,-7.464358858457715,-4.906755136009918,9.923114236632456
1.875,-7.962138609066931,-5.972864862714155,11.658401491936635
1.9,-8.397739620346803,-7.4441901753112845,13.776536253172445
