Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,0.0005354793975129724,0.2963905334472656,-0.0024164600763469934,-0.0010903342626988888,0.0006650686846114695,-0.0016788648208603263
0.025,0.011000855825841427,0.28989505767822266,-0.0017320930492132902,-0.0010905584786087275,0.0006647359114140272,-0.0016788514330983162
0.05,0.027841854840517044,0.2622232437133789,0.0001360299065709114,-0.001125628361478448,0.0006846681935712695,-0.0016481780912727118
0.075,0.0408487506210804,0.22934436798095703,0.0046592229045927525,-0.0019351644441485405,0.0011898551601916552,-0.0009218674385920167
0.1,0.0363159254193306,0.2173624038696289,0.0023970413021743298,-0.002341602696105838,0.0021379180252552032,-0.00027213324210606515
0.125,0.02022359147667885,0.2146472930908203,-0.011424913071095943,-0.0013873870484530926,0.0025421029422432184,-0.0007180763641372323
0.15,0.01819697953760624,0.22252178192138672,-0.01831412874162197,-0.0013413320994004607,0.002525904681533575,-0.000754106673412025
0.175,0.019399825483560562,0.25340843200683594,-0.008501113392412663,-0.0012084918562322855,0.001766163157299161,-0.0011511556804180145
0.2,0.019185438752174377,0.28284740447998047,-0.0007923883385956287,-0.00033033688669092953,0.000996526563540101,-0.002030921634286642
0.225,0.023042889311909676,0.2822847366333008,-0.015399370342493057,0.0006470395601354539,0.001318780123256147,-0.002526773838326335
0.25,0.019864659756422043,0.2735748291015625,-0.029869647696614265,-4.901971260551363e-05,0.001057130633853376,-0.0021870839409530163
0.275,0.01631789840757847,0.26201438903808594,-0.02100757509469986,-0.0010204385034739971,0.0006906569469720125,-0.001713234232738614
0.3,0.01926237903535366,0.2541952133178711,-0.005946281831711531,-0.00035539158852770925,0.0009424017043784261,-0.0020375819876790047
0.325,0.02118898741900921,0.2543497085571289,-0.002666054293513298,-9.362792479805648e-05,0.0010417065350338817,-0.002165447222068906
0.35,0.02197956293821335,0.2572622299194336,0.0026654398534446955,-0.0010519910138100386,0.000677947246003896,-0.001698178588412702
0.375,0.011431167833507061,0.2439708709716797,0.004150836728513241,-0.00108257622923702,0.0006845443276688457,-0.0017210481455549598
0.4,-0.0006759469397366047,0.2229299545288086,0.0004950971342623234,-0.0007922395598143339,0.001279645599424839,-0.002757095266133547
0.425,-0.01073706615716219,0.23098278045654297,0.008333759382367134,-0.0005025755381211638,0.0028452188707888126,-0.00378048955462873
0.45,-0.020784705877304077,0.26403236389160156,0.02352355793118477,-0.0007171577890403569,0.0047148591838777065,-0.0028948800172656775
0.475,-0.017263703048229218,0.26554203033447266,0.028390582650899887,-0.000531870755366981,0.006358036305755377,-0.001249125343747437
0.5,-0.007469081319868565,0.2317485809326172,0.020831862464547157,-0.0002419012744212523,0.008645029738545418,0.0010189326712861657
0.525,0.005944364238530397,0.22362327575683594,0.011572613380849361,0.0005439748056232929,0.011523024179041386,0.0028404085896909237
0.55,0.01584022305905819,0.25691795349121094,0.011226511560380459,0.0011798501946032047,0.012383374385535717,0.004252188373357058
0.575,0.015947574749588966,0.2920980453491211,-0.0023598656989634037,-0.0014691343531012535,0.01221801433712244,0.005952894221991301
0.6,0.004928483162075281,0.3005352020263672,-0.03569979965686798,-0.006739982403814793,0.011233833618462086,0.008910478092730045
