Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-40.03099648678758,-6.435409072635343,38.15117833317171
0.05,-40.46431119173035,-7.600320329805577,39.30338915139246
0.1,-40.66904320793097,-8.235039950714995,37.84658951654235
0.15,-39.99520051994607,-8.879536055027547,34.948748271853596
0.2,-38.794674531466725,-10.125559286157692,32.44580904085553
0.25,-37.37446711620284,-11.361452365414701,31.234865087951334
0.3,-36.26924267927947,-11.703209675927683,29.83467226601844
0.35,-34.725431777146774,-11.11738252136931,26.668479576836834
0.4,-32.93432751890564,-10.760145624459419,23.97028119153642
0.45,-31.266979076917437,-11.044024505727823,22.047986447226208
0.5,-29.6652128197997,-11.017354198733363,19.517960197571885
0.55,-28.789268838545823,-11.295529189349233,17.135629219357757
0.6,-27.4936123145695,-11.580531564106584,15.209376943528701
0.65,-25.80887239729722,-11.755526532299204,13.520733564323514
0.7,-24.81111254826132,-12.113831501076257,11.972132704854477
0.75,-23.668490737919566,-12.451835653388185,10.325357770650685
0.8,-22.139270937158155,-12.798965783002672,9.207030605815742
0.85,-20.765985430704415,-13.231166613475883,8.98468674676566
0.9,-19.673757068310316,-14.039173330639906,8.596617480700814
0.95,-19.032578141496266,-14.800055670104262,7.28953906160624
1.0,-18.44452439039853,-15.261917790577302,4.740658353080136
1.05,-17.719001083798496,-15.326967198982357,1.4408431853872412
1.1,-15.863346794314428,-15.6168120063916,-1.9724840181242602
1.15,-13.960759976548346,-15.741823756116743,-4.016658646377104
1.2,-12.874360807519887,-15.722678569428224,-5.449034746578288
1.25,-12.175161009633646,-15.51242934811653,-6.96198623362264
1.3,-11.421935100188312,-15.238210608677903,-7.850609870586631
1.35,-10.970054276987124,-15.042374809163139,-7.854486652942035
1.4,-11.092862352307487,-14.843058963754507,-7.902727264459362
1.45,-10.914813363355286,-14.591897342161207,-7.1090260820269755
1.5,-11.174898809837151,-14.128415177742244,-5.718441944222755
1.55,-12.269520472627343,-13.703256891720763,-3.6766467195187857
1.6,-13.60921073446031,-13.54241687308465,-1.0952346519901799
1.65,-14.229881088476139,-13.61976232185481,1.0409419165066878
1.7,-13.66229275291345,-13.820937531868523,2.3191009155656555
1.75,-12.46393928281447,-14.180927315944587,4.244562613643259
1.8,-12.414558771675283,-14.642980556510706,6.782188824298342
1.85,-13.354094505238782,-15.14254772660252,9.428425781300373
1.9,-14.26383599585666,-15.397170303217056,11.87128257206046
1.95,-14.803202289258026,-15.706319083402715,14.773076952023375
2.0,-15.144787054998773,-16.094018138821095,17.660119453728186
2.05,-15.933069337909743,-16.33582198259029,20.281119550931095
2.1,-17.15668078259579,-16.52111650546434,22.919355147908053
2.15,-18.720474266165734,-16.706526005457647,25.535160363779323
2.2,-20.618434503992173,-16.83629887947087,27.872136866590864
2.25,-22.63021211891001,-17.11620776817244,30.19675896507553
2.3,-24.49055661953892,-17.20455517303252,32.32599191448666
2.35,-25.994428763414533,-16.981367586978987,33.6170883001051
2.4,-26.36903337419049,-16.514460348432685,33.99587480534935
2.45,-25.77474748015239,-16.051972508369605,34.21374952784572
2.5,-25.02856794757037,-15.710851789728087,34.15784634966876
2.55,-24.667663521669287,-15.619215009453008,34.09610177472047
2.6,-24.8102060846401,-15.706703252327506,34.28885416912811
2.65,-25.103084958286747,-15.940546852388954,34.75130896902715
2.7,-25.50308489622936,-16.207258560306062,35.290941785491704
2.75,-25.861214460444774,-16.568798291593158,35.76188599029591
2.8,-26.128334497674082,-17.078412906673876,36.18309885168149
2.85,-26.335350243505527,-17.55843305316401,36.4756966970425
2.9,-26.539184866338996,-17.92233691066029,36.70576899764262
2.95,-26.708682672983855,-18.346109003046692,36.9057749278824
3.0,-26.969469296472006,-18.807558761505778,37.12355133466738
3.05,-27.42520930487636,-19.131350441024768,37.335341033125154
3.1,-27.88946102276773,-19.318314494523808,37.71404890862657
3.15,-28.27570620518004,-19.386006225864914,38.327076897706156
3.2,-28.5797429533854,-19.331156438845994,38.86867432666103
3.25,-28.758645445085655,-19.347972137185106,39.381114046655085
3.3,-28.944706332161775,-19.33783886937666,39.77119100532128
3.35,-29.23182630648464,-19.29630696630482,40.06194698827235
3.4,-29.454933088393062,-19.296561655668377,40.277163318759
3.45,-29.47881180960243,-19.282144211589497,40.3047140096894
3.5,-29.45998073127334,-19.27009313391388,40.2645242061437
3.55,-29.566847704911307,-19.306556720012427,40.337834742242364
3.6,-29.699574023894552,-19.307054273036623,40.436154886701026
3.65,-29.843041193452922,-19.312149400366685,40.587076192608244
3.7,-30.043303006246184,-19.39655986399613,40.847387459759986
3.75,-30.191886333224055,-19.473106378635826,41.14503056202043
3.8,-30.32246621132379,-19.615530469249645,41.343843141655945
3.85,-30.36778783869125,-19.859408003337915,41.498219314176445
3.9,-30.350619260187386,-20.043918760144145,41.68315316556029
3.95,-30.35734567052305,-20.174786140222196,41.77333228767321
4.0,-30.382394790467885,-20.284576532528455,41.76736510590733
4.05,-30.43624712765422,-20.318136000568256,41.71552021098144
4.1,-30.46476811440701,-20.311841238735795,41.64456266739292
4.15,-30.55496694271382,-20.360547453933545,41.6469601780949
4.2,-30.70314481554712,-20.47040962778416,41.61484553206937
4.25,-30.804390846995805,-20.748424803717743,41.618183719728705
4.3,-31.065766536718243,-21.302835754475726,41.52595037814348
4.35,-31.53941226023829,-22.03417281566982,41.52361896725478
4.4,-32.02971035971833,-22.682017451747083,41.3721155071316
4.45,-32.17621885041381,-23.33075974941726,41.03984891927263
4.5,-31.921549307258545,-24.471275676177033,40.692583803846226
4.55,-31.207093662152968,-25.348245157527852,40.034084735007845
4.6,-30.10091483822513,-25.57051017778306,38.9345250022715
4.65,-28.232206795680494,-25.145210520731784,37.51436515573579
4.7,-26.107686506101935,-24.789573811453465,36.32670584148634
4.75,-24.48375987964304,-24.611328100305478,35.49440399932818
4.8,-23.289631826655885,-24.046418009865473,34.5102662310512
4.85,-22.38976046179827,-23.013485602417692,33.52598534367348
4.9,-21.70459948120867,-21.799304695412136,32.76222641135587
4.95,-21.609392693526832,-20.378461147531187,31.98269898636151
5.0,-21.666828099453447,-19.246420754591302,30.886874384843637
5.05,-21.24564782473849,-18.299207464458046,29.521779830987683
5.1,-20.812471158006755,-17.394506295185778,27.783191746185103
5.15,-19.879964112222755,-16.914704969069724,26.31064715156932
5.2,-19.38756036220552,-16.442102483723772,25.546017777633867
5.25,-19.731546545529497,-15.90049561706654,25.840442581476715
5.3,-20.561623483881377,-15.453025405979076,27.36250630304021
5.35,-21.693209400922676,-15.122159168268206,29.52670201366956
5.4,-22.70254188048715,-14.986733832117135,31.839588300591465
5.45,-23.737114938628903,-14.484342365769834,33.50423500753324
5.5,-25.191033435324876,-13.196943065399525,34.43561197889444
5.55,-26.337589451940357,-12.33530833479187,35.698062588081854
5.6,-27.100599737172356,-11.872020199022677,37.60144804820037
5.65,-28.545626381325654,-11.720013453498076,39.116313279738755
5.7,-30.231758890364848,-11.445875454683588,40.31331439279386
5.75,-31.81544147520597,-11.373065448912973,41.79089011590854
5.8,-32.446500992336794,-12.438831634474251,44.672624167165964
5.85,-31.626527114458785,-14.706178558147153,48.346852805578656
5.9,-30.924210057431612,-16.406187641320123,50.102103731145355
5.95,-30.965748142120315,-16.840170881629724,50.27496033268108
6.0,-31.698953759950136,-16.70592625346857,50.36768368225076
6.05,-32.558027524332175,-16.859409947791548,50.67335541309946
6.1,-33.04313017106081,-16.910256801699283,50.94969701730885
6.15,-33.09653570266753,-17.44582813679405,50.94250107001307
6.2,-32.4062438693341,-18.61592475122709,51.09962992060895
6.25,-31.324000266736373,-19.31765615692059,50.87665667855113
6.3,-30.597105096727216,-20.100161289590456,50.44030745079009
6.35,-30.519112598004472,-20.972806101671907,50.18336685676334
6.4,-30.562560891347704,-21.955815748461614,50.374209499165374
6.45,-31.00387807154997,-22.780366280507632,50.45719863765026
6.5,-31.732982582200403,-23.25558884866926,50.599071917056385
6.55,-32.37099703604877,-23.392050449157406,50.861395473830264
6.6,-32.94353445793158,-23.39136719679158,51.08424348728632
6.65,-33.445834041847945,-23.45252098579929,51.36732474132014
6.7,-33.626899474523,-23.363977998719598,51.607660410716186
6.75,-33.82879469981146,-23.20308211559765,51.654013837774436
