Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-1.3970381109238008,-9.0641184217282,40.5261952922565
0.025,-1.330579265335289,-9.07440304815277,40.54782880503428
0.05,-1.2202718797518146,-9.097344247829415,40.57380103025106
0.075,-1.103757215038754,-9.124275882457598,40.602581930820435
0.1,-1.0171318309271358,-9.144700269315956,40.63816935309522
0.125,-0.9545638663712083,-9.164844334283874,40.68050189002149
0.15,-0.8927374505685466,-9.189287955732164,40.72425925042224
0.175,-0.8293742925183892,-9.212669786729077,40.76355526114564
0.2,-0.7691539249986368,-9.234119259931619,40.798241584189334
0.225,-0.7111900883673303,-9.257981025593557,40.825420566858966
0.25,-0.6520701046006059,-9.286892200450641,40.84407033432114
0.275,-0.5979214308063437,-9.313388021590194,40.853478291622054
0.3,-0.5624927755633776,-9.330446609532292,40.85905936226362
0.325,-0.5499654332676195,-9.339529969232546,40.86787426052432
0.35,-0.5506742543934603,-9.342985519907035,40.878615805841285
0.375,-0.5572252439251335,-9.340612397185511,40.884926781859775
0.4,-0.5718290671142213,-9.33166328211534,40.88402516257543
0.425,-0.5953664682592222,-9.319845857704097,40.87954320970576
0.45,-0.6219347125160621,-9.309613458371478,40.87462249467966
0.475,-0.6441360589893486,-9.302861748401801,40.86938623344636
0.5,-0.657730148296202,-9.29741141689053,40.86433269684573
0.525,-0.6704635166167454,-9.28770706568647,40.85727872361416
0.55,-0.7052634356555879,-9.266956864795128,40.845337357579346
0.575,-0.7746864136023415,-9.242443000598852,40.84439206608248
0.6,-0.859741212957305,-9.239540283642556,40.882980845327516
0.625,-0.9295682845925741,-9.23806351335278,40.91784884472662
0.65,-0.9684014837293833,-9.224013489780036,40.915897865643444
0.675,-0.9761410862548542,-9.219138858109723,40.905504056561185
0.7,-0.9808483852206415,-9.21799405707374,40.89795272959822
0.725,-1.0176972084231435,-9.202828632595761,40.89492293825397
0.75,-1.0909958250191345,-9.177974087765131,40.90558623726774
0.775,-1.165965439235752,-9.155899836973285,40.92498901472739
0.8,-1.2232295333425298,-9.138504243901059,40.945232143451065
0.825,-1.2823598170847406,-9.118359021816229,40.96385897332096
0.85,-1.3534842332606567,-9.093664155274093,40.97375301417588
0.875,-1.427032530647545,-9.07151535125743,40.97770219229259
0.9,-1.520862300153314,-9.043341838097355,40.98047862161097
0.925,-1.6492248057547625,-8.997279140187274,40.97857657198716
0.95,-1.7688319509561987,-8.949060604333736,40.975436986127896
0.975,-1.873253777154307,-8.903871383644478,40.971502941591204
1.0,-1.9737468984040132,-8.864839857286613,40.96623772650283
1.025,-2.079496950262809,-8.831374675762369,40.961092942200914
1.05,-2.1904912918788937,-8.80286405392847,40.9545807511571
1.075,-2.2933761998201416,-8.780331735083415,40.94374329398796
1.1,-2.3759865417760007,-8.764987358854269,40.934429382673514
1.125,-2.4538954387695022,-8.751090331428117,40.938901688747926
1.15,-2.5484745247330034,-8.726589884195647,40.95425666270294
1.175,-2.6581269931571674,-8.689624839131799,40.96913846236837
1.2,-2.7874248914782713,-8.655035241683553,41.00060029428537
1.225,-2.913423696360616,-8.61109304825297,41.02180908970817
1.25,-3.002690851411875,-8.557538327239797,41.00823572805902
1.275,-3.048389617546564,-8.520206848639914,40.992325902876026
1.3,-3.0821502772768996,-8.486678832429599,40.975258958049025
1.325,-3.149812792714522,-8.43087761380854,40.949378216159985
1.35,-3.2622580280865106,-8.350695042470099,40.918347346934425
1.375,-3.404990720462608,-8.259804396966707,40.886096459776745
1.4,-3.570172163891243,-8.1652606226424,40.85161630546323
1.425,-3.7692799549247447,-8.06160795355626,40.810042410569174
1.45,-3.988228486795085,-7.950029605395555,40.7516319633733
1.475,-4.168460570261724,-7.8624445630115725,40.68595807344533
1.5,-4.231196668636798,-7.880381707274494,40.66908072084385
1.525,-4.086546908731064,-8.126026374507981,40.77258157774881
1.55,-3.6945612052283145,-8.591043722657028,40.91410753556455
1.575,-3.172382480260848,-9.015388043347434,40.88411194223815
1.6,-2.665157557739082,-9.188116260292205,40.619168521968305
1.625,-2.158679201309251,-9.197865189686778,40.24912352737868
1.65,-1.6080427942016227,-9.151485528987461,39.78078361568338
1.675,-1.10838203419938,-9.054135885167984,39.19003314614081
1.7,-0.6515541631418273,-8.892684742830491,38.5123123710579
1.725,-0.2557849432410268,-8.667503364017568,37.75622680868084
1.75,0.0214542326655403,-8.373236349742388,36.92139986075378
1.775,0.2177065778868398,-8.024252061587035,35.994500939039646
1.8,0.4625412834421426,-7.654906022321845,34.961383177201455
1.825,0.8335011165527716,-7.290425269317932,33.82184096518283
1.85,1.3220891165797186,-6.92568054031832,32.55942838531459
1.875,1.8599051363750365,-6.547968596308078,31.194001389955673
1.9,2.416360967842587,-6.153715635929601,29.75922141446255
1.925,2.9657405443394,-5.724477818085821,28.25766644480787
1.95,3.431624506776044,-5.244788923747269,26.72012636205813
1.975,3.7676838540739657,-4.719655445847025,25.188420432345534
2.0,3.990989973662539,-4.155996760795847,23.672345435880544
2.025,4.124585637387753,-3.5531729350946373,22.178045959168387
2.05,4.164745905258216,-2.9010855951095023,20.73249787020879
2.075,4.1192026239727175,-2.197399736388261,19.37421117114568
2.1,3.9990554397478157,-1.4672514987181702,18.158558669905062
2.125,3.8315092251468994,-0.7392810382302764,17.100200050974323
2.15,3.678333110643009,-0.040337852906792135,16.160382170432804
2.175,3.5256422578821605,0.5973167236545631,15.30433352049621
2.2,3.3247790260025543,1.1493498215538271,14.53295815413595
2.225,3.053367200982719,1.6088267831177925,13.85416320591043
2.25,2.7076641323999926,1.9701614899633255,13.249880726372695
2.275,2.3362159868837216,2.2477263243212517,12.641995302376287
2.3,1.9715595303800448,2.4709217844774867,11.943399265425631
2.325,1.6247850402760087,2.6244663199839406,11.175939582593704
2.35,1.2925997436456496,2.6755527914184722,10.443867196978967
2.375,0.940723198874174,2.601139993241532,9.793074374747116
2.4,0.59362463467045,2.388236728247234,9.158215745528043
2.425,0.4875039840565056,2.022962065781558,8.49940631619298
2.45,1.0483302597275224,1.490147696542184,7.825588744131328
2.475,2.354566286474466,0.8459314267575151,7.080071678818288
2.5,3.9595009864605957,0.1792597381470607,6.248584818703443
2.525,5.313108386312182,-0.4460457185015248,5.4116698173741815
2.55,6.137373927397428,-1.0449341675682364,4.70568956605506
2.575,6.451201691886055,-1.6690479651244938,4.019996947101381
2.6,6.449093912723929,-2.3246119707231583,3.0872025606783224
2.625,6.323090599421892,-2.9563255271320217,1.8364092639478222
2.65,6.0944622105488095,-3.5222665323067566,0.4401379591697878
2.675,5.673880425381261,-4.085352187551908,-0.9163538365283226
2.7,5.035575106717897,-4.727470208178757,-2.2265915135876098
2.725,4.37017000624908,-5.486256684740372,-3.5787401262670016
2.75,3.9074654234738784,-6.352366158499615,-4.985520722699598
2.775,3.6578281896938956,-7.2644396547522225,-6.454137706995706
2.8,3.5488787553557195,-8.168935106037658,-8.004909049699068
2.825,3.5237742226179867,-9.02930886130422,-9.603128257555229
2.85,3.5743169376042077,-9.84476517236647,-11.147289523196724
2.875,3.757158381271572,-10.650969110561624,-12.551433727229563
2.9,4.085362346651234,-11.47514569761968,-13.814023449890755
2.925,4.491689472558941,-12.320184210189733,-14.97380351107074
2.95,4.897796869437193,-13.169295742432274,-16.088138898035705
2.975,5.297354756875442,-13.998208826785142,-17.2161097216361
3.0,5.730052022395279,-14.806295161224666,-18.400029137248403
3.025,6.241491714882782,-15.599584824416468,-19.66247590365073
3.05,6.802033231242973,-16.34426229335925,-20.967689223304745
3.075,7.375363937871052,-16.957009602586286,-22.258031393405336
