Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-44.910828654168974,3.805768754690907,-2.700427841024234
0.05,-44.08187607282105,3.5816438755972806,-3.5823128047192507
0.1,-43.28402741344261,3.1112083100643178,-4.313634431068664
0.15,-42.7452729063721,2.7078407635958066,-4.899857878374838
0.2,-42.37393718894251,2.3833400265118896,-5.023541926594512
0.25,-41.758040123175746,2.0595650678013304,-5.460324317611386
0.3,-40.78732260603277,1.5121836494540277,-5.975740163458904
0.35,-39.404006912738865,0.8703197749050692,-6.275927170944233
0.4,-37.888313118652405,-0.01055253962465009,-5.931621986482007
0.45,-36.41367430285859,-0.8327282239846487,-5.472014008267946
0.5,-35.5203859599849,-1.3348538155021985,-4.977781470507509
0.55,-34.95976789512359,-1.6176389238671758,-4.1742729108725145
0.6,-34.724125133129114,-1.6816929612664846,-3.4363940965010467
0.65,-34.70084043835936,-1.6832613490835031,-2.8710534233992506
0.7,-34.573417030598996,-1.7253845009887316,-2.5042893789818943
0.75,-34.47458681445029,-1.6819123789331698,-2.4381205204090093
0.8,-34.42856190923011,-1.6656684824123804,-2.4272373595545207
0.85,-34.28401630001168,-1.6621411984820695,-2.549170548166072
0.9,-34.24339319076789,-1.6794181077491288,-2.6683832819201965
0.95,-34.23118445323449,-1.639923362973495,-2.7124028711053323
1.0,-34.161716482823536,-1.6168367890320199,-2.658921900194939
1.05,-34.11608691289946,-1.6262200232575272,-2.5631700982170695
1.1,-34.015062558945814,-1.616356782523588,-2.600600167432023
1.15,-34.05759013145953,-1.5908374792953464,-2.547984668300569
1.2,-34.090765884391004,-1.6122283709479766,-2.654655161129429
1.25,-34.10296394566485,-1.679500278912198,-2.68132317090001
1.3,-34.11283412715575,-1.720365034800705,-2.504150666987998
1.35,-34.283068561841915,-1.7588072890940178,-2.217432503460507
1.4,-34.3626415768804,-1.7143617327395575,-2.006045760836195
1.45,-34.38795901787646,-1.6384890914145633,-2.0253362504642856
