Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-1.9377369868548835,0.6928655914205223,-0.6832624668448417
0.025,-1.9767579620376954,0.688974732533945,-0.6879087976643831
0.05,-2.021397122519533,0.6785525533928184,-0.685237413696563
0.075,-2.055516560943083,0.660121451332037,-0.6712569305963282
0.1,-2.084211677860661,0.6363160650809548,-0.6496166966259188
0.125,-2.114710261293435,0.6123501027462537,-0.6232512864694856
0.15,-2.1498152687832053,0.5931285053623748,-0.5964712972115648
0.175,-2.1879198945074565,0.5795156588476984,-0.5734820085071448
0.2,-2.2243029192599453,0.5716371380592693,-0.561468806452001
0.225,-2.254962777145981,0.5673571448584123,-0.5580903056765035
0.25,-2.2815704758684907,0.5631774563372691,-0.5523406545250074
0.275,-2.3084106409588285,0.5618496600552532,-0.5524707075478198
0.3,-2.3245505253430125,0.5658987328211676,-0.552616565166071
0.325,-2.3297226274789415,0.5717052111760981,-0.5408188502615974
0.35,-2.326466696217105,0.5659104992192602,-0.5107293948690894
0.375,-2.3044160628327113,0.5478117894964717,-0.4718771708788113
0.4,-2.2600120955898166,0.5326505934811527,-0.4482154247473886
0.425,-2.2096122850824917,0.5268325882041667,-0.4436874031889302
0.45,-2.1822041562136993,0.526021159833385,-0.4462814499908521
0.475,-2.1937532946315654,0.5253514565985493,-0.446348347715043
0.5,-2.2330971979317047,0.5215853556005813,-0.44157175679146193
0.525,-2.2794918145647145,0.5090364623056516,-0.42802724374508455
0.55,-2.32218400866216,0.4908113347504009,-0.40572048667078536
0.575,-2.3588842196028272,0.4763568886751016,-0.38491483692962897
0.6,-2.3890828995060622,0.4596563222450083,-0.3613005231154592
0.625,-2.4147715126369222,0.43730665299480326,-0.3379285091928602
0.65,-2.446050143627257,0.4161651957598915,-0.32719107385649826
0.675,-2.4860270106086664,0.40298433028443353,-0.3310619204259235
0.7,-2.5283402083840545,0.3975717905830861,-0.33980498750496224
0.725,-2.561628091260951,0.3913248630857273,-0.33964279560915595
0.75,-2.5788942947498708,0.3765093597486165,-0.32420864479175016
0.775,-2.5772975133619775,0.3459469369485326,-0.2978194966106065
0.8,-2.5596535317135793,0.3008770548814929,-0.2718993921490725
0.825,-2.541933085073545,0.25981441089021173,-0.2578362376210159
0.85,-2.5258369712827218,0.21853150643417807,-0.2543389469672702
0.875,-2.509166921224422,0.1657186697507486,-0.25424452726844654
0.9,-2.4896387975065357,0.09738139320921008,-0.25136397911544206
0.925,-2.4624137616183717,0.0194583569744952,-0.24106167882688845
0.95,-2.4328268730942435,-0.06321509401180922,-0.21208651442800414
0.975,-2.407716819410291,-0.15503071034534308,-0.1657315897923734
1.0,-2.366888586958615,-0.2569131982183898,-0.1166804873598099
1.025,-2.31078464126397,-0.368315794768057,-0.07896556843750446
1.05,-2.2702885182263395,-0.5060533307490572,-0.04886765013041055
1.075,-2.2760714765525547,-0.6821927751675603,-0.011016262899689771
