Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-0.39130098892430626,-4.0262733674278275,-8.39483128371925
0.05,-0.3774720299889986,-4.084754741468338,-8.365153576288538
0.1,-0.3412048375749318,-4.110686490699683,-8.392407332818149
0.15,-0.31306727085211117,-4.048779987166018,-8.539961608457647
0.2,-0.3643027781969147,-4.050364522465405,-8.74642286257903
0.25,-0.43670988912207376,-4.039473305370842,-8.981028131960128
0.3,-0.7136410453103577,-4.0980716848459915,-9.009195550511082
0.35,-1.561615089964602,-4.243431346996121,-8.71376346194269
0.4,-3.053802866773408,-4.211120489179094,-8.460222140870979
0.45,-4.400409435649457,-4.261896423288107,-8.70887929967688
0.5,-5.973368242223241,-5.242488715774605,-8.700480372412635
0.55,-7.047223251043936,-7.379107934609775,-6.245913493853044
0.6,-7.213500698181516,-9.284036736480711,-3.9676152548212062
0.65,-8.504946483247304,-8.030425406125472,-1.5528360568202504
0.7,-10.522708926898007,-6.8189602709031565,2.925138838334278
0.75,-12.981059559900608,-6.320865105534806,10.543049152457284
0.8,-15.929156569770266,-3.3479925722911146,19.93701666863167
0.85,-18.29688585780766,-1.7441480448445954,26.829009610160664
0.9,-25.029208957441362,-3.5869262759278318,27.107662648682
0.95,-34.115688199664724,-7.0618497157662885,29.326299271748994
1.0,-43.88077406837376,-10.17266342662759,26.55099759571975
1.05,-51.63382760335061,-10.45897906064183,22.413898120425756
1.1,-56.298015872658404,-11.13856027309421,27.580583318782317
1.15,-58.93097609241233,-13.606557059586814,37.895719478191786
1.2,-60.04590281091221,-12.572042013814515,43.14609821263751
1.25,-60.91075079681038,-10.216888767772017,45.26914828810145
1.3,-60.05113060825384,-8.66849160889021,44.2724201251488
1.35,-61.48995640635906,-8.474900409193522,40.77636728323363
1.4,-64.73362100493136,-7.236069919429186,36.96249117608094
1.45,-66.64432805275031,-8.167001607245664,35.731102125507604
1.5,-69.8296805795379,-6.535156260353299,32.45512505898737
1.55,-67.41558697224549,-0.4560811064081579,26.13333194811804
1.6,-54.98690200974138,3.0652843679362873,13.4964532048708
1.65,-41.83484227242003,2.1702836860352757,2.4275083430873807
1.7,-27.381891150200637,-3.5921339922238777,-3.2011752765672288
1.75,-13.443467084558277,-7.985949528348719,-1.1116785600298367
1.8,-1.564976408015862,-11.237808263493479,0.1646388254272333
1.85,3.456577316418216,-15.990303444522334,-4.327050100342731
1.9,-2.2432896575362613,-23.0120958748704,-14.693755605937291
1.95,-12.48691940865613,-30.63857824961544,-29.60506739145841
2.0,-17.938676953185855,-35.40596306029857,-44.52060303787043
2.05,-13.5885883263673,-35.80693648731232,-48.562854861544395
2.1,-8.942159670657071,-35.191581732227775,-46.188988123475646
2.15,-9.254054755674854,-35.68954026715486,-44.821671444206736
2.2,-10.66693734650845,-34.42203368747578,-43.90038708361152
2.25,-9.6807159603457,-30.26935531482468,-42.473377859671956
2.3,-9.302255476609478,-27.223702456070193,-45.472628097922005
2.35,-11.988592384109998,-26.74128066368952,-50.86074300285913
2.4,-16.048029514571052,-28.473376773276566,-52.43977603436034
2.45,-20.310941462326518,-30.017965429589374,-51.22306166741244
2.5,-22.91393329336295,-30.897491624588824,-47.665900245180104
2.55,-23.586072197701895,-31.156620702003686,-43.72838457637204
2.6,-24.224127910831527,-32.33388508652399,-39.601361778245746
2.65,-24.44496867279596,-32.755367336128685,-37.966152547420414
2.7,-24.540254628618857,-32.79717206573069,-39.075662833815436
2.75,-21.867507163887417,-32.265138561259725,-40.395884285862955
2.8,-18.980941830531794,-32.23568736719516,-38.803966544368976
2.85,-18.050741054747856,-31.506105896583783,-37.3152221914298
2.9,-18.589599176896705,-27.203457551655642,-36.60773586815821
2.95,-18.362112508298495,-17.280815384336638,-31.34432417913484
3.0,-18.37779210368118,-7.786294962864094,-19.441447208861383
3.05,-23.489917586058677,1.0927402848116696,-6.9038566311555245
3.1,-28.333300714047557,6.670807584201226,9.450125481923495
3.15,-29.428622885416555,6.044211332377901,29.013121928470497
3.2,-27.78166287027941,2.154138159981137,41.744029671617916
3.25,-29.925248954508863,1.697692585363324,46.80862030957678
3.3,-29.95622768114016,5.0088045390027744,49.23344704081645
3.35,-31.65842460609815,4.98447019386839,53.47731735576483
3.4,-34.17246670934149,1.5181778534583719,57.33473156765399
3.45,-36.608054172733674,-0.7032297834419527,56.23150977908387
3.5,-35.40811540802465,-0.1887676205901835,53.70260887711377
3.55,-37.373429681993734,-1.2214924526387483,53.02419660386846
3.6,-41.347675955420215,-0.12873061583986467,49.103404540348144
3.65,-44.366601592906,1.6156883948786298,42.30305206683992
3.7,-43.35228599171921,2.258943398359955,42.24020872673735
3.75,-42.12002214853573,-0.863073614798227,47.40346785202914
3.8,-41.760952085669665,-4.112618047509412,51.427408654818194
3.85,-41.700453802800716,-6.100526189128115,51.260455526693235
3.9,-42.64806187374256,-7.039608528506544,50.736194831640816
3.95,-43.77541201085996,-8.131165311263956,52.556299554549845
