Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-2.6064492241573887,-13.52388488704568,-18.229085249059796
0.05,-3.4411015351325935,-13.928121074023279,-18.625237189474163
0.1,-4.285905405603949,-14.412805227955717,-19.321547346442355
0.15,-5.171870583828771,-14.444512562581572,-20.489317114103397
0.2,-6.005894419972193,-13.73493289056055,-21.528497476072516
0.25,-6.921131141353042,-12.79800849971798,-22.30861574430214
0.3,-8.073758807440132,-12.195088485983334,-22.544359101359923
0.35,-9.167751871752799,-12.304577015440909,-22.017488052371434
0.4,-9.990140183523032,-12.864806996096862,-21.458799883429233
0.45,-10.254222448434462,-14.193904613538773,-21.24714400046564
0.5,-9.678749038908178,-16.22830202730825,-21.601903035595058
0.55,-9.840005758512811,-17.09758347711764,-23.666240596679447
0.6,-10.433167253692526,-17.36027728989898,-26.5036876616491
0.65,-10.658361088655667,-17.643459432959503,-27.72410759408461
0.7,-10.236484296394938,-18.429579273076598,-26.840938516537516
0.75,-10.454307821711483,-19.068872075948665,-25.44917083187141
0.8,-11.536342782278874,-18.73142182555491,-25.400769265232984
0.85,-12.188471014093544,-18.29608111880172,-25.268782477771676
0.9,-12.819213437104095,-17.936029902548974,-25.247762216105237
0.95,-13.383790858257461,-17.29913690724111,-25.88621189063505
1.0,-13.016820166399343,-16.473537035499202,-25.595512416416568
1.05,-11.48746608683135,-15.625541751648214,-24.401993601790156
1.1,-9.435379281523213,-14.732814909381686,-23.225290964593178
1.15,-7.287791449899022,-13.758753506326471,-22.300598286556184
1.2,-5.09692352926735,-12.975455397520033,-21.683543744897598
1.25,-2.9696016058558152,-12.107817393083298,-21.172645833464408
1.3,-1.4581104187437273,-10.606316018005673,-20.957552196275007
1.35,-0.4657415768734967,-9.097676617522154,-20.588072100459048
1.4,0.45594191151296243,-7.457581971984883,-20.701472813706065
1.45,0.8224004149396329,-8.105330822367469,-19.98512009576839
1.5,0.3598969027442118,-9.186956726994392,-18.435122320341115
1.55,-1.0634530469831835,-10.007347281858554,-16.856494086716484
1.6,-2.3813790227265472,-9.859242217563505,-16.448140149540414
1.65,-3.227373756556682,-9.593282500889794,-16.054130170058684
1.7,-3.644253020974688,-9.600348495481578,-16.45118077767126
1.75,-3.509948424657751,-9.291973949298097,-18.2312931335475
1.8,-2.9198093741640947,-9.2736925357049,-19.865172321351057
1.85,-2.160179186911199,-9.83562703996024,-20.174417392424495
1.9,-1.827680791377516,-10.486165660471283,-19.339506433278114
1.95,-1.6220586455759571,-10.970018855009023,-18.444105420320028
2.0,-1.2009280206126656,-11.223147130789453,-18.0416603036764
2.05,-1.1757691384542497,-11.519583123949756,-17.73353870962444
2.1,-1.6326702096112238,-11.768276910868508,-17.574589774579692
2.15,-2.247855086709816,-11.880691081411898,-17.94645307116774
2.2,-3.072507283532752,-11.950687040293598,-18.6907911569949
2.25,-4.269505047074649,-12.040730651144266,-19.967145533834568
2.3,-6.013165585622544,-12.121973773675055,-21.81709741072119
2.35,-8.005433523612458,-11.936747344188005,-24.221195753445343
2.4,-9.404745125650338,-11.46518321705286,-26.84789515634178
2.45,-9.669129104390956,-11.172241248592119,-29.063804951823872
2.5,-9.185323745974188,-11.15742752637366,-29.84812777208551
2.55,-9.227586369798743,-12.075439606895655,-28.98250443807441
2.6,-10.46579274792153,-14.016744893403775,-28.531731016759796
2.65,-11.875564134186087,-15.283581067403038,-29.445462577726932
2.7,-12.133728897732965,-15.391521093543682,-30.69245321509025
2.75,-12.164362363861617,-15.036559453670062,-31.613590956945615
2.8,-12.404842772407587,-14.8668729117116,-32.10390361760119
2.85,-12.123515832152654,-14.794847534451343,-32.21950850759904
2.9,-12.027467869666658,-14.485424877882524,-32.008703634191356
2.95,-12.238607564768435,-14.053543554011753,-31.943854774463514
3.0,-12.052914483139382,-13.768442126945079,-31.731576041013263
3.05,-11.261828489210885,-13.889770450086164,-30.87456329826003
3.1,-10.124522317692028,-14.167496540154158,-29.68372423260587
3.15,-9.040469780496734,-14.765773949752717,-28.266151134196534
3.2,-8.171031367832482,-15.585626291133897,-26.730177621241026
3.25,-7.273279753682025,-16.19759228138539,-25.594517813423014
3.3,-5.592827880790915,-16.14159508779461,-24.8189240849945
3.35,-2.84523752147484,-15.828694651963122,-23.882352360810753
3.4,-0.03144755859395777,-16.30562821875715,-22.136018869049146
3.45,1.833154960414276,-16.75223726466728,-20.77120368890973
3.5,3.6243898849057534,-16.60367844297417,-20.48401600251015
3.55,5.200527765716799,-16.41867908396081,-20.497235279767388
3.6,6.294555012501426,-16.23652723724841,-21.00164577206958
3.65,6.930240325756419,-16.18635637922882,-21.390843066608387
3.7,7.243618151192542,-16.096361374405234,-21.443771557727803
3.75,7.498576807676552,-15.981079491489833,-21.24203918156242
3.8,7.926197038989466,-15.773563675979908,-21.04202694960705
3.85,8.718209885806019,-15.141030202061957,-21.286975497342997
3.9,9.676001295914164,-14.198569680975663,-21.9974399445842
3.95,10.119783711232152,-13.170798354357927,-23.447593937406292
4.0,9.35806337407885,-12.630598050034248,-24.57243581321829
4.05,7.17746910933448,-12.669106294157997,-25.689692564412855
4.1,4.164819738767638,-13.182128924747827,-26.133867106351925
4.15,0.689811137066278,-13.981087228994845,-25.60912307487858
4.2,-3.0834367863790093,-14.442525583079696,-25.293548208622692
4.25,-6.63910615230246,-14.298966855759321,-24.844201520437004
4.3,-8.758920330508959,-14.33047687207843,-23.68488164982464
4.35,-8.880717749697345,-14.23198402241442,-22.856417217888097
4.4,-7.528758100944493,-14.25568066041803,-21.971135163968913
4.45,-6.176901648527663,-14.955956678196399,-20.729496193887027
4.5,-6.114123804508731,-15.0677169005105,-20.705071829634864
4.55,-6.395394718849238,-14.225343524333924,-20.705374332911965
4.6,-6.046419192167792,-13.874468455482281,-19.53257003794007
4.65,-4.328428693212025,-14.213849118219443,-17.6682439128061
