Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-6.665463403480974,-4.733480157473663,-4.008929792469052
0.05,-7.124858606797632,-5.233225430858625,-3.9647529628178253
0.1,-7.53945053145111,-5.44166853178933,-3.903848855894175
0.15,-7.866409461759889,-5.723072318885034,-3.9126584145299494
0.2,-8.04605548106931,-6.045324282505611,-3.7008222714985335
0.25,-8.162089846833757,-6.5560550532121376,-3.1400065826387333
0.3,-8.146643416200279,-7.248803755215446,-3.151717276536836
0.35,-7.747139003297194,-7.177151768513715,-3.9122839189126424
0.4,-6.637607873478858,-6.045588843359068,-5.081338247851146
0.45,-6.139474697349925,-4.6140664364460955,-6.404125721197651
0.5,-6.219522865430676,-2.742096629188899,-7.113943071299476
0.55,-6.528250737868086,-1.1874334437951326,-6.688868565102073
0.6,-7.722529255022724,-0.9484129169656247,-4.7854954520584805
0.65,-9.173412557819923,-2.34766369717352,-2.1012266509555784
0.7,-10.887374548065855,-4.221684445374256,0.5220334573487421
0.75,-12.642170872987451,-6.492847750896482,2.6172463539944717
0.8,-13.63363776191687,-8.343681379646434,2.349153193863161
0.85,-13.588947984201583,-8.731993505122647,0.14060353040877716
0.9,-12.742248641463688,-7.757669765629296,-2.0959997526735807
0.95,-11.374273725930486,-6.931039413051647,-3.032129017155897
1.0,-10.152684752655505,-6.563172585827443,-1.981866384887677
1.05,-9.452882589981167,-6.805280775003875,0.7614408556305203
1.1,-9.470651326489955,-7.57501778428945,3.5608116035877853
1.15,-10.500800380621731,-8.591434939956523,5.787945152451416
1.2,-13.048255511493853,-9.473002197705151,7.6260192048009054
1.25,-16.411881634875936,-10.16734208254689,9.015807046086152
1.3,-19.82254696103307,-10.534362599683377,9.80088648609516
1.35,-22.59634375366488,-10.668709605680991,10.190404683241272
1.4,-24.74159443598862,-11.416043265819283,10.513560021516378
1.45,-25.808971664753795,-11.807641591056154,9.270240811704753
1.5,-25.67829279312769,-11.248589467533728,5.943508024528567
1.55,-23.79898355573096,-10.192191509453034,1.124537159201729
1.6,-20.59630369838782,-9.950301141320837,-2.9598484812092227
1.65,-16.557847788635936,-10.880727716912924,-4.902933803878998
1.7,-11.622243391734676,-13.108424467419464,-3.6978753155838135
1.75,-6.20903191048736,-15.610291390171135,-0.9901871929410595
1.8,-1.9856144446941242,-17.419567724265008,1.0183813615492514
1.85,1.0379721109029847,-18.273233428309425,1.2053029934726667
1.9,3.9821358330029666,-18.09023990339785,-1.1708395232788
1.95,6.147763584983047,-16.804355682563077,-5.568835996049141
2.0,7.184065976173868,-14.818290171218655,-10.761972012001793
2.05,7.22439453461731,-12.855199557197052,-14.847615779282684
2.1,7.002050707585816,-11.142670255011826,-16.134185827103963
2.15,6.528087956881611,-9.575361827909752,-15.013272652893576
2.2,5.69011765596713,-8.17822685262097,-12.989042330682858
2.25,4.899598504581809,-7.1698804715624815,-10.948705621151424
2.3,4.2734454337483365,-6.6388634436660485,-9.591655792839184
2.35,3.60898982676589,-6.463039930337296,-9.246684651224786
2.4,2.114117587017117,-7.039268434279671,-9.37170329761028
2.45,-0.1326585636351768,-8.337517888926701,-9.040255202929584
2.5,-2.0389204274290518,-10.288001158281475,-7.936404870879145
2.55,-2.7509571672971167,-12.945639845559231,-6.704927923219602
2.6,-2.3362611926848826,-14.850484493538028,-7.016164723539334
2.65,-2.0585182715375137,-15.330708857975495,-9.666034818278613
2.7,-2.6512313506227696,-15.049408993479945,-12.77366564807438
2.75,-3.3538366314654424,-14.789074536580005,-14.137107549076601
2.8,-3.0651058705440852,-14.83959964445029,-13.31627939498208
2.85,-2.3768990867656314,-15.171291081351404,-12.191791819812904
2.9,-2.624656325211357,-14.906065280121314,-12.572281444603737
2.95,-3.0425989347078928,-14.183343935576008,-13.471185231350153
3.0,-3.427677791286503,-13.499490014010462,-13.182055953582097
