Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-103.46025815993147,-45.03785011254833
0.05,-103.44019432907643,-44.98214575126458
0.1,-103.42300059135131,-44.935868715401675
0.15,-103.4309538839051,-44.899531823054176
0.2,-103.3612899426834,-44.90383949144522
0.25,-103.28290229570864,-44.80132023729875
0.3,-103.20001464667287,-44.77106628508334
0.35,-103.10178714767035,-44.88262378159338
0.4,-102.9827245322336,-44.9717181723083
0.45,-102.87440804216428,-45.06335995385571
0.5,-102.8022004502394,-45.000331278787975
0.55,-102.69900900294091,-44.8882114231411
0.6,-102.64661659861375,-44.73242393327435
0.65,-102.63925367128157,-44.58641127095282
0.7,-102.60023781298806,-44.46761373477691
0.75,-102.5553052329059,-44.39075833629399
0.8,-102.53711910078246,-44.31946078136857
0.85,-102.54530471685578,-44.255746838300674
0.9,-102.52655357435985,-44.17086876018757
0.95,-102.41847464660937,-44.21819579291004
1.0,-102.35751549833586,-44.38912722730437
1.05,-102.2848818172032,-44.52161354662236
1.1,-102.25056352150517,-44.55169158155163
1.15,-102.25289395238896,-44.660579031412084
1.2,-102.22980086847008,-44.74138312200706
1.25,-102.25559652708927,-44.85483532999157
1.3,-102.23406947070272,-44.95193846509387
1.35,-102.19407907943156,-44.98438534924123
1.4,-102.15920268158003,-45.03651572464508
1.45,-102.15633875367814,-45.06498079014117
1.5,-102.13769610006099,-45.012502324642334
1.55,-102.14863278886602,-45.045784319327204
1.6,-102.0871885773086,-45.06652055616568
1.65,-102.06986624183132,-45.08347037854079
1.7,-102.10766227629615,-45.15473753875109
1.75,-102.09777691061443,-45.24193151873807
1.8,-102.14108431190398,-45.20059890911836
1.85,-102.12817036072283,-45.138300194270776
1.9,-102.11406484046461,-45.06934544829695
1.95,-102.17500605756305,-45.05734104654981
2.0,-102.20521066261944,-45.126508077443674
2.05,-102.20730361411547,-45.1543085607662
2.1,-102.22424235002511,-45.150418376401866
2.15,-102.2577911930202,-45.045199476925426
2.2,-102.3115529925121,-44.97930041345247
2.25,-102.41777209891012,-44.91256899789799
2.3,-102.5263555903671,-44.88775705605335
2.35,-102.60451870363204,-44.91707958281866
2.4,-102.5813407294227,-45.16755049763354
2.45,-102.52250320136527,-45.30153905043451
2.5,-102.42511228249936,-45.09700837739922
2.55,-102.45478789850954,-44.80905010628881
2.6,-102.46378355481599,-44.432348233556034
2.65,-102.49892610069745,-44.34193903338923
2.7,-102.7776400149789,-44.540974018761354
2.75,-102.85602461283231,-44.475993753760385
2.8,-103.002456062733,-44.56728762140432
2.85,-103.10958872565031,-44.62732264717185
2.9,-103.02309406641722,-44.73433410244954
2.95,-102.95109125287436,-45.13796999237812
3.0,-102.87903540274375,-45.590450465597755
3.05,-103.35437547402037,-46.08664835961296
3.1,-104.865661888982,-45.25621287099095
3.15,-106.58215839046098,-41.98401704324077
3.2,-108.98200076698426,-39.94714869232448
3.25,-111.19201067935823,-37.83055283834661
3.3,-112.36792177134946,-33.55043564980968
3.35,-112.5537818624749,-26.38178360109437
3.4,-112.2924599052987,-18.252913697703324
3.45,-112.86623199365354,-13.799101413697752
3.5,-114.15230973586979,-13.68118329596519
3.55,-115.15946450280377,-17.6081478065359
3.6,-117.34844671251187,-26.11173415903782
3.65,-120.25992980944672,-35.24258865112259
3.7,-121.14713701713528,-37.6276401813114
3.75,-120.58971483066092,-35.343918246950246
3.8,-121.41811723275089,-34.54651428412146
3.85,-121.90188463345534,-33.072448140915924
3.9,-122.15194370843444,-31.723842394073277
3.95,-122.47093311795798,-30.672018199723677
4.0,-122.70655667831241,-29.733673052126004
4.05,-122.89632695728002,-28.704618435123315
4.1,-123.09619675655617,-27.012028738455182
4.15,-123.3175692294127,-24.912729255727598
4.2,-123.32297807260339,-22.304537436931614
4.25,-122.79913471117048,-19.123755746137295
4.3,-121.57698765972532,-14.942105665986277
4.35,-120.03053726861545,-9.250353142050978
4.4,-118.1266301656331,-1.1576915838164232
4.45,-115.44560004962584,8.510598198249516
4.5,-113.40583916106984,16.365777632029967
4.55,-113.11845882915583,22.99424798090364
4.6,-113.98329193694953,30.066502268633347
4.65,-115.09903617878538,33.63860260370553
4.7,-116.01477605966633,33.69660532676613
4.75,-117.69250762590603,32.035837187879956
4.8,-119.80083549205939,29.816306131063918
4.85,-121.95188994437504,27.96940478411778
4.9,-123.89372685478743,27.547392502855928
4.95,-126.00020643324625,29.512784626484912
5.0,-128.46911650149298,33.52311577894496
5.05,-130.19120868339755,36.459314665496606
5.1,-132.09541766811284,36.74956046847172
5.15,-133.55086097146656,34.52416898954096
5.2,-134.97328240165282,30.721577429468947
5.25,-135.42638443460433,26.867958181264438
5.3,-134.6237292594703,24.221773317327433
5.35,-133.23073634219097,22.686511468434148
5.4,-131.5520527735663,20.641119871000427
5.45,-129.13177431365435,16.980243400082298
5.5,-125.2868348020094,12.114563426283706
5.55,-121.09459161922406,7.038938618490812
5.6,-117.84125971099151,1.8592472558188162
5.65,-115.91114511342272,-4.96366314012777
5.7,-115.02991747336607,-14.240737708394919
5.75,-114.69397975899986,-21.110758461885755
5.8,-115.08089781249237,-23.28576249833657
5.85,-116.0985272848899,-23.440454185799574
5.9,-117.16546172702503,-23.57255337728706
5.95,-117.77097352543858,-24.438562888293113
6.0,-118.64006380290945,-25.247741144116713
6.05,-119.87609287705267,-26.748472356991126
6.1,-120.9072384671614,-28.02814673342762
6.15,-121.77280501534216,-28.52708426158793
6.2,-122.86883309503303,-29.4564243939651
6.25,-124.01525464979687,-31.815302959698915
6.3,-124.7760166492698,-34.933984442696165
6.35,-124.93233802113488,-36.55709818313885
6.4,-124.56521830178175,-37.96643129932768
6.45,-123.1346330711053,-36.237716151438036
6.5,-120.84524219164489,-31.472879911454747
6.55,-117.7606512541003,-24.865312793856088
6.6,-115.80330773714084,-19.728338249305764
6.65,-114.24930319820966,-15.825403677135306
6.7,-112.89641757883835,-13.263101749905319
6.75,-110.95930036592529,-9.394457590966265
6.8,-108.60698106007297,-3.6207735406900725
6.85,-107.88443669203419,-0.5677833490941699
6.9,-107.74730106250183,0.8081501810997248
6.95,-109.49014213019564,-0.43295093449264677
7.0,-113.49495499845894,-4.504844135609257
7.05,-114.47880499593919,-3.460378039873216
7.1,-115.24469693252948,-0.1802813350440098
7.15,-116.40079001573503,2.0525208290098007
7.2,-118.28360517985452,2.11415611303781
7.25,-120.43156107957512,1.6467435964058559
7.3,-122.60456018859873,1.4181298699369322
7.35,-124.54059030663336,0.6152953627874209
7.4,-126.85833636764333,-2.3007842733559443
7.45,-127.87632743195867,-4.028593441852371
7.5,-127.44189159246052,-2.3755095396997437
7.55,-126.94054235229643,-0.7734375945166985
7.6,-126.78318695399562,0.20218461294325848
7.65,-125.57935373402809,2.9572420725629742
7.7,-124.11175659815505,6.309438972876961
7.75,-123.59481255683178,7.06912278351465
7.8,-123.12517580254382,6.736640648566828
7.85,-123.03003870368434,6.438640292052287
7.9,-123.38543930962277,5.605985845913903
7.95,-123.4048724347435,4.9787422418939915
8.0,-123.55330839083267,4.864731204670079
8.05,-123.67649503988459,5.183926922060537
8.1,-123.7978920130376,5.475818876471463
8.15,-124.01035293789086,5.224632156690985
8.2,-124.00856087323251,4.814062632381573
8.25,-123.81377431086293,4.862145147973976
8.3,-123.63194218036726,5.158672019463667
8.35,-123.64360158182907,5.195232167772506
8.4,-123.59880795014347,5.218998380659222
8.45,-123.47405701266138,5.495141925678501
8.5,-123.3903703316507,5.961391711703015
8.55,-123.24629742714168,6.4798363742201355
8.6,-123.26826224414827,6.893563196633187
8.65,-123.25992777935616,7.128381144290704
8.7,-123.17363138467644,7.173843691707458
8.75,-123.2605844076717,7.267924036382985
8.8,-123.23384956402376,7.2909975460424725
8.85,-123.17215807575029,7.522034299659959
8.9,-123.1474897515173,7.512545030750931
8.95,-123.17557795523099,7.405976658917398
9.0,-123.12617733811514,7.218109469860907
9.05,-123.03670019330015,7.0676447937536615
9.1,-123.02165772955118,7.117704496475786
9.15,-123.15551251566535,6.99836525192709
9.2,-123.27465316409707,6.880421928994711
9.25,-123.27755206951223,6.934771771688091
9.3,-123.43738618663866,6.811962043123356
9.35,-123.41263205801505,6.876710173303981
9.4,-123.3404733007836,6.936641808545069
9.45,-123.38614960749642,7.12301791302621
9.5,-123.3460702309225,7.260368162974155
