Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-3.054172798535649,-0.7552083660558895,-5.977266331651662
0.05,-3.0443738572884445,-0.7388066749560402,-5.952392748886676
0.1,-3.0383244238311415,-0.7209346865113653,-5.925567172428669
0.15,-3.028302668729471,-0.7170051780813367,-5.954540147234677
0.2,-3.0093816579955717,-0.6965165963780695,-5.986424585725341
0.25,-3.0488676388523097,-0.709057506367054,-6.07913965023731
0.3,-3.0071064843299475,-0.6860231770562131,-6.113666453091135
0.35,-2.9698902285478863,-0.6830962851736108,-6.099883867933374
0.4,-2.96127729502075,-0.6772281979646041,-6.114818206141924
0.45,-2.9425653367374607,-0.6660413916086037,-6.15978628925328
0.5,-2.9281292484311834,-0.6396385272446125,-6.223795650669992
0.55,-2.9057118007102933,-0.6610035664083679,-6.226841519424647
0.6,-2.8646208248892076,-0.6818436018955197,-6.229114414135068
0.65,-2.8167048737739337,-0.6908290200173575,-6.290925766709273
0.7,-2.8438787227148716,-0.7404298272320722,-6.44023808689144
0.75,-2.897317301385676,-0.5150367815749741,-6.85106081525377
0.8,-2.8834401135218575,-0.44786588046304326,-7.007630252675513
0.85,-2.8602702746172177,-0.41558226927466746,-7.074072161636492
0.9,-2.819684936095916,-0.35995300397930774,-7.140060216710998
0.95,-2.771216956204418,-0.2819189159724011,-7.208461877592619
1.0,-2.727221308392998,-0.221193498499591,-7.113759210708248
1.05,-2.67746533355134,-0.2068091649669318,-6.876555734587839
1.1,-2.6179683110994074,-0.20450013724787874,-6.653472522401695
1.15,-2.5501495634573264,-0.3787420611973279,-6.476026138608823
1.2,-2.428854265879999,-0.8253294554434883,-6.640493932312344
1.25,-2.0828393161527785,-1.4087683029397522,-7.612201859750617
1.3,-1.6463498996110402,-2.064716145910755,-9.028088231335898
1.35,-0.9039291951118222,-3.1706584700750273,-10.167447360856817
1.4,0.04191803151128851,-4.995191997908471,-10.453074194735551
1.45,1.619258164293802,-7.4754057124633855,-10.644999552921634
1.5,3.7129546651455936,-9.919772967109685,-11.798860215924364
1.55,4.479201694054778,-11.652857603541532,-14.331537543504673
1.6,3.4921771777681223,-12.652284207553024,-18.05053975971945
1.65,1.1652796050733025,-13.313036463374747,-21.70320682461328
1.7,-1.8006837119209091,-13.192956713656868,-23.71244273702872
1.75,-4.767644042231812,-12.299450448362151,-23.664675215932153
1.8,-5.7504469448547075,-10.903057950002863,-21.31603121712717
1.85,-6.461143096183171,-9.111448285262858,-16.017829476358457
1.9,-7.448790320846719,-8.209610461005147,-10.71633051695051
1.95,-8.195915962964577,-7.896128619835617,-9.007526750989781
2.0,-9.089513838312296,-6.942358151074773,-8.0964781657951
2.05,-9.470891328177787,-5.200882457509479,-7.54536764880333
2.1,-8.734236913725884,-4.362122565018101,-8.696586320917428
2.15,-8.246702858705335,-7.274269306996787,-11.19947103350483
2.2,-9.097000809588634,-11.663801655411053,-16.388590094216806
2.25,-11.36861910774863,-14.960173631700915,-21.789931099722665
2.3,-13.052132514102825,-19.34305640091798,-23.603189984158007
2.35,-13.437965332216775,-23.659807117790905,-23.20583781935253
2.4,-16.02445814587925,-26.10901628963715,-24.091943881821702
2.45,-19.54733385466792,-25.42309746571931,-27.544409362069864
2.5,-23.86410599939778,-23.071823710848193,-33.05579642734574
2.55,-29.484154271701904,-20.23343210851615,-37.30956513969681
2.6,-34.39883580215349,-17.61565231652234,-35.38821684549506
2.65,-36.08498062011466,-13.705924577282019,-25.639669635419803
2.7,-37.65369851082563,-6.9865009807663645,-12.379224845298165
2.75,-39.00533572048613,-4.454747853763124,0.3798552449132458
2.8,-37.39760252424478,-7.839775272700442,15.63172581009101
2.85,-38.97980463962586,-9.356054312727233,29.856796801284343
2.9,-51.40863388936967,-15.28823442396881,36.3979668594966
2.95,-57.70988018176816,-21.734225449117837,35.01277799682769
3.0,-68.15954408207381,-27.622689271216597,33.05097961733803
3.05,-67.1101289329002,-29.80164639131436,20.229181483828203
3.1,-68.80077313894955,-34.913345892124546,14.189157472524608
3.15,-73.11223914101964,-41.45773488714772,6.236835655244647
3.2,-78.35315467119094,-50.38230948113207,-11.44363630069713
3.25,-87.51732788461408,-59.05101351309407,-24.69222552077489
3.3,-91.40065447099263,-63.0149440818135,-34.954060144670905
3.35,-94.30497769375212,-60.260111959579554,-46.90521766596113
3.4,-81.92061497742111,-53.17168733808278,-48.92837083460767
3.45,-70.53112349801211,-45.073197464350365,-52.88054694977539
3.5,-58.445581526199845,-39.33928788157736,-49.596690825431935
3.55,-49.57068191111278,-36.74597932156711,-41.3034189404068
3.6,-46.73504139311077,-39.8443443507242,-32.04358118605264
3.65,-47.9890017152942,-46.032878543743045,-24.527128851580873
3.7,-48.79834480596062,-41.52800205692144,-30.467578140100944
3.75,-44.93815334412234,-36.78504071187151,-36.959719262550905
3.8,-41.58540877718241,-35.71361232594807,-35.825863819792474
3.85,-35.635632303452844,-34.960668641787564,-27.423277703039535
3.9,-30.03274614060307,-30.27461100716317,-17.781914082073214
3.95,-28.476158399560482,-24.76302050683768,-6.922645902202196
4.0,-28.112931762595146,-20.150145005553796,5.016155662762108
4.05,-32.83171602160966,-18.19437795256377,14.815507472140384
4.1,-39.35688000121229,-17.788051247008234,20.994979566116964
4.15,-38.48121325180306,-19.303257767580888,20.92199434775755
4.2,-29.4465850282954,-11.542502086251016,12.506796893423138
4.25,-15.61016002957987,-9.416361344994156,5.882149388709431
4.3,-1.571483644172875,-4.106956722191582,-8.643022546995725
4.35,5.000001087326978,-4.944552175232135,-16.587790135112378
4.4,5.79145614198093,-12.05180889653103,-18.226791028092126
4.45,13.332105876913753,-19.539462215542176,-13.467433205394325
4.5,19.399921864919204,-20.905090709385114,-12.50255221156165
4.55,21.069940245489853,-18.893614704065946,-14.365953134658959
4.6,20.127861819325112,-14.52332993785683,-17.207383740906067
4.65,17.045015088798518,-7.893147570546462,-20.337919579522783
4.7,7.6921509183931365,-5.268289437073138,-11.243910216177756
4.75,7.890295116267172,-0.19514901396574713,-7.402352662777089
4.8,11.558271396033003,2.390468417634329,-10.233385562641592
4.85,14.969900422642885,1.4084982482684205,-15.838806952576407
4.9,16.995084035992896,2.17991626619856,-19.560807477506906
4.95,17.25492753573824,2.0047588242251,-16.624312037337937
5.0,18.748074374457925,-3.3857402652433146,-14.072847965368828
5.05,22.78607997741968,-8.20318423217489,-12.654573473067678
5.1,25.978312039425933,-10.771581781458583,-11.839759194481163
5.15,30.421071283581146,-10.397896001421321,-14.396299204573898
5.2,27.434774569786384,-9.61276316546003,-18.393095320310152
5.25,21.233933818503562,-6.986448320574983,-18.47845452284113
5.3,9.264960678941202,0.8787824546233226,-9.569500649840537
5.35,-0.9749550305284735,2.9419771746634615,-1.9051899083921364
5.4,-6.722803633558964,1.4872150586026949,-2.9805754917642093
5.45,-10.333526400033211,-0.2926965020476679,-5.620726772255916
5.5,-15.630638568385717,-3.95343511904431,-3.7133464722095497
5.55,-21.62958931489216,-19.212854518840253,-6.961383302903885
5.6,-37.810183340899265,-37.42355564164933,-25.520231465405477
5.65,-52.310249303862065,-40.2175307510601,-50.31919471807648
5.7,-35.31579285874076,-48.492520000573954,-51.334566341518176
5.75,-11.89275493293328,-51.688397037325885,-33.33089913512936
5.8,12.667945752967832,-55.45222655436417,-10.669231469250683
5.85,7.552945951783261,-56.95731289947189,-10.737820314225965
5.9,1.4103959731700864,-50.597967926973354,-12.15722105187681
5.95,1.6587922634872867,-42.600959942737056,-1.6280902005791316
6.0,-1.2138253961006036,-31.471310554623276,5.734156108304006
6.05,-10.834096783918016,-20.52115718677286,1.035783452207658
6.1,-8.267526931118853,-11.791439219142116,-5.866155413942474
6.15,-12.147366083332233,-11.34309400495463,4.800062557386519
6.2,-13.387772655094125,-20.62660073256341,23.902034366790293
6.25,-29.90293339162738,-26.82240957440315,33.538151296163235
6.3,-52.41982785207987,-31.46936898518429,36.64106726118229
6.35,-59.453375062646245,-34.25053797720614,31.71739968395631
6.4,-53.605460277129126,-40.61937829679784,24.290065662187178
6.45,-56.845774672046936,-61.068284375117926,23.477914839829126
6.5,-64.99385288955695,-85.10273059406295,16.34554844209132
6.55,-69.19434433741073,-97.78494545343199,4.638042894459638
6.6,-68.89798019769725,-100.97182983911595,-3.2952499143437572
6.65,-67.17614115158193,-99.97284725468403,-13.911443436321822
6.7,-69.34314364808598,-90.55396930300084,-21.079442109512826
6.75,-73.85247520965021,-80.08957921751856,-37.21983523000457
6.8,-63.16483702942305,-66.47587675118395,-40.24229621802081
6.85,-43.50629077581715,-52.5357501595791,-32.596067836874326
6.9,-30.0441216192422,-40.97203003534763,-24.15715104733785
6.95,-23.92689456487361,-30.004136292113724,-19.181199997033673
7.0,-24.58876088364848,-19.3946951911409,-17.00557000269736
7.05,-25.770054750269065,-8.607732798561283,-13.615783597988411
7.1,-23.62471386853414,-2.9866331452684456,-6.453662557289767
7.15,-17.368365206523404,-4.130781102047675,5.897120151108469
7.2,-25.104075691508065,-5.806251405591181,6.727696764826572
7.25,-30.259477335508265,-9.071354109266464,9.397856569696891
7.3,-36.33369137464459,-22.97047495108372,13.121696913345767
7.35,-43.63916547668482,-33.87647928914618,14.859720732318715
7.4,-46.205212302911626,-37.44770666739797,16.52446501259561
7.45,-37.70620430737057,-37.428667166028156,16.694007299382026
7.5,-19.634011513786668,-28.94949922971351,19.90720107658868
7.55,-15.782248183342725,-19.042193640541203,24.24932033871781
7.6,-26.39335738688814,-11.595559188276699,20.21746274842288
7.65,-35.74215116028556,-4.961783816118653,6.435008521190432
7.7,-39.20982377210342,-3.4605211701356864,2.880634460451196
7.75,-30.274838830988504,6.300393014693152,-9.162079456327021
7.8,-29.432529926557404,8.173419142949175,-17.370135464562978
7.85,-22.811183946634756,-2.5073654327490025,-16.60091871213676
7.9,-15.021804727266934,-14.093806581792304,-15.804406238569614
7.95,-13.23251989745862,-23.824385269804647,-22.801194658062716
8.0,-14.500325039946416,-29.139475581426787,-32.59096703960647
8.05,-12.885609491963164,-34.72927067926842,-38.39638945574119
8.1,-7.112175377421834,-39.47904143371729,-36.30481787758424
8.15,-4.310587404176618,-41.56294684659937,-28.98312846876448
8.2,-4.124788602885306,-39.64260191388363,-22.06468642461646
8.25,-8.330274723339771,-36.97611939539206,-15.934689040825399
8.3,-14.879001278950247,-31.484598133373954,-10.638784126214277
8.35,-19.347370544792156,-24.106053199538277,-1.1897720139354286
8.4,-27.70412035977583,-19.29582774488142,9.175169831025972
8.45,-24.223794063584535,-11.926289026214727,4.207216776388034
8.5,-19.720788925276644,-11.676849045637889,1.7403722981505045
8.55,-17.397527001655735,-12.75782730884151,2.533606767994363
8.6,-14.657091542410567,-10.711789011357906,-2.1556196463306634
8.65,-9.867682637147784,-11.93291545829517,-5.182778659375188
8.7,-6.16343943404556,-14.470692324670868,-2.804436127370769
8.75,-11.396482837811455,-14.710626193397818,-1.3712765294162677
8.8,-23.068165498344527,-13.164065037715721,-0.437059492780599
8.85,-25.83711764803364,-9.046773287275316,-2.380611588653531
8.9,-22.183070169797464,-6.60318033262949,-8.913111169292275
8.95,-15.339869663810752,-3.153822444276577,-17.917167836509936
9.0,-6.511183726651052,-2.889290241785947,-22.22425921785912
9.05,-2.6832106629264048,-4.296603835201756,-22.485166081124454
9.1,3.0978097034428753,-5.523082539691132,-16.740251388279187
9.15,0.9432125906723544,-5.136639451562896,-5.167839272071365
9.2,-7.409150053695324,-2.9059751313633093,-5.966115657368169
9.25,-12.980381757721458,-2.8425944699973282,-16.65599001954272
9.3,-6.018081976570902,-7.944775461227424,-22.358825863548102
9.35,-4.318059427385601,-8.791911100271781,-24.22045207325101
9.4,-1.9225022556314402,-12.999420203787276,-21.930792069544353
9.45,0.10041133496352729,-17.935745542457028,-20.369874231517674
9.5,-5.986294066264564,-18.629136443841354,-13.675440541687008
9.55,-12.697721267615998,-16.830340363256735,-11.25917787990141
9.6,-17.362409472410505,-9.83443111701493,-18.39848973682634
9.65,-6.9101476330954705,-9.937272392788197,-20.517782758252455
9.7,-5.171224335388368,-6.688195995644778,-22.272023779134727
9.75,-2.3721044777887927,-6.18413590010484,-21.993172198724796
9.8,0.4011386267126678,-5.774328440436346,-23.661344781897576
9.85,-0.25269222156647525,-1.5809876421873066,-24.587350086035073
9.9,-4.171928412769781,1.546209616364134,-24.004719281230788
9.95,-6.4400632145873935,2.0121187980978634,-24.752743052480373
10.0,1.0463463694292814,-2.201767754979669,-26.506508365447633
10.05,2.1825368375984713,0.12122481929517684,-30.230021729870987
10.1,1.495829860780056,-1.2691260829362545,-30.73803875008529
10.15,2.712124894818414,-4.65559447000989,-29.178004702554713
10.2,3.8558159023116367,-7.415638599264616,-21.250136552663417
10.25,0.7154196549541291,-6.8165131502333,-13.405068033430803
10.3,-0.11574088119485057,-6.3687211222342,-14.204962688187193
10.35,-0.8051596152199537,-9.587932842584602,-19.41380511218499
10.4,-3.745932145304541,-13.370725378135038,-23.6154456576271
10.45,-8.013964825940421,-18.17856605383065,-27.511179031084538
10.5,-12.396684709317197,-24.19462224845663,-29.864004487166458
10.55,-16.90458346559739,-27.480667114799083,-32.71879028022464
10.6,-20.03059360983648,-28.709792445520446,-32.02748610564759
10.65,-22.19235262662412,-30.41386216347938,-29.40049322058139
10.7,-24.581196862603928,-32.062243900260874,-27.25661120375441
10.75,-27.466203733043187,-32.536726929255835,-25.516594200259995
10.8,-31.45340320778473,-29.68106612333078,-23.38145259886409
10.85,-35.203127419767235,-25.56040295379793,-19.90760632678324
10.9,-36.56533059041037,-23.21156840316577,-14.261067876355991
10.95,-35.30828315527203,-21.913591321845743,-8.892145665971027
11.0,-35.20542731806157,-19.154907355346076,-7.097370651578938
11.05,-32.26208971390166,-16.608151259378843,-6.588441898976554
11.1,-28.081067400225177,-14.780019348274791,-6.453107570771378
11.15,-24.649882058963517,-14.354975857239303,-7.0082061776277165
11.2,-20.963278132995406,-14.209858061619006,-8.491843526808347
11.25,-17.840644226332508,-14.347792119878394,-10.577597173542307
11.3,-16.892508141521812,-14.298330225717933,-12.976977258006706
11.35,-15.366135951052687,-14.642892868140342,-14.948162946947695
11.4,-13.625909278293566,-15.226955506568393,-17.616430501842046
11.45,-13.25760402571839,-14.596966183205625,-20.365955364335527
11.5,-12.654043902632745,-13.901232837154849,-21.75549484236112
11.55,-12.35638608099623,-13.72156799457788,-21.660053775956847
11.6,-12.228947886546607,-13.425794796380597,-20.442832214613183
11.65,-12.643858374366992,-12.67222607778007,-18.612526576549254
11.7,-12.446462662112683,-11.804212803521873,-16.37595623829844
11.75,-11.7025332625908,-10.166019867040825,-14.860599267155063
11.8,-10.641295267578244,-7.517537100172196,-14.796667379760411
11.85,-8.64703961993847,-4.405715419160786,-16.019583914397256
11.9,-8.410746799510294,-1.2533949925048418,-15.481622557815548
11.95,-10.660807268906932,-0.9073379427604139,-11.578590970149756
