Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,-2.1426845522231837,-3.0307122185086235
0.05,-2.1003973775368263,-3.0323739218602834
0.1,-2.1373139133791117,-2.9535152073466056
0.15,-2.104401134830483,-2.8763064226852366
0.2,-2.1677838607517756,-2.888065344944172
0.25,-2.1048974917533565,-2.8479935610815
0.3,-2.17116468619743,-2.81643550783066
0.35,-2.208464862380449,-2.8196043495195626
0.4,-2.1637212818455427,-2.8693857485235847
0.45,-2.206383190731952,-2.9370278317456693
0.5,-2.2038916491554104,-3.031272908754341
0.55,-2.1854009747470267,-3.0239496529248657
0.6,-2.182402443571687,-2.9189449938827523
0.65,-2.161981448195164,-2.868895332456572
0.7,-2.094243585535655,-2.815166759434783
0.75,-2.0541952304535034,-2.8035865765581334
0.8,-2.0571722309936153,-2.780567580550002
0.85,-2.0302617521558943,-2.743657359435643
0.9,-2.0729832009162763,-2.6830786248605705
0.95,-2.206288294015534,-2.653119326757634
1.0,-1.960307861465898,-2.3466119179270057
1.05,-2.035265770023712,-2.4920979116649087
1.1,-2.2676705603042437,-2.704794525864629
1.15,-2.17290735387749,-2.6867888220132845
1.2,-2.216545990938666,-2.4212492346830112
1.25,-2.5133431169797706,-2.123748679468988
1.3,-2.87627767306715,-1.4431409063244471
1.35,-3.0330322296069845,-0.11465361276863306
1.4,-3.2452539621542726,1.254154995465952
1.45,-5.03977348116841,2.157261262943227
1.5,-5.525884318448595,2.8280688614717406
1.55,-4.900555389571268,2.4259633824937357
1.6,-4.442953778709039,0.49500980195030325
1.65,-5.364975816929255,-2.4236436255415676
1.7,-8.679226556658794,-4.950724283737062
1.75,-11.826761899475098,-6.677542132615829
1.8,-13.663665186756432,-5.940056116741516
1.85,-14.399893243437818,-5.366865330222598
1.9,-13.608826450251428,-5.656925059604133
1.95,-14.585311749808563,-5.8787058396483705
2.0,-15.119278834061042,-6.707921245827831
2.05,-16.469692201641116,-7.489320869110207
2.1,-15.858816015351247,-10.229648293815226
2.15,-13.393155890719235,-14.064342937509329
2.2,-9.46394395959212,-18.62694536210248
2.25,-5.641415168126754,-22.72444973982768
2.3,-4.1519673144940485,-26.714740717507578
2.35,-3.568291290577407,-31.032429485126624
2.4,-3.280756383339587,-34.90309988108054
2.45,-2.6615706276941116,-37.394880767870475
2.5,-1.6984434198403442,-33.61091467606615
2.55,0.12059296698659643,-24.129346994909184
2.6,3.2675052891296503,-14.528539193679139
2.65,4.492508956717434,-4.545572876987926
2.7,5.498672230774091,-0.2268974266193054
2.75,4.8362573577579235,3.0767688731123384
2.8,1.6788109417088473,6.11847602217276
2.85,-2.4001747046271835,7.487186584611448
2.9,-4.92198147934023,7.776216097497307
2.95,-5.107814309508413,8.110310464428814
3.0,-3.4308415123214955,7.7465168574517165
3.05,-2.643895312365183,6.293582631584485
3.1,-1.3478791261418959,7.326883909160693
3.15,-3.238149021111895,4.757191268815619
3.2,-3.9759702274858335,3.7664587144252137
3.25,-1.7656948057569783,4.6287705744839736
3.3,0.6682699221132343,6.224678552482906
3.35,0.249576144892429,6.647941978648766
3.4,-1.3750999221603963,9.236895800122905
3.45,0.36839503829349485,11.279721342232685
3.5,1.1450078792265095,12.295150900799813
3.55,0.194263513318193,9.735637722798227
3.6,0.20292812576035235,7.873309711451939
3.65,-0.835370216647704,7.346725787103223
3.7,-2.0577779350723175,5.907263293134969
3.75,-2.2518272987465786,5.106791431033917
3.8,-1.934410435866273,4.576302782856976
3.85,-2.099967251068855,4.020969268148243
3.9,-2.35990451296607,3.6377079901344462
3.95,-2.620507287151155,3.3981283176673918
4.0,-2.9470601089876642,3.0997441239299977
4.05,-3.0921715257649622,2.924916660519858
4.1,-3.1258359840537446,2.9846672676596073
4.15,-3.137203154093504,3.330305782671616
4.2,-2.9713855499392436,3.9771108020291246
4.25,-2.6550341585906896,4.8992651137668055
4.3,-2.2887000800033306,5.944281027321599
4.35,-1.9682491079936908,6.615760713651013
4.4,-1.5261134010917088,7.086671226343833
4.45,-1.3005506639203288,7.229226702465948
4.5,-1.2118700091890418,7.162937513801713
4.55,-1.233421047305703,7.083739085929131
4.6,-1.130620608681763,6.851609010576037
4.65,-1.0893629080317617,6.589864582167151
4.7,-1.0031177938553393,6.221090224589461
4.75,-0.9072857211856624,5.88667622411343
4.8,-1.1762860856423307,5.746314521371855
4.85,-1.4970335376581607,5.615721108839013
4.9,-1.559394082601779,5.293411422134629
4.95,-1.688765868794796,5.217773074482146
5.0,-1.6474606700411722,5.412075866079088
5.05,-1.98436354191741,5.2288068172122735
5.1,-2.650327160109845,4.98549570118427
5.15,-2.4806015621177275,4.766619097756506
5.2,-1.860623627900797,4.992517515519507
5.25,-2.095541607072134,4.962552493799247
5.3,-2.479805115098813,4.513888726861731
5.35,-2.7074191375398318,4.106805474482512
5.4,-2.369040004108579,4.174607217518612
5.45,-1.6627870708083037,4.977649890008998
5.5,-1.5135668720155468,5.731065971083291
5.55,-1.5809350971616096,6.208668639026775
5.6,-1.0650062520365795,6.327784637561293
5.65,-0.6741096228905978,6.338603630568743
5.7,-0.6699799733618877,6.405354700456426
5.75,-1.2025779783452586,5.872575087083198
5.8,-1.5115748920036003,5.176383776060072
5.85,-2.0218954051706803,4.7132817541216845
5.9,-2.046423250730392,4.6769071705864125
5.95,-2.207632301492283,4.730876922258426
6.0,-2.698055194747448,4.693618464782933
6.05,-2.917815593666283,4.437477252275421
6.1,-2.8476346684548712,4.283208848354723
6.15,-2.856867204455193,4.198581929705339
6.2,-2.8366265118177023,4.170539672135634
6.25,-2.6555985841970777,4.182278478411804
6.3,-2.3883555431886925,4.312859596584615
6.35,-2.252103971576402,4.376424897055325
6.4,-2.298224986130008,4.297335663557166
6.45,-2.229262153899909,4.23969781843769
6.5,-2.25822843209761,4.144777364860104
