Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-3.8333753907665447,-0.92037438818174,-1.1247235611837358
0.05,-3.9485637374654203,-0.9298160849981985,-1.0956319587635959
0.1,-3.942335249511193,-0.9792868045174151,-1.0762959694361685
0.15,-3.9474888932052017,-1.0063122716110118,-1.094350852093834
0.2,-3.9305102786410417,-1.1379824918284327,-1.1278292128826484
0.25,-3.909279021355851,-1.2328266029465051,-1.214769508487562
0.3,-3.790862659219418,-1.2286097649694647,-1.275547074305263
0.35,-3.6785672803848644,-1.1835940896423327,-1.3111699335366922
0.4,-3.73001582929852,-1.1189224684290129,-1.3518025283508008
0.45,-3.8548333543264555,-1.1832044362774845,-1.418239550363445
0.5,-4.0648610530958456,-1.222577943804836,-1.4629637470133101
0.55,-4.084548248468761,-1.3654929006068086,-1.5511603180255118
0.6,-4.083066941462555,-1.4302227644579404,-1.601631244412371
0.65,-4.068613076175755,-1.336341469630482,-1.6302020733552367
0.7,-4.168625638956811,-1.4020030256954628,-1.6168848043116921
0.75,-4.1999865993624015,-1.3803377935392143,-1.5949568882148752
0.8,-4.2096733347286595,-1.2526458175529354,-1.5926436850190555
0.85,-4.294047989021286,-1.2623088386107408,-1.5738877828917996
0.9,-4.401461727439273,-1.2229068373725884,-1.569879239964416
0.95,-4.410792700142016,-1.2665291997264922,-1.5969110115032716
1.0,-4.445245641509562,-1.3346217780204706,-1.6704002319387732
1.05,-4.336665300334857,-1.2418574262057311,-1.7533676956896742
1.1,-4.464087067600598,-1.1836653155168682,-1.700291464317633
1.15,-4.830262226448747,-1.0461136405370426,-1.6657297293358262
1.2,-4.86031622921243,-1.063563151892645,-1.689892054486269
1.25,-4.5254014643616856,-1.0612488517848526,-1.685119891855946
1.3,-4.547800640323589,-1.0291390738531443,-1.8301417825829414
1.35,-4.691291206618293,-1.261370777578018,-1.8685186053372735
1.4,-5.167343954560241,-1.5305396302563816,-1.9413357227639711
1.45,-5.981507495864641,-1.7045615216667485,-2.019673201431561
1.5,-6.956070394678012,-1.5775457908254529,-1.9912422216145613
1.55,-7.405887813082895,-0.6272068438345971,-1.795392156144607
1.6,-7.079418140154555,0.16862449709899682,-1.8448131724728654
1.65,-6.32124031521658,0.9609117764139743,-1.427542177348093
1.7,-6.019487376751881,0.8973825660004465,0.2318325860722624
1.75,-5.8795787088762115,0.40178115869866715,0.9224331747712264
1.8,-5.326091297510155,0.18148309328211473,-1.2938361320600482
1.85,-4.103407471979534,0.5354538404468572,-4.507519466515772
1.9,-3.436533391197223,0.7899334668979958,-5.919757816283325
1.95,-2.7183225007530467,0.6399477210802721,-5.375605382059334
2.0,-1.3047232895586,0.2398438883733446,-4.888094756160998
2.05,0.30937278615778946,0.650250269029963,-6.407555432615206
2.1,2.076603069931392,1.2745582538813336,-7.285514535325999
2.15,3.7867116094307556,1.51071859536469,-7.1774019074323485
2.2,5.3795914623880385,1.8827348488684423,-6.625623030442793
2.25,6.229692934154604,1.9150364476218071,-6.625776715230259
2.3,6.587965076951019,2.1094582140326725,-6.403176087831507
2.35,7.240652471837124,2.050063525704568,-6.289453485507694
2.4,7.634497851139501,2.297753534134908,-6.486949527549136
2.45,7.760429690291158,2.4062175248955775,-6.573795630835134
2.5,7.591922475026539,2.0840451036990735,-6.449130796421831
2.55,7.180772634880578,1.9272692145767882,-6.429925914422415
2.6,6.666797946360784,1.8449776290780344,-6.501051307176221
2.65,6.296171174124526,1.9330348411605922,-6.608936544767946
2.7,6.133340662851609,2.1531065146464368,-6.699849284811504
2.75,6.5014508641829805,2.437282714288244,-7.0380276340987855
2.8,6.613665540810187,2.55110264099282,-7.248704520657457
2.85,7.091869649226774,2.3163672827087205,-7.594432715516857
2.9,7.6354326354279785,2.162653022911273,-8.015264254333132
2.95,8.095334248290744,1.7655423124945424,-8.34883563226854
3.0,8.95915275472098,1.5642970415387356,-8.425443326041854
3.05,9.435699218653776,1.5098303076799735,-8.007244327404438
3.1,9.596250948691306,1.6330959040233455,-7.4874161557946275
3.15,9.470083873219233,1.7882245410409678,-7.252412086618414
3.2,9.285615304330461,1.7871035225713359,-7.629057417031462
3.25,8.86416585673031,1.5738710811889056,-8.104493728962916
3.3,8.918984605082215,1.6491928953441812,-8.000844490859395
3.35,9.363668007953851,1.5315628288035497,-7.9923911241310845
3.4,9.736634162563318,1.115114388310365,-8.338250694995034
3.45,9.86931263889004,0.8219962524680785,-8.431726131920248
3.5,10.143467310008367,0.0163077931854852,-8.77108184564609
3.55,10.035214281626002,-0.6245882603419486,-9.277373910635642
3.6,9.987853524613136,-1.6635137442333439,-9.89137339441009
3.65,8.860180845866536,-3.490833852815885,-10.466056816432353
3.7,7.429433368839117,-5.635877804941334,-11.311944937197728
3.75,5.783582062539997,-7.056929174714284,-12.147250982628208
3.8,3.89017449261149,-7.811107004706356,-12.950677555171612
3.85,0.7129626394162707,-8.379013470245704,-13.411982795735812
3.9,-2.15245094528694,-8.237633318219384,-13.673670533195533
3.95,-3.6560287936850973,-7.728465408108806,-14.474666398158872
4.0,-3.698582944007926,-6.714393345051712,-13.750916658518666
4.05,-3.14442646436904,-5.582268807361677,-12.332721858240376
4.1,-2.2460925841363117,-3.9879345000693647,-11.403606737552064
4.15,-1.77753984959258,-2.959638942883793,-8.801827376852627
4.2,-1.8729171080926028,-1.929025199988939,-6.695518738559648
4.25,-2.545827325947636,-1.1350061638949271,-7.3849246467006955
4.3,-2.8866218743777075,-0.23710520529864004,-8.145325321249993
4.35,-4.259973200613856,-0.47532067659151456,-8.405411328657035
4.4,-5.741109531832424,-0.5761553170326388,-8.418377914439617
4.45,-5.889135991622769,-0.5042459896939513,-8.167611146838473
4.5,-5.189113546455818,-0.00850889594408052,-7.100912961527476
4.55,-5.052040433616849,0.3287098262375819,-6.052505040375043
4.6,-5.432293481847184,0.43366332812048847,-4.399950914032664
4.65,-5.859136956059813,0.5930135084147014,-3.6871578313473825
4.7,-6.288154422091239,0.48934120672273207,-4.623183071403374
4.75,-6.878013662556842,-0.12642401534918132,-5.364888576368233
4.8,-7.2179701220548615,-0.48987041002936127,-5.947870455515059
4.85,-7.147173556738887,-0.8692840409685861,-7.011051215321674
4.9,-7.01891563106387,-1.3404668723469524,-8.0292561395349
4.95,-6.772772702023352,-1.556132973455203,-8.433542390112569
5.0,-6.207416604234975,-1.1304785099194934,-7.974743177484565
5.05,-5.954136885001603,-0.7676797870830988,-6.972368017013264
5.1,-6.233569091495564,-0.5244843864516966,-6.084302668602833
5.15,-7.042816499001315,-0.8195045142314121,-5.60634664419997
5.2,-7.498337777517303,-1.5340295500686771,-5.961306019694307
5.25,-7.238382726803891,-1.6637266745465116,-7.191514812743319
5.3,-6.098459256517976,-1.7994559313266782,-8.269512700053781
5.35,-4.684994478715355,-2.005744485889983,-8.015376832716171
5.4,-4.508305701540267,-2.318665548630332,-6.923447508734132
5.45,-4.354929679714012,-1.941177481112554,-6.092651119987658
5.5,-4.326683070099084,-1.8008304916964348,-6.233297060997146
5.55,-4.24296066160435,-2.277040805068154,-7.3692982696755776
5.6,-3.9567308707114806,-2.3542820874145614,-8.719189348699734
5.65,-3.449622197933066,-1.7534130602889748,-9.930482861731104
5.7,-1.8779542274368624,-1.1968378225472407,-9.999363065669302
5.75,1.289142647514643,-1.1101808240935793,-9.007709446304922
5.8,3.616355663561931,-1.5128080612972077,-8.472961860167302
5.85,4.646334099743165,-1.8693729674156419,-7.991461555344169
5.9,4.841757661032693,-1.6353357981309915,-8.027434608775364
5.95,4.60598046243832,-1.0069755497203923,-8.638608165157551
6.0,4.7649016634040375,-0.26257750217045694,-8.925046064345715
6.05,4.743271298525766,-0.08431839972686951,-8.944104312847935
6.1,4.709073853583804,0.017813382743544926,-8.649751130080256
6.15,4.61235761268796,0.3679611266687933,-8.647761640538073
6.2,4.6684662050659895,0.9173824090272923,-8.576918159581787
6.25,4.671927176330039,1.3868674354645238,-8.21219742099846
6.3,4.694301574480249,1.7902373929544306,-7.8308751425306635
6.35,5.463396812926677,2.786158358441032,-7.402480938723689
6.4,6.056465611437529,2.8852673099633055,-6.982645456340731
6.45,6.5012442729620465,3.269164506243598,-6.423194980400779
6.5,7.006075055976971,4.189072704383709,-5.657173671219685
6.55,7.392588853233462,4.742516027209569,-4.9949695832879435
6.6,7.856611117873701,4.956458431669127,-4.887200805609597
6.65,8.197026116891438,5.006916125651231,-4.815594362914008
6.7,8.096900116628616,4.630403656925903,-4.65036518101859
6.75,7.771386935079858,4.7070397769069015,-4.505973047461775
6.8,7.8393560499564225,5.036867296709193,-4.290761596634575
6.85,8.112960272751396,5.0836804899419015,-4.1205676858270195
6.9,8.451687364319866,4.815980198480799,-4.098723324811501
6.95,8.901728541842102,4.670047436803208,-4.167283258851454
7.0,9.028161931627114,4.918350131729464,-4.177602858870032
7.05,8.855321520376494,4.93008002577985,-4.093631892612909
7.1,8.632055336823782,5.025174050559758,-4.10905237785302
7.15,8.46473532141703,5.098044326484441,-4.116536671191721
7.2,8.259852189214284,4.973282223440405,-4.147075600762558
7.25,8.135594408078378,4.837362068201527,-4.235017784001132
7.3,7.980283914946767,4.844821774240177,-4.347591518467055
7.35,7.877890028601015,4.701868240448605,-4.548162809241426
7.4,7.692591145645893,4.626059505224814,-4.846825801147073
7.45,7.834203470747025,4.359261353219994,-5.308143855441862
7.5,7.88497349897248,4.3438108720897475,-5.825303136501256
7.55,7.586040234571089,4.428861795066731,-6.159625810450188
7.6,7.378317767387284,4.42604012058233,-6.487397544476873
7.65,7.666666055947617,4.44551359348048,-7.068373338663847
7.7,7.980528174526306,4.3527143573972396,-7.735460021955535
7.75,8.389205946721676,4.573843174673445,-8.232574728803895
7.8,8.222530525611774,4.608605046259095,-8.12062397260696
7.85,7.98282214390806,4.31676095176441,-7.933530287371507
7.9,7.655867787635146,3.688381203651822,-7.642224273045602
7.95,7.639785240493792,3.4327094278183297,-7.176363294234286
8.0,7.5459579532387115,3.345145279678708,-5.978863972514046
8.05,7.277528690093298,2.682956570374138,-4.117887785804894
8.1,6.520065037231281,1.842554733088172,-2.3587320065277835
8.15,5.526180135084356,0.3808703906860024,-1.61361606736208
8.2,3.9827657012827173,-1.51943934438269,-2.610235544787548
8.25,1.9423200127750142,-3.73299126602681,-4.094426971081099
8.3,-0.4181128681987033,-6.054929720793055,-5.070685166621063
8.35,-3.2537064272942513,-7.976804071148027,-5.001729612459814
8.4,-6.911585384123192,-10.1751087917686,-4.225964760645698
8.45,-10.650412097480492,-10.435603950712405,-5.424304786606011
8.5,-12.75749716312651,-9.400647617860958,-5.988230739673913
