Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-3.7288026446107443,-26.88710260845056
0.05,-3.820803527043667,-26.819475308411878
0.1,-3.874414383703101,-26.762660834158414
0.15,-3.8815615354267097,-26.709700006002755
0.2,-3.9172666118496955,-26.666753407725896
0.25,-3.938352015318118,-26.643530877955698
0.3,-3.8453697516907224,-26.63911121032847
0.35,-3.8659718851292113,-26.644652877106275
0.4,-3.8523128117254077,-26.63836191998373
0.45,-3.7981084449575566,-26.581354652681373
0.5,-3.763968262469579,-26.537877152924683
0.55,-3.8291510267321667,-26.486192613909424
0.6,-3.806862958970986,-26.398641055532913
0.65,-3.7572939553552867,-26.320083736523106
0.7,-3.904240090690638,-26.204059663588545
0.75,-4.1834887056241445,-25.692170536773272
0.8,-4.7806268344362595,-25.409601680973072
0.85,-5.566322846251847,-25.35745272068732
0.9,-6.058917828781124,-24.78685457292907
0.95,-5.978234588888722,-23.296086007320575
1.0,-5.841554191746151,-21.23756251763241
1.05,-5.710179044425707,-19.28555413541197
1.1,-6.434119944531463,-18.020135540788253
1.15,-6.721858696695963,-16.60426594157149
1.2,-6.8899245728565885,-15.184988727279155
1.25,-7.29493265522893,-14.425410298472356
1.3,-8.04233397690608,-14.04789607030485
1.35,-8.48432729116791,-13.042298647116052
1.4,-8.534311202445208,-12.999429704729934
1.45,-8.764843197423389,-14.683925127199196
1.5,-9.327083666512658,-16.334099149045038
1.55,-10.65921180227781,-19.142393283822642
1.6,-12.040719421858677,-20.968447976611653
1.65,-13.817938729354694,-22.24578772580968
1.7,-17.12737239495364,-23.929901137385748
1.75,-21.559826585735106,-25.32546046537043
1.8,-25.889069265318938,-25.167542134614315
1.85,-29.381799689430068,-23.613801532300055
1.9,-32.43370934929443,-21.944189386093353
1.95,-34.94097153862131,-21.545082717682764
2.0,-36.432227291581505,-21.245112184634145
2.05,-36.94103522568083,-20.73136426025479
2.1,-37.64764495446768,-20.87269161105879
2.15,-38.65442798866512,-19.94645635762459
2.2,-38.91475241662869,-15.933350028057587
2.25,-37.667465309424195,-10.886653559456152
2.3,-34.63281670320213,-6.881565467921821
2.35,-30.507929560103207,-5.423988138388831
2.4,-27.027124663755863,-6.673740207637255
2.45,-23.38572534746667,-7.921308505567385
2.5,-19.821040386903004,-7.470099766719767
2.55,-17.25049588466581,-6.812987049535297
2.6,-15.75222257199055,-6.7499623266431525
2.65,-14.373275826817617,-6.385566047097175
2.7,-13.213587561979303,-6.237094817451064
2.75,-12.251924472094164,-6.8155885849663385
2.8,-11.638956508268416,-8.343880240542644
2.85,-11.595447334304549,-10.209236166271076
2.9,-11.91247353618662,-11.683917141224093
2.95,-12.30297731137469,-12.044360518131624
3.0,-12.192463886655856,-11.679169515439293
3.05,-11.881723101488257,-11.5753262114718
3.1,-11.596740713751249,-11.415606599256842
3.15,-10.257495670237782,-8.92920564415112
3.2,-9.294029249157026,-7.424860832428091
3.25,-9.81134872131474,-8.323973111214698
3.3,-9.522814843400477,-7.152886098259683
3.35,-9.112130984616895,-7.318219405939991
3.4,-8.622959847557524,-8.052191015892745
3.45,-7.50664995615457,-7.025682771144693
3.5,-6.095236951338155,-5.979853026234478
3.55,-5.236903820009639,-6.104396669775724
3.6,-5.104848855833081,-6.553541270898821
3.65,-5.33829991079636,-6.064695273241104
3.7,-5.821617708812938,-5.761345534851771
3.75,-6.6615554028811514,-6.199689487182574
3.8,-7.173024305596919,-6.455238579589308
3.85,-7.27191452127077,-6.608755950037351
3.9,-7.384144492881956,-6.705749064557721
3.95,-7.179258270005252,-6.356024358527975
4.0,-6.922009018668019,-6.205445714263544
4.05,-7.034643736020629,-6.60323680914325
4.1,-7.393564263185524,-6.855525151107724
4.15,-7.958730118324107,-6.66638309343977
4.2,-8.892390442317762,-6.498537224745168
4.25,-10.096090477628426,-6.89297958536711
4.3,-10.429392713572383,-7.067267388054677
4.35,-10.537410545766559,-7.736678237367208
4.4,-11.493852913993534,-10.142693462399212
4.45,-13.090990815355257,-12.464485460105436
4.5,-15.343270768965988,-13.168615828380593
4.55,-21.011639328749474,-16.06575019967818
4.6,-26.355907573950148,-15.267214734500358
4.65,-28.372801391063618,-9.807194763088987
4.7,-27.239863613710032,-6.335422570245868
4.75,-23.409423659532656,-5.875508776071884
4.8,-18.425096868730027,-5.23445061071356
4.85,-17.134383681491354,-7.809844194193603
4.9,-18.12706347237784,-9.150935781301754
4.95,-16.50018635092562,-5.849826933389062
5.0,-14.912492671516844,-5.235891827626212
5.05,-14.534190215992991,-7.537205399091919
5.1,-14.362823932159252,-9.178919391297763
5.15,-14.027713906887096,-9.082867193472167
5.2,-13.528358229613572,-8.113295581807224
5.25,-13.36187233039617,-7.5087872245114005
5.3,-13.10728991721883,-6.898705002441587
5.35,-12.579052502752447,-6.093202163105967
5.4,-12.135969446215482,-5.58192945463037
5.45,-11.82756135929759,-5.351911188711539
5.5,-11.53398712060327,-5.076966205791061
5.55,-11.393410827924958,-4.857959875402543
5.6,-11.352300977843074,-4.55859241260391
5.65,-11.315800210754526,-4.150600586319598
5.7,-11.34623945147654,-3.851346437587091
5.75,-11.424586706833837,-3.658586871168981
5.8,-11.48741276844559,-3.5897691761244706
5.85,-11.48804510446927,-3.5877092536287614
5.9,-11.421864606571555,-3.5930672716744287
5.95,-11.33801471614048,-3.623514359151761
6.0,-11.198040455536873,-3.4976775620405425
6.05,-11.105544811706778,-3.361101990905187
6.1,-11.162953014920403,-3.3896490837812054
6.15,-11.16045549444408,-3.2552503266808115
6.2,-11.29415398598138,-3.597986032813996
6.25,-11.93403433438297,-5.304891383049506
6.3,-13.447192601940692,-8.452933362187007
6.35,-16.332853630252043,-10.878400828208125
6.4,-18.788938179209385,-10.138131529656912
6.45,-20.082030333859436,-7.30213789657569
6.5,-19.922976586684015,-4.763394024119909
6.55,-18.733371506761287,-4.148455133700801
6.6,-18.83565486244068,-5.377871399602406
6.65,-19.541707101812047,-6.111286096018339
6.7,-18.749366892313464,-4.205242167896646
6.75,-17.520226134521526,-2.5446562831965402
6.8,-17.167667602611775,-3.446860721394413
6.85,-17.461192160136328,-4.501870839593813
6.9,-17.504994617333534,-4.5299718107656535
6.95,-17.066613241478667,-4.226339283950559
7.0,-16.793909030442506,-4.476239068292905
7.05,-16.501711580092863,-4.820829701481491
7.1,-15.987275415733341,-4.649408533470512
7.15,-15.338090895108051,-4.475065417451874
7.2,-14.64914750297508,-4.218351351742288
7.25,-14.250205781197314,-4.064924292316272
7.3,-14.235919624601713,-4.269642026933246
7.35,-14.183921622187441,-4.552269025953348
7.4,-13.599678339968559,-5.068466370200621
7.45,-12.543653171772084,-5.885621142585411
7.5,-11.38358549361517,-6.8113250269806
7.55,-10.291953936471783,-7.855365785730972
7.6,-9.691791116731457,-8.98194494163715
7.65,-9.742765911139111,-9.368019519156388
7.7,-10.00618939868109,-8.563418414019738
7.75,-10.583697478948649,-7.809652235230822
7.8,-11.754354746167305,-7.519901471751697
7.85,-13.426522247832743,-6.59168452706182
7.9,-15.531412579889976,-5.006082972082795
7.95,-17.755916531900333,-3.1141523501058477
8.0,-20.239425149936366,-1.4571474940859013
