Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-7.400665096575995,-6.790541823617751,-11.751092810972409
0.025,-8.034345563078249,-7.287335067881428,-11.964098698669332
0.05,-8.972601263528473,-7.950121799775456,-12.239566855792562
0.075,-10.04195450370474,-8.669567723322174,-12.371871969883998
0.1,-11.076667815911184,-9.512003287697873,-12.14517100890524
0.125,-11.939975278917373,-10.395859512252173,-11.698904321693485
0.15,-12.384738225689679,-11.080218051337553,-11.403861609168445
0.175,-12.396913949518442,-11.401227909180898,-11.40597752193378
0.2,-12.253961077974868,-11.384517059532861,-11.616751936449997
0.225,-12.077445270403398,-11.120064059793282,-11.86056183154759
0.25,-11.81273205932045,-10.693126962334622,-11.960191449081544
0.275,-11.274119352569857,-10.23256618689412,-11.84539461290858
0.3,-10.401900217235879,-9.866468906068148,-11.628995391190474
0.325,-9.463788017466616,-9.649211428906655,-11.446957729415937
0.35,-8.712300128575352,-9.542025072782184,-11.358150042017511
0.375,-8.130665632294818,-9.442732012467841,-11.346484406919819
0.4,-7.635787132231692,-9.267570054540316,-11.306902644848604
0.425,-7.146524619725946,-9.032631235234513,-11.165557215180508
0.45,-6.619899640549642,-8.813118618735306,-10.954311066040749
0.475,-6.06236864130026,-8.619882165768392,-10.78147406730039
0.5,-5.5485296548078065,-8.416847043681381,-10.748257684809394
0.525,-5.181470827516994,-8.181903807728435,-10.865694537154182
0.55,-4.974472102890834,-7.948029511520544,-11.036926344221984
0.575,-4.767230903038163,-7.784156650269373,-11.078460766968169
0.6,-4.4420020275212835,-7.692556294947518,-10.841021691521155
0.625,-3.996122262462767,-7.591128534315094,-10.345509754926919
0.65,-3.5073075380049255,-7.409418183827724,-9.763810439623795
0.675,-3.07154853759292,-7.14318602853367,-9.317284875481644
0.7,-2.7365248031095613,-6.830117395723809,-9.162609043938213
0.725,-2.496557880267017,-6.521485335379794,-9.322498735038682
0.75,-2.278688580421701,-6.23605291218428,-9.686398782633411
0.775,-1.9957184186329413,-5.958640219490401,-10.032576446541057
0.8,-1.6622008310696157,-5.689346225390659,-10.11992013334008
0.825,-1.330081876560879,-5.449919358148956,-9.86418680633873
