Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,1.1198968429623926,-3.4534796770835716
0.05,1.0526041488771072,-3.5489238705175765
0.1,1.0435635567175305,-3.5794576596026544
0.15,1.0143992214052382,-3.60091396970169
0.2,0.976757261498395,-3.6390846554944796
0.25,0.9456508195470312,-3.6855208992828663
0.3,0.9257476037619959,-3.696089330691524
0.35,0.8882407951046364,-3.6852596687309114
0.4,0.8607599709858057,-3.6604911701199163
0.45,0.8608534057747287,-3.713136535696534
0.5,0.9047747203819362,-3.7184332379549585
0.55,0.9805955591392599,-3.716034287136407
0.6,0.9836742052092552,-3.739762380777931
0.65,0.964849637738106,-3.7802529013228288
0.7,0.9749476020810804,-3.7989034467631515
0.75,0.9821369645673369,-3.8311995367203004
0.8,0.95678372934546,-3.857987530277487
0.85,0.9304918395004865,-3.8791566246910167
0.9,0.9136016599798099,-3.9014801941077697
0.95,0.8961885055980803,-3.891490500014748
1.0,0.9106504432039796,-3.8513713514739494
1.05,0.9431163360370362,-3.8945094432813723
1.1,1.0566290391491033,-3.9606695179845732
1.15,1.1956532643799704,-3.8838154511753995
1.2,1.1210029432990838,-4.003001597767988
1.25,0.8646008030215188,-4.3365312336908
1.3,0.6075199463814459,-4.536245099593146
1.35,0.42963738668814905,-4.90024605321196
1.4,0.42826975620546665,-5.008919755796614
1.45,0.6419178751091288,-4.759801947975404
1.5,0.7867148933470152,-4.614082385880438
1.55,0.8698515599331814,-4.582681164251607
1.6,0.8809305194663961,-4.634477034826502
1.65,0.6882969370450461,-4.815221468012117
1.7,0.25769871535855216,-4.924006389303663
1.75,-0.35817953407243674,-4.992039653095219
1.8,-1.1220083421860534,-5.188770245332402
1.85,-2.0466729442161715,-5.533221413585211
1.9,-3.015950315170699,-5.682447590486374
1.95,-3.7893442323163318,-5.410017100857811
2.0,-4.228101359235572,-5.014381293718734
2.05,-4.3666489048169,-4.835566028417459
2.1,-4.327061862996573,-4.851580939844804
2.15,-4.145939070281469,-5.170847808673252
2.2,-3.7296060344549153,-5.371938726715434
