Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-3.13662860326184,-0.049592743939307536,-0.06181503622549104
0.025,-3.1116956680021723,-0.03599940557844988,-0.05549696210194816
0.05,-3.081032401084411,-0.018027332202097384,-0.0449623181602002
0.075,-3.0454812097672956,0.0027245001973621626,-0.03416130157728818
0.1,-2.974715053437287,0.03029847202444846,-0.02945145660530489
0.125,-2.815035261750167,0.06240663961147811,-0.03964157984028231
0.15,-2.515988941806888,0.08753634509379528,-0.07012284925281659
0.175,-2.060803321761309,0.10120420079175431,-0.1217841206844501
0.2,-1.457013815676423,0.11287434239522376,-0.19280127504873648
0.225,-0.7235294653903328,0.12357166905883869,-0.28222695593439434
0.25,0.06150836326692272,0.11144629107336823,-0.3829542870728142
0.275,0.7843136542500101,0.06903686174595078,-0.47219038362727483
0.3,1.4050752108521078,0.04591795893058852,-0.5239637253311747
0.325,1.9121480875709542,0.11376265662433496,-0.5004922095433607
0.35,2.320361170432175,0.31202754520655046,-0.3592470673645969
0.375,2.6540019129822867,0.6248460347742136,-0.06359511746389804
0.4,2.925830039208088,0.9964652998952614,0.4136458939630182
0.425,3.1355605548477747,1.3776313530842246,1.0681094954312649
0.45,3.290985928124725,1.7420541216052525,1.8646582230105446
0.475,3.423488101605047,2.07379477583616,2.7778508735730623
0.5,3.5787195460688586,2.374535444223682,3.796402483957587
0.525,3.7845343883959304,2.665857528299602,4.899843052441627
0.55,4.065599831514298,2.9587941619291382,6.060881910876786
0.575,4.464207485244023,3.241911505153425,7.236623107017399
0.6,5.019196173387505,3.502812286572026,8.363763792309975
0.625,5.774027621942401,3.763723179860727,9.358557558135878
0.65,6.709189081221204,4.090897016586552,10.083423229076674
0.675,7.678845202657056,4.538576057940119,10.385895645145123
0.7,8.549185022970569,5.075288283693663,10.157380726253985
0.725,9.31763589101865,5.628312959794739,9.37082921388798
0.75,9.944447725667692,6.185736643789131,8.10933872199727
0.775,10.471541801284557,6.769318565785342,6.499665204004375
0.8,11.045158106358539,7.40617933726137,4.649243602247151
0.825,11.746459632957546,8.128186775340081,2.656617545797696
0.85,12.647501821491208,8.91992922606026,0.6662711699067014
0.875,13.799073202565996,9.740873372828721,-1.154233372080529
0.9,15.121356339746425,10.54630401857184,-2.6864878030497428
0.925,16.434812354197852,11.242711231676745,-3.864050053253699
0.95,17.59604069462653,11.714406781044032,-4.684289628501771
0.975,18.56772750821071,11.917811061250722,-5.20951832494314
1.0,19.44308004713654,11.92455541479436,-5.515334828577889
1.025,20.301334490844443,11.85319865879754,-5.6392615950349185
1.05,21.08082851291466,11.725732499913182,-5.525523465925268
1.075,21.64712491999906,11.494843747339214,-5.098656514467425
1.1,21.905355784666884,11.153254104960553,-4.337239619526732
1.125,21.915718225050682,10.731007835496031,-3.2149007798649447
1.15,21.878638231032987,10.262575217996222,-1.7017097889954222
1.175,21.895669305863855,9.760227286270384,0.15118402045983848
1.2,21.93132855933186,9.209589573180365,2.2631307806058856
1.225,21.982802109564368,8.62785816033402,4.606469149593179
1.25,22.077054568365746,8.09709748058546,7.164880639460403
1.275,22.23711792345426,7.717958350340121,9.85166449408434
1.3,22.447052123408724,7.55947191308991,12.548669876588022
1.325,22.658384948440325,7.537733296584921,15.293979794495293
1.35,22.91153337640533,7.340693911854982,18.210461958145583
1.375,23.176987955516953,6.71346447678759,21.213700681273014
1.4,23.40074803816152,5.655263300588967,24.132492021800843
1.425,23.562367597718467,4.373437934579688,26.90138581906818
1.45,23.760715819656156,3.0611096016962995,29.48383794706927
1.475,24.223003193850978,1.7573762795404642,31.880686155675598
1.5,25.298891182248795,0.42149180229102107,34.19806760180578
1.525,26.64296168340677,-0.7634560928675808,36.42434711789624
1.55,26.907462684072964,-1.556962629316141,38.335903454711925
1.575,26.56717068117539,-2.370192567111732,40.118234850495114
1.6,25.7343850696665,-3.125282425366546,42.07046265536277
1.625,24.26418771859225,-3.248739548758055,44.17325902321607
1.65,22.785696056018057,-2.7545849178336286,46.74943031016989
1.675,21.18463959278326,-2.0287900378541934,50.05915885548296
1.7,19.28869209129722,-1.3636721871081205,53.75006457333455
1.725,17.010815341968424,-0.547181758627997,57.18401313062316
