Time [s],Flexion(+)/extension(-)
0.0,-12.013060122932961
0.05,-11.954439648415798
0.1,-11.897185626486815
0.15,-11.862414363415553
0.2,-11.791730255022951
0.25,-11.752472843661371
0.3,-11.782105605920313
0.35,-11.79007656152046
0.4,-11.733553789994518
0.45,-11.697422942270922
0.5,-11.718074194519673
0.55,-11.730269769528267
0.6,-11.731228742275736
0.65,-11.704787467642698
0.7,-11.70515371281091
0.75,-11.704926925529664
0.8,-11.734434868262381
0.85,-11.75476869230601
0.9,-11.78340857873995
0.95,-11.783576567837722
1.0,-11.792545712536704
1.05,-11.768504158616395
1.1,-11.765639819862217
1.15,-11.781844199508999
1.2,-11.792127738757674
1.25,-11.830949991014826
1.3,-11.847306302062313
1.35,-11.856716115518111
1.4,-11.864015057879962
1.45,-11.88167305400453
1.5,-11.88587485742783
1.55,-11.83237509521369
1.6,-11.602535323433
1.65,-11.044961495875748
1.7,-9.507499476881028
1.75,-6.641973991976961
1.8,-2.5443920874298622
1.85,2.7405495364477663
1.9,8.986399416735983
1.95,15.223965707314578
2.0,21.81966015735692
2.05,28.989788701705887
2.1,33.63913746160297
2.15,34.58657893019832
2.2,31.38383808778119
2.25,25.329480797374337
2.3,17.47617107983048
2.35,8.724005752121782
2.4,1.1509858344224204
2.45,-6.297315180226005
2.5,-13.516323997409511
2.55,-17.395448774554943
2.6,-16.789715627428663
2.65,-15.901441654088561
2.7,-15.567952911965591
2.75,-15.558639340708172
2.8,-15.939235766867245
2.85,-16.383390577797954
2.9,-16.167437968122723
2.95,-15.547522499263255
3.0,-14.823862979327318
3.05,-13.815140004095191
3.1,-11.046333507207374
3.15,-6.1140885114148755
3.2,-0.890223605853783
3.25,5.902423370230239
3.3,11.237019103888642
3.35,14.151869062316226
3.4,15.419070779099723
3.45,16.06878799436664
3.5,17.237737455892614
3.55,17.974666801550253
3.6,18.054718775695374
3.65,17.39614492076045
3.7,16.377621108416186
3.75,14.477952549702312
3.8,12.134159758893807
3.85,8.396677987165502
3.9,5.00140054543893
3.95,2.7964833063465564
4.0,0.27168636144712227
4.05,-1.8056067919157148
4.1,-2.9051298553116065
4.15,-4.6893604348641595
4.2,-6.567642040490424
4.25,-7.769719525670584
4.3,-8.872591789290967
4.35,-9.707356560312238
4.4,-10.351133318490799
4.45,-10.697053733508849
4.5,-10.776699837503676
4.55,-10.478017887740338
4.6,-9.964772707260638
4.65,-9.236241828848113
4.7,-8.735690067777512
4.75,-8.538597778572749
