Time [s],Flexion(+)/extension(-),Sidebend left(-)/right(+)
0.0,-6.927516431596051,-2.2828098446587006
0.05,-6.913928703942839,-2.2767557684014843
0.1,-6.872912143514062,-2.2654717591985682
0.15,-6.771220856406075,-2.2314917168294497
0.2,-6.67880120535678,-2.252621621782385
0.25,-6.7083579341342805,-2.237849407191723
0.3,-6.715500375426137,-2.220390404534753
0.35,-6.717472944915196,-2.1740566882992933
0.4,-6.6899354703093215,-2.119094454613418
0.45,-6.68903653757771,-2.1013468464756557
0.5,-6.669686397973322,-2.053862588859622
0.55,-6.536173556443838,-1.9883507141921208
0.6,-6.48153727443173,-1.9972103177221987
0.65,-6.460434569106574,-2.016668099179142
0.7,-6.4368343207970184,-2.019322765655305
0.75,-6.344471485864266,-1.9911322575110593
0.8,-6.2025480969688145,-1.9615722389399428
0.85,-6.037193358041281,-1.9452889822412358
0.9,-5.6937391710594705,-1.8674133055516398
0.95,-4.928562635144216,-1.7111356284238157
1.0,-3.7583053544361307,-1.4458854389548177
1.05,-3.327428302891921,-1.3223065212737612
1.1,-5.498637226282852,-1.6460717118797916
1.15,-10.594167032194719,-2.389549484579981
1.2,-16.95034529025691,-3.2899112552331133
1.25,-22.574477977186746,-4.336990427600841
1.3,-27.151537193205975,-5.823866660696627
1.35,-30.46269345844664,-6.935495411808056
1.4,-32.22311479400462,-7.4943627042585
1.45,-31.986303343277292,-7.705229724276039
1.5,-29.49366544123541,-7.7209029948663686
1.55,-25.33775753287335,-7.3200762435499245
1.6,-20.87748736589025,-6.607724046712744
1.65,-17.779069967732703,-6.357069539556949
1.7,-16.95905905119091,-6.377489563612778
1.75,-17.983422696259534,-6.812753312132769
1.8,-19.70811865721622,-7.534310532337622
1.85,-21.66928274082951,-7.354809468342511
1.9,-23.43122263201624,-6.8026407603726735
1.95,-25.342086209665755,-6.373750145610205
2.0,-27.657307533502006,-6.671752309550462
2.05,-28.99888783616822,-7.294130786220073
2.1,-29.70087211996127,-8.074541959813542
2.15,-29.384891647164274,-8.452647097714099
2.2,-28.171014044018218,-8.464238204345312
2.25,-26.67436077751517,-8.312020317166532
2.3,-24.683466604243186,-8.336784537074935
2.35,-22.928729359512396,-8.21390757062788
2.4,-22.42121503205156,-8.460422923111826
2.45,-24.171340589905856,-9.733485822505711
2.5,-28.529628330576955,-12.227410299446936
2.55,-34.011770256099986,-14.954493051568939
2.6,-38.83396382825454,-17.14026221973774
2.65,-43.05528375163145,-18.045234133057168
2.7,-45.99424235283093,-17.62755065866294
2.75,-46.29883558331627,-17.44347914591316
2.8,-45.274828953707505,-18.941904161986812
2.85,-44.65363263426709,-21.968310768696348
2.9,-43.21385554138644,-24.527991047459643
2.95,-41.46529893443124,-26.56780335184288
3.0,-38.89810780694325,-28.53194201452186
3.05,-35.058659979491324,-30.190129212045534
3.1,-31.132693265808125,-30.746024717896436
3.15,-28.77080360993656,-30.552258254215296
3.2,-27.75029000568142,-29.91365662210261
3.25,-27.245243339083693,-29.65541936094993
3.3,-26.784116336837204,-29.32528762916107
3.35,-25.274989402217052,-27.7389374271215
3.4,-24.942480788386977,-25.959828702374637
3.45,-24.84396934434117,-23.907305954759796
3.5,-22.677558681553883,-21.938766262438612
3.55,-19.59122633164588,-19.36587066931495
3.6,-18.51075423527182,-15.549764839826919
3.65,-20.639043085378624,-12.391546082932784
3.7,-21.413540624698054,-10.145026162243335
3.75,-19.601833091537003,-13.571632027867777
3.8,-16.091561557593458,-15.88649936657016
3.85,-10.986142888532253,-13.544648141488558
3.9,-5.425276776854196,-9.983799076207838
3.95,-9.52841986659985,-9.041550153137035
4.0,-19.092205240057996,-9.302302823547365
4.05,-22.3405702705546,-12.266953739917447
4.1,-23.999869470305388,-14.058438559817695
4.15,-25.123787700367867,-14.407827939124024
4.2,-27.577623641082155,-14.242196094733513
4.25,-31.0109184658943,-11.610065444107587
4.3,-29.88912784525487,-6.111697056956768
4.35,-17.137689324000174,-2.506889980597542
4.4,-3.1843854707269923,-2.9622626306983184
4.45,-2.7229167028515033,-4.059166744139244
4.5,-20.2483068783514,-2.707215731068101
4.55,-31.166670877889352,1.0522439087812032
4.6,-29.05189691467234,1.6736970381282974
4.65,-26.888504038913485,6.95987421305165
4.7,-25.999937918432124,9.98582294373107
4.75,-34.05576732896921,8.649189813367101
4.8,-39.03561611615219,7.457002105322295
4.85,-34.50710289996694,5.604615350587897
4.9,-23.228738612065428,3.025267856219584
4.95,-8.54602931221412,-0.9022310699416461
5.0,4.983824142260434,-2.3922396345802204
5.05,-0.5593759681284499,-1.9870579107979336
5.1,-15.322520160979135,-4.664770506715526
5.15,-24.809696049063817,-3.639773885725685
5.2,-22.424377726976754,-6.472800222434731
5.25,-15.843989043148834,-10.331981542902225
5.3,-11.558270790559305,-14.900196683705113
5.35,-13.93198170936944,-20.379633079121927
5.4,-27.47962987937294,-24.260229317406218
5.45,-30.07808518049577,-22.10805358029182
5.5,-17.70531181177652,-16.81389225811699
5.55,-0.6776422255915602,-10.378801680537201
5.6,16.87680101567682,-8.34668432514876
5.65,17.3760309739579,-8.979876889769498
5.7,-1.674704012644457,-8.383435925498144
5.75,-16.326985364397924,-7.293781591547052
5.8,-12.104567943425875,-3.641283685976343
5.85,-2.9420391926999545,2.996460277533879
5.9,6.858902874136364,7.1818041680910705
5.95,8.00170865561611,5.94151976322539
6.0,3.9631709368068972,6.959750308398855
6.05,7.327308275184008,1.7107323271210568
6.1,8.251707058673873,-3.9329495168940074
6.15,15.628947748897067,-8.753200878054155
6.2,20.773320422703012,-12.56955541167461
6.25,19.093636966480982,-8.511062694002684
6.3,11.083111022390622,-3.1464331075543077
6.35,5.720244113459483,-1.755784887717718
6.4,10.234402746805957,-5.333107411271706
6.45,15.841332980665737,-4.42684676607406
6.5,12.930909737363544,-3.9697777350865544
6.55,8.467614944607005,-2.0651043365578503
6.6,5.942485216259922,1.2389648683385677
6.65,8.41968780506887,5.543860208101071
6.7,14.189378940559193,7.069790554558421
6.75,19.873288615971887,3.141382538717157
6.8,18.70337014256076,-0.9697659411922656
6.85,1.7784125360146215,-2.8012553940474514
6.9,-14.527938730367318,-0.29371288715332095
6.95,-13.980705069175455,0.36146913371210393
7.0,-6.373627313340359,-0.5479287190652787
7.05,-3.937790156225296,-5.429616906862271
7.1,1.0398491683727773,-11.743405469002825
7.15,4.721851897219732,-17.294923520591347
7.2,-1.9659843673226123,-20.360474008214208
7.25,-17.339582146197067,-19.256472330427062
7.3,-23.02928074638493,-11.093345138138638
7.35,-16.286080067894158,-11.237706458043265
7.4,-5.369529943450967,-10.1213160492844
7.45,3.3025340310808646,-7.372775197577547
7.5,6.456525275239506,-7.985140892491575
7.55,0.13678114768984836,-13.307687364328196
7.6,-6.971676709928697,-13.670135957903252
7.65,-11.127739897283307,-13.594057532092355
7.7,-9.250173664689745,-16.252347673379774
7.75,-8.415764134134475,-18.65205349241946
7.8,-9.224067388558183,-20.409187342400227
7.85,-13.673888048303617,-22.846177321388332
7.9,-16.01806239510905,-20.276384179528485
7.95,-6.925705507812452,-19.007237494439266
8.0,5.505871335740758,-18.74366073231147
8.05,12.473252584937127,-18.527726195264762
8.1,9.056821501771614,-17.556424493905332
8.15,5.42054426550944,-15.927007457011534
8.2,5.176071815515025,-16.305353210565876
8.25,1.3528570593793527,-18.47744067903383
8.3,-7.428473998611631,-21.43289355595068
8.35,-11.769213334190434,-20.160912786629822
8.4,-6.606377670416577,-15.427354472072464
8.45,5.753776428528779,-9.595976884741285
8.5,14.8801154570703,-6.046087385142461
8.55,14.366517655559994,-5.799745654431135
8.6,9.678509512352376,-4.503353318397957
8.65,8.246849398066693,-2.049130871028886
8.7,5.21122886542032,-2.8556685247820184
8.75,-0.5679033474257744,-5.7639895761852245
