Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-23.55772237738072,-70.55338529492536
0.05,-23.50474736933652,-70.52243970337307
0.1,-23.537882494527633,-70.55515560920196
0.15,-23.56220538968604,-70.60972085227657
0.2,-23.580512354545387,-70.63182438471313
0.25,-23.565948518352894,-70.60852485127859
0.3,-23.540600154135326,-70.59879645416707
0.35,-23.485825953679434,-70.57774923468669
0.4,-23.476351973552724,-70.58539869777876
0.45,-23.513245462259906,-70.62276534469018
0.5,-23.541347574581945,-70.6421960786588
0.55,-23.543288481968712,-70.64529240091795
0.6,-23.523255249685143,-70.61676174183307
0.65,-23.534186028269758,-70.62115726026919
0.7,-23.57290635831176,-70.62304399619906
0.75,-23.628386456337925,-70.64794546792622
0.8,-23.671805726868556,-70.66970526584498
0.85,-23.710171464700217,-70.66255550786667
0.9,-23.731099212314113,-70.67335229752308
0.95,-23.717893346195666,-70.66771623719374
1.0,-23.733529847879517,-70.66743615224063
1.05,-23.734284605388048,-70.64710671819228
1.1,-23.641501642120463,-70.54337436712913
1.15,-23.53959156074332,-70.34890679345435
1.2,-23.49637720397501,-70.21597850796779
1.25,-23.458356147368733,-70.11294878671681
1.3,-23.42886516657643,-70.08995903529953
1.35,-23.42411991675561,-70.39912991655194
1.4,-24.129101866433874,-70.2224469177861
1.45,-28.81831862076321,-70.81535917751383
1.5,-34.78280286894739,-73.04487604266366
1.55,-38.83630533653155,-74.06524967540645
1.6,-38.09239057270912,-72.01264485919431
1.65,-35.27487703327771,-71.34873925525001
1.7,-31.66637885025296,-72.71158405112084
1.75,-27.210430773484546,-76.3633169240703
1.8,-19.837171599190494,-80.63202010206021
1.85,-7.371902418456162,-83.78621662348006
1.9,5.326748686779078,-87.08051565623374
1.95,14.89595906385738,-90.19448448370949
2.0,20.344018078335573,-93.37379403524703
2.05,24.03105716340455,-96.74585443632769
2.1,26.724374982509776,-100.61467768722656
2.15,27.69477130682161,-103.56526647196885
2.2,28.349342694383292,-105.63389659900783
2.25,26.979474642204625,-108.70807021356136
2.3,24.644646603542082,-111.74236298396785
2.35,22.652592129818103,-113.98196143674359
2.4,22.02107368469344,-115.01580092549763
2.45,20.243021816998336,-116.11112126336826
2.5,17.30992615513273,-117.16900202411362
2.55,16.455824857456243,-115.05440598847406
2.6,13.961162157454034,-110.75159563046263
2.65,7.468308354538825,-104.8396924341449
2.7,-2.7816634718142588,-98.73196768127885
2.75,-13.598949181615646,-92.71272607745516
2.8,-22.875120017414577,-86.3336614792407
2.85,-30.640249212258357,-79.67397929023781
2.9,-36.602956582758985,-73.25001253461903
2.95,-41.92098545105483,-67.14087886429513
3.0,-45.89615443594617,-60.961698927966225
3.05,-48.64341994951359,-54.56892880954859
3.1,-50.004425582825114,-48.132951202766826
3.15,-50.677133654788264,-41.67602867384428
3.2,-51.23759744099924,-36.67846944370229
3.25,-51.42350234154646,-32.47797983807668
3.3,-51.10784378124192,-28.522114344749742
3.35,-50.40212531581447,-24.341474427102668
3.4,-49.830486335550134,-20.446594208259427
3.45,-49.945154794333526,-17.097529795427295
3.5,-50.2900098922758,-13.567238165967405
3.55,-50.04711893383541,-9.663003986751526
3.6,-49.4323919704381,-5.969739564419439
3.65,-48.94608075245,-3.1640739911559064
3.7,-48.57291964495788,-1.3070998804672975
3.75,-48.172311532944164,0.3276615821207911
3.8,-47.6518336607262,1.859954908116902
3.85,-47.12821950677904,3.1636123166020376
3.9,-46.67080317614257,4.216717330485523
3.95,-46.18096170184947,5.145280819601724
4.0,-45.72981034611567,5.861597998517876
4.05,-45.467299222687664,6.3967829486372665
4.1,-45.224071821658455,6.997760883909711
4.15,-45.01560288478404,7.6588734109298695
4.2,-44.877485440861044,8.23549423425738
4.25,-44.846749329859115,8.514794947433902
4.3,-44.72192136343407,8.763208415694319
4.35,-44.60074054778907,9.01354155239567
4.4,-44.52014330296652,9.370170069173646
4.45,-44.252509764057656,9.797119287617518
4.5,-43.85069910622688,10.17388318744621
4.55,-43.508283786075935,10.407901242585691
4.6,-43.25537878670844,10.583081246015484
4.65,-42.92121366232602,10.784272708259477
4.7,-42.594977498243615,10.847263555131736
4.75,-42.39758551008565,10.879674772777316
4.8,-42.24942442988176,10.928608267156557
4.85,-42.11541540232568,10.941878675365157
4.9,-41.98820787685385,11.028174855486265
4.95,-41.86198690592108,11.062529685606165
5.0,-41.8151645585153,11.042072310134749
5.05,-41.829409018833395,10.962107782894702
5.1,-41.87119268104913,10.70656378265436
5.15,-42.06297507888787,10.107651656285109
5.2,-42.473589017161075,9.296031973937989
5.25,-42.989553180313216,8.502888858471787
5.3,-43.65732954084359,7.658999846336507
5.35,-44.58017338501104,6.599033707181628
5.4,-45.83595687469331,5.069781613475335
5.45,-47.360231533070596,2.9214767460876305
5.5,-48.96388960553666,0.28860273097124317
5.55,-50.738453018976315,-3.191503713083957
5.6,-52.64189367503204,-7.634476740135841
5.65,-54.483147559299645,-12.891068546407219
5.7,-56.11000060479125,-18.73287136361758
5.75,-57.729759902008865,-24.951252174029236
5.8,-59.84803945930544,-31.216484583133642
5.85,-62.80772561336763,-37.39237276517245
5.9,-66.04137271120722,-43.0654561832911
5.95,-69.03049403633351,-48.046390178137806
6.0,-71.86418175268929,-52.61986485297136
6.05,-74.20820656623044,-56.568020857144695
6.1,-75.57140563383537,-59.25988215045075
6.15,-75.8458233607752,-60.92144712548925
6.2,-74.9143507548302,-62.17996750141817
6.25,-72.84416337406624,-63.485455946459474
6.3,-69.7946082823412,-64.7213861666081
6.35,-67.58937675829176,-67.30327328761821
6.4,-67.35783272363325,-69.67143502507137
6.45,-67.7872076473799,-70.27049574457806
6.5,-68.1460729124573,-69.69986097732516
6.55,-68.42953914028706,-69.3322605800799
6.6,-68.63170619858576,-68.87758482521723
6.65,-68.9507024547409,-68.40791870356476
6.7,-69.38019186860386,-68.10445655085512
6.75,-69.7365638612805,-67.84714149397387
6.8,-70.03727653745958,-67.37979991907038
6.85,-70.27979874958982,-66.69036955920663
6.9,-70.43005553861413,-65.9298817409967
6.95,-70.50030732216598,-65.32953507464508
7.0,-70.5127391683915,-64.80171096654932
7.05,-70.53487752841596,-64.30386466610814
7.1,-70.5736975465345,-63.89339459760813
7.15,-70.56677570368687,-63.527720973177225
7.2,-70.47460403550954,-63.20849724079257
7.25,-70.31886896585661,-62.91175770244721
7.3,-70.22100494661683,-62.75343458056127
7.35,-70.21947450287931,-62.718507444072294
7.4,-70.24499353247029,-62.75549825035574
7.45,-70.17233963814381,-62.72659571348269
7.5,-70.01651455294368,-62.65255512808012
7.55,-69.89987950765547,-62.64654470538517
7.6,-69.87833209903081,-62.66068134478544
7.65,-69.89317977084251,-62.644412015303864
7.7,-69.79775877843824,-62.52074507456994
7.75,-69.6241654850293,-62.35289282383249
7.8,-69.56213282987135,-62.29882821377021
7.85,-69.63829461711977,-62.31762915052457
7.9,-69.74271041035753,-62.347517676177496
7.95,-69.63513398953151,-62.26640959905592
8.0,-69.44811993661322,-62.223634394326524
8.05,-69.48514276124378,-62.35657611074481
8.1,-69.6295482831199,-62.50819002307182
8.15,-69.62808691427901,-62.51585476750938
8.2,-69.40005254630964,-62.37595822670058
8.25,-69.24161805978973,-62.331755599166414
8.3,-69.322162970295,-62.39761434739328
8.35,-69.40994984047232,-62.45984119160411
8.4,-69.21394282859629,-62.30442942323484
8.45,-68.87839117410873,-62.15058952825487
8.5,-68.84326589231193,-62.229942967144346
