Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-35.313978578118636,-20.25005152282927,19.550443567392513
0.05,-35.24957910814199,-20.265453360181777,19.550040564512596
0.1,-35.18623336557064,-20.322002767018514,19.53301444968902
0.15,-35.25704734691488,-20.295736124854564,19.558663775922987
0.2,-35.287161746967186,-20.261740952153186,19.576000725125173
0.25,-35.273467469490306,-20.293005354173022,19.560570370951293
0.3,-35.31403279369154,-20.33506258037148,19.552343791366255
0.35,-35.310295199075185,-20.30419860645789,19.54799415470971
0.4,-35.29076729694369,-20.28450242345789,19.57152889868821
0.45,-35.29788118781401,-20.301721872097968,19.57976041696142
0.5,-35.301719001345305,-20.28190520114813,19.57222500010935
0.55,-35.295847626071065,-20.25568113964397,19.60216264847397
0.6,-35.29474544904404,-20.242759841752946,19.58952467537039
0.65,-35.314792195795945,-20.24237355768197,19.57335285924665
0.7,-35.32459913008608,-20.21189523995963,19.541329907631354
0.75,-35.296991997977926,-20.189904445380986,19.49295318464114
0.8,-35.24875104175145,-20.173665793502845,19.45580661042354
0.85,-35.250432277862785,-20.153315569142674,19.411950029274156
0.9,-35.256221704476204,-20.139215724809564,19.414164670524574
0.95,-35.26547259585196,-20.189751228630648,19.39102175708742
1.0,-35.24825318499118,-20.19851500379191,19.303022529747373
1.05,-35.26081571197517,-20.194688757694088,19.265231815007905
1.1,-35.303890807646184,-20.261445776996364,19.31310707937246
1.15,-35.44042576881924,-20.25621205649397,19.389378296615426
1.2,-35.59353957059991,-20.23062088253622,19.426116958636545
1.25,-35.67418336663897,-20.221356089308212,19.42908159013747
1.3,-35.56810269029945,-20.179150557032862,19.42156119698145
1.35,-35.658432095847125,-20.198711939442585,19.424279099670954
1.4,-37.024845833761646,-20.451734226059763,19.457483462751625
1.45,-38.20085862143651,-20.229263010910262,18.965376228992778
1.5,-39.331437422522654,-20.391488573905686,18.29883073379326
1.55,-41.24671494416774,-20.899481638614688,17.707885788887623
1.6,-44.2971579970381,-21.622024648057437,16.958587612010152
1.65,-48.26394146616549,-22.26525910063626,17.049606573012316
1.7,-52.38985222492979,-22.84360804878678,18.290298558632532
1.75,-56.66065408688847,-23.711172796683837,20.63338003766485
