Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-1.591947769166102,-0.2847593196978905
0.025,-1.5825417669719317,-0.296312201507221
0.05,-1.5681224163425382,-0.3143774418948363
0.075,-1.5555815063512441,-0.33727438978749336
0.1,-1.556369741519698,-0.35999730092404864
0.125,-1.576293992985965,-0.37813897542731034
0.15,-1.607960513062621,-0.40254840469342945
0.175,-1.6451291745420948,-0.43332323942036055
0.2,-1.6855933475441431,-0.44499345232343035
0.225,-1.7256944256153663,-0.4239433704334064
0.25,-1.7644519225471353,-0.3915568999064436
0.275,-1.8042346898927653,-0.37602038043485714
0.3,-1.844508420467443,-0.3857080665383569
0.325,-1.8837238172175532,-0.4098740818412326
0.35,-1.9244982595658613,-0.4292519475541451
0.375,-1.9581091849256473,-0.42917863572549264
0.4,-1.9810589702188002,-0.410281269699045
0.425,-2.0017646965911466,-0.39332228253913615
0.45,-2.027893149027408,-0.40194727027453814
0.475,-2.0531954802103534,-0.4365345433123858
0.5,-2.0618763805685796,-0.47056562259579343
0.525,-2.0551791885594652,-0.4777145648038132
0.55,-2.0427028083647456,-0.460381409374478
0.575,-2.022725070665606,-0.4469084865960179
0.6,-1.9874500785162021,-0.45569390476338517
0.625,-1.953754285848269,-0.47325529454589477
0.65,-1.9321509896244726,-0.48107668342074394
0.675,-1.9193035744212898,-0.48471322376767384
0.7,-1.9158739744795021,-0.4967117310825652
0.725,-1.924643505687726,-0.5130547754482124
0.75,-1.9399216908413635,-0.5201890795264013
0.775,-1.9649028502386505,-0.5181673627604101
0.8,-2.0070822655509093,-0.5173510967802
0.825,-2.059258077502335,-0.5201890671166418
0.85,-2.110130397317672,-0.5196461439884243
0.875,-2.1548698357533485,-0.5119483702647475
0.9,-2.1919152926434937,-0.4992507098574215
0.925,-2.2209957358571777,-0.48493578888952366
0.95,-2.2392088256393294,-0.46783989910981005
0.975,-2.2421871878696025,-0.43953007443974784
1.0,-2.2246293621118935,-0.3956819486108109
1.025,-2.1856060511053204,-0.33883330426309993
1.05,-2.1358639647016258,-0.2776976023592345
1.075,-2.089469106479677,-0.23196410046925173
1.1,-2.052064920908829,-0.2238698306651649
1.125,-2.02416603218711,-0.2457299574289752
