Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-5.80786834989272,-1.0507207557756186,-2.147261628387455
0.025,-5.798850052877456,-1.0612157300086873,-2.126541313638311
0.05,-5.808753241759152,-1.0814887393177484,-2.0784039606342897
0.075,-5.8333448930059335,-1.103761356611569,-2.0186170977274207
0.1,-5.846214458902402,-1.1201617110794746,-1.971488575606742
0.125,-5.843509963674503,-1.1300903482661069,-1.9376141502443345
0.15,-5.833353791110219,-1.1374426876868389,-1.9019472780806064
0.175,-5.811156472277236,-1.1450303197277396,-1.859270075155325
0.2,-5.770434668848549,-1.1424078916983538,-1.8356757715442642
0.225,-5.729947758318086,-1.1218332112099993,-1.853247092026349
0.25,-5.717205812591231,-1.106946162064864,-1.8856013877149993
0.275,-5.729348101439729,-1.1025642973690495,-1.9123865419690511
0.3,-5.738770148625945,-1.1049248309845472,-1.9248800195968585
0.325,-5.718350604132809,-1.1094488393337412,-1.9225800673736906
0.35,-5.676609250527411,-1.1110880551090079,-1.9206939617227463
0.375,-5.6319548650554925,-1.104098232711209,-1.945203075930627
0.4,-5.581966674451217,-1.1010175420232247,-1.9851414732997128
0.425,-5.528315585445461,-1.1066369362471151,-2.0181264005124095
0.45,-5.479249445641678,-1.1114130548954482,-2.034022884734434
0.475,-5.4372417379693285,-1.1129281982974208,-2.023417243381118
0.5,-5.390038932047794,-1.1088648799683478,-2.0020266031522937
0.525,-5.332494841477038,-1.1003683971279374,-1.9957558240214166
0.55,-5.276817078716817,-1.0882117760067198,-2.007919518345816
0.575,-5.231727972158713,-1.069411334744611,-2.0225744264028958
0.6,-5.195807277857337,-1.0459286325642716,-2.0238273499772226
0.625,-5.17575913305089,-1.026319119039472,-2.004407559514137
0.65,-5.177141257976177,-1.0127192244135232,-1.9760765106276654
0.675,-5.195277119787863,-0.998440571593491,-1.9463527289756715
0.7,-5.219946554284375,-0.981864420285493,-1.9115400547930421
0.725,-5.24128523533291,-0.962337753338,-1.8736135964443128
0.75,-5.255944299442549,-0.9426617912562355,-1.8357354303195483
0.775,-5.260263180026083,-0.9273074041592755,-1.7939777713230547
0.8,-5.253266886305961,-0.9180274772357637,-1.742772507785454
0.825,-5.236417074570714,-0.9159269820070562,-1.68260478924682
0.85,-5.215946289623632,-0.9188730923226416,-1.6245460650357224
0.875,-5.201394620634039,-0.9197668735237166,-1.584762412986589
0.9,-5.185701724654053,-0.9156054275917356,-1.5711858065480568
0.925,-5.168668613346801,-0.9079928541243195,-1.5829601784414604
0.95,-5.182650607882204,-0.8912463248841294,-1.6232218544543267
0.975,-5.258168264014101,-0.8550845314638214,-1.703597484686469
1.0,-5.3709489161351955,-0.8027215119235775,-1.818866594147701
1.025,-5.491276757703705,-0.7659173024218712,-1.9263717868992307
1.05,-5.6071610724882115,-0.7534089745609089,-2.0088642049917715
1.075,-5.724982526892917,-0.7486579083754249,-2.075197157024753
1.1,-5.844455442358107,-0.7485097691103145,-2.107974775722652
1.125,-5.949855074805793,-0.7577386106108716,-2.1056655994788214
1.15,-6.034544182174568,-0.7715412069864003,-2.1080180012834617
1.175,-6.112435325557061,-0.7783268024593132,-2.1370333670420965
1.2,-6.1881937295802665,-0.7627399551435224,-2.1773529671299783
1.225,-6.258243416598082,-0.7339563348301233,-2.2193974597311477
1.25,-6.343739321594266,-0.7142396443912317,-2.248657628884935
1.275,-6.469209291122695,-0.7072760205607594,-2.270250281280583
1.3,-6.604138074436981,-0.6966538836517083,-2.299507707223014
1.325,-6.742631020170618,-0.6906821898914318,-2.3386813489627647
1.35,-6.89136438154503,-0.6964656319685618,-2.3785674165161588
1.375,-7.046396943253122,-0.697094999250547,-2.4378673097282055
1.4,-7.178439088877366,-0.690714927775304,-2.5098174306261494
1.425,-7.2687072203530105,-0.6875920067196497,-2.560963469679446
1.45,-7.317655732774374,-0.6863396282770292,-2.5914678670617253
1.475,-7.32769819710173,-0.6814460653891863,-2.6113187415631973
1.5,-7.301055247721218,-0.6766624659164883,-2.61746031877128
1.525,-7.251923899782998,-0.676452123924548,-2.6101739953703036
1.55,-7.190538806049349,-0.6773684664773094,-2.594689306359404
1.575,-7.11766720959939,-0.6825213738481601,-2.568763443361566
1.6,-7.036446453606933,-0.6954878289456928,-2.5325087912915314
1.625,-6.954019815212928,-0.7046119626138594,-2.5080783706786307
1.65,-6.88327838203377,-0.6987044743274677,-2.497913787843109
1.675,-6.798460657001619,-0.6805538911716977,-2.4892987940184517
1.7,-6.682040885567767,-0.6575153291984344,-2.471230172392107
1.725,-6.542934080625102,-0.6386524769432697,-2.429967919326514
1.75,-6.386657475861863,-0.6398447549623472,-2.350650361004321
1.775,-6.197562573876255,-0.672131903847628,-2.232532323025697
1.8,-5.946444759363445,-0.7298782615778727,-2.083348230757563
1.825,-5.631478852407766,-0.8112255659905976,-1.8975546492048578
1.85,-5.286644881976304,-0.9004718771804582,-1.6898331882994233
1.875,-4.944939602417358,-0.9709034654737689,-1.4944960975331516
1.9,-4.688773244750723,-1.0180548251410864,-1.3333626800944494
1.925,-4.562691106174972,-1.0421964771875474,-1.2045963492080494
1.95,-4.495455734334702,-1.0472474693598381,-1.0854953002193641
1.975,-4.427274245683619,-1.0467894380081924,-0.9782385154921663
2.0,-4.329335906686119,-1.0445812230231513,-0.8890984771296777
2.025,-4.190322947603578,-1.0352475808380655,-0.8012750197404861
2.05,-4.017062363477206,-1.0171744518103938,-0.7093928072537575
2.075,-3.8404723263781437,-1.002232363154084,-0.6214618576551604
2.1,-3.699407569420223,-1.0070635220128052,-0.5428732604595209
2.125,-3.627433454263016,-1.0247372091203377,-0.48754768143938565
2.15,-3.6156362763141994,-1.0424537956746778,-0.4561354620740045
2.175,-3.6189425384487994,-1.054664340008536,-0.43776365735408995
2.2,-3.593683367288224,-1.0601492452133034,-0.4301608927833244
2.225,-3.5192551069651676,-1.063054558730968,-0.42858293473210196
2.25,-3.4101427488930485,-1.0652961333059328,-0.4256325640172554
2.275,-3.2892565775737896,-1.0585663543993953,-0.43105746571140047
2.3,-3.1706294244584745,-1.0600793232056875,-0.4169323078179014
2.325,-3.0700501610152116,-1.0803905805561016,-0.36700448880981595
2.35,-3.006128064586102,-1.1048178091498595,-0.29854383764135944
2.375,-2.958166597524652,-1.1250206063867438,-0.2216857461894051
2.4,-2.8843195672786313,-1.1463677877728533,-0.1552646903967215
2.425,-2.7782856141906973,-1.1688754401005252,-0.12129732222484838
2.45,-2.6689034929082927,-1.184829861835417,-0.11966478710995967
2.475,-2.583726973329747,-1.1943954518544726,-0.12940721067555605
2.5,-2.515214823856937,-1.2070614919703853,-0.13685355348597475
2.525,-2.4409026933382796,-1.2306957582990161,-0.13933009185705034
2.55,-2.3608979285818243,-1.2617918181797572,-0.13975029760090257
2.575,-2.29429641429385,-1.2936157104810955,-0.12476381120505106
2.6,-2.2549898007876057,-1.3255845560414212,-0.08795109569296225
2.625,-2.234814913928371,-1.3501310496778545,-0.05299086817200264
2.65,-2.2235555607985265,-1.3570933251790858,-0.04382037360175109
2.675,-2.2236481917546085,-1.3507808865775648,-0.055526512327070475
2.7,-2.237218835855106,-1.3440961335720514,-0.06872670110804253
2.725,-2.2640932426445004,-1.3417444497402664,-0.07894242126385494
2.75,-2.294455934156298,-1.3348833084599072,-0.10527402858167721
2.775,-2.318277771389472,-1.307180331882569,-0.16510947459922903
2.8,-2.326688189337902,-1.2584788808920107,-0.24056518229846924
2.825,-2.304206710439389,-1.2097737531153514,-0.3018758629890899
2.85,-2.239501098605509,-1.174383804721334,-0.3498920766531135
2.875,-2.1426776815776525,-1.15029485865211,-0.39539814658967354
2.9,-2.0377276322578584,-1.1242232840450157,-0.4463079362092981
2.925,-1.985316973555127,-1.1095988489893376,-0.4747324115172732
2.95,-2.0340970247196712,-1.1152992161954665,-0.453330337705765
2.975,-2.160199864114141,-1.1350781179817435,-0.3860444893461713
3.0,-2.306429667294686,-1.165672600125556,-0.28482443339276997
3.025,-2.428640397520458,-1.1964903989955686,-0.20126731636742773
3.05,-2.534119354026316,-1.2166524056374766,-0.18401669065756726
3.075,-2.6462398705584236,-1.2259713081769965,-0.21568978948879003
3.1,-2.7673824051133487,-1.2242870595697413,-0.2578628023184781
3.125,-2.895516841686758,-1.2097979372704675,-0.30685302958361726
3.15,-3.0280576033315922,-1.1908328386435307,-0.3679595325196387
3.175,-3.1622746269812736,-1.1854192517962385,-0.41578129789900237
3.2,-3.284920042754534,-1.1882438236198016,-0.44459843211702765
3.225,-3.374122306395064,-1.1841701864435983,-0.48299670529579625
