Time [s],Acc_x [m/s^2],Acc_y [m/s^2],Acc_z [m/s^2],Gyro_x [1/s],Gyro_y [1/s],Gyro_z [1/s]
0.0,0.015214585699141026,-0.18689633905887604,0.006981544196605682,0.021458104252815247,-0.021371982991695404,-0.04670717939734459
0.025,0.0227822195738554,-0.18681909143924713,0.010397948324680328,0.02145829051733017,-0.021372132003307343,-0.046707022935152054
0.05,0.03541725128889084,-0.18472863733768463,0.015279708430171013,0.02143189311027527,-0.021272845566272736,-0.04667877033352852
0.075,0.06248141825199127,-0.16983510553836823,0.021470164880156517,0.020520567893981934,-0.017759833484888077,-0.04563913121819496
0.1,0.1098439171910286,-0.13555146753787994,0.02898595854640007,0.01275667455047369,0.011723360978066921,-0.035853661596775055
0.125,0.12786002457141876,-0.11561299860477448,0.03040933422744274,0.003641168586909771,0.03626342490315437,-0.017064018175005913
0.15,0.07815751433372498,-0.1151905208826065,0.018229087814688683,-0.004955732263624668,0.027049027383327484,-0.005711533594876528
0.175,0.013154175132513046,-0.09366989880800247,-0.016316654160618782,-0.006751271430402994,0.00526552414521575,-0.008904713205993176
0.2,-0.02384825423359871,-0.10977556556463242,-0.07697152346372604,-0.00012935372069478035,-0.017921598628163338,-0.015323709696531296
0.225,-0.02217109687626362,-0.16761210560798645,-0.09820038825273514,0.008462583646178246,-0.02533108741044998,-0.018789278343319893
0.25,-0.054413072764873505,-0.18007853627204895,-0.10499630868434906,0.017973752692341805,-0.027239693328738213,-0.03123377449810505
0.275,-0.09815996885299683,-0.17043116688728333,-0.13679096102714539,0.029482338577508926,-0.024178413674235344,-0.046793390065431595
0.3,-0.04857122153043747,-0.1771564781665802,-0.12184442579746246,0.041596196591854095,-0.014119253493845463,-0.0565834566950798
0.325,0.018738441169261932,-0.1739683300256729,-0.05141053721308708,0.0491214394569397,0.01783914864063263,-0.06188357621431351
0.35,0.02527349442243576,-0.16134358942508698,-0.01213764026761055,0.054801274091005325,0.0420294851064682,-0.0650939792394638
0.375,0.023124853149056435,-0.1503772884607315,-0.017641082406044006,0.05590345710515976,0.03516393154859543,-0.06801120936870575
0.4,0.05757753923535347,-0.12969782948493958,-0.054134540259838104,0.06168016046285629,0.015066459774971008,-0.059223927557468414
0.425,0.09530270844697952,-0.09331704676151276,-0.06604885309934616,0.06096046417951584,-0.0003145560040138662,-0.051796529442071915
0.45,0.08784015476703644,-0.08300401270389557,-0.0699709802865982,0.06655934453010559,0.001903772121295333,-0.0481053926050663
0.475,0.09733512997627258,-0.14012816548347473,-0.05750105902552605,0.07118973881006241,0.011320368386805058,-0.03624063730239868
0.5,0.07548188418149948,-0.19495871663093567,-0.021652214229106903,0.07191232591867447,0.009591428562998772,-0.030654003843665123
0.525,0.057315681129693985,-0.19963553547859192,-0.01359116192907095,0.06593921035528183,-0.005791091360151768,-0.03141690418124199
0.55,0.06714692711830139,-0.1683530956506729,-0.03777782991528511,0.05971061810851097,-0.0034235294442623854,-0.02433886006474495
0.575,0.04574310779571533,-0.16061784327030182,-0.04543668404221535,0.0554768368601799,0.026458125561475754,-0.016776978969573975
0.6,0.0019479329930618405,-0.18128682672977448,-0.0017303519416600466,0.05460840463638306,0.06267660856246948,-0.018283063545823097
0.625,-0.02603320963680744,-0.17882634699344635,0.048962004482746124,0.05619960278272629,0.07432719320058823,-0.021560294553637505
0.65,-0.009433368220925331,-0.16614915430545807,0.05381937697529793,0.058322444558143616,0.03695972263813019,-0.03021215833723545
0.675,0.014320917427539825,-0.15381623804569244,0.047851283103227615,0.058515507727861404,0.013980773277580738,-0.03333524614572525
0.7,0.008369984105229378,-0.15693189203739166,0.05574188753962517,0.050970759242773056,0.009260673075914383,-0.03674578666687012
0.725,-0.012440722435712814,-0.159149169921875,0.06870146840810776,0.0466914102435112,0.004392761737108231,-0.04588717967271805
0.75,-0.013993265107274055,-0.1556854397058487,0.05565526708960533,0.04421373829245567,0.00347744463942945,-0.04967014864087105
0.775,-0.0057662902399897575,-0.14940357208251953,0.07563731074333191,0.04785556346178055,0.017204126343131065,-0.05667589604854584
0.8,0.02099481038749218,-0.13055992126464844,0.16936060786247253,0.04797627031803131,0.025538722053170204,-0.06034771725535393
0.825,0.038403645157814026,-0.09467028826475143,0.21062548458576202,0.04817672818899155,-0.0004425283696036786,-0.0625016838312149
0.85,0.03930582106113434,-0.06889818608760834,0.16570018231868744,0.046924617141485214,-0.03412012383341789,-0.06366811692714691
0.875,0.053209275007247925,-0.07437895983457565,0.14520864188671112,0.05943312123417854,-0.06471696496009827,-0.06950665265321732
0.9,0.06671445071697235,-0.04855823144316673,0.11421620100736618,0.07501636445522308,-0.09247838705778122,-0.06958336383104324
0.925,0.10509514808654785,-0.03164577856659889,0.0255734845995903,0.07145196199417114,-0.13722443580627441,-0.07302611321210861
0.95,0.13614533841609955,-0.06162358820438385,-0.03485097363591194,0.05946964770555496,-0.14323413372039795,-0.05921432375907898
0.975,0.07773694396018982,-0.08075524866580963,-0.025460923090577126,0.05029066652059555,-0.10416875034570694,-0.041195981204509735
1.0,0.03275691345334053,-0.06948471814393997,-0.017224600538611412,0.025509731844067574,-0.08492791652679443,-0.03443867340683937
1.025,0.022050321102142334,-0.04155922681093216,-0.01871492527425289,0.01422794722020626,-0.08352549374103546,-0.03113660216331482
1.05,-0.004166033584624529,-0.012660025618970394,0.022350598126649857,0.00943420547991991,-0.07220497727394104,-0.023812325671315193
1.075,-0.004585825838148594,0.008002287708222866,0.043168582022190094,0.025459926575422287,-0.08193118870258331,-0.03317534551024437
1.1,0.0628572329878807,-0.043813712894916534,-0.010847585275769234,0.03237162157893181,-0.09097422659397125,-0.03464680537581444
1.125,0.07789333909749985,-0.10941126197576523,-0.0407312735915184,0.028069665655493736,-0.09574568271636963,-0.03164544329047203
1.15,0.03023352101445198,-0.11281206458806992,-0.028497597202658653,0.01924295350909233,-0.09677267074584961,-0.025665704160928726
1.175,0.02746528387069702,-0.04970552399754524,-0.07822617143392563,0.010391563177108765,-0.08478827029466629,-0.024232717230916023
1.2,0.058442551642656326,-0.013606090098619461,-0.12886744737625122,0.008459657430648804,-0.050358884036540985,-0.018140200525522232
1.225,0.08291739970445633,-0.01745988242328167,-0.07792294025421143,0.014006556011736393,-0.019506756216287613,-0.019966818392276764
1.25,0.06359456479549408,-0.025424009189009666,-0.00348832574672997,0.022449759766459465,-0.006128138396888971,-0.019536355510354042
1.275,0.08452127873897552,-0.06443119049072266,0.07526016235351562,0.030770374462008476,-0.022275833413004875,-0.011274928227066994
1.3,0.11716050654649734,-0.09899807721376419,0.07438425719738007,0.03650053218007088,-0.05553548410534859,-0.009050571359694004
1.325,0.08040280640125275,-0.049456603825092316,0.0209038145840168,0.028495650738477707,-0.06907854229211807,0.0008035075734369457
1.35,0.057706959545612335,-0.012662897817790508,-0.06199326366186142,0.023718273267149925,-0.06729846447706223,0.010677472688257694
1.375,0.11530647426843643,-0.018126511946320534,-0.16385801136493683,0.009910084307193756,-0.09501133859157562,0.014280722476541996
1.4,0.11361603438854218,-0.05352214723825455,-0.23757269978523254,-0.005387443583458662,-0.07878226041793823,0.01492293644696474
1.425,0.03190591558814049,-0.09675411880016327,-0.223205104470253,-0.01129253301769495,-0.028347516432404518,0.019269313663244247
1.45,-0.02837955206632614,-0.13121895492076874,-0.2086123377084732,-0.015414336696267128,-0.01657503843307495,0.011362570337951183
1.475,-0.02596181258559227,-0.16506771743297577,-0.2013927698135376,-0.016941111534833908,-0.02238997258245945,0.0025207342114299536
1.5,0.004012750461697578,-0.14560511708259583,-0.18089231848716736,-0.009936225600540638,-0.024420928210020065,-0.007110921666026115
1.525,0.0374591238796711,-0.1158934012055397,-0.16189703345298767,-0.008497178554534912,-0.015144582837820053,-0.015215243212878704
1.55,0.06471672654151917,-0.11014845967292786,-0.13772717118263245,-0.004671336617320776,0.004160884767770767,-0.016642505303025246
1.575,0.08647006750106812,-0.10593226552009583,-0.09523710608482361,-0.0012680159416049719,0.00695247296243906,-0.021491682156920433
1.6,0.09257185459136963,-0.11913970112800598,-0.07945837080478668,-0.0023873578757047653,0.013807632029056549,-0.01587207242846489
1.625,0.06724666804075241,-0.13054946064949036,-0.08920588344335556,-0.004552786238491535,0.01952742598950863,-0.01430003996938467
1.65,0.05479506403207779,-0.10740187019109726,-0.08075421303510666,0.003951773047447205,0.018560687080025673,-0.022086510434746742
1.675,0.05752618610858917,-0.06599141657352448,-0.055314257740974426,0.0008400187361985445,0.017758328467607498,-0.021501103416085243
1.7,0.0865570679306984,-0.027073871344327927,-0.04914437606930733,-0.005114973522722721,0.01878729835152626,-0.02275102399289608
1.725,0.09887321293354034,0.006906494498252869,-0.11593672633171082,-0.008283641189336777,0.019358471035957336,-0.022728396579623222
1.75,0.09109833836555481,0.0025605917908251286,-0.18904627859592438,-0.013203628361225128,0.01637798175215721,-0.02650867961347103
1.775,0.08055064082145691,-0.014458684250712395,-0.20578327775001526,-0.018379006534814835,0.00815577432513237,-0.02750847116112709
1.8,0.11563143134117126,-0.012782124802470207,-0.1993560940027237,-0.026631010696291924,0.0004673890070989728,-0.025845840573310852
1.825,0.16261884570121765,-0.0075722006149590015,-0.18913403153419495,-0.03012322634458542,0.0038842333015054464,-0.02328014187514782
1.85,0.1419239640235901,0.0020217709243297577,-0.13626091182231903,-0.032967276871204376,0.04343952238559723,-0.011204997077584267
1.875,0.14842981100082397,0.02176092378795147,-0.12505286931991577,-0.03366320952773094,0.05317143723368645,-0.005508179310709238
1.9,0.2137545645236969,0.03427503630518913,-0.14440587162971497,-0.025143835693597794,0.04204016551375389,0.009939832612872124
1.925,0.22918717563152313,0.026060083881020546,-0.1637345850467682,-0.02115153707563877,0.055619966238737106,0.02596846967935562
1.95,0.23410719633102417,0.005177470855414867,-0.1919417679309845,-0.014723137021064758,0.03924497216939926,0.03901581093668938
1.975,0.21207550168037415,-0.01167299784719944,-0.16420088708400726,0.0023215683177113533,0.03351238742470741,0.07467781752347946
2.0,0.09681585431098938,-0.04728413745760918,-0.0026694219559431076,0.04397900030016899,0.05298486724495888,0.09362396597862244
2.025,0.008596669882535934,-0.08443927764892578,0.06061267852783203,0.03999519348144531,0.03968068212270737,0.09459496289491653
