Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,11.354791410328009,15.297522699579389,-58.1117522040663
0.05,11.179905046666166,15.217013193318618,-58.66717902127036
0.1,10.983610870423758,15.114220637287398,-59.24665758148101
0.15,10.773001496706517,14.994449758793037,-59.82418234328661
0.2,10.610956831806709,14.99424652195727,-60.36788071994336
0.25,10.519671990347492,15.066867648166985,-60.85636076766841
0.3,10.623334440980233,15.28896891369447,-61.16341691575221
0.35,10.750430277894619,15.568324756587373,-61.37072337224222
0.4,10.85491970217914,15.784301372436243,-61.46760073121832
0.45,10.854885004210688,15.987959178696228,-61.436872355080375
0.5,10.838509727857462,16.26698294316202,-61.41708058683916
0.55,10.783875926061137,16.42646415670454,-61.48404781963364
0.6,10.715316654663377,16.640090025599516,-61.53430909133327
0.65,10.708112680772155,16.876060463128614,-61.64512979547166
0.7,10.711064981617918,17.10815782743169,-61.789870418240056
0.75,10.757880654382522,17.34630227684242,-61.92877640799861
0.8,10.846279064978672,17.64293301629948,-62.07387071820275
0.85,11.050795143506063,18.235382900613747,-62.34182983174561
0.9,11.154468000879772,18.526421691444657,-62.44554886762394
0.95,11.281218689581925,18.82419669875623,-62.53460845275848
1.0,11.370474808518455,19.125687792316867,-62.56084334905453
1.05,11.540724211274362,19.383203858709553,-62.58196298681514
1.1,11.689304908615261,19.649713546232213,-62.62977878951318
1.15,11.76107777819248,19.862520110953028,-62.67039142681712
1.2,11.855260632847239,20.084575934119478,-62.71088271041975
1.25,11.954007634779893,20.419635394561734,-62.74454120221844
1.3,12.092809527271983,20.842638126299917,-62.71428825902276
1.35,12.271463645855386,21.4666575751739,-62.609088882216895
1.4,12.647272504775584,22.489651154415675,-62.39859552324508
1.45,13.168239834082613,23.970024156409814,-62.0353810142263
1.5,13.9670432311136,26.009416387229813,-61.36097733835534
1.55,15.326243272155537,28.680717661369798,-60.65350364017308
1.6,16.937706880506642,31.983618328252533,-60.00605748021655
1.65,18.713343375169337,35.43494151172761,-59.15732906092395
1.7,20.468596616902964,38.791442869832366,-58.253960918693565
1.75,21.942429008804936,41.790058580551595,-57.37145509768151
1.8,23.131582442250537,44.13792367712344,-56.40885063575912
1.85,23.936201939672078,45.56527738992826,-55.43780072208078
1.9,24.15242511847975,46.1434184783651,-54.561463085469676
1.95,24.13548255721026,46.28068285579072,-54.06621647607128
2.0,24.6569048339793,46.4769936484112,-53.90080183011537
2.05,25.64589552970209,46.81578042249308,-54.225344492699605
2.1,27.23136565586644,47.89312911993956,-54.834240038194594
2.15,29.854939532019905,49.231924652313154,-55.89004963039224
2.2,31.871402017585027,49.34571110000724,-56.65779403712329
2.25,32.729968591542026,48.01426822941425,-57.14724741774999
2.3,32.87359547606282,45.519538568637756,-57.55219987518888
2.35,31.88968531654816,41.711334850677744,-57.70868310139253
2.4,29.994859293404406,36.852481141035355,-57.604787729745425
2.45,28.562076482848305,32.31752640924992,-57.74332963619151
2.5,28.168280188974432,30.659102789280528,-57.760784638558235
2.55,22.057746456285393,24.734875682166194,-56.995309089773656
2.6,14.298667552782888,14.868513699269535,-55.86505396994217
2.65,8.861359968638697,7.860242269904239,-55.7016762812578
2.7,4.374951031063764,3.4649530538936038,-55.017358196544365
2.75,1.7533836418318007,0.08050007515790197,-53.903101382581966
2.8,0.8403421340401065,-2.0285030079579913,-53.57388197784427
2.85,0.974899611687574,-2.2225860094421055,-53.71979398999502
2.9,1.035472377157976,-1.5154636335290632,-54.30695729753787
2.95,1.0508587682154669,-0.4350406342553344,-55.075095984123216
3.0,1.4234878511708613,1.3704681318337666,-55.28117832439292
3.05,2.4715678510141186,3.9651279970087665,-54.99763737396428
3.1,4.259415273410562,7.226297811468254,-54.283467187888746
3.15,6.800969936162056,11.006498595745107,-53.513557584969206
3.2,11.612672306096501,15.463946973737325,-53.23027259881565
3.25,18.935781288184305,21.08975825840836,-53.22511924601231
3.3,25.219905893821338,25.78198826526665,-53.03119814401683
3.35,30.37708403223871,30.013073686916968,-52.59103917854751
3.4,34.17500446305406,34.182017006446095,-51.77842895783419
3.45,37.27344205379284,37.49027127464871,-50.69247895098317
3.5,40.052679687822355,39.94149989937229,-49.91941693175254
3.55,42.4886664640258,41.73077979496829,-49.495336493498236
3.6,44.44970589018917,42.94146069778911,-49.199753873586985
3.65,46.26183059666927,44.22337292403169,-48.9008440650361
3.7,47.73905604142215,45.34998503781726,-48.66780709840503
3.75,48.62721142650428,46.03675874867335,-48.46253110288128
3.8,49.11718764740771,46.39435909552563,-48.279509182382604
3.85,49.23536388836918,46.479521689648855,-48.02607178148503
3.9,49.29784132348621,46.23181725775719,-47.604298554743565
3.95,49.21713130379464,45.68286613969782,-47.07384517581041
4.0,49.16843148967955,45.01951265521383,-46.59964319835814
4.05,49.27761216392857,44.43193083169291,-46.31621238709488
4.1,49.54614388803701,43.70609898005246,-46.40508546922851
4.15,49.73522475583443,42.81208365784553,-46.753413729283785
4.2,49.48257139097252,42.17995886355332,-47.011825537410765
4.25,49.008483033658564,41.68260533555732,-47.127878940266775
4.3,48.474992557925226,40.94073314270438,-47.102977250267735
4.35,47.879179521094116,39.98337947936016,-46.803428997948494
4.4,46.87373364801435,38.60051819028588,-46.28095492766389
4.45,45.69249912968284,37.12422921725038,-45.554409374886845
4.5,44.61642487265051,35.720914984107,-44.86243574124783
4.55,44.049351377094766,34.18763117579646,-44.455853754085986
4.6,43.73697286374141,32.80761389673089,-44.180451691353575
4.65,43.30496771535218,31.879208033015576,-43.87839890628752
4.7,42.800817885841404,31.604560804444805,-43.41269192836495
4.75,42.236907920665736,31.460146463574883,-43.25550527866273
4.8,41.5578890933358,31.427611105656187,-43.3574083375276
4.85,40.5493008424198,30.945856833122576,-43.84647195086016
4.9,38.79534209134191,29.861142917930472,-44.42136186671007
4.95,36.30179116111428,27.08810266997609,-44.92724675110692
5.0,34.04362251738224,25.484895566352712,-45.363035924814795
5.05,31.87544043517342,24.15636442813119,-45.84242759461576
5.1,29.198879686267926,22.281945584934633,-46.38713793912954
5.15,26.35413330241219,19.905613863316376,-46.59742756812611
5.2,22.625842494336105,18.06400213580336,-46.71802249046988
5.25,19.737905699869543,17.28662206932307,-47.22800579808362
5.3,17.246097218738612,15.733805654071823,-47.93067728593867
5.35,14.68384413211996,14.535387299954323,-48.35511255323919
5.4,13.895892559359988,12.60934183063301,-48.53418523262669
5.45,12.28913844425335,11.674227774561958,-48.66746619463125
5.5,10.928692335076047,11.06849252057718,-48.609462240159516
5.55,9.684694400153786,10.585584605429316,-48.60837083121028
5.6,8.515219733214526,10.249374641816363,-48.64730337016642
5.65,7.58456518130196,9.966561131231785,-48.621420677157495
5.7,6.9518420052160685,9.818827950677193,-48.518876492950795
5.75,6.577003908641351,9.935403999613017,-48.31012847654478
5.8,6.5905309299051495,9.969725218620841,-48.08531879964827
5.85,6.9077966466989595,10.211595301465463,-47.81739190250449
5.9,7.269966274198757,10.457111499117564,-47.44367881000764
5.95,7.809429895867761,10.930632602257377,-47.03330927799234
6.0,8.629287171902876,11.474319471682994,-46.69141724410455
6.05,9.78764929735299,12.113051006768822,-46.43571395493653
6.1,10.857062413837248,12.51350856402454,-46.109041173459204
6.15,11.871757441362803,12.732255805629475,-45.75694933050785
6.2,12.926267861092073,13.248406587593852,-45.5130133418193
6.25,13.919217839802133,13.87220957151611,-45.26349666762924
6.3,14.73292748824413,14.407810673206804,-45.11643104670493
6.35,15.49924638579825,14.90175566856977,-44.96715268347349
6.4,16.345091563917723,15.3515414321262,-44.7736511826987
6.45,17.091550442291386,15.712614057103748,-44.570196315231314
6.5,18.005472248217718,15.866343780430316,-44.40364773136511
6.55,18.591439727131554,15.93218735531158,-44.20230567072279
6.6,18.957216838752483,15.995612740164495,-44.039022591432946
6.65,19.52098975376322,15.96358086093813,-43.91061288672606
6.7,19.994433671243854,16.028617530572205,-43.74185294700066
6.75,20.060032544502263,15.972819879327018,-43.48872039338409
6.8,20.153817314428107,15.91095952111357,-43.24003224867081
6.85,20.425106825746724,15.839452025998792,-43.03886003311267
6.9,20.667646617177013,15.770164204049346,-42.81094752101993
6.95,20.858747990121433,15.736848261888719,-42.57670595054804
7.0,21.16740820706452,15.677564750061533,-42.37336287982293
7.05,21.59997588230432,15.663623034446754,-42.19210538568871
7.1,21.892001310222646,15.662976871188883,-41.97433790379511
7.15,22.034990227061193,15.65011934004579,-41.744685955910974
7.2,22.1453033120015,15.587150179025732,-41.53557187142773
7.25,22.32027234532693,15.552855012698155,-41.336370960997485
7.3,22.452271961285835,15.54732890633243,-41.11320167600166
7.35,22.444336974941326,15.580847499312052,-40.84680390116854
7.4,22.444387118448507,15.496674268882064,-40.634457066925215
7.45,22.498221386808215,15.3751183672901,-40.44012101467769
7.5,22.465272289356154,15.316077617731587,-40.21230030099452
7.55,22.382555648688992,15.333273632767426,-39.97758233344064
7.6,22.430124227669545,15.29515516289607,-39.81881462365386
7.65,22.633108777278554,15.221744067450883,-39.683711389243804
7.7,23.129771135588157,15.256283073130023,-39.496527864289504
7.75,23.8091401526138,15.361778474098106,-39.31649783996821
7.8,24.984858903368636,15.970796990332401,-39.02194104861578
7.85,26.967564743214986,17.01617221810128,-38.59726950202284
7.9,29.351478958289412,18.201665493364434,-38.061068742160025
7.95,31.885436663449987,19.84680130124784,-37.471446323425035
8.0,34.746938690675066,21.330171830592093,-36.804677946495104
8.05,37.63674517260812,22.738293062370563,-35.96902880908771
8.1,40.315677294488246,24.019819899825247,-35.076343854433404
8.15,42.87910680343461,25.17433387895699,-34.077386937956845
8.2,45.58763971575771,26.363193737739774,-32.982700340216475
8.25,48.255040415174975,27.109986037500963,-32.174273568927354
8.3,50.29887702434649,28.170133275065947,-31.01342097854363
8.35,52.39681096900421,28.830210367998557,-30.106349755995044
8.4,54.465872433908565,29.293978263173276,-29.485643780962317
8.45,56.32403403580238,29.796325633863113,-28.86201195989449
8.5,58.023606184875504,30.379646814498415,-28.29381472071557
8.55,59.455281258691414,31.076473215600036,-27.805099824887154
8.6,60.52504380483601,31.61073927768355,-27.55383075999056
8.65,60.99153743080471,31.984206837025873,-27.353903235758267
8.7,61.00797410581451,32.133157654048304,-27.049915496884573
8.75,60.67912850455288,32.08690890562899,-26.645440071906506
8.8,60.1899768269132,31.75803231204945,-26.192797317041776
8.85,59.86652410090049,31.71038940584835,-26.141080914682348
8.9,59.595942154192684,31.68940840209807,-26.08605047411946
8.95,59.40531208626441,31.635239769738565,-26.086018017738557
9.0,59.3337191249988,31.664592189019995,-26.11754153030307
9.05,59.389905683068505,31.76740184169709,-26.12826983779786
9.1,59.48324984299354,31.826652913132083,-26.133506044116242
9.15,59.54524306763325,31.83867552149198,-26.143836343771863
9.2,59.58257794427181,31.84315304242273,-26.144720973717863
9.25,59.58244185999951,31.835516852073056,-26.13439785830649
9.3,59.524355764444465,31.786369914573495,-26.092459155605532
9.35,59.424564044526605,31.67452315654588,-26.015582383485853
9.4,59.32939858170833,31.011863058467366,-25.701450326883606
9.45,59.259274379324445,30.944081880479143,-25.614582766805277
9.5,59.14503433458578,30.91524117960055,-25.441268506308738
9.55,59.083659862894514,30.206204921039852,-25.116852580356667
9.6,58.96067619024582,29.65479760848552,-24.70712987789122
9.65,58.78602006932106,29.1534000465416,-24.24813622910053
9.7,58.7319811041749,28.59552991175706,-23.86392089027421
9.75,58.48463982445567,27.739687120929876,-23.66523160592836
9.8,58.0525497865597,26.94465998468077,-23.356542652264213
9.85,57.26306165497516,26.79593156339082,-23.20279933390603
9.9,56.35444062992448,26.364635141429574,-23.094873214741504
9.95,55.317433994224686,25.921982248831785,-22.96427374748866
10.0,54.24615479866932,25.148242608946664,-23.052804438052437
10.05,53.234992261604134,24.262098279800085,-23.16173929045957
10.1,51.87379559067012,23.674065821293045,-22.986263565676097
10.15,50.311914998157555,23.13559533129395,-22.684082115683605
10.2,48.62131752923283,22.692650931900765,-22.209292946187162
10.25,46.477633523953074,22.09719479520183,-21.74581818715551
10.3,43.88841013316108,21.225313666282464,-21.44572862793827
10.35,40.34647153937819,20.053826191041843,-21.250220754971604
10.4,35.37939797850787,18.196792571642963,-21.262708737325962
10.45,29.74712176675574,16.902161847985724,-21.383379754345142
10.5,25.610217359995083,14.98851399796043,-21.38082302278674
10.55,22.960713266123943,13.445672840945415,-21.522949202559772
10.6,20.989306398958185,12.517842030576556,-21.85825009214793
10.65,19.08918190373125,11.9770868614796,-22.03797229370301
10.7,17.564246832852387,11.660541584884822,-22.103783766229515
10.75,16.061305637062578,11.491378201183453,-22.073128707209438
10.8,14.40485421989563,11.207304258710668,-22.022728652994285
10.85,13.03779879469487,11.020936398516247,-21.992196790776617
10.9,12.027211692654,11.139646780123183,-21.93194211262679
10.95,11.304047223855303,11.276692379665041,-21.706282629890772
11.0,10.64914797452647,11.229359634120017,-21.499552783227184
11.05,10.114562741690317,11.055851616076215,-21.664807394626163
11.1,9.79572357771426,11.03281046404735,-22.040826757223908
11.15,9.616171003347976,11.069280557138118,-22.29651745714635
11.2,9.505547795089765,11.244187787653813,-22.500269020084193
11.25,9.366140730908391,11.416205242950292,-22.638244852141565
11.3,8.832703611245803,11.291836172294683,-22.68283922423679
11.35,8.163212551061047,11.156270627638337,-22.798475723968597
11.4,7.661840747514898,11.04629378889299,-22.9498688733785
11.45,7.280094252277515,11.048463939531592,-22.93086100828649
11.5,6.701704201957745,11.010713534047467,-23.01506458349127
11.55,6.057448046868137,11.072686971374893,-23.106405546289132
11.6,5.220479663527857,11.488147169303076,-22.787120109371376
11.65,3.242232309153832,11.733614958092636,-21.50713138607957
11.7,1.12643875503113,11.69475166095584,-20.63843455393525
11.75,-0.1915210384745675,11.76621474419834,-20.742669042742993
11.8,-0.8046661019088371,11.868129985563492,-21.53479988097496
11.85,-0.888978366538673,11.965659919062388,-22.796698725406557
11.9,-0.5303707767180769,12.1256506537818,-24.49097693952247
11.95,0.07117382811394889,12.261406800398607,-26.024647069601613
12.0,0.5579311873302131,12.25329242462587,-27.216980611613177
12.05,0.6634269282458944,12.404453758045502,-28.3207222207743
12.1,0.48281959633505667,12.380172259296456,-29.07769911647128
12.15,1.2198565483285049,12.539632769226468,-29.989654590409263
12.2,1.7470167098230287,12.564841700584761,-30.730634628393414
12.25,1.7654692916167292,12.255643029434436,-31.083709217424005
12.3,1.8557514579197456,11.82409613956527,-31.113565263291434
12.35,2.022777861156937,11.548244771165148,-31.008267325642716
12.4,1.7752023642993402,11.433159055099024,-30.89711390857979
12.45,1.608332861840105,11.41019960769485,-30.800687062220923
12.5,1.64647806398082,11.52963960527893,-30.596014789282297
12.55,1.7373483326478172,11.630450943866185,-30.272570423858557
12.6,1.8059787899665714,11.380724367442347,-30.132890791303556
12.65,1.9023643269815704,10.789900184896311,-29.84690214832847
12.7,2.3077578458452215,10.4799668633749,-29.360949438615965
12.75,3.009195465741823,10.657971591448211,-28.8112041962915
12.8,3.644953800831382,10.9379397788311,-28.329463242996155
12.85,4.174157027639933,11.175313046916711,-27.856839893104635
12.9,4.658019214036386,11.333418582180851,-27.589713482670756
12.95,5.380287631525864,11.744810327304279,-27.7050707576252
13.0,5.944753459253451,11.952142120446023,-27.881579342598812
13.05,6.287751060559271,12.151473359666834,-28.01580468925476
13.1,6.737303979025689,12.561415989400192,-28.07365333189345
13.15,7.338351296901659,13.06614445912625,-28.16999940704445
13.2,7.9673997683532445,13.585755158537117,-28.294770049175384
13.25,8.877067656937069,14.262805298936817,-28.780520955090086
13.3,9.843602751261715,15.293767897176565,-29.247657260625633
13.35,10.448123247103023,15.903547146383705,-29.773318239823773
13.4,10.884162108595099,16.493892336273827,-30.27480858258345
13.45,11.093565720540655,16.89003120578137,-30.44323233135748
13.5,10.97594857348022,17.0765613170344,-30.094615646956733
13.55,11.59612757913484,17.747863849328063,-29.691043746062387
13.6,12.595429275264737,18.325219496540267,-29.43085989407864
13.65,13.424077895564158,18.775521567636087,-29.323251982764997
13.7,14.77210144231578,19.25469424843688,-29.562951333458077
13.75,15.86805093338121,20.02250695903402,-30.06753600973624
13.8,16.090018984399766,20.80327372631856,-30.80132969680604
13.85,15.21549384449806,20.798583377201965,-31.12790687750169
13.9,13.93735718340441,20.384456812043172,-31.13996085732793
13.95,12.532096049065807,19.80767057014368,-31.051231294685774
14.0,11.671318136961975,19.668440462104567,-31.2962786646208
14.05,11.469560235149482,19.886251101254476,-31.887343502630475
14.1,11.767398152586177,20.287971917636106,-32.59163616451249
14.15,12.508311383651424,20.809350602881143,-33.327817221389815
14.2,12.980234808524436,21.069857712676047,-33.84172035219568
14.25,12.767202864866732,21.17646982758439,-34.221644882827356
14.3,11.729152515570622,21.136585521008932,-34.56047688073294
14.35,9.63886576722447,20.67169678604518,-34.88412517851742
14.4,7.094643797535824,20.188583954231902,-35.08352065238488
14.45,4.884107162018371,19.76102363491141,-35.126676960252546
14.5,3.112271708064965,19.173864396959388,-35.23423066417423
14.55,1.6381982004418612,18.38521181866588,-35.4942862930361
14.6,0.6509415332705923,17.49808888791228,-35.84498445809879
14.65,0.2867401504488528,16.653287660826557,-36.062738465624115
14.7,0.4085682939780972,16.16028400712784,-36.170119756642215
14.75,0.3913610768907948,15.835480790251127,-36.30076564573498
14.8,0.24866333399606555,15.801709501346053,-36.6289885578769
14.85,0.2645737042646845,15.978872080004523,-36.89861306668277
14.9,0.26230212787538404,16.05208578679739,-37.092729677142806
14.95,0.2586624160887457,15.925728665875564,-37.37206325753613
15.0,0.24179289399778595,15.350687181208324,-37.44160946952858
15.05,0.3374651466141722,14.384139086637472,-37.51224456892306
15.1,0.4966500494188136,13.250798029767598,-37.61532548237082
15.15,0.5641641129634201,11.96065528226286,-37.86189330036509
15.2,0.37215397115332044,10.520468443834643,-38.13181207324033
15.25,0.25739103056678325,9.33054557451682,-38.38670325006613
15.3,0.6708805549396266,8.540992230894775,-38.97065532471748
15.35,0.9422076849479994,7.6024407093832185,-39.61816643645404
15.4,0.851528039978406,6.692580574132593,-39.78279878298182
15.45,0.5621589669405016,5.671189033799959,-39.73560347504148
15.5,-0.09280408610200826,4.824566598277942,-39.60391265838594
15.55,-1.6343047552644054,4.3449260964824035,-38.69781257101502
15.6,-3.548515882009892,3.7473559644831758,-37.26686290325809
15.65,-4.986791012609127,3.238993557582742,-36.35418749582013
15.7,-6.244539629632745,2.9590806196951873,-36.04326877037366
15.75,-7.343958614535004,3.0011857694966504,-35.813388045129
15.8,-7.9549756161535194,3.0768108602301734,-35.63958076687374
15.85,-8.048886074073314,3.210648859271121,-35.3128876157025
