Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-26.543597073357788,-6.6122486342650975,78.8327955315021
0.05,-26.066545679892652,-6.3027233254119555,79.03661258049561
0.1,-25.606374489876224,-5.927676784920786,79.21238104964627
0.15,-25.08487173244237,-5.5566588004797595,79.37905121415011
0.2,-24.528639504268686,-5.3415834696498585,79.62478724912381
0.25,-24.113717944399713,-5.271598953827421,80.00140908784716
0.3,-23.91890999367635,-5.4458531866704485,80.19205373333536
0.35,-23.863907497392727,-5.686700135512726,80.34264953615651
0.4,-23.84398219007769,-5.908193142412843,80.49839195065016
0.45,-23.653969127589185,-6.126638401710117,80.55724019538134
0.5,-23.496824420772764,-6.394768300929607,80.50938000963868
0.55,-23.26220907266843,-6.52439529520577,80.53190474836723
0.6,-23.01933549376727,-6.708104219866537,80.54125192845441
0.65,-22.793610897750675,-6.9387438864229045,80.60927607503666
0.7,-22.63681355949717,-7.155905511921049,80.70087150612355
0.75,-22.492853270788142,-7.369323201676427,80.73601989387474
0.8,-22.386142528008726,-7.638370366812466,80.7664159832965
0.85,-22.38954613302365,-8.242040398330433,80.96015046694353
0.9,-22.3405188207402,-8.522762740774487,81.03675287802515
0.95,-22.34880858840744,-8.815423083342866,81.09291436030225
1.0,-22.36358316890731,-9.100865144761693,81.14927147070352
1.05,-22.483016958318235,-9.372739470354036,81.25927854990258
1.1,-22.637132528318904,-9.619146055608594,81.3524814263275
1.15,-22.67683352870701,-9.790177872356676,81.39548237961114
1.2,-22.734652666873565,-9.964964193100986,81.39051891816614
1.25,-22.812232222793668,-10.249039321923378,81.46514365793848
1.3,-22.9374673688333,-10.645343622740144,81.5085701959603
1.35,-23.165398766525833,-11.286491656257114,81.63560229257064
1.4,-23.69799829655932,-12.478287834792752,81.78661748366947
1.45,-24.96419305520201,-14.222983074112895,81.88125697284867
1.5,-27.545420717596862,-16.73949087651561,81.86949050268676
1.55,-31.932123877947753,-20.1939024425468,82.22447630622096
1.6,-37.47753033518232,-24.31261398740392,82.94010125779711
1.65,-42.606342360594944,-29.09443077468619,84.25389602841517
1.7,-47.01964074833256,-33.90974947608046,86.07017382894252
1.75,-51.00437500341131,-38.128984138939174,88.0258614001324
1.8,-54.67613379846179,-41.423352860975335,89.80051935913365
1.85,-58.22699511706775,-43.59814355395814,91.39607608952834
1.9,-62.07162516515961,-44.60898254492142,92.69104475056551
1.95,-66.12839921062778,-44.99287268239875,94.02730412290629
2.0,-70.9412813460075,-45.2550175464004,95.04793832266351
2.05,-76.43785321859917,-45.253076431901526,96.14417043618921
2.1,-82.38865012103615,-46.63273076993425,98.02136796067813
2.15,-89.42469410195456,-48.74173083420213,100.9697648285411
2.2,-95.67016355026104,-49.17792045647479,103.38533086619049
2.25,-100.7356974280474,-46.92268640384068,105.0549665311507
2.3,-105.48897194630558,-42.570825343994386,106.66078919999414
2.35,-109.38968797033725,-35.50149630085138,107.55950251459053
2.4,-112.57509570384293,-25.850667544235773,107.44461597758288
2.45,-115.54858176837926,-13.86361893772309,107.00398760921038
2.5,-118.44290151461091,-6.303986731902476,108.1012762999499
2.55,-114.52183900112655,6.120748328793234,102.81977615196192
2.6,-108.0790762548741,19.93340959835709,93.3353924994919
2.65,-103.73317668939013,28.21115296803972,87.25164910989135
2.7,-99.19018409100853,31.917496433863043,82.37733420621439
2.75,-95.68766301392577,33.949626682117305,77.9172941056831
2.8,-93.73565694167219,36.02909330416419,74.88613046942922
2.85,-92.97363786106301,36.845692733882856,73.99620577311758
2.9,-92.57671530407232,37.29234890348805,74.22106174196271
2.95,-92.43716518916192,37.461511175543244,75.21776810731718
3.0,-92.72516157085613,36.09006819069722,76.8122462130855
3.05,-93.70722937176568,33.274190828943425,78.7115725011141
