Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,-21.57768043207533,4.916666346240802
0.05,-22.781805320610946,5.383197304059581
0.1,-23.840351568872116,5.281854811664642
0.15,-25.07827393335033,4.869226632387036
0.2,-25.549147026966445,4.805308677403585
0.25,-25.622704532517215,4.526826412877611
0.3,-25.590116165297697,4.440709133307563
0.35,-25.51958856925891,4.249973163118044
0.4,-25.53320329745754,4.118434516012263
0.45,-25.48789616268501,4.154327738199309
0.5,-25.28426805679492,4.232927453637221
0.55,-25.160263420457376,4.323111298459574
0.6,-24.955583050307172,4.406415762946444
0.65,-24.82685108298976,4.501728359548261
0.7,-24.82127691185356,4.442625857517853
0.75,-24.719170266550947,4.470512060125452
0.8,-24.67937641426435,4.485893928968885
0.85,-24.637897518081925,4.463434521114688
0.9,-24.650364365104785,4.480262568667158
0.95,-24.74581875974879,4.41122066581041
1.0,-24.814390672399288,4.390604895343978
1.05,-24.825462236953094,4.423770464705278
1.1,-24.85559579101999,4.395084615618441
1.15,-24.789637900341972,4.363190464018804
1.2,-24.872134525146265,4.379804956280111
1.25,-24.942146441578107,4.406130066715009
1.3,-25.0649055724947,4.44743549354495
1.35,-25.174519990332776,4.438423026525643
1.4,-25.507322487150105,4.336844466856398
1.45,-26.46173091879729,3.9135972028191306
1.5,-27.561762676172783,3.672575126212254
1.55,-28.521328739075653,4.149720464192031
1.6,-29.377340880402702,4.842511649605448
1.65,-30.197741016092753,5.560040338129145
1.7,-31.147464325607338,6.29202413482973
1.75,-33.038197154070026,8.411706786509876
1.8,-35.49893023279598,11.07501823691248
1.85,-37.483959102841425,14.74118253220345
1.9,-39.344624471328956,19.591092575605803
1.95,-42.532374134918506,23.419577779436572
2.0,-46.15764453333313,25.673894651781435
2.05,-50.330427903911485,26.877035481638195
2.1,-54.123080610594904,28.19435804941048
2.15,-57.19303318921082,29.38939702830369
2.2,-60.486706012902246,29.743166556530845
2.25,-63.5365693679384,29.87872203129353
2.3,-66.04753964597666,30.0497124221865
2.35,-67.88708075701417,30.076461614183206
2.4,-68.86186179857776,30.2367963596532
2.45,-69.16402659512845,30.548972034867628
2.5,-67.69788969809406,31.16781826959427
2.55,-64.2644706143127,30.686712534476744
2.6,-59.785177199978264,27.337919616181214
2.65,-55.502056221178044,23.637776573037343
2.7,-52.15996194134525,20.200366983587905
2.75,-49.473714545070806,17.134593299710666
2.8,-46.92380214974319,15.472050829874336
2.85,-45.3288909427788,13.518274426746672
2.9,-44.44207327913466,11.227855636690682
