Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-52.91247199866136,-26.992948095973812
0.05,-52.94380926961834,-26.94069747226069
0.1,-52.945187723753236,-26.873282534509954
0.15,-52.99032647663259,-26.84301241213591
0.2,-53.01919034965476,-26.752551520236462
0.25,-53.015870551154144,-26.72263709585506
0.3,-53.039669316886965,-26.742820282714582
0.35,-53.04640132547207,-26.759188039419584
0.4,-53.0336512157218,-26.75442280356617
0.45,-53.031493319380424,-26.74988098725741
0.5,-53.035925041466186,-26.735245348357246
0.55,-53.04527642421663,-26.72467556800488
0.6,-53.050335562930584,-26.752377705505854
0.65,-53.06352299599251,-26.737608413405177
0.7,-53.0854476047534,-26.718773993664218
0.75,-53.0956138718746,-26.69374520467559
0.8,-53.11260345190069,-26.695923637850395
0.85,-53.115245296819225,-26.71104091168778
0.9,-53.11221913567015,-26.730047796943328
0.95,-53.09765358374611,-26.744149718541777
1.0,-53.07071268724176,-26.74842355598886
1.05,-53.05892580388097,-26.76221769430283
1.1,-52.97590869543702,-26.648933737208633
1.15,-53.00474595593676,-26.60164262463734
1.2,-53.091330983171595,-26.615491857125892
1.25,-53.10832060562484,-26.573508492725626
1.3,-53.14746835983712,-26.52770104713056
1.35,-53.19747991524861,-26.499053548931222
1.4,-53.24294348680773,-26.466354556502058
1.45,-53.35055124683645,-26.464519453330368
1.5,-53.4840251591108,-26.423003520807907
1.55,-53.56811836157096,-26.386875370345376
1.6,-53.599443746434986,-26.394700436056205
1.65,-53.635882890934994,-26.33773128846449
1.7,-53.69600849809844,-26.306430170119473
1.75,-53.72983108028066,-26.29372046300572
1.8,-53.73396936817386,-26.284111445501555
1.85,-53.73356529373255,-26.264098897855245
1.9,-53.78846441542713,-26.253158189799404
1.95,-53.832765672619175,-26.21351898519822
2.0,-53.844570260647345,-26.235944691106248
2.05,-53.827663420747164,-26.236319619369045
2.1,-53.81245714692336,-26.198684162911285
2.15,-53.80560254915244,-26.194610568604524
2.2,-53.79992380699301,-26.192866708520956
2.25,-53.811558999747604,-26.244067425279777
2.3,-53.80714773128777,-26.275165470168222
2.35,-53.83059271359836,-26.362372808663483
2.4,-53.86082199189859,-26.40313608501138
2.45,-54.02140643947566,-26.49168136220833
2.5,-54.515515410300516,-26.79953467536535
2.55,-55.358127413295406,-27.233801382524206
2.6,-56.35896830056335,-27.748821588872534
2.65,-57.33300085172253,-28.553898605609614
2.7,-58.354356388957356,-29.917718253034433
2.75,-59.39013136767967,-31.375877910738946
2.8,-60.11799514115725,-32.486553865016674
2.85,-60.75465030066373,-33.3869962838861
2.9,-61.17117378794824,-33.723027783231636
2.95,-61.56893588750842,-33.998574331292254
3.0,-61.81215705676521,-33.872270289609204
3.05,-61.83771591517407,-33.664751782966576
3.1,-62.09430883959149,-33.669822077744236
3.15,-62.39407871078965,-33.743734859818
3.2,-62.47125155332199,-33.59829317621751
3.25,-62.409266693128394,-33.26844454365458
3.3,-62.31057470220448,-32.53158004662883
3.35,-62.24425770373126,-31.926896140245237
3.4,-62.23453235855431,-31.587267485823908
3.45,-62.20369288055888,-31.41906148540679
3.5,-62.203786991293406,-31.188598863432805
3.55,-62.2644005251236,-30.942898469808892
3.6,-62.342347601969216,-31.08049207302242
3.65,-62.404611422842315,-31.340195676144628
3.7,-62.47141107423933,-31.640988435291003
3.75,-62.49645461649184,-32.1194131262211
3.8,-62.575459857610475,-32.743215295193274
3.85,-62.86175096375123,-33.48587328797859
3.9,-63.35314858259123,-34.334710532819
3.95,-64.09289771307202,-35.59543656359384
4.0,-64.97031973596499,-37.124400883182766
4.05,-66.00328800022574,-38.67031334321088
4.1,-66.83160036585753,-40.11442703363228
4.15,-67.26914527822046,-40.886411081489655
4.2,-67.20070570004565,-41.37275349779964
4.25,-66.74990525958441,-41.78832531558197
4.3,-65.84490892375337,-41.55581263500011
4.35,-64.64450348474081,-40.4739944508859
4.4,-63.15084084432863,-39.45605836642789
4.45,-61.40270628084749,-38.43237649784475
4.5,-59.46999200653806,-37.304864788460925
4.55,-57.4666880593837,-35.515987650618506
4.6,-55.39327932978879,-32.80087554818945
4.65,-53.47935691698349,-29.32870267283642
4.7,-51.68602398352798,-25.36631734279363
4.75,-50.90604544771736,-22.680785432356576
4.8,-51.05701467458832,-21.98192848885177
4.85,-50.98836488499608,-21.48414447321816
4.9,-50.42904047525187,-20.619798310371365
4.95,-50.103866679346204,-19.514221855570757
5.0,-49.91082398935396,-17.79227053217182
5.05,-49.3334942319983,-16.531329931828235
5.1,-48.73130275749548,-15.29031663429627
5.15,-48.182023964548726,-14.280078583374229
5.2,-48.07866326337293,-13.944729929228473
5.25,-48.72837452694797,-13.969487692477175
5.3,-49.24857355892426,-14.380219129650847
5.35,-49.68722752376027,-15.445009812553845
5.4,-50.230545843698074,-15.58688801438563
5.45,-50.53361779952744,-15.097566940813975
5.5,-51.04966460738282,-14.7619576814789
5.55,-51.615754923512945,-14.240556864862167
5.6,-52.17393688743837,-13.695384620771733
5.65,-52.89712054187497,-12.871052900950735
5.7,-53.99079952003667,-12.08771463888899
5.75,-55.62296646545926,-12.046610117155508
5.8,-57.13270402464388,-12.296246278820963
5.85,-58.32368968781156,-12.462494927765006
5.9,-59.19630224206192,-12.438249248836222
5.95,-60.34329029245312,-13.00275947789718
6.0,-61.746088188749994,-13.951611336205673
6.05,-62.91791109258503,-13.612835249299563
