Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-35.48887421865365,-21.54130680204526
0.05,-36.57093015477654,-19.952666642642903
0.1,-37.78012497219704,-18.250377411853602
0.15,-39.108986734045175,-16.686080233034218
0.2,-40.97039600431961,-14.652423878567978
0.25,-42.716341410068296,-12.257281756530492
0.3,-44.40608641005906,-9.811755157718379
0.35,-45.681907104540215,-7.784729759405997
0.4,-46.859140880137424,-6.004748958447333
0.45,-47.684876976250905,-4.670121904153733
0.5,-48.5240238899982,-3.4905032500718107
0.55,-49.057222367430676,-2.436518132040931
0.6,-49.22361810165124,-1.6127732330292186
0.65,-49.32655817938271,-1.3161570729959113
0.7,-49.39708775482736,-1.1501085253116603
0.75,-49.191894645548444,-1.0195947502027556
0.8,-48.70932159874171,-1.1602328535854785
0.85,-48.10878869330125,-1.308994594960696
0.9,-47.69833979999323,-1.855241171195322
0.95,-47.59442432626899,-1.9562949322793202
1.0,-47.76117337889188,-1.815159347396243
1.05,-48.06168920807938,-1.7179894500776542
1.1,-48.43406404715312,-1.5554804592050928
1.15,-48.74530287751187,-1.1092097861065948
1.2,-49.18036593693108,-0.55566986621772
1.25,-49.71548517127701,-0.15839069313087262
1.3,-50.04150459683278,0.15225109469408896
1.35,-50.03016912638245,0.7266552501562105
1.4,-50.03753892235167,0.7803459609072201
1.45,-49.97718257959729,0.6223398311196475
1.5,-49.51381619992997,-0.15481997114372792
1.55,-49.41164829065596,-0.4594149859872086
1.6,-49.14257742648877,-1.0386354493748826
1.65,-48.62751564130946,-1.9606079741952602
1.7,-48.291240679138326,-2.412272059506834
1.75,-47.92043742739698,-2.628966341648218
1.8,-47.504262467703654,-3.0759712277816385
1.85,-46.34686041903231,-5.040022841908365
1.9,-45.41400886003235,-6.7589435312789945
1.95,-44.5377284322336,-8.17677159623107
2.0,-43.63794076618377,-9.399759698381535
2.05,-42.759532644445905,-10.732941224759472
2.1,-42.093769243804275,-11.94617647251576
2.15,-41.622521377369466,-12.894228276205856
2.2,-41.40810894978324,-12.965741742161974
2.25,-41.36102338049757,-12.634448944144934
2.3,-41.334987254080716,-12.448380980640703
2.35,-41.4924422974577,-12.030343780126435
2.4,-41.38407645107938,-12.120629374442684
2.45,-41.355536110979614,-12.053718443086058
2.5,-41.026532371104246,-12.330547833327246
2.55,-40.887695883637136,-12.616905040352135
2.6,-40.47578706398899,-13.331458180825864
2.65,-40.17526950462912,-13.85210121156319
2.7,-39.91814831180116,-14.784122656388353
2.75,-39.19281629976482,-17.11971840681082
2.8,-38.5997722514513,-19.00274341289785
2.85,-37.953499457092605,-20.16809001357894
2.9,-37.24269564440568,-21.19559343681003
2.95,-36.5620253814618,-22.543302567452223
3.0,-35.707168586410255,-24.042981194360053
3.05,-34.67964336958061,-25.773146678066347
3.1,-33.47119504448257,-27.13047301659694
3.15,-32.38391993266717,-28.039328406467725
3.2,-31.95913894267332,-29.177706129498254
3.25,-32.09868496008773,-28.981748734609486
3.3,-32.15663283344881,-28.832902292010935
3.35,-32.09953697955377,-28.8406362749445
3.4,-32.31441343766218,-28.20195753832616
3.45,-32.44533645322318,-28.03841156230853
3.5,-32.694909647054914,-27.54872053164956
3.55,-32.836672714140526,-27.268742283716517
