Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-32.30804974600271,-64.85413355747279
0.05,-16.23822955318075,-62.68754568321712
0.1,-8.10537644187049,-61.2888755403611
0.15,-7.451748468579801,-59.089820332895876
0.2,-10.443888543548807,-55.49811539476872
0.25,-15.053087541283759,-52.67858533551347
0.3,-17.45097464153906,-51.3507183640529
0.35,-16.743009929812565,-49.96142122612021
0.4,-16.162009882414782,-49.145861409407544
0.45,-16.199723141070912,-49.20232932334288
0.5,-17.120794252048118,-50.38762544287505
0.55,-19.363665927552987,-51.62704881906456
0.6,-21.403368434749506,-51.343677062969746
0.65,-22.53510338510175,-51.64443747318709
0.7,-22.482857033608543,-51.36254250751367
0.75,-21.44415824517189,-50.26931046148425
0.8,-20.28789761568595,-48.93162521244138
0.85,-18.41577479146999,-46.8900903111961
0.9,-17.18364252479184,-45.153035437270916
0.95,-17.88837491684255,-44.759409937453015
1.0,-19.97551102233028,-45.58446818404436
1.05,-22.102872985446105,-46.54015867992862
1.1,-22.819050514249664,-46.44253941696813
1.15,-24.181405486933443,-47.1567387017321
1.2,-26.65782650868776,-48.79019742161448
1.25,-28.073619066932732,-49.691735718401766
1.3,-28.310715213024885,-49.76456840412817
1.35,-28.063375442196065,-49.56679660663538
1.4,-26.439703575297475,-48.05884606382651
1.45,-23.819059433907817,-46.09975406112217
1.5,-21.371158574358468,-45.144887456292295
1.55,-20.59168064105171,-44.73549320962501
1.6,-23.17525095091924,-45.739765498111296
1.65,-29.021853046180794,-48.921244648953476
1.7,-34.691032193647416,-52.16263086384928
1.75,-39.25360129404974,-56.44589551082761
1.8,-44.77352731142685,-60.07890672700136
1.85,-49.20363241839033,-60.81989524085361
1.9,-54.376571993864665,-62.75249945917594
1.95,-55.553614153461865,-62.27915942227609
2.0,-53.0247807517392,-59.99650594837272
2.05,-49.857234242795755,-58.0406087242565
2.1,-46.73740796604201,-55.69674915452527
2.15,-37.62222109650198,-51.12102269263434
2.2,-21.953679024470635,-46.34357191357847
2.25,-1.4445775465230066,-41.50362315810603
2.3,16.1216855837174,-37.88358518570319
2.35,24.4666930293679,-36.903057241029614
2.4,25.910117032363242,-35.33935666647405
2.45,24.923246251816213,-33.38028665340145
2.5,21.516770027514998,-39.704998286289666
2.55,16.459219234605765,-47.54987843266348
2.6,13.720381726708265,-48.89904303955629
2.65,12.704670492865533,-49.41181139916373
2.7,10.968107184643813,-51.40346547454533
2.75,8.942055900521078,-53.100234266468746
2.8,6.066415434495944,-55.72197105486133
2.85,2.3889607720723545,-59.84735410509665
2.9,-2.44224667937149,-65.27021211786017
2.95,-8.453308355992032,-71.00522175057536
3.0,-15.141270686935894,-75.83996856816194
3.05,-21.195024962631173,-79.22335331779861
3.1,-25.18184726882424,-81.24070553693684
3.15,-27.74622451313038,-82.96740544238138
3.2,-27.981215576057437,-83.26982565180543
3.25,-28.543747280040456,-83.63985272496618
3.3,-30.28520390232087,-84.77434076492479
3.35,-31.661075386014492,-85.50162677419614
3.4,-32.557639419182365,-85.86569756491234
3.45,-33.240285982411926,-86.0779961055269
3.5,-33.91286859691083,-86.10264669408221
3.55,-34.28158474085621,-85.5753407822449
3.6,-32.90770521430301,-83.49291237224001
3.65,-25.618948190821992,-77.87959473916766
3.7,-11.644030504967418,-68.91529495473128
3.75,-3.534702445938952,-63.15968248352295
3.8,-5.161734418760636,-60.372502443669404
3.85,-7.691809776419589,-54.28854944299942
3.9,-23.333094191851192,-53.36287500326483
3.95,-60.40345579974913,-63.77512517636265
4.0,-90.24300684830735,-74.77401505582267
4.05,-98.26347430732817,-79.10066321140616
4.1,-97.97914155673259,-80.86261341264444
4.15,-100.23264377415748,-82.55610578996102
4.2,-102.55130016608936,-82.88385872734193
4.25,-103.36661602124965,-82.46346892817836
4.3,-102.11317583123406,-81.7337411062003
4.35,-100.53914232892495,-81.5329565214367
4.4,-100.1714009489756,-81.69581502865633
4.45,-100.0637033956472,-81.64595952437489
4.5,-99.47243436892906,-81.3410295714197
4.55,-98.21243806845936,-81.13597434306334
4.6,-96.6029057204875,-81.53308735599013
4.65,-95.2693516133301,-82.17888876165836
4.7,-94.27949658284255,-82.55437384609301
4.75,-93.0137495566069,-82.76708455503794
4.8,-90.89748315195537,-83.04379669949806
4.85,-86.92151055361514,-82.99046457658832
4.9,-81.73517294313606,-82.6111653344686
4.95,-75.72291520928547,-82.15587657972233
