Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-84.16557979742785,-11.665787427164089
0.05,-79.35077130247412,-10.630598654617286
0.1,-74.78472357141436,-9.679626814665772
0.15,-70.57928579051644,-10.66332206180229
0.2,-67.66835469944178,-12.040593869922908
0.25,-65.32206489091622,-13.03263404214115
0.3,-63.297065293773514,-13.694503686932503
0.35,-61.50697273302554,-14.160113368296807
0.4,-60.09644085741696,-15.446874311860176
0.45,-59.18755972901678,-15.806900102493206
0.5,-58.436980745753516,-17.58730543743424
0.55,-58.23149063520283,-18.468830148569207
0.6,-58.80691710028588,-18.83495651750029
0.65,-59.724725932071124,-18.98915948261487
0.7,-60.970034505516516,-18.246188439339694
0.75,-62.704903642850894,-17.04613611643721
0.8,-64.49992946211013,-15.79205145303981
0.85,-66.08809489944379,-15.348859667861245
0.9,-67.24786777920323,-15.459321166961102
0.95,-68.59023537262098,-16.288177914237096
1.0,-70.08916392761384,-17.328370780134364
1.05,-71.10823765707096,-16.430054622922185
1.1,-71.1866524034355,-15.618777924262403
1.15,-70.346617820567,-15.506586765841886
1.2,-69.90839404798507,-18.608178143145505
1.25,-70.06015113652128,-18.90095461871989
1.3,-70.0482478520481,-20.29067805008696
1.35,-70.249612508737,-20.99817618133607
1.4,-71.09134792597669,-20.030474414794043
1.45,-72.90302424118595,-15.046857635160855
1.5,-74.26472636299772,-12.302789389106557
1.55,-74.99083840678428,-14.526250080141434
1.6,-76.61561537647344,-13.944680417577134
1.65,-78.36240615567453,-14.6910866257758
1.7,-79.8421215211352,-10.843603548041985
1.75,-80.28473807021219,-10.796511608427727
1.8,-80.47715351489833,-15.53958983608186
1.85,-81.30682417270822,-13.186438104070104
1.9,-81.71028134383135,-11.784377951729745
1.95,-82.00862669171592,-11.456491060947375
2.0,-81.71309785817215,-12.947775752954323
2.05,-82.38607042667819,-15.402893611561092
2.1,-84.73086261312585,-20.638411371188706
2.15,-89.198854304316,-26.518358728248614
2.2,-94.39707161873648,-36.4563748221276
2.25,-99.8682082790189,-47.892392646688094
2.3,-102.2508410258339,-53.40345133267311
2.35,-100.21388050132052,-59.50283255315182
2.4,-94.30874917668176,-67.39304605073201
2.45,-86.95691747366749,-73.38049671967963
2.5,-80.92343386323631,-78.27522148826534
2.55,-78.5386785277711,-82.99422805746447
2.6,-79.65314090910783,-82.70877908930963
2.65,-79.1250250632713,-82.6260436205104
2.7,-78.72653356026258,-82.53444991654997
2.75,-77.51993046064896,-81.48328482506291
2.8,-76.35275566247832,-83.9462977427315
2.85,-74.07987673598251,-87.40275294868509
2.9,-72.73223641369401,-91.36067975425345
2.95,-72.01313421026585,-94.7817459549788
3.0,-73.1170677183307,-100.2815222279812
3.05,-75.72146786454182,-107.96737469495658
3.1,-78.8663032543028,-117.46407731617725
3.15,-81.03642285057221,-125.33298696182459
3.2,-82.60690333861554,-127.26425025785285
3.25,-84.34387416588685,-128.58856724287674
3.3,-85.02061128962742,-129.60022559408813
3.35,-86.08003511666455,-130.2200995780349
3.4,-85.9601151012787,-130.93917009324176
3.45,-85.9133623249557,-130.17254609430685
3.5,-86.64029532551959,-130.31611673189693
3.55,-84.82490309800524,-128.73818956193196
3.6,-83.91004108689354,-121.8299506130605
3.65,-85.87139969353967,-110.1139439069565
3.7,-88.72356383832224,-100.8237053540633
3.75,-93.7611272065036,-96.45312978533126
3.8,-96.01801550927995,-84.95817489449308
3.85,-92.26408552999754,-64.01199129325549
3.9,-86.74663718374786,-53.49791857165558
3.95,-86.67571401043114,-57.95233650487
4.0,-91.75358800262762,-57.108764779273464
4.05,-99.222903959129,-58.36420894891599
4.1,-102.92083245345178,-53.90685409733612
4.15,-104.19422481773721,-47.16814801207821
4.2,-104.36313894658585,-45.05343327350846
4.25,-104.65535982164857,-42.548707779924015
4.3,-104.586986998118,-38.16510471843633
4.35,-105.17793833668946,-34.76136282066857
4.4,-106.18247752044515,-31.952498807813324
4.45,-107.3006438133271,-30.2182203348532
4.5,-107.95119298675475,-28.987114401450086
4.55,-108.2568860596248,-27.666424067365643
4.6,-108.53544295815864,-27.60139391921682
4.65,-108.44386399741408,-27.167696628733264
4.7,-108.6376292998703,-27.277034842730043
4.75,-109.20550120437896,-27.796201624220693
4.8,-109.49047953922891,-28.06650560844152
4.85,-109.62496045781695,-28.03830469261299
4.9,-109.38463526661715,-27.71691690246131
4.95,-109.35336941097765,-27.28980398569492
5.0,-108.31575732777708,-28.459837863543612
5.05,-105.78326479682472,-30.121804251467566
5.1,-101.19135069623327,-32.644188449558605
5.15,-96.44921791547584,-34.925230836252034
5.2,-91.65988020189049,-39.099257048731616
5.25,-87.58472184296339,-43.6699114566552
5.3,-84.31418688380407,-45.58333333231005
5.35,-82.45768333634837,-45.6234866613923
5.4,-81.28656797839191,-44.959884532805866
5.45,-81.49422532895788,-44.65766587387931
5.5,-83.32234196756843,-42.91664412823269
5.55,-87.75930581657157,-42.46077871136545
5.6,-92.9914304678644,-42.31038842847052
5.65,-96.18324776418466,-48.47199391601964
5.7,-96.96407905694196,-54.6640044632313
5.75,-96.15207164591605,-59.04896790402987
5.8,-94.87076283557298,-64.63740998517801
5.85,-91.60585543626456,-68.18486700101367
5.9,-87.84160085442723,-70.66937563656315
5.95,-85.70964745628191,-73.64847659958586
6.0,-82.98671859256453,-75.73565613881787
6.05,-81.44126364765762,-74.34347882704085
6.1,-80.63600238694326,-70.13460528372622
6.15,-80.23490258373953,-61.03342054535822
6.2,-80.49000153872183,-52.465087712656945
6.25,-80.54197344371575,-47.10304980651198
6.3,-79.92059050025041,-44.62604744188465
6.35,-80.00279262402327,-46.05320193118901
6.4,-79.15849424820715,-48.9773182358858
6.45,-77.82997551781187,-48.3880719252078
6.5,-78.42817495206532,-51.44205818925568
6.55,-81.85572098461894,-63.63223384545708
6.6,-85.26483251844691,-74.91086348049959
6.65,-86.40775426150962,-77.60616575948195
6.7,-88.7098510842599,-78.36742160238965
6.75,-89.11487088987892,-79.20935459395326
6.8,-89.36147996532684,-77.30181300044296
6.85,-88.96395429939156,-74.57078743060059
6.9,-88.45575196971885,-74.01146778388603
6.95,-88.27675754803867,-73.94478701794228
7.0,-88.25007360347792,-73.97942455712976
7.05,-88.47431769667831,-74.53040423095325
7.1,-88.50119707661844,-74.37601786297387
7.15,-88.41535743309082,-75.68465569631968
7.2,-88.55226467191424,-76.76372232084327
7.25,-88.94252239040753,-78.70852400334068
7.3,-89.59522518124044,-81.53489597297344
7.35,-90.1523150367962,-84.67239697632145
7.4,-90.21878110722969,-89.23498514280283
7.45,-90.07668198079729,-91.72736379896824
7.5,-89.67283317266482,-91.60911694381497
7.55,-89.30475785470126,-91.41922986427736
7.6,-89.16937361105151,-91.73294346277419
7.65,-89.5610288977784,-92.75622723136257
7.7,-90.47193593141718,-94.23902158324522
7.75,-91.72585640970875,-96.83171968276679
7.8,-92.31452873601083,-98.65070735072311
7.85,-92.00231980820313,-98.64092841487762
7.9,-91.64221083148956,-95.21402519569035
7.95,-90.80517633273242,-92.07747362885713
8.0,-90.26071841803358,-90.95101698663036
8.05,-90.05803860178702,-89.21899504711577
8.1,-89.52401461648326,-87.82539253282992
8.15,-88.99826524816399,-86.01397063536282
8.2,-88.54779187434512,-84.81624603928267
8.25,-87.63089299186042,-83.60419215165841
8.3,-87.07426802723879,-82.49801959917754
8.35,-86.51145146786966,-81.90839486158629
8.4,-86.29151370651647,-81.01250797250212
8.45,-85.73116676349305,-80.69128457660734
8.5,-85.09899583553207,-80.03017857482887
8.55,-84.49010617747068,-79.479045040532
8.6,-83.88211525930143,-78.61697674809982
8.65,-83.198449380066,-77.8717200705518
8.7,-82.26529750014362,-76.46970259077202
8.75,-80.91120794257797,-74.77650910764507
8.8,-79.29581318853148,-71.75855042805554
8.85,-77.32902517533206,-70.05119192611913
8.9,-75.54455158965575,-68.49555802700084
8.95,-73.67966743678261,-66.49231383491082
9.0,-71.52095198200391,-65.30441250719959
9.05,-69.09331401235303,-65.20109490245052
9.1,-67.4084236735754,-64.1413605296605
9.15,-65.48320440125207,-63.113545141521875
9.2,-64.0678649492321,-62.318817231972645
9.25,-62.64926196592277,-62.24609906211807
9.3,-60.993958007627704,-61.219162201116816
9.35,-59.36324293942763,-60.58729443937131
9.4,-57.42155081433043,-59.591113029655794
9.45,-55.54423442659308,-58.0867877154641
9.5,-53.87392673883484,-55.76000221766296
9.55,-52.51850860018892,-44.94526432028511
9.6,-53.25329402952564,-32.71387220970881
9.65,-57.32841081973098,-27.417992103901828
9.7,-60.68922379713976,-30.1106067985457
9.75,-60.274390983328296,-34.85353859147233
9.8,-57.269499250349156,-38.58679319815982
9.85,-53.00421174342805,-39.639291896557445
9.9,-46.28166456381073,-36.55230304344117
9.95,-39.79903014184477,-37.99122742230955
10.0,-34.66556226548422,-40.63152565539779
10.05,-31.836007196819775,-38.91178872948634
10.1,-31.966196499518993,-37.12766788252554
10.15,-32.36457665935367,-37.314592372265174
10.2,-31.171215971764493,-38.074738058504465
10.25,-28.64614208428429,-38.128507817690895
10.3,-25.76339470272366,-34.699532822772845
10.35,-23.219463175796328,-34.1640212134637
10.4,-20.164031755591946,-32.58500117690315
10.45,-15.792917028564563,-27.25784055450859
10.5,-11.163796914260425,-19.549443738571256
10.55,-7.556815794216213,-17.41053727918936
10.6,-3.5591067860589285,-12.906521421954936
10.65,-1.9215822081337801,-11.175945269575065
10.7,-0.9345963618766394,-9.438294622585438
10.75,-1.2647831304437058,-8.578603986596717
10.8,-1.0303808239004644,-7.918128712195124
10.85,-1.0560549872094507,-7.442892598252881
10.9,-1.1944579019867032,-7.4684722837497155
10.95,-1.3194302836279275,-7.621115497306297
11.0,-1.1214977092104539,-7.685333729703598
11.05,-1.3305292297950009,-7.551210188931993
11.1,-1.3820202809200643,-7.414050380287485
11.15,-1.7828847424145877,-9.944105086095826
11.2,-1.7023915777248038,-17.685871907436383
11.25,-2.472082697573835,-20.09758834307256
11.3,-3.909489305622703,-21.971864159327158
11.35,-6.033840550267784,-25.75257222573191
11.4,-7.591194828310499,-27.520291379526533
11.45,-9.12361944003353,-28.676761027469315
11.5,-10.253169103683872,-29.394889407786224
11.55,-11.4221677113968,-28.835817449138702
11.6,-11.925689035171452,-28.785021617085594
11.65,-12.221702755775288,-27.602861288402675
11.7,-12.613111891864344,-25.67935411248936
11.75,-15.159343904972605,-20.12606740399201
11.8,-23.986218618008493,-16.383342272741043
11.85,-36.73171282726584,-15.660498986876059
11.9,-52.40925490608052,-13.688486920306557
11.95,-66.04719794761981,-11.32562382654411
12.0,-77.95252972084052,-10.295842914091704
12.05,-85.33493798233832,-12.945033089355642
12.1,-87.40890435836357,-16.160159313264007
12.15,-87.52359845409254,-23.421927960372937
12.2,-87.20502248740328,-26.450337292354966
12.25,-85.88527413095022,-26.25062434756567
12.3,-82.34908246660561,-24.253976640539015
12.35,-78.52164278873995,-24.08833806950284
12.4,-75.7695721246599,-26.96614364820075
12.45,-74.55181244764786,-29.79173199417378
12.5,-74.0011785598058,-31.17540346818289
12.55,-73.68869686461628,-31.90484914338174
12.6,-72.8940610804528,-31.27774714652969
12.65,-71.67904865360194,-32.39748633247243
12.7,-70.65178370249778,-33.88701227448167
12.75,-69.19456158425008,-36.5858057862133
12.8,-68.95036968925687,-37.78060487605959
12.85,-67.6819340732657,-37.380714513752594
12.9,-67.47687415361312,-37.75002313390925
12.95,-67.48029404208984,-36.40711850469076
13.0,-67.89346096943198,-37.26790610728999
13.05,-68.37366092452082,-36.75664167693096
13.1,-68.56564906736608,-36.6902259716315
13.15,-68.85491587796349,-36.98526696330955
13.2,-68.9188559242279,-36.64173935762437
13.25,-69.05692559114904,-36.478759435001905
13.3,-69.04081922200194,-35.89749009226669
13.35,-68.49755611625044,-35.156156893899116
13.4,-67.6319856015117,-35.72386653611087
13.45,-65.85795587458037,-37.24177727653289
13.5,-62.99897141388438,-38.75614655930953
13.55,-60.1569157632874,-41.838137139603624
13.6,-56.80988305977055,-40.775307492171386
13.65,-54.0630167126008,-47.18074315025485
13.7,-51.89453787367546,-50.31412173935012
13.75,-50.664527832351595,-52.532024143424174
13.8,-50.7443428447636,-53.438929224551366
13.85,-53.07739593407313,-53.66334335149087
13.9,-54.01676259156395,-53.03250917104187
13.95,-52.60868539664154,-51.21345810819316
14.0,-51.88106528511325,-51.121511242879116
14.05,-51.63667903877114,-50.04271039353265
14.1,-52.331086750867044,-48.750075166199636
14.15,-53.4244580298816,-47.62744918390383
14.2,-53.653321492763745,-49.2138478186017
14.25,-53.916904162529285,-51.184055581942374
14.3,-54.05824040760086,-53.45471633986691
14.35,-53.60490185322438,-52.913837416568825
14.4,-51.528538316772774,-51.45765869507703
14.45,-49.33478685889975,-48.88565735005285
14.5,-48.403383146011116,-47.77321576661124
14.55,-47.24022787889922,-45.95103717724679
14.6,-45.696939019128,-44.47984994813424
14.65,-44.039768924354476,-42.98969795389534
14.7,-42.783220186191755,-42.06092507746884
14.75,-42.23131289105611,-41.791998304777614
14.8,-41.29569360293392,-43.06322264071417
14.85,-41.05525935608188,-44.38530219596958
14.9,-41.644687025759374,-44.77885560739041
14.95,-42.51348555784426,-46.04237723150371
15.0,-44.86201873158136,-48.24725569975459
15.05,-47.29414129438154,-47.12333116193948
15.1,-48.742605604949276,-44.89616481771025
15.15,-49.64149282403562,-44.32217620198513
15.2,-50.17620909075484,-45.14884323802167
15.25,-50.937429504242324,-44.95797199537268
15.3,-51.16285970258586,-44.879679313786234
15.35,-51.03626577275772,-44.79157203444344
15.4,-50.80341656466511,-44.29857918561501
15.45,-50.526745614936964,-45.021573156050664
15.5,-50.64112097800196,-45.92645418420178
15.55,-50.63348412675654,-46.40969936103053
15.6,-50.589670493022254,-47.22727737653377
15.65,-50.38520434082246,-46.944501403183
15.7,-49.73445045528336,-47.398142960472484
15.75,-49.700904429642556,-48.554076803381186
15.8,-49.87851739402864,-48.6246114440803
15.85,-49.73833807906053,-48.34535111020771
15.9,-49.612542558458394,-47.87088733499272
15.95,-49.63835198938876,-47.89653676360337
16.0,-49.894086833909036,-48.13131697519534
16.05,-50.00955878233759,-48.28945469674752
16.1,-50.025837488179775,-48.45209250387457
16.15,-50.060737963827314,-48.676507942477535
16.2,-50.43824943445946,-48.248274780961154
16.25,-50.471883482527694,-47.87202257553425
16.3,-50.30177030101396,-47.657943634474414
16.35,-50.467592647736,-47.136382212714345
16.4,-50.66571012048829,-47.00309793341135
16.45,-50.972731579760456,-46.79612543819585
16.5,-51.13544950116161,-46.14641812995426
16.55,-51.44958007927814,-46.16981282202905
16.6,-52.04385018796175,-46.17134863403307
16.65,-52.291221878875234,-45.5052559701566
16.7,-52.306581083571665,-45.43832466329468
16.75,-52.34996944550699,-45.2078057421904
16.8,-52.360165659558426,-45.01624155551139
16.85,-52.43557910118587,-44.64140056456557
16.9,-52.30471373691402,-44.3558363671563
16.95,-52.32615537809182,-43.984871183358564
17.0,-52.500521281146845,-43.60079142789377
17.05,-52.64659552738536,-43.83242915729794
17.1,-52.808536554438625,-44.336067565581985
17.15,-52.687735314104295,-44.38084219751009
17.2,-52.52324653081876,-44.51499324936972
17.25,-52.59759879470057,-44.763898165663
17.3,-52.952411700235906,-44.408968499871385
17.35,-53.095678834047845,-44.28561960125682
17.4,-52.97305162993195,-44.18402845006011
17.45,-52.95914656891368,-43.92271633052745
17.5,-53.01787378233271,-44.03097961865939
17.55,-53.218822670475824,-44.00111982103885
17.6,-53.5282695279861,-43.77493797564071
17.65,-53.82649115191293,-43.204689429403665
17.7,-53.95266809749614,-43.07635338181176
17.75,-53.97908908668446,-43.05341122924478
17.8,-54.1107269103521,-42.786083280484654
17.85,-54.17608253297015,-42.43136152431445
17.9,-54.31185059267143,-42.269512669722324
17.95,-54.371993723637175,-42.335538319868675
18.0,-54.42396001008655,-42.28786753826425
18.05,-54.569089359017084,-41.908958575753445
18.1,-54.59216945428714,-41.924565455205496
18.15,-54.652344284257026,-41.95912911301124
18.2,-54.826180019025784,-41.70262719476913
18.25,-55.78939361109196,-41.85016969296966
18.3,-58.75152574690305,-43.6981610787679
18.35,-62.52605391760457,-44.43924046158001
18.4,-64.29130833674186,-45.034474471626176
18.45,-64.18361859199973,-44.252916251038535
18.5,-64.65681081073116,-43.73329128367513
18.55,-65.13671406030065,-44.97383124945899
18.6,-64.34931445716376,-45.789071011083564
18.65,-63.43149343044853,-44.79374697263103
18.7,-62.50182184735623,-44.23108711618272
18.75,-61.19607203062472,-44.74998569885541
18.8,-60.14198997516948,-44.839621870806596
18.85,-58.85860737890541,-45.17841568733539
18.9,-57.809147924385194,-45.85417067820712
18.95,-57.29976327448355,-45.468180612662195
19.0,-56.720506624582335,-45.22169892500993
19.05,-56.09625184657923,-44.53986989159793
19.1,-55.59230683888563,-43.94017646599241
19.15,-55.42448436641465,-42.540260697716825
19.2,-55.23469683949098,-41.912107429945884
19.25,-54.72866980021803,-40.94228464368274
19.3,-54.046834096485135,-41.45965876215977
19.35,-53.172982075985054,-41.399077730686066
19.4,-52.60090322665402,-40.850278765194126
19.45,-51.506661398544246,-43.14292808447624
19.5,-50.063101036490515,-44.139644689511904
19.55,-50.06679754887312,-44.22175164560524
19.6,-49.94783386082098,-45.48877942134283
19.65,-49.974049009055165,-46.788239332783945
19.7,-50.9157049910321,-47.029071798193144
19.75,-50.61338663328937,-47.70497559300408
19.8,-50.39995744935672,-48.10382785748777
19.85,-50.5134080450028,-50.06744652706675
