Time [s],Flexion(+)/extension(-)
0.0,-13.163897070186664
0.05,-13.156893820526493
0.1,-13.09326145085473
0.15,-12.99876903373381
0.2,-12.975943279569455
0.25,-13.019990789662499
0.3,-13.070898509407716
0.35,-13.137189373072115
0.4,-13.166300739959839
0.45,-13.123107530349074
0.5,-13.10022058328064
0.55,-13.130868647049173
0.6,-13.164447666777715
0.65,-13.179281132139138
0.7,-13.187518174814794
0.75,-13.217426888154419
0.8,-13.256961039969601
0.85,-13.28393370129202
0.9,-13.284463300279032
0.95,-13.251046137428094
1.0,-13.227732174685386
1.05,-13.24994346634342
1.1,-13.31451473304405
1.15,-13.335050374796483
1.2,-13.278958535403534
1.25,-13.23950325259349
1.3,-13.236763143221758
1.35,-13.23431365499225
1.4,-13.201682885347216
1.45,-13.163511387929798
1.5,-13.154709240382873
1.55,-13.169831024319217
1.6,-13.186176555011453
1.65,-13.18189866903016
1.7,-13.184135845323416
1.75,-13.191167170079305
1.8,-13.183002455872563
1.85,-13.170882231602885
1.9,-13.147032784736043
1.95,-13.146050641533868
2.0,-13.120749052737347
2.05,-13.061213325378171
2.1,-13.009356983894264
2.15,-12.996447105403393
2.2,-12.98870103493126
2.25,-12.949092033198767
2.3,-12.875461721826076
2.35,-12.79927538151841
2.4,-12.769991719059062
2.45,-12.752781171166557
2.5,-12.743138857706933
2.55,-12.734519618015657
2.6,-12.761159471997958
2.65,-12.776316548064754
2.7,-12.787235740936367
2.75,-12.787004844686754
2.8,-12.77563601958017
2.85,-12.744844030852965
2.9,-12.75153712906316
2.95,-12.765424038701747
3.0,-12.782016398244377
3.05,-12.756466034143218
3.1,-12.675880634730792
3.15,-12.593272470544411
3.2,-12.516726610913237
3.25,-12.481483550836415
3.3,-12.485975789696054
3.35,-12.491465646526718
3.4,-12.506050261069266
3.45,-12.572141445357781
3.5,-12.637370182940336
3.55,-12.729781756392958
3.6,-12.78303999182578
3.65,-12.797205699497534
3.7,-12.782571353670113
3.75,-12.739970024913882
3.8,-12.69921539500859
3.85,-12.670596611730682
3.9,-12.631996787560414
3.95,-12.59673044470889
4.0,-12.565924877397505
4.05,-12.607549006667753
4.1,-12.721802748492555
4.15,-12.863159973169946
4.2,-12.802214360004449
4.25,-12.572667160763713
4.3,-12.454780548115458
4.35,-12.417896653305492
4.4,-12.324286203774308
4.45,-12.07134035659948
4.5,-11.431211026899517
4.55,-10.259439753379235
4.6,-8.428597823727214
4.65,-5.689745936354492
4.7,-2.092501451603587
4.75,2.5857365812268713
4.8,8.35366978211697
4.85,15.489045011687733
4.9,23.39737872195529
4.95,32.438025674162276
5.0,42.58628793158436
5.05,52.44686839028781
5.1,57.09523263331068
5.15,60.465847426885915
5.2,63.106432421468384
5.25,64.2660940875473
5.3,63.950741473499136
5.35,62.552066067986814
5.4,59.86478084646388
5.45,55.69680176733843
5.5,51.94070938329988
5.55,46.96639008725993
5.6,39.34801078415691
5.65,30.81954478504931
5.7,22.755584340995476
5.75,16.436492324837072
5.8,12.623080190860422
5.85,10.536568579626245
5.9,8.069558555279277
5.95,5.085265037412065
6.0,2.200759924920671
6.05,-0.6940683442824244
6.1,-3.012511338035663
6.15,-4.512574044362989
