Time [s],Flexion(+)/extension(-),Sidebend left(-)/right(+)
0.0,-6.889183305956723,-9.685257443910123
0.05,-7.962003133657619,-9.429762055291194
0.1,-9.113684149589217,-9.183916156611279
0.15,-10.383965044699497,-8.989722696474654
0.2,-11.712463149374084,-8.859965396278694
0.25,-13.090261791667414,-8.707351578863792
0.3,-14.116887698853194,-8.597624898722417
0.35,-15.02673181001404,-8.568372086649857
0.4,-15.556385819878432,-8.661393220405994
0.45,-15.889331591808078,-8.797007798036546
0.5,-16.013393708527058,-8.974673419781784
0.55,-15.895837741175852,-9.152991138504369
0.6,-15.660585679243635,-9.34317311476738
0.65,-15.358895177697281,-9.522985692797478
0.7,-15.096184178680025,-9.69485432466668
0.75,-14.864926901153604,-9.808732942931591
0.8,-14.774688130164103,-9.906989808761711
0.85,-14.61426080182718,-9.963742853548245
0.9,-14.403544946862468,-10.114904530430664
0.95,-14.108634391278422,-10.233036655394525
1.0,-13.712209910195632,-10.21355484878273
1.05,-13.290683328464361,-10.085966880530219
1.1,-12.979500729836495,-10.028810057226478
1.15,-12.775013707668723,-10.03060340186416
1.2,-12.645971366939209,-10.070388370632317
1.25,-12.512951269865994,-10.105482091865047
1.3,-12.217996205431044,-10.169952420812818
1.35,-12.044529899312066,-10.1989059492182
1.4,-11.981488924271405,-10.153075955842016
1.45,-11.78773614276718,-10.089649166316537
1.5,-11.6096806565771,-9.987945437403738
1.55,-11.699867888983432,-9.774797662285888
1.6,-12.025264107562421,-9.536441060969674
1.65,-12.542053643052878,-9.473724060820313
1.7,-13.10825011315826,-9.382643096848726
1.75,-13.648235733266137,-9.34635288789285
1.8,-14.105417381462972,-9.419124183991748
1.85,-14.560575225099818,-9.587205678658481
1.9,-14.78305148042884,-9.660075140210019
1.95,-14.5668317819683,-9.626376434617683
2.0,-14.145167312359908,-9.592852005095205
2.05,-13.735907384189183,-9.5482146530523
2.1,-13.426624397034496,-9.452874853750856
2.15,-13.27488753687073,-9.349299875748704
2.2,-13.174781369166714,-9.335722829426151
2.25,-13.087431883584586,-9.479639645750106
2.3,-13.118155572041752,-9.732551041688234
2.35,-13.034133059788063,-9.86191027256664
2.4,-12.705153591220691,-9.952725711668442
2.45,-12.458361609445804,-9.777063498501079
2.5,-12.187290637987578,-9.373954935136592
2.55,-11.991213757287408,-8.889439878691087
2.6,-11.860421360694785,-8.305791102068653
2.65,-11.982957689212087,-7.276258363347278
2.7,-12.309795372048852,-5.726254189136527
2.75,-12.641898249800322,-4.030047510016085
2.8,-12.998402807555102,-2.4783127273928867
2.85,-13.393904391174576,-1.2075862274769746
2.9,-13.746656246885669,0.012611321244397199
2.95,-14.270445184204743,1.0283959861056806
