Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-1.198140351575154,-15.489468365788488
0.05,-1.3160273413996824,-15.478632709292274
0.1,-1.3521748999278569,-15.480832290554785
0.15,-1.3678654147579241,-15.636327393489186
0.2,-1.319545251019959,-15.795597433011993
0.25,-1.2008385479469297,-15.956476600137234
0.3,-1.0851933136379344,-16.05168502736774
0.35,-0.9945892477785006,-16.070665851546003
0.4,-0.9105166152384389,-16.04572576462763
0.45,-0.8354906933965314,-15.929041218659846
0.5,-0.8470779073811581,-15.737873753194075
0.55,-0.848583471959219,-15.245803611392441
0.6,-0.8774413825675704,-15.170213260052147
0.65,-0.8809024328449113,-15.192353875342473
0.7,-0.954754468061459,-15.287643617099791
0.75,-1.0504504734429134,-15.434716216122721
0.8,-1.148050490740114,-15.506688177018841
0.85,-1.2223925587096478,-15.550316618559476
0.9,-1.2121588127466167,-15.601733863726073
0.95,-1.2374458475489556,-15.618162025092772
1.0,-1.2505610008618617,-15.628437926395806
1.05,-1.32424903506194,-15.654081038769958
1.1,-1.3767175050598648,-15.725829416870795
1.15,-1.4126775741796254,-15.799251131363778
1.2,-1.4079116659306954,-15.863885518385464
1.25,-1.4253579217629615,-15.869847010805412
1.3,-1.401890733291341,-15.87222568326179
1.35,-1.4164609503311507,-15.896264604005353
1.4,-1.303371142641696,-15.84512436023745
1.45,-1.1776769821979953,-15.823064432405806
1.5,-1.2182076738249756,-16.048368118323463
1.55,-1.4581148189286333,-16.498272172964523
1.6,-1.780979184908662,-17.195488459700037
1.65,-2.22114603589386,-17.938713741969774
1.7,-2.8658240691852837,-18.82060584179644
1.75,-3.8994561772068765,-19.663037448982774
1.8,-5.400138158268668,-20.60795865378178
1.85,-7.085121928128432,-21.615374129397104
1.9,-8.617695207643363,-22.3971727966452
1.95,-9.746990389996427,-22.83611684509784
2.0,-10.336737319469663,-23.04704535731402
2.05,-10.468424252187768,-22.885905514469354
2.1,-10.116217969356315,-21.75869399457464
2.15,-9.493372364552533,-19.56073154390104
2.2,-9.09900898555296,-16.938698707623534
2.25,-9.099475793161382,-14.90006118097044
2.3,-9.231278883550669,-14.032760509073652
2.35,-9.721804154602605,-14.094976330393445
2.4,-10.862822260031681,-14.427554621622384
2.45,-12.58413942758868,-15.263059713607786
2.5,-14.921331238952224,-16.759732968367736
2.55,-17.885383002701488,-18.40291398217119
2.6,-21.322904217182348,-19.878296424982782
2.65,-24.948358549558595,-21.116951981136868
2.7,-28.48656745214272,-21.900422359062787
2.75,-31.643394579904495,-21.936383865997453
2.8,-33.98622758338654,-21.32676550792502
2.85,-35.38198448996357,-20.05598939805473
2.9,-36.529476069554015,-17.6823926338232
2.95,-38.56276748298544,-14.523556458266887
3.0,-41.82975176234386,-11.07683479306462
3.05,-45.88283168292336,-9.012657803062114
