Time [s],Flexion(-)/extension(+),Radial(+)/ulnar(-) deviation
0.0,-2.948699196952149,-20.276787846827606
0.05,-3.09663579870695,-20.231189611104586
0.1,-3.2108855879270575,-20.264683606243686
0.15,-3.3483169680385503,-20.32291917979503
0.2,-3.4320595292722844,-20.44451343046107
0.25,-3.462474097867704,-20.609829728655697
0.3,-3.499460602882451,-20.755973291545423
0.35,-3.4733475988712565,-20.88100678356213
0.4,-3.4116588217600747,-20.962273513531695
0.45,-3.528974896377001,-21.019722473721014
0.5,-3.6088652462610216,-21.012204659052262
0.55,-3.697806333946988,-21.031631788871675
0.6,-3.703952399533767,-21.018313278743964
0.65,-3.765456967317442,-20.99443032626772
0.7,-3.780822557493779,-20.91742656970523
0.75,-3.8011600810963544,-20.831689463247386
0.8,-3.8023236603586428,-20.730302603851133
0.85,-3.7887731390563704,-20.63951232856278
0.9,-3.7965380433316738,-20.610210820163555
0.95,-3.79215770466057,-20.519861405922374
1.0,-3.7885927192786872,-20.444560761498057
1.05,-3.7799492294048638,-20.336803672145727
1.1,-3.730250608337867,-20.29683222390935
1.15,-3.6715264128667418,-20.262628010346543
1.2,-3.6725185965665323,-20.222379496436613
1.25,-3.5992062914423557,-20.2338774797518
1.3,-3.6374111296304013,-20.1971704110734
1.35,-3.635106691186681,-20.207224006249596
1.4,-3.603500250662632,-20.299630684868685
1.45,-3.541930209614166,-20.396898395453128
1.5,-3.4675641838500018,-20.479817470859942
1.55,-3.2981791226459176,-20.387555451673787
1.6,-2.9960669763483727,-20.330213605361163
1.65,-2.5314766426026436,-20.286905932319264
1.7,-2.0735445388375946,-20.22993191168135
1.75,-1.5954306531219666,-20.159274098433837
1.8,-1.2749948518241363,-19.909715046004308
1.85,-1.5274193569708148,-19.55555830506195
1.9,-1.9747915362373991,-19.175386669559042
1.95,-2.242225816857308,-18.858145742446773
2.0,-2.3856648810180454,-18.779663770424285
2.05,-2.603807948606744,-18.935173055069786
2.1,-2.7763091946980976,-19.159784280704024
2.15,-2.7953789052283824,-19.547137258081715
2.2,-2.586285084317964,-20.23424747409479
2.25,-2.400692998812681,-20.78374844925204
2.3,-2.278539471347282,-21.17792675792944
2.35,-2.1465622319175166,-21.67867379823571
2.4,-1.7617871877429443,-22.071569265598495
2.45,-1.146015408068102,-22.39734627174489
2.5,-0.6811038461838529,-22.83105539037288
2.55,-0.4543769456874895,-23.072114875224326
2.6,-0.389017692796969,-22.906335354696346
2.65,-0.5201660282548458,-22.44093032934791
2.7,-0.926553573522238,-21.829475056553317
2.75,-1.3343274443319608,-21.131902333411425
2.8,-1.7350068740875508,-20.366739660365354
2.85,-1.9469318312845323,-19.825758069313448
2.9,-1.5922161521786407,-20.303190833562223
2.95,-0.9373844959871827,-22.235196471351834
3.0,-0.5203374759200342,-24.670098764321885
3.05,-1.0114397482654998,-27.05820377910426
3.1,-2.103004050348522,-29.229047870141194
3.15,-3.5132345693345934,-31.33869429657912
3.2,-4.319539552621074,-30.757959232989673
3.25,-4.071162920991553,-28.81137591650686
3.3,-5.794000458845973,-31.536316754206506
3.35,-7.227670317097509,-30.766624233828075
3.4,-9.522785800295278,-27.870443447071562
3.45,-10.865019247149435,-26.93213347229111
3.5,-11.48815413506739,-26.55057846081815
3.55,-11.768150886597027,-27.389981100439144
3.6,-12.126712861770349,-29.02641000478742
3.65,-13.148097050855917,-30.85120441251923
3.7,-14.260403664557908,-31.164043976700505
3.75,-15.007729791003387,-29.966992136944125
3.8,-15.141984314723965,-29.278400151992557
3.85,-15.962334740233832,-31.580748054803337
3.9,-17.464608111929483,-34.51120393845416
3.95,-16.481650310939873,-33.30219244132961
4.0,-10.698937118868598,-31.398446985427473
4.05,-3.8562842029039484,-33.34043249649093
4.1,-0.8388027081809036,-35.0901143765075
4.15,-1.4287505749426206,-39.71649631496028
4.2,-4.519033012931198,-46.41656334425126
4.25,-6.286662902768515,-48.328658584389416
4.3,-6.035662213767091,-48.94779572761638
4.35,-4.701738727019875,-51.046910776770936
4.4,-5.2688305360272105,-51.92911732278943
4.45,-6.86223808084517,-52.184383857926186
4.5,-9.456495548005567,-50.096992006211956
4.55,-12.687073322555507,-46.68173211513439
4.6,-15.588405863555135,-41.976943190138805
4.65,-17.565510549730437,-38.51996723322599
4.7,-19.27804669606448,-36.34129980736146
4.75,-20.95391774734658,-34.542672586561956
4.8,-21.227746161929534,-33.08625635903519
4.85,-18.91492480077426,-32.29508007127344
4.9,-16.79920499954419,-33.19280811205489
4.95,-17.568774886624254,-33.435755554377835
5.0,-18.565829895108866,-32.53022470080431
5.05,-19.208364555477935,-32.351841236485
5.1,-19.338376632919104,-32.15836041503615
5.15,-19.60663642359076,-31.247021506979173
5.2,-20.256405048952352,-30.404861062286166
5.25,-19.692714479737443,-29.408860284509792
5.3,-17.79660776679515,-28.868198212955747
5.35,-16.10754329913085,-28.596339624995476
5.4,-15.34445174859558,-27.691060730297064
5.45,-15.590417759611269,-26.983374679426827
5.5,-16.539066463433972,-26.61783349192744
5.55,-16.726830191429293,-26.677604444940247
5.6,-16.8655104820077,-27.029520350121086
5.65,-18.61759269596979,-28.600928544016867
5.7,-21.42670240523761,-30.123405501993517
5.75,-24.11392818008873,-30.993755690484313
5.8,-26.541149519637326,-32.8050623547403
5.85,-26.96054879062835,-34.294398566363185
5.9,-25.75286459544579,-35.12923710875777
5.95,-25.172454047506253,-35.315449792468655
6.0,-27.13280948208864,-35.68091810992128
6.05,-28.833108857127986,-35.866754275800005
6.1,-25.969782135622495,-36.06105549744163
6.15,-22.45799454841608,-36.64665464873152
6.2,-20.379307530347702,-38.23065070344171
6.25,-20.49569939575189,-41.803154282169096
6.3,-23.544314818544766,-45.83106990966483
6.35,-27.110878615793343,-45.28725588999552
6.4,-29.707162036268098,-42.52315561917797
6.45,-30.07893177578945,-40.6905043090969
6.5,-27.448965802068354,-36.42752244297957
6.55,-23.340850198951376,-31.797108302209338
6.6,-20.520105322300356,-28.501635152171396
6.65,-19.566796890961353,-26.301774077030153
6.7,-22.309886691889783,-25.785465714630423
6.75,-26.252019151753345,-25.21891226913307
6.8,-28.4611189884206,-23.92164399237222
6.85,-29.44441360682292,-25.173708076760786
6.9,-29.108786846610652,-26.788591994221324
6.95,-30.032440490920045,-29.29385710159315
7.0,-29.826405532392393,-31.58262763948911
7.05,-28.390872547781772,-34.077551294949565
7.1,-29.918871739448587,-37.13994823502074
7.15,-32.039127787978394,-38.96468332342632
7.2,-33.91984667968178,-39.913569082915515
7.25,-35.43170769017851,-40.9975101240227
7.3,-34.16844118829701,-42.304881694211645
7.35,-31.796817831821226,-46.64782759199562
7.4,-30.80717478301357,-48.583827332041594
7.45,-31.59116831059126,-46.09494336061367
7.5,-29.990863905699534,-42.582547948492774
7.55,-26.221861748589546,-39.853746741877714
7.6,-22.943160542649974,-39.875669494792916
7.65,-20.44349541092313,-40.64007523332211
7.7,-20.749050978087958,-40.843618093178144
7.75,-23.031588393548574,-40.920721901425985
7.8,-24.893863017961948,-40.5343449156714
7.85,-25.574231667864925,-40.325589959282226
7.9,-25.706880547756914,-39.480155215951115
7.95,-27.19120346209269,-41.1096823207504
8.0,-30.758203491721115,-43.98097760596345
8.05,-32.20470236859239,-39.906492231415115
8.1,-30.224527734338444,-34.008268479841746
8.15,-27.05827478149652,-32.36981973249713
8.2,-25.707339911703826,-32.3382943734784
8.25,-25.377722011931912,-30.502825172917284
8.3,-25.155056809569206,-29.55210909137978
8.35,-26.830328402671114,-28.515291541464542
