Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-10.744277921185747,9.768092959886584,-9.575674651974602
0.008,-10.751165572141051,9.772574466020085,-9.581944568054071
0.016,-10.759608760898976,9.778040401950042,-9.588734686893464
0.024,-10.769657940121489,9.78446139441839,-9.595601611071581
0.032,-10.781096330444282,9.791664131868783,-9.601902406627369
0.04,-10.793414436308607,9.799341988371067,-9.60700276382712
0.048,-10.806032587629037,9.807102203766853,-9.610548294931087
0.056,-10.818623990958649,9.814861034813731,-9.612764827896099
0.064,-10.830217307173967,9.822019987687677,-9.613529603938712
0.072,-10.840666775898095,9.828646832143166,-9.613504104818324
0.08,-10.849939805876012,9.83484065655967,-9.613274623821761
0.088,-10.8581411082495,9.840786255905774,-9.613322658441222
0.096,-10.865404941417209,9.84670625352857,-9.614102988920463
0.104,-10.871919468346649,9.852836696066571,-9.615905711217486
0.112,-10.877976458210938,9.859374250560492,-9.619035363541665
0.12,-10.883800366463248,9.866340363602912,-9.623580245788139
0.128,-10.889649567063492,9.873742429764844,-9.629486403374745
0.136,-10.895769818022325,9.881437264154867,-9.636541368064934
0.144,-10.902315373001358,9.889306996452772,-9.644430803993432
0.152,-10.909260465353489,9.897169987538364,-9.652675543466145
0.16,-10.916450521742343,9.904837845226357,-9.660897694749309
0.168,-10.923581546751313,9.912189436987752,-9.668744996074883
0.176,-10.93045445682728,9.919137487872376,-9.675991342215347
0.184,-10.936924773919067,9.925712128635764,-9.682525832967103
0.192,-10.943019997100564,9.93198020314485,-9.68836444343392
0.2,-10.948838902055629,9.938019571805524,-9.693560234102984
0.208,-10.954564756218018,9.94393867581943,-9.698272878479923
0.216,-10.960277883760524,9.949766445857161,-9.702652604232552
0.224,-10.966262614031947,9.955671852752541,-9.706924916846631
0.232,-10.972716598069336,9.96181116982016,-9.711254063577439
0.24,-10.979772083169253,9.968394167680684,-9.71571516957386
0.248,-10.98763359227843,9.975622580319895,-9.720259041794254
0.256,-10.996341785033652,9.98359352328178,-9.724725883074953
0.264,-11.005881473541598,9.992241575092788,-9.728881416383798
0.272,-11.016039301912453,10.001304630055584,-9.732436507896937
0.28,-11.026498323071394,10.01045595205907,-9.735183738648894
0.288,-11.036775579397029,10.019371680769975,-9.737004360537446
0.296,-11.046468445077666,10.027745043740488,-9.737792814210742
0.304,-11.05519841644869,10.035446077028876,-9.737589496090353
0.312,-11.062780865975999,10.04241791381553,-9.736426042941691
0.32,-11.069239876469043,10.048607696807611,-9.734401029056658
0.328,-11.074601607340911,10.054064722227757,-9.73160114859404
0.336,-11.079053464264145,10.058799039014508,-9.728089013591651
0.344,-11.082806361377706,10.062841769190168,-9.723883596650408
0.352,-11.086160915539896,10.066219086932957,-9.718965108518335
0.36,-11.089352724754132,10.069023661327385,-9.71322252194419
0.368,-11.092586552725722,10.071284139711318,-9.706557476639414
0.376,-11.095961131914917,10.073058183237707,-9.698865790093858
0.384,-11.099424462926336,10.074345313556279,-9.6901131465795
0.392,-11.10284515961136,10.075194675037014,-9.6803903625441
0.4,-11.105980333833541,10.075616089708772,-9.669885886773606
0.408,-11.108609129852827,10.075667329551536,-9.658783462909296
0.416,-11.11057389408757,10.075546703258206,-9.647409043058687
0.424,-11.111852710443532,10.07536789642896,-9.636026322837418
0.432,-11.112550275071362,10.075356399113064,-9.624927529870547
0.44,-11.112850106438751,10.075662285084476,-9.614382379782239
0.448,-11.11300406024723,10.07636612109349,-9.604589378410429
0.456,-11.113262183179557,10.077478224019414,-9.595747316333833
0.464,-11.113791920146939,10.078878341737255,-9.587847942448153
0.472,-11.114734142084751,10.080413098149736,-9.58079299616815
0.48,-11.116127928632007,10.081867798602078,-9.574344571859553
0.488,-11.117902713688872,10.082975371971953,-9.568167603633244
0.496,-11.120009200783926,10.083548652199088,-9.561986317545319
0.504,-11.122262657670356,10.083414417216087,-9.555554389192157
0.512,-11.124536144087745,10.082529813667396,-9.548807743545375
