Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,0.620701890698825,-2.971958912182338,-0.5557242383203469
0.008,0.6196837778699251,-2.9753366434824438,-0.5509689974425628
0.016,0.6181663174889824,-2.979340666604122,-0.5452745793581606
0.024,0.6160128543452316,-2.9839192649611905,-0.538559787530863
0.032,0.6131121799215085,-2.988915330141049,-0.5308185670815218
0.04,0.6094263792410847,-2.9940339436912904,-0.5222761018231078
0.048,0.6050371339029752,-2.9991006523631816,-0.513189125903877
0.056,0.6001372908570418,-3.0041508212504944,-0.503634961774213
0.064,0.5951642125496311,-3.0088395652861073,-0.49429293868575275
0.072,0.5904805624018232,-3.013270213197385,-0.4851966127448728
0.08,0.5863463049818993,-3.0175803334993767,-0.4762606391609378
0.088,0.5829135058183552,-3.021913582978565,-0.4673470727291253
0.096,0.5802095824278617,-3.0264968140562862,-0.45824242211827443
0.104,0.5782558188537643,-3.0315620219055956,-0.44871295135194994
0.112,0.5771549619504343,-3.0372412377985003,-0.4385428181290462
0.12,0.5770764521839276,-3.0435667839225937,-0.4277754435702373
0.128,0.5782879058217684,-3.0503281937508606,-0.4167974096329672
0.136,0.5809817629134378,-3.0572171308641236,-0.4062916605622843
0.144,0.5853154066343121,-3.063839632533157,-0.3970150781999021
0.152,0.5911197887542364,-3.0698548248589286,-0.3895077520495137
0.16,0.5981325878837633,-3.0749802128195607,-0.38385419418552197
0.168,0.6058773561153603,-3.0791172845870767,-0.3797901498692015
0.176,0.6139282666921719,-3.082283053593515,-0.3768535278366075
0.184,0.6219798800677832,-3.0845722935675006,-0.3746101594316749
0.192,0.6299082480576225,-3.0861184600108693,-0.37290513768011313
0.2,0.6376159139448472,-3.0870856239566753,-0.37164281605750354
0.208,0.6451851865946089,-3.0875370598539185,-0.3710121788708448
0.216,0.6526601540201382,-3.087465539192627,-0.3713486281744675
0.224,0.6601736752249014,-3.0868768063835232,-0.3729034587857151
0.232,0.6677649739085337,-3.085782565851154,-0.375901840781922
0.24,0.675428533253247,-3.084304849134064,-0.3803387540865039
0.248,0.6832415717059608,-3.08252945824086,-0.3860345143142282
0.256,0.6911882997740048,-3.0806546307919715,-0.39263075211292453
0.264,0.6992441303800088,-3.078876570030969,-0.399704136617363
0.272,0.7073483399322754,-3.0773115396201502,-0.40667523780443005
0.28,0.715427244210262,-3.0760636687304217,-0.41307345039367416
0.288,0.7233743563131028,-3.0752183612427535,-0.4184794633534973
0.296,0.7310188931190443,-3.074751854152935,-0.4227068755944302
0.304,0.7381775339587118,-3.0746361202331065,-0.4257241626911072
0.312,0.7447060705554072,-3.0747284086324584,-0.42779390053948685
0.32,0.750432959477218,-3.07491838256546,-0.4292521268576193
0.328,0.7553017033809815,-3.074982820245474,-0.43067320112308854
0.336,0.7592885370687948,-3.0748320646030516,-0.4326061524081446
0.344,0.7624890338832219,-3.0743891994824324,-0.43562112875160136
0.352,0.7650864684468492,-3.073567968900842,-0.4401142254563565
0.36,0.7674078034790471,-3.0724555464894627,-0.4463474787811253
0.368,0.7697382814906294,-3.0710976448360294,-0.45438441218376674
0.376,0.772429109050741,-3.069580046005556,-0.4640644969915755
0.384,0.7756357888333629,-3.068069522557495,-0.4750060887357221
0.392,0.779470697709973,-3.0668053346514683,-0.4866470381768616
0.4,0.7838414534191825,-3.0659684796407176,-0.4983348787391436
0.408,0.7885530490008283,-3.0658475867718975,-0.5094059412534375
0.416,0.7933750864378282,-3.066566585195748,-0.5192737667295116
0.424,0.7978763360399568,-3.0682021475958283,-0.5275521504497872
0.432,0.8018092911626867,-3.0707245275474864,-0.5341198313388515
0.44,0.8049520801066773,-3.073954410325177,-0.5390968643628058
0.448,0.8072170882899284,-3.0776832162584857,-0.5428545466229681
0.456,0.8087982954086449,-3.0816323176236873,-0.5458727684374701
0.464,0.8100098841798233,-3.0855494309600715,-0.5487313789071347
0.472,0.8112306985520934,-3.0892850266870924,-0.5519826380892845
0.48,0.8128776548390968,-3.0927604480123323,-0.5560782080200549
0.488,0.8152820664363063,-3.095871851373399,-0.5613493099936078
0.496,0.8186766792940258,-3.098645270236288,-0.5680867719399011
0.504,0.8231289970855952,-3.1010659871824346,-0.5764140321999832
0.512,0.8287056077520788,-3.1030996608335157,-0.586329683476087
0.52,0.8353228932954814,-3.104688880626791,-0.5976899086763586
0.528,0.8428043299782317,-3.105805837303584,-0.6102306657676069
0.536,0.8508562489222374,-3.106360805698399,-0.6236741417152933
0.544,0.85912544855155,-3.1063385312678338,-0.6376505048228956
0.552,0.8671783364681941,-3.1057534862794123,-0.6517738358898741
0.56,0.8746861585836462,-3.1049732110271346,-0.6654955922086736
0.568,0.8814317250118819,-3.1044640183525183,-0.6781051921229453
0.576,0.8873003052368613,-3.10490612803455,-0.6889276167734215
0.584,0.8922741306184402,-3.106941392500981,-0.697374882542004
0.592,0.8962012562489544,-3.1108907491469986,-0.70344865891472
0.6,0.8987703276345531,-3.116702868630508,-0.7076063623652715
0.608,0.8995572909105469,-3.123849520990761,-0.7108482234318364
0.616,0.8981323664416652,-3.131573299470884,-0.7143562550022301
0.624,0.8944769806133984,-3.138960736771128,-0.7192877318673708
0.632,0.8888511714065948,-3.14529301397409,-0.7265366644442122
0.64,0.881991962043542,-3.1500222287688064,-0.7367037350368408
0.648,0.8745895008533122,-3.1528733390992802,-0.7501605591944207
0.656,0.8672609263554097,-3.1538035038440904,-0.7670777714984731
0.664,0.8603479763552457,-3.1529498921750925,-0.7874449350730817
0.672,0.8540780023633876,-3.1505650549843676,-0.8110312167402361
0.68,0.8486371419242006,-3.146892028421213,-0.8372515248586281
0.688,0.8441996887066802,-3.1421618777357243,-0.8652095991973451
0.696,0.8408428550754284,-3.136627071129888,-0.8935566434517633
0.704,0.8384293704873368,-3.1304516360688877,-0.9208517024128289
0.712,0.8366548930513087,-3.123907233920532,-0.9456027762338844
0.72,0.8350057748218634,-3.117178045295875,-0.9665240308525251
0.728,0.8328847207416636,-3.1104297221190156,-0.9827861235983661
0.736,0.8298329087640707,-3.103824498616117,-0.9939942910727259
0.744,0.8256314275508652,-3.09750299488001,-1.0002313124234048
0.752,0.8203537769694645,-3.091561670265139,-1.0019052814622296
0.76,0.8143413006009235,-3.0862088191289514,-0.9997188579357884
0.768,0.8081540887265752,-3.0816007758259896,-0.9944243110512432
0.776,0.8023612441538184,-3.0780268381500187,-0.9868449338024307
0.784,0.7975736415606669,-3.07572227757879,-0.9777475961675175
0.792,0.7942478457113122,-3.0748553662268825,-0.9678677485164621
0.8,0.7927180360630905,-3.075486306526052,-0.9580016995172386
0.808,0.7931793285082805,-3.0776031017051904,-0.9489119364466453
0.816,0.7957481089149868,-3.08099391965119,-0.9414066851858102
0.824,0.8003938370974384,-3.0854373880017194,-0.9362386378411856
0.832,0.8070059536477167,-3.090709935126943,-0.9339547814594801
0.84,0.8152987270477512,-3.096560295040739,-0.9348337365815417
0.848,0.8248329244038348,-3.1027954881142796,-0.9387614964488252
0.856,0.8349769449537258,-3.1092534012360478,-0.945232915446444
0.864,0.8451112302335995,-3.115735018601478,-0.9534756916275087
0.872,0.8547004262748228,-3.1219990277986565,-0.9626075288795855
0.88,0.8632991805972182,-3.12777897727444,-0.9719543321793136
0.888,0.8705878063189694,-3.132783575044697,-0.9811637221311296
0.896,0.876412214390935,-3.136702374753326,-0.9902795226668194
0.904,0.8807660216583659,-3.1393234200973907,-0.9996949874729618
0.912,0.8838640053742203,-3.140399128865567,-1.0100323574080314
0.92,0.8862672376980621,-3.139802105638469,-1.0218498798716784
0.928,0.8887184147531938,-3.137439574461747,-1.0355018746672637
0.936,0.8920900330229519,-3.1333271253191666,-1.0508957035271314
0.944,0.8974057389609447,-3.127602134102497,-1.0673705097514399
0.952,0.9058464996050944,-3.1205242506245052,-1.083299146504764
0.96,0.9188819113466028,-3.112552054971186,-1.095685616278519
0.968,0.9380205105255625,-3.10433625944706,-1.0993544101864943
0.976,0.9644800566063642,-3.096897751622449,-1.0863548654496626
0.984,0.9984472148954138,-3.0915206610928134,-1.0453860830523714
0.992,1.0386261421444298,-3.0894932656178162,-0.9625168548741232
1.0,1.0817258718406366,-3.091805864790347,-0.8227297905225112
1.008,1.1229244165333374,-3.0988548117892787,-0.6123544391661491
1.016,1.1564676808221914,-3.110142743270883,-0.3218099618654818
1.024,1.1766132895379142,-3.1245048116250187,0.05230188263012374
1.032,1.1786082361102475,-3.1400627314128613,0.5065787808434667
1.04,1.1590977279282855,-3.1543511498013834,1.0317189237781248
1.048,1.1162879994742978,-3.1643597148650673,1.6148190058672476
1.056,1.0494591684499477,-3.1664408632991794,2.2423102066977587
1.064,0.9584014257567279,-3.1562136856618137,2.902849614325796
1.072,0.8424223924378993,-3.1287529822664193,3.5896889198728097
1.08,0.6996804977920322,-3.0791675798235083,4.30219273537125
1.088,0.526967775613699,-3.0031306687282724,5.04624398912178
1.096,0.3197544072771632,-2.8974670855386413,5.8336973606389275
1.104,0.07261227515497685,-2.7603968788492033,6.680734879000201
1.112,-0.22010552480636594,-2.5913148382196027,7.605018182417498
1.12,-0.5636408814617898,-2.390312865720121,8.622028108279485
1.128,-0.9620672498279884,-2.157500302896927,9.741438768699725
1.136,-1.417636921308696,-1.8922948082256177,10.964491519860463
1.144,-1.930393783175156,-1.5927839870879903,12.282963359652483
1.152,-2.497931931633375,-1.255734236495435,13.680310329503392
1.16,-3.115590870560038,-0.8768014687851328,15.134273223633013
1.168,-3.7769783466685283,-0.45140221474990544,16.620476049902717
1.176,-4.474734056230707,0.024569644439100192,18.116024728728302
1.184,-5.201295145842737,0.554035736406932,19.60221454757975
1.192,-5.94963034995126,1.138368645113053,21.06614631254542
1.2,-6.713492296323399,1.777349760344459,22.500731234052868
1.208,-7.487632031811898,2.4690990368930135,23.903643743717005
1.216,-8.267939055258974,3.2103201315478027,25.275557000112727
1.224,-9.051362768946772,3.9965448175705616,26.618131229178115
1.232,-9.835781860856313,4.822575393993772,27.932167686789587
1.24,-10.619730029284662,5.683138194439027,29.215994056235225
1.248,-11.401862220202448,6.573423374307111,30.46472714919635
1.256,-12.180647251693548,7.489621597081155,31.670290101026136
1.264,-12.95417156284954,8.429221841791938,32.82239156043312
1.272,-13.720137997593303,9.390601978300417,33.91011328824876
1.28,-14.476429662707137,10.372641824303875,34.92390711195631
1.288,-15.221591386146619,11.37408901719334,35.857517570070044
1.296,-15.955754285367876,12.393129162055397,36.70929716078641
1.304,-16.681045940749758,13.42746731551205,37.482955825527355
1.312,-17.401647341394195,14.474544161579185,38.18676032195061
1.32,-18.12310822430733,15.532045224299127,38.83220362244674
1.328,-18.851216453524113,16.59830235786354,39.43168512555136
1.336,-19.590474778346323,17.672672097944627,39.99630160669446
1.344,-20.342969939615504,18.755438790358962,40.53402687227659
1.352,-21.10746650943247,19.847924092508137,41.048784727703435
1.36,-21.87957756612748,20.951997914790823,41.540642915129794
1.368,-22.65259810964838,22.069549678475457,42.00735485080105
1.376,-23.418847412890493,23.20169936694029,42.446425286348585
1.384,-24.17143400329922,24.34823389520019,42.85714764516092
1.392,-24.9054034016651,25.507140507084404,43.24186793868947
1.4,-25.618500913606677,26.67443210686001,43.606118724438836
1.408,-26.311308461251965,27.84441417277903,43.9577396943309
1.416,-26.986825551940715,29.01022019615393,44.30535538333651
1.424,-27.64972173891391,30.16438161000084,44.65695702420756
1.432,-28.305405650353592,31.299638658911988,45.018591462232564
1.44,-28.959046355271532,32.40965157280559,45.394001603277
1.448,-29.614974853239843,33.48967407231764,45.784681626358385
1.456,-30.276432121529503,34.53671014093647,46.19040388352402
1.464,-30.94549516546577,35.54959066276466,46.60984534840731
1.472,-31.623196315629656,36.52839135814243,47.041064907532366
1.48,-32.30939083667048,37.47390088791317,47.481795514172106
1.488,-33.00265170570087,38.386956160096254,47.92951171811957
1.496,-33.70024722652448,39.26817732674536,48.38118171375225
1.504,-34.39817134516432,40.11793484672768,48.833231142959114
1.512,-35.09196766446897,40.936467955170585,49.28155933229537
1.52,-35.77706662584195,41.724420851596776,49.721960011396845
1.528,-36.4495896767573,42.48307060998886,50.15055723417368
1.536,-37.10649025116167,43.21454032764077,50.56439861239141
1.544,-37.74613639334966,43.921555625373664,50.961847197220635
1.552,-38.368122657837084,44.6072471274714,51.34254910212581
1.56,-38.973023313075885,45.274460242053735,51.70719667589712
1.568,-39.56185871979147,45.9254090889346,52.056971828773676
1.576,-40.13556558189313,46.56145362200664,52.39270299398768
1.584,-40.69435756640873,47.18311464608796,52.71425430585192
1.592,-41.23734999466823,47.790255137837605,53.020380236118015
1.6,-41.76251796406046,48.38236088070493,53.30887773364722
1.608,-42.26725818422065,48.95897795602431,53.577367155164175
1.616,-42.74869846681484,49.519690065704125,53.823938316513484
1.624,-43.20455144852076,50.06450052138356,54.04762297210483
1.632,-43.63373958372175,50.59383635650257,54.24897056141376
1.64,-44.03674338724114,51.108577903899636,54.42944430950755
1.648,-44.41554083429202,51.61020006699313,54.59137464019818
1.656,-44.773245000210125,52.10085902710673,54.737105722723705
1.664,-45.113224416298166,52.58330830131961,54.86856914609703
1.672,-45.4386036381761,53.06067187926572,54.9867755676273
1.68,-45.75168553704511,53.53618391372816,55.09149949659286
1.688,-46.053756879169484,54.01296223295814,55.18160582659851
1.696,-46.345250621276946,54.49400988143698,55.25565397182242
1.704,-46.62600171343219,54.98198728068968,55.31259742885032
1.712,-46.89609007880234,55.47919616137774,55.35263360179613
1.72,-47.156530406837646,55.98697824666286,55.37734266577188
1.728,-47.409708411271886,56.50538221490616,55.38935508271442
1.736,-47.65971502018423,57.033050515937816,55.391737734146325
1.744,-47.9117480510439,57.567508290888554,55.38730263482901
1.752,-48.17116965668779,58.10582374470655,55.378146672972804
1.76,-48.4422847762345,58.645333223276666,55.36520236894969
1.768,-48.727185008709796,59.184078495245465,55.34823556320898
1.776,-49.025318989639466,59.720690133292614,55.325972435569405
1.784,-49.33357026937162,60.25393209020878,55.2965190854875
1.792,-49.64732709245613,60.78204013881892,55.25760359843222
1.8,-49.96143040811953,61.30259871356894,55.207116389302236
1.808,-50.271213498867446,61.81286105662667,55.143384710588954
1.816,-50.57297503088062,62.31055101843454,55.065466173400154
1.824,-50.864468928705826,62.794298451570405,54.97337564372067
1.832,-51.14480142399795,63.26375798522707,54.868003350414504
1.84,-51.41453090187654,63.71931643908767,54.751060299795974
1.848,-51.675324628899915,64.1613956271233,54.624873175934404
1.856,-51.929284796557546,64.59008095611526,54.492024718662286
1.864,-52.17849739111169,65.00491602827655,54.35521949890815
1.872,-52.424430487485,65.40523805656247,54.21696129646371
1.88,-52.667955402741335,65.79066498984596,54.07951958814939
1.888,-52.90936989374236,66.16142883172253,53.94475808647039
1.896,-53.149274537966484,66.51851100994186,53.814163125575696
