Time [s],Flexion(+)/extension(-)
0.0,-5.279717943465053
0.008,-5.278213765606833
0.016,-5.276258042225146
0.024,-5.273725728684539
0.032,-5.2705194989683255
0.04,-5.266591330983649
0.048,-5.261902050316246
0.056,-5.256329699235161
0.064,-5.250041949021837
0.072,-5.243062945576343
0.08,-5.235512672930063
0.088,-5.227600321740665
0.096,-5.219541470792125
0.104,-5.211640775967406
0.112,-5.204071453603438
0.12,-5.196997374237713
0.128,-5.190546843391883
0.136,-5.184815719284254
0.144,-5.1798910338067214
0.152,-5.175915360556195
0.16,-5.172956145120077
0.168,-5.171133256384809
0.176,-5.170485837773579
0.184,-5.171030644150623
0.192,-5.172729964953505
0.2,-5.175399058087688
0.208,-5.178789132503959
0.216,-5.182496748310464
0.224,-5.186104844779181
0.232,-5.189234881669517
0.24,-5.191586034407204
0.248,-5.193003055689246
0.256,-5.193360918034951
0.264,-5.192723514702563
0.272,-5.191059236553034
0.28,-5.188484924032194
0.288,-5.185101642972067
0.296,-5.18094293209114
0.304,-5.1761170700295045
0.312,-5.170639200182329
0.32,-5.164601495298648
0.328,-5.15798861196116
0.336,-5.150843936078721
0.344,-5.1432337908753185
0.352,-5.135153206954395
0.36,-5.1266411772529805
0.368,-5.117694120824431
0.376,-5.108280958225418
0.384,-5.0984251198203605
0.392,-5.088093398795371
0.4,-5.077323462685392
0.408,-5.0661075925211705
0.416,-5.054526294714454
0.424,-5.042622822548092
0.432,-5.030453803740435
0.44,-5.0180533341320475
0.448,-5.005520680460939
0.456,-4.992967685427047
0.464,-4.980465213432152
0.472,-4.968172070851198
0.48,-4.956271684576905
0.488,-4.944927509146973
0.496,-4.934332157603477
0.504,-4.924561899988882
0.512,-4.91568384213987
0.52,-4.907635865958541
0.528,-4.900317159596256
0.536,-4.8936459528345635
0.544,-4.88757791933129
0.552,-4.88211200811646
0.56,-4.877350955642296
0.568,-4.873335238260373
0.576,-4.870127266727932
0.584,-4.867648587934475
0.592,-4.865820135946903
0.6,-4.8645286024562235
0.608,-4.863724564826385
0.616,-4.8633319969868145
0.624,-4.86338334463239
0.632,-4.864006223953239
0.64,-4.865304897111744
0.648,-4.867466015650678
0.656,-4.870605585129774
0.664,-4.874823389257663
0.672,-4.880126250468631
0.68,-4.886449983012681
0.688,-4.893630387757131
0.696,-4.901473235668192
0.704,-4.909669287308193
0.712,-4.917939331182533
0.72,-4.925939453619975
0.728,-4.933343836748158
0.736,-4.9398875588238305
0.744,-4.945337523777837
0.752,-4.949583024694174
0.76,-4.9526261635764985
0.768,-4.954628823515542
0.776,-4.955801713388747
0.784,-4.956443574058776
0.792,-4.956819816854614
0.8,-4.9571757756125425
0.808,-4.957738989269912
0.816,-4.95854644121264
0.824,-4.959738356588544
0.832,-4.961266782154108
0.84,-4.9631930281500445
0.848,-4.965496750695666
0.856,-4.968162552095296
0.864,-4.971186053797607
0.872,-4.974542189363906
0.88,-4.97811378233448
0.888,-4.981835428164798
0.896,-4.985657841257008
0.904,-4.989441866009765
0.912,-4.993127539231655
0.92,-4.996695428267081
0.928,-5.000050256408363
0.936,-5.003267896679822
0.944,-5.006321111883627
0.952,-5.009297601139235
0.96,-5.012226500063433
0.968,-5.015098159420415
0.976,-5.017798466849177
0.984,-5.020069176079075
0.992,-5.021493493946394
1.0,-5.021443912674843
1.008,-5.019239527899081
1.016,-5.0142022406241225
1.024,-5.005767945611338
1.032,-4.993507429187296
1.04,-4.977003210115527
1.048,-4.955808254318096
1.056,-4.929016320995817
1.064,-4.89521946574001
1.072,-4.852269369528232
1.08,-4.797663975352774
1.088,-4.728773288803597
1.096,-4.643286898329294
1.104,-4.53976799833906
1.112,-4.4176658684754
1.12,-4.277621542050937
1.128,-4.121500758879528
1.136,-3.9528259113148603
1.144,-3.7769580229699016
1.152,-3.6012893976176183
1.16,-3.434794510613002
1.168,-3.287048360274534
1.176,-3.166689712245143
1.184,-3.07994169147657
1.192,-3.0294476926986884
1.2,-3.01392162256804
1.208,-3.028445994431078
1.216,-3.0655512124931326
1.224,-3.1164084896044417
1.232,-3.172084518134204
1.24,-3.2244565492671247
1.248,-3.2668958048519245
1.256,-3.294415321510438
1.264,-3.3036998864166085
1.272,-3.292834638106943
1.28,-3.261134840636621
1.288,-3.2088328851180266
1.296,-3.1369488452200125
1.304,-3.0470817187625325
1.312,-2.9413921766627014
1.32,-2.822426291779437
1.328,-2.6931707403851877
1.336,-2.557149836010087
1.344,-2.4182610287841677
1.352,-2.2805885248619795
1.36,-2.1482136174450788
1.368,-2.0247286708408367
1.376,-1.9130716626292
1.384,-1.8151639986378583
1.392,-1.7317877879241321
1.4,-1.6623435599945935
1.408,-1.604959252530125
1.416,-1.5566515940016423
1.424,-1.5139669781356873
1.432,-1.473602525424181
1.44,-1.4328838056819548
1.448,-1.3901341256245554
1.456,-1.344675833715196
1.464,-1.2968600742049232
1.472,-1.2478018858508564
1.48,-1.19905281520765
1.488,-1.1522443469055181
1.496,-1.1087523107950903
1.504,-1.0692048451875877
1.512,-1.0331674199612435
1.52,-0.9992065266682056
1.528,-0.9648982761426651
1.536,-0.9270016080748549
1.544,-0.8818869130429966
1.552,-0.8258290219152914
1.56,-0.7554933529458778
1.568,-0.6681560473150955
1.576,-0.5620758701472793
1.584,-0.43650851106133526
1.592,-0.29183964841497545
1.6,-0.12960732689995977
1.608,0.047591932940543764
1.616,0.23622427172043156
1.624,0.4320108628090053
1.632,0.6303557251790946
1.64,0.826458774456749
1.648,1.0158330821083263
1.656,1.1942200014653959
1.664,1.3578665914237944
1.672,1.5034855835076115
1.68,1.6282441615581562
1.688,1.7298119600849917
1.696,1.8065600746170911
1.704,1.857698025531679
1.712,1.883433366446422
1.72,1.8850365836201568
1.728,1.864817578343419
1.736,1.8257791026722656
1.744,1.7714876761077918
1.752,1.7054776379448795
1.76,1.6311796622122479
1.768,1.5517124080278952
1.776,1.4697230928524196
1.784,1.3872812285450518
1.792,1.305945924319234
1.8,1.226700070611763
1.808,1.1500890589661656
1.816,1.0760851200847927
1.824,1.0042197831075932
1.832,0.9335510970677001
1.84,0.8629480710836367
1.848,0.7914460276908755
1.856,0.7183400967949127
1.864,0.643397094700715
1.872,0.5669035960028482
1.88,0.48963547630488957
1.888,0.4128319128650347
1.896,0.3381641795787814
1.904,0.26748477941236004
1.912,0.20246957019876746
1.92,0.14434532721442261
1.928,0.0934917575574533
1.936,0.04939953617716307
1.944,0.010633958159848557
1.952,-0.02489828914802964
1.96,-0.05974134319241366
1.968,-0.09660482848914373
1.976,-0.1379742610899697
1.984,-0.1860578236968444
1.992,-0.24255403526277775
2.0,-0.3086969923078126
2.008,-0.38531248327359474
2.016,-0.47273462167648767
2.024,-0.5710051621748478
2.032,-0.6796025371275064
2.04,-0.7974050811781027
2.048,-0.9227249882615556
2.056,-1.0532859283099445
2.064,-1.1862335924635445
2.072,-1.3183540090590586
2.08,-1.4462111521907315
2.088,-1.5663935003520866
2.096,-1.675977372148238
2.104,-1.7727340495545056
2.112,-1.855741264741275
2.12,-1.9255952651997645
2.128,-1.984303692448463
2.136,-2.034870574438505
2.144,-2.0806256807262846
2.152,-2.1243912469418005
2.16,-2.1681761828427755
2.168,-2.212733852407688
2.176,-2.2578049819268777
2.184,-2.3023262988150877
2.192,-2.3448858437543145
2.2,-2.3840721391221438
2.208,-2.4187684107016483
2.216,-2.4482618624167585
2.224,-2.4724944014410872
2.232,-2.492010176548861
2.24,-2.5077682622841033
2.248,-2.5208534458848364
2.256,-2.532030741411262
2.264,-2.541367117105602
2.272,-2.548054127642595
2.28,-2.5505304305700958
2.288,-2.5467687694080325
2.296,-2.53485525365751
2.304,-2.5134834660905905
2.312,-2.4822622402600403
2.32,-2.441825816709896
2.328,-2.3938936964567366
2.336,-2.3408909013021635
2.344,-2.2858436754541027
2.352,-2.23202260188869
2.36,-2.182557668750131
2.368,-2.139956358762784
2.376,-2.1056677658622345
2.384,-2.079652527541213
2.392,-2.0602082853215142
2.4,-2.0438246410790657
2.408,-2.0257211202578933
2.416,-2.000278806127111
2.424,-1.9615764009433223
2.432,-1.9039006590764271
2.44,-1.8217268154768336
2.448,-1.7095168516265957
2.456,-1.5609536300161282
2.464,-1.368180200577577
2.472,-1.1206059032364428
2.48,-0.8045511964610054
2.488,-0.4030684186246634
2.496,0.10300853896513268
2.504,0.7330264916452638
2.512,1.5037728070949674
2.52,2.4263990607317676
2.528,3.5038909483772622
2.536,4.730121935500142
2.544,6.089788681558359
2.552,7.559778967188307
2.56,9.11086451798008
2.568,10.709742669065937
2.576,12.321110575958642
2.584,13.908371406197984
2.592,15.43338986318168
2.6,16.85505174409652
2.608,18.128577590828126
2.616,19.20835580636833
2.624,20.055135868561106
2.632,20.644977255530257
2.64,20.975578872760934
2.648,21.067645854776107
2.656,20.96130398943144
2.664,20.70982595288031
2.672,20.372697280159823
2.68,20.01014092102409
2.688,19.67942636201533
2.696,19.43239912163171
2.704,19.31419842574837
2.712,19.362569970475153
2.72,19.606816829404316
2.728,20.067041242938018
2.736,20.75329367928996
2.744,21.665390526936616
2.752,22.790989485490176
2.76,24.10374408695987
2.768,25.5619536285033
2.776,27.109539686584412
2.784,28.68136628863845
2.792,30.211726445683823
2.8,31.644215177173077
2.808,32.93942003951034
2.816,34.07864572305332
2.824,35.063878112276754
2.832,35.91488330097594
2.84,36.664447321693636
2.848,37.35237505607516
2.856,38.01829080064728
2.864,38.69378775377551
2.872,39.395241030536965
2.88,40.11866548769265
2.888,40.8384626189208
2.896,41.51179689164295
2.904,42.08792639876146
2.912,42.52045775939371
2.92,42.777656500798734
2.928,42.84757153346052
2.936,42.736952293715575
2.944,42.46564753557856
2.952,42.05946464611605
2.96,41.544739999841575
2.968,40.945271539020176
2.976,40.281366423566844
2.984,39.56998566583879
2.992,38.82469861403706
3.0,38.05519655350786
3.008,37.26679072308386
3.016,36.4601245872403
3.024,35.63165429022405
3.032,34.775299509973664
3.04,33.88492603249318
3.048,32.95679097098376
3.056,31.99139621923041
3.064,30.99362264794832
3.072,29.971432395198537
3.08,28.93378795501996
3.088,27.88922565953714
3.096,26.846206601379524
3.104,25.81538077283485
3.112,24.813113485569815
3.12,23.8650750277297
3.128,23.008367519103732
3.136,22.290929762045124
3.144,21.767439436400746
3.152,21.4917570048191
3.16,21.50706111228873
3.168,21.837297349018943
3.176,22.48239158886931
3.184,23.419296536589385
3.192,24.60741350108877
3.2,25.99566900445295
3.208,27.527241272153944
3.216,29.14221408827865
3.224,30.779647803432503
3.232,32.38088807136469
3.24,33.894511171753166
3.248,35.28043766761483
3.256,36.51163128630517
3.264,37.572239336162745
3.272,38.454535781320175
3.28,39.156351918495
3.288,39.680495669281655
3.296,40.0354801530638
3.304,40.23628398331471
3.312,40.30426992392171
3.32,40.265166167431765
3.328,40.14582406958897
3.336,39.970058178642084
3.344,39.75562759267952
3.352,39.51255007165287
3.36,39.244045588422566
3.368,38.94901964197365
3.376,38.625537144174785
3.384,38.273618499121866
3.392,37.89645292165902
3.4,37.49966883965655
3.408,37.08955653938838
3.416,36.67086658335785
3.424,36.24504835395988
3.432,35.80948682305692
3.44,35.357637683972314
3.448,34.879877883683605
3.456,34.36478638106306
3.464,33.80031255742804
3.472,33.17475680254458
3.48,32.477220519759356
3.488,31.698943112504182
3.496,30.83531554400057
3.504,29.889895458850496
3.512,28.87814677554842
3.52,27.830073560211897
3.528,26.78807496163521
3.536,25.800799349093076
3.544,24.914519525660832
3.552,24.164830630179654
3.56,23.572054680955056
3.568,23.140867555171557
3.576,22.86270437522285
3.584,22.7186279138605
3.592,22.680861352641745
3.6,22.71433800484224
3.608,22.77979283375504
3.616,22.8387237994483
3.624,22.85979664837821
3.632,22.824292388971394
3.64,22.72891598487291
3.648,22.585059418284526
3.656,22.41640193711108
3.664,22.254991823758104
3.672,22.13699585246304
3.68,22.09828607474895
3.688,22.16855984243427
3.696,22.363920905287916
3.704,22.680356223521816
3.712,23.092140280660416
3.72,23.557300572781163
3.728,24.02918164532727
3.736,24.468119013811652
3.744,24.848956942149602
3.752,25.162005283933418
3.76,25.4086466028385
3.768,25.59540482037843
3.776,25.729421149595023
3.784,25.8165093542395
3.792,25.862082508446296
3.8,25.87379370675244
3.808,25.86325045132566
3.816,25.845969754594183
3.824,25.838903662395886
3.832,25.856974499314013
3.84,25.909968724933247
3.848,26.001196581101016
3.856,26.12801031829032
3.864,26.28378117138958
3.872,26.460282772224097
3.88,26.64939183243013
3.888,26.844432196423583
3.896,27.040576155334023
3.904,27.23537436017734
3.912,27.42923898823602
3.92,27.625663708795457
3.928,27.830835607120076
3.936,28.05264925416103
3.944,28.29914999427487
3.952,28.577274738348805
3.96,28.892073595908478
3.968,29.246598889909585
3.976,29.641735067640923
3.984,30.075914655143148
3.992,30.544547790877584
4.0,31.039744784683133
4.008,31.55061866352571
4.016,32.06418250421038
4.024,32.566655155221824
4.032,33.044509580034514
4.04,33.48516496393506
4.048,33.876925354084605
4.056,34.20853208371052
4.064,34.468787041616416
4.072,34.64664717751656
4.08,34.73187977652125
4.088,34.715977194541345
4.096,34.591828134199936
4.104,34.35327679103566
4.112,33.99352017659016
4.12,33.50421624277456
4.128,32.87561207044316
4.136,32.09793781529675
4.144,31.163199348808142
4.152,30.066658792561622
4.16,28.807500605459946
4.168,27.3887372203547
4.176,25.816812342028307
4.184,24.10085645830874
4.192,22.252272908785176
4.2,20.285054364358704
4.208,18.217422397341675
4.216,16.075300792725322
4.224,13.896432042577569
4.232,11.733880319988492
4.24,9.657320401003116
4.248,7.749924988541206
4.256,6.099660782112267
4.264,4.785960515089555
4.272,3.865286616303671
4.28,3.3602542785198155
4.288,3.2569921609629104
4.296,3.5119480255222433
4.304,4.066858471130705
4.312,4.867221325631836
4.32,5.874931205031732
4.328,7.070414502125391
4.336,8.442746152655175
4.344,9.973583853529188
4.352,11.62354129125656
4.36,13.327279214225253
4.368,14.999136240061462
4.376,16.546195398654547
4.384,17.88380294973915
4.392,18.948748099023348
4.4,19.707252497624058
4.408,20.156743801206098
4.416,20.322967700027924
4.424,20.254731218397197
4.432,20.01803199503593
4.44,19.690858520708243
4.448,19.357233269993504
4.456,19.09887276951749
4.464,18.98361696031139
4.472,19.051497950067056
4.48,19.304048864481025
4.488,19.70161270239229
4.496,20.173126439764143
4.504,20.635429737996894
4.512,21.01508103566121
4.52,21.264354954263816
4.528,21.36661223808726
4.536,21.331651260796956
4.544,21.18593945614221
4.552,20.963482317155552
4.56,20.700179704109132
4.568,20.430927331547583
4.576,20.18846171218394
4.584,20.00131341526112
4.592,19.891060412147116
4.6,19.869317898961768
4.608,19.935805712259008
4.616,20.078802700358796
4.624,20.27686586369151
4.632,20.500649260398657
4.64,20.715914026692825
4.648,20.888762137605063
4.656,20.993329369607093
4.664,21.019641592833267
4.672,20.979244861302938
4.68,20.903554379915043
4.688,20.834512816772243
4.696,20.810903019212454
4.704,20.85641543174449
4.712,20.974464739263567
4.72,21.15027765537934
4.728,21.358236503144038
4.736,21.570173689790934
4.744,21.761786137716847
4.752,21.917552209564032
4.76,22.034370838928723
4.768,22.124159268596753
4.776,22.213017037082395
4.784,22.33690213810718
4.792,22.533468290349358
4.8,22.832223569860403
4.808,23.245797674223805
4.816,23.765948874103277
4.824,24.366291308431762
4.832,25.00963781635383
4.84,25.657224722212025
4.848,26.27575329810197
4.856,26.840383297096288
4.864,27.334060205844928
4.872,27.745640319520756
4.88,28.068637701925404
4.888,28.301206502806014
4.896,28.446542899602072
4.904,28.512784668566386
4.912,28.512135559148195
4.92,28.458763912392428
4.928,28.36664872039553
4.936,28.247143535135994
4.944,28.107704177601267
4.952,27.951637069065164
4.96,27.779176542992577
4.968,27.5900260422006
4.976,27.386004075804305
4.984,27.17307280871429
4.992,26.961179024257213
5.0,26.762150190517893
5.008,26.586147529460302
5.016,26.438687276292704
5.024,26.319300936039024
5.032,26.222925959659918
5.04,26.142288677220566
5.048,26.070673790327078
5.056,26.00318530833328
5.064,25.936703673847585
5.072,25.868771558618572
5.08,25.79671147750559
5.088,25.71761779924553
5.096,25.629123721667064
5.104,25.53055166663455
5.112,25.423374577147193
5.12,25.31084214526365
5.128,25.196712291566953
5.136,25.083709963631975
5.144,24.972382042900172
5.152,24.86099937378451
5.16,24.746622358688885
5.168,24.62647783260431
5.176,24.499553017632223
5.184,24.36731352432939
5.192,24.233737571717416
5.2,24.104224372106096
5.208,23.984261092782045
5.216,23.87798466195158
5.224,23.787744950110547
5.232,23.71457668253013
5.24,23.659402591750666
5.248,23.623813867106374
5.256,23.610004275888784
5.264,23.61999799510907
5.272,23.654384874560346
5.28,23.7116207096288
5.288,23.787831417750052
5.296,23.877343382291805
5.304,23.97418624635948
5.312,24.073444317911974
5.32,24.173201821886273
5.328,24.275525403050814
5.336,24.387421513040895
5.344,24.52116039787952
5.352,24.694229288610103
5.36,24.928678378675016
5.368,25.249557989647396
5.376,25.682345716254797
5.384,26.24953918957974
5.392,26.967737829842545
5.4,27.846083184993375
5.408,28.88721266109608
5.416,30.090546533266277
5.424,31.455862652955524
5.432,32.985601130404696
5.44,34.68373035469132
5.448,36.55107317070088
5.456,38.57928456694036
5.464,40.74637164264817
5.472,43.016132112867055
5.48,45.34102424237058
5.488,47.66648471680145
5.496,49.93425050916929
5.504,52.08434642116002
5.512,54.056092476353754
5.52,55.790740893176824
5.528,57.236404801973016
5.536,58.35495078760306
5.544,59.12887196918076
5.552,59.565164663925586
5.56,59.69466336020576
5.568,59.56584053593739
5.576,59.235285119088225
5.584,58.75736619510161
5.592,58.17632924383535
5.6,57.523082640342736
5.608,56.81677536701343
5.616,56.069490994870954
5.624,55.29116567401664
5.632,54.49292311771631
5.64,53.688664084566845
5.648,52.89580481198995
5.656,52.13605082927265
5.664,51.43539830403138
5.672,50.821579313660806
5.68,50.31953066115951
5.688,49.94405909565317
5.696,49.69095119266328
5.704,49.52982454780121
5.712,49.40404337651621
5.72,49.24230148000281
5.728,48.980290394114625
5.736,48.58264218296823
5.744,48.05316723346212
5.752,47.42857390217905
5.76,46.761269215412455
5.768,46.10210852185278
5.776,45.49099531472586
5.784,44.95351798784174
5.792,44.502973602457324
5.8,44.143484383582525
5.808,43.871956650969985
5.816,43.678096372610916
5.824,43.54169254708495
5.832,43.431404750177414
5.84,43.30876390253965
5.848,43.137897731578136
5.856,42.895364308999945
5.864,42.57441901309674
5.872,42.18189236796603
5.88,41.730363988050165
5.888,41.231562776718924
5.896,40.69350663116167
5.904,40.120580206592855
5.912,39.51565148265405
5.92,38.88125799549592
5.928,38.21902042371157
5.936,37.527296407095356
5.944,36.79945901686803
5.952,36.02448784108902
5.96,35.1897995128856
5.968,34.28435138809368
5.976,33.30063959138937
5.984,32.234916953375595
5.992,31.08636134700089
6.0,29.85588843800133
6.008,28.545301522340417
6.016,27.15622178391009
6.024,25.690068040287745
6.032,24.1499723300844
6.04,22.54425818010932
6.048,20.891159558714985
6.056,19.223087447658237
6.064,17.588945798356647
6.072,16.052473865096946
6.08,14.686203185945873
6.088,13.562911583288853
6.096,12.746821443189402
6.104,12.287642013198518
6.112,12.218907498474127
6.12,12.559618699329405
6.128,13.316917309349371
6.136,14.486888840954121
6.144,16.053007388928812
6.152,17.983720581070244
6.16,20.23173838566946
6.168,22.736673071742285
6.176,25.43095049759214
6.184,28.246791897780785
6.192,31.122461307231724
6.2,34.00572741952656
6.208,36.85396057629442
6.216,39.631798151031205
6.224,42.30784675314452
6.232,44.8526624303427
6.24,47.238541025168026
6.248,49.44111458676766
6.256,51.44147406361407
6.264,53.22686519093149
6.272,54.789138099239096
6.28,56.12100226026823
6.288,57.212687329859016
6.296,58.05083321648223
6.304,58.621397774848916
6.312,58.91430445920549
6.32,58.92746341068259
6.328,58.6677506487111
6.336,58.14933835315515
6.344,57.389680517583955
6.352,56.40643879202313
6.36,55.21372907887349
6.368,53.82011586989387
6.376,52.228166179197046
6.384,50.43643285660043
6.392,48.443361936060796
6.4,46.25180617364548
6.408,43.87325071076016
6.416,41.33063567207091
6.424,38.65931929739297
6.432,35.90613039441872
6.44,33.12644314507843
6.448,30.380208378721044
6.456,27.727057338288397
6.464,25.22306108179153
6.472,22.918607847906582
6.48,20.858624247301858
6.488,19.08549954859808
6.496,17.642963035448574
6.504,16.57890312475912
6.512,15.943771235751111
6.52,15.782447594025701
6.528,16.119511837877642
6.536,16.94248341820151
6.544,18.18992495300189
6.552,19.752162609288526
6.56,21.48658018757241
6.568,23.244541703998284
6.576,24.90251395500402
6.584,26.38510790069298
6.592,27.672383118440866
6.6,28.790361794499873
6.608,29.793328741568647
6.616,30.74751536654181
6.624,31.719496945941902
6.632,32.7650698304944
6.64,33.91570184017802
6.648,35.16608433166949
6.656,36.46864558619327
6.664,37.74120812913756
6.672,38.885202296497674
6.68,39.80855672234229
6.688,40.446319839147
6.696,40.774360900990615
6.704,40.813053176532236
