Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,1.0930250387401217,-1.0624565893940447,-5.090108762090824
0.002,1.0922637230690255,-1.0627777199839428,-5.090466145574566
0.004,1.0914187726787026,-1.063116164077346,-5.0908612650790515
0.006,1.0905542378764281,-1.0634026731609796,-5.091250835499242
0.008,1.0896095890370243,-1.063767471739874,-5.091709204220901
0.01,1.088630241571374,-1.0641059527678922,-5.092183034168532
0.012,1.0875735237639403,-1.0644584639181982,-5.092700371986979
0.014,1.086466476065872,-1.0648177183829552,-5.093258871341185
0.016,1.0853069769624883,-1.0651758715357176,-5.09385360383537
0.018,1.0840696909753722,-1.065562504574202,-5.0945098141743
0.02,1.0827432565407886,-1.0659304116191126,-5.095225962370331
0.022,1.0813741785180007,-1.0662985491217016,-5.096000067428196
0.024,1.0799627701180743,-1.0666661561197033,-5.096771466515108
0.026,1.0784685490533705,-1.0670120174574371,-5.097628021657061
0.028,1.0769316123311432,-1.0673896094010589,-5.098528605746192
0.03,1.0753262755649224,-1.0677114881068999,-5.099491840202231
0.032,1.0736449897854472,-1.0680128563948386,-5.100507969497908
0.034,1.0719321248404339,-1.0683077835969128,-5.101589890736005
0.036,1.0701788423453185,-1.0685630897577691,-5.1027119061573725
0.038,1.0684052593558075,-1.0687975531499705,-5.103871828369706
0.04,1.066575331442992,-1.068973040059423,-5.105097437321927
0.042,1.0647230352339248,-1.0691564824726678,-5.106350744860715
0.044,1.062835233125189,-1.0692590658724603,-5.107679385067687
0.046,1.0609829434305458,-1.0693245678139092,-5.109018795855931
0.048,1.059074403244181,-1.0693425612885479,-5.110414323191913
0.05,1.0571858328275034,-1.0693455387887232,-5.111820818129118
0.052,1.0553071865929604,-1.0692672809964803,-5.113242640475507
0.054,1.0534357073064649,-1.0692044654259465,-5.1147101887976705
0.056,1.0515271782617694,-1.0690329267165442,-5.116207065203806
0.058,1.0496849658252023,-1.0688667508096872,-5.117730304085602
0.06,1.0478476021733438,-1.068648235521014,-5.119243140933698
0.062,1.0460589022856401,-1.0683774685870568,-5.1207787584487106
0.064,1.044267257866949,-1.068071479825807,-5.122323270262074
0.066,1.0425633810140622,-1.0677154537238829,-5.123817189358306
0.068,1.0408927595724755,-1.067361508559826,-5.12536554384027
0.07,1.039282466738861,-1.066967800301597,-5.126857485826851
0.072,1.0376897600153274,-1.066545500410855,-5.128417922439785
0.074,1.0361366011903346,-1.0661071280652938,-5.129917659821256
0.076,1.0346509136195408,-1.065653318482118,-5.131424796862309
0.078,1.0331829843137728,-1.06519877436613,-5.132936277092884
0.08,1.0318039401214394,-1.0647061903665285,-5.134405231466739
0.082,1.0304298925454491,-1.0642140171461711,-5.135919280647013
0.084,1.029131348684698,-1.0637275874803787,-5.137399976195006
0.086,1.027876424495091,-1.063232785716387,-5.1388715658253465
0.088,1.0266885843286802,-1.0627523472962135,-5.140326374998555
0.09,1.0255332484542767,-1.0622578250927808,-5.141789201907366
0.092,1.024395332248073,-1.0617700289111305,-5.143238161774442
0.094,1.0233383495023027,-1.0612802648641635,-5.144690329507006
0.096,1.0223621005356291,-1.0607871181323567,-5.1460838328460525
0.098,1.0213753501049219,-1.0603147548679452,-5.147522506987996
0.1,1.0204858862190662,-1.0598647005573663,-5.148899004856036
0.102,1.0196014363580013,-1.0594119677480183,-5.150319091868477
0.104,1.018790801063706,-1.0589471311384888,-5.151673514897832
0.106,1.0180062158028325,-1.0585002393028569,-5.153058379369009
0.108,1.0172966043676455,-1.0580631045303448,-5.154363214277033
0.11,1.0165885396568268,-1.0576513410534178,-5.155672146332929
0.112,1.015927795776112,-1.057233429968894,-5.156973372908521
0.114,1.015345587536689,-1.0568142777830567,-5.158213916584057
0.116,1.0147970801388089,-1.0564307971307367,-5.159409268080347
0.118,1.0142750848880386,-1.0560711326571621,-5.160625288401805
0.12,1.0137382800511365,-1.0556768941298924,-5.161769905784862
0.122,1.0132961484114866,-1.0553666683265472,-5.162856383185407
0.124,1.0128364083336183,-1.0550112430697027,-5.163946595894152
0.126,1.0124036086754955,-1.0546794426378603,-5.164938921425574
0.128,1.011982527683982,-1.0543750065621136,-5.165911086647746
0.13,1.0115616668780307,-1.0540945471994354,-5.16683424591129
0.132,1.01114061425572,-1.0538083871313286,-5.167705404463141
0.134,1.0106688497385947,-1.0536083460347219,-5.168550719001331
0.136,1.0102376522709298,-1.0533526982296635,-5.169291601861505
0.138,1.0097308200504795,-1.0531494957009344,-5.170013463729424
0.14,1.009179115282176,-1.053001757033778,-5.170697442974219
0.142,1.008575048232794,-1.0528598422256745,-5.171293301746381
0.144,1.007909041670212,-1.0527536584357702,-5.171884248150804
0.146,1.0071677641389798,-1.0526851691097883,-5.172381865203023
0.148,1.0063465022471443,-1.052655026674216,-5.172898169514847
0.15,1.0054604359661699,-1.0526147554512992,-5.173297570195451
0.152,1.0044498819892198,-1.0526640541128152,-5.173717062884556
0.154,1.0033774849819275,-1.052730528377932,-5.1740584307920425
0.156,1.002137759499313,-1.052844793225588,-5.174424031767453
0.158,1.0007925166467968,-1.052987014961808,-5.17474835861365
0.16,0.9993670426619635,-1.0531474381686468,-5.175031575342092
0.162,0.9978157034194924,-1.0533600326412211,-5.175320130267165
0.164,0.9961410767552432,-1.0535773906131038,-5.175604792429675
0.166,0.9943353088070847,-1.053815556916944,-5.175915503209622
0.168,0.9924103128951608,-1.0541071685165828,-5.176224572805677
0.17,0.9904074695300398,-1.0543678450205585,-5.1765608496148525
0.172,0.9882654866448116,-1.054655813840291,-5.176935567200644
0.174,0.9859883657606943,-1.0549349412768563,-5.1773931843650915
0.176,0.9836194672801625,-1.0552294237798503,-5.1779054556436925
0.178,0.9811822373555373,-1.0554953458291525,-5.17846257188027
0.18,0.9786274351918273,-1.055754318296265,-5.179106565870353
0.182,0.9759575355762076,-1.0559737641457536,-5.1798483146406396
0.184,0.9732307602307865,-1.0561856903731157,-5.180685925713977
0.186,0.9703945816604201,-1.0563465486636603,-5.181634392878205
0.188,0.9675065649837494,-1.0564793820964706,-5.182707267630181
0.19,0.9645341819570322,-1.0565676083653641,-5.183881885583432
0.192,0.9614906515321594,-1.056639475484174,-5.185230583311975
0.194,0.9583787173402026,-1.0566507494271633,-5.186665964359191
0.196,0.9552430650898863,-1.0566163794580092,-5.188252375900403
0.198,0.9520778850272726,-1.0565784157136455,-5.189979724711153
0.2,0.9488180860009648,-1.056489304477771,-5.191917018121523
0.202,0.9455892167540613,-1.0563794169226957,-5.193887781170801
0.204,0.9422992556533308,-1.0562937191751176,-5.196069032315272
0.206,0.9389991575759816,-1.0561756984637063,-5.198407469457238
0.208,0.9356809794080281,-1.0561300382042642,-5.20084798543479
0.21,0.9323231931455862,-1.0560980069583479,-5.203480115928283
0.212,0.928973012173723,-1.056140508605879,-5.206227498871809
0.214,0.9256432625729518,-1.0562709882508492,-5.20910450097801
0.216,0.9223045017340582,-1.0565465583376779,-5.212129893180242
0.218,0.9189628504661053,-1.0569539644027925,-5.215240223621616
0.22,0.9156500470938919,-1.057556521484864,-5.2184926568921695
0.222,0.9123385479924435,-1.0584161549677098,-5.221807533626921
0.224,0.9090164341790943,-1.0595316270720152,-5.225256204970074
0.226,0.9057227984140859,-1.060940016872697,-5.2287794775336875
0.228,0.9024580415038274,-1.0627194443203345,-5.23232654625423
0.23,0.8991670396816261,-1.064933862053922,-5.23598240050989
0.232,0.8959221417900185,-1.0675761570556828,-5.2396498518877115
0.234,0.8926508605735424,-1.070773893385284,-5.243325496037039
0.236,0.8894702581038598,-1.0745291050621832,-5.246988751684789
0.238,0.8862319187802072,-1.0789290776251623,-5.250655712671216
0.24,0.8830787579524704,-1.0840138556401961,-5.254249946120613
0.242,0.8799039639356524,-1.0898430045561658,-5.2577563610631515
0.244,0.87676297236642,-1.0964656223170912,-5.26114980350585
0.246,0.8736766259227061,-1.1039894430160553,-5.264397785464816
0.248,0.8706139029048854,-1.1123807652655673,-5.267496597440588
0.25,0.8676125446270531,-1.1217713602134574,-5.270377640703485
0.252,0.8647010052809952,-1.1321750804040365,-5.272990167484681
0.254,0.8618619255123857,-1.1436534274925263,-5.275311294704392
0.256,0.859094119514355,-1.1562536247017363,-5.277320500031826
0.258,0.8564992861954785,-1.1700194842972687,-5.2789484575320875
0.26,0.8540228765816994,-1.1849878091667416,-5.280167223483126
0.262,0.851743018356293,-1.2011929218358628,-5.28093464584927
0.264,0.8496615079917397,-1.2186721820056667,-5.281210242335449
0.266,0.8478387879122062,-1.237455505743384,-5.280931967106627
0.268,0.8462705013731452,-1.2575704786312982,-5.280098066494797
0.27,0.8450375718414885,-1.2790237155041566,-5.278661511169878
0.272,0.8441510857102464,-1.3018844547096995,-5.276600258447169
0.274,0.8437092183836978,-1.3261051202747869,-5.273873935485704
0.276,0.8436417359918784,-1.351704014584214,-5.270493937073568
0.278,0.8441284170640935,-1.37873833205621,-5.2663761383344525
0.28,0.845098962961684,-1.407212787717132,-5.261593354124732
0.282,0.8466538511656719,-1.4371261559765303,-5.256093378246566
0.284,0.8488123374934982,-1.4684123409747665,-5.249896155134578
0.286,0.8516651368971494,-1.5012059356364336,-5.243007304371064
0.288,0.8551946642938382,-1.5354219048318682,-5.235480773708484
0.29,0.8594419919437419,-1.5710603991974317,-5.227274818629311
0.292,0.864477308336675,-1.6081895268491475,-5.218468901560826
0.294,0.870271167841499,-1.6467715425565448,-5.2091372480175036
0.296,0.8768454175442159,-1.6868117116253105,-5.199281933387223
0.298,0.8842324617804485,-1.728331438562852,-5.188986571602407
0.3,0.8924463238064717,-1.7713332145225975,-5.178285514871217
0.302,0.901465760584157,-1.8158197642873728,-5.167311403725435
0.304,0.9112919460966328,-1.8618450064384722,-5.156096525863818
0.306,0.9218898765022202,-1.9093411777313138,-5.144730807635749
0.308,0.9332029879219459,-1.9583853657465455,-5.133312095949963
0.31,0.9452396795327115,-2.0089898924612504,-5.1219578354590265
0.312,0.9579436565094435,-2.0611401411662795,-5.1107079237350845
0.314,0.9712566154841221,-2.1148789290276495,-5.099756248755254
0.316,0.9851116459844721,-2.1702180076957736,-5.089084089137219
0.318,0.9994093387805233,-2.227138338292054,-5.078924829392403
0.32,1.0141023097536055,-2.2856992325259107,-5.069327230721708
0.322,1.029115203957363,-2.345904566459529,-5.060363481831143
0.324,1.0443200532946955,-2.407798853328877,-5.052223723372816
0.326,1.0596311469722457,-2.47136001179551,-5.0449561349242344
0.328,1.0749628825229898,-2.536603583476283,-5.038700580767841
0.33,1.0902098768946236,-2.6035420257173856,-5.03353077616693
0.332,1.1052392934134614,-2.6721750665541553,-5.029652624993101
0.334,1.119955126042252,-2.742546328849271,-5.0271124825277385
0.336,1.1342583263171102,-2.8146295263409673,-5.025997650096591
0.338,1.1480768745571452,-2.8883851860649696,-5.026428303260757
0.34,1.1612570774657167,-2.963867083597559,-5.028565443766093
0.342,1.1737291437201904,-3.041007384915929,-5.032468552730029
0.344,1.1854274862225138,-3.1197978557529145,-5.038261872003064
0.346,1.1962404848698396,-3.200188861276328,-5.046023179310432
0.348,1.2060295870564495,-3.2821979156663663,-5.055976413565616
0.35,1.2148592497684778,-3.3657300919945503,-5.068115309084602
0.352,1.2225573030668395,-3.450752877964667,-5.082602792317723
0.354,1.229097056508451,-3.5371849278278584,-5.09953236110045
0.356,1.2344015515748634,-3.624997272895867,-5.119118184669872
0.358,1.238524212240259,-3.7140658734845564,-5.141343165854091
0.36,1.2413117948256536,-3.804311020633871,-5.166438247233187
0.362,1.2428107214471062,-3.895677419347032,-5.194514747278864
0.364,1.2430338340199598,-3.9880145608390745,-5.225677079871968
0.366,1.2418498836630472,-4.081212923729886,-5.2601284316073595
0.368,1.23935572784968,-4.17513872423361,-5.297951695890737
0.37,1.2355258831474405,-4.269677166005304,-5.339327457351204
0.372,1.2303748829922219,-4.364678995993818,-5.384420004382896
0.374,1.2239012182413123,-4.4600240862947835,-5.433381785921138
0.376,1.2161224759131506,-4.555491339330256,-5.4862926007654815
0.378,1.2069870655401316,-4.650991377673818,-5.543472687181698
0.38,1.196626198412314,-4.746298482846079,-5.604984551170146
0.382,1.1850112636607908,-4.8413194797147545,-5.671012093936966
0.384,1.172156633933897,-4.935825501066437,-5.741741755013689
0.386,1.1580980365088478,-5.029655877166875,-5.8173045250682645
0.388,1.14281844264541,-5.122670116059432,-5.897906352088879
0.39,1.1263650391472695,-5.214705987159151,-5.9836733672305735
0.392,1.108766100190873,-5.305618413334678,-6.074792642990201
0.394,1.0900322247521588,-5.395255613061757,-6.171413300714118
0.396,1.070145976920609,-5.483462172168831,-6.273663238556625
0.398,1.049135654738492,-5.570127766421475,-6.381715189650128
0.4,1.0270546979735444,-5.655148003086342,-6.495639257368781
0.402,1.0038097934735348,-5.7384296211519,-6.615646082742028
0.404,0.9795469653641986,-5.819872439473509,-6.741784150140254
