Time [s],Flexion(-)/extension(+),Abduction(+)/adduction(-),Internal(-)/external(+) rotation
0.0,-34.8582866012154,-17.522646259916506,19.678793171742047
0.05,-36.355494030979756,-16.609063144575625,23.331119249621032
0.1,-37.304050117029334,-15.916222422550929,25.83728752758341
0.15,-37.82763819029275,-15.138692255648943,26.181984641597865
0.2,-38.03135885859617,-14.200359426891472,24.962192086827063
0.25,-37.97103437281472,-13.04171484410365,23.483761803694527
0.3,-37.607771819456666,-11.9835704741883,22.417336363957872
0.35,-37.3286307068505,-11.210323304933315,21.59777013356458
0.4,-37.19979303235202,-10.883717121116362,21.263820031066068
0.45,-37.06169685059228,-10.90029162500479,21.412012823062472
0.5,-36.63862379277702,-10.895426691303502,21.49146295610699
0.55,-36.18049406654044,-10.74553359015741,21.04370523918277
0.6,-35.71889206981596,-10.912988239871908,20.3751204607961
0.65,-35.40236853031447,-11.239085786003045,20.36878295630933
0.7,-35.36104999312085,-11.557236864055225,20.703887024543697
0.75,-35.534500191307636,-11.614130713343073,20.57924420580022
0.8,-35.83992433408345,-11.184648919931197,19.65468282928101
0.85,-36.27257906928108,-11.119678204660136,17.89467664608177
0.9,-36.63746086715321,-11.393395524901287,16.677268696761804
0.95,-37.00799754527064,-11.649397604563044,15.640224137061251
1.0,-37.39882145342247,-12.23694780857755,14.147137538757123
1.05,-37.30562340705628,-12.741740231822435,12.637131935322346
1.1,-37.04473406703043,-12.403137982292455,12.105069223680267
1.15,-36.50660356674574,-12.624470255389438,11.444548030761217
1.2,-36.22600123970629,-12.856234350135962,11.09085418183611
1.25,-36.248202592611186,-12.942579729826424,10.696159977369508
1.3,-36.44357024694187,-12.892569597776143,10.455311350804903
1.35,-36.664595017093525,-12.807222245957435,10.188160073375334
1.4,-36.74568947060099,-12.415756119476614,9.037225592739556
1.45,-36.47217762491313,-12.098869716350238,7.327805891115575
1.5,-36.11982361937108,-12.036430756020971,5.671150872327447
1.55,-35.71268534439036,-12.326614619535658,4.109086984663215
1.6,-35.12499523793109,-13.014598232253471,2.864315285924155
1.65,-34.45644076134914,-13.756051673834792,1.9467401530586355
1.7,-33.72123669086015,-14.320905367700314,1.1226342685218764
1.75,-32.91788371974474,-14.455572755616679,0.13276603986210084
1.8,-31.97451822191752,-14.17422113855878,-0.635667241301566
1.85,-31.102706050983038,-13.946175449580231,-1.1359847499282316
1.9,-29.902031583255372,-13.753498241982676,-1.5589654117452623
1.95,-29.760540492911186,-13.691361677056916,-1.4147642099761386
2.0,-29.734846896088506,-13.686646109524695,-0.9043822831555898
2.05,-29.71502988118937,-13.859937571263906,-0.36252270012811316
2.1,-29.687025802157514,-13.935377649629253,-0.13993206272632908
2.15,-29.60089081892308,-13.888858266027519,-0.1477080016305107
2.2,-29.525764129810174,-13.838150849275324,-0.09165592086511329
2.25,-29.456780681130258,-13.882638364247816,0.12667088631493648
2.3,-29.601154918984133,-13.867750676024686,0.3230266014793677
2.35,-29.744218535432264,-13.710822390130181,0.6228082610370718
2.4,-29.887628851378068,-13.61290001078857,1.2024389515562186
2.45,-30.282830683363418,-13.380507128570866,2.0137965635539654
