Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-70.11542005730685,-17.602562043429437
0.05,-70.07330959447911,-17.5365599802965
0.1,-70.0809186172545,-17.539657145611812
0.15,-70.08071073737702,-17.564505706765722
0.2,-70.07311481024634,-17.535444317557776
0.25,-70.08815670132884,-17.526382655036876
0.3,-70.08052546344727,-17.50181418872407
0.35,-70.06890888235162,-17.50240779472044
0.4,-70.04108994785899,-17.478950508565163
0.45,-70.01989148509078,-17.428904988981735
0.5,-70.00428453955068,-17.43947616362863
0.55,-70.00457441790843,-17.488757750273297
0.6,-70.00314674288985,-17.47806277347947
0.65,-69.96845312773898,-17.463617609843862
0.7,-69.95327516692848,-17.444202298597993
0.75,-70.01124491482653,-17.40387201551836
0.8,-70.01602899334125,-17.465503010848945
0.85,-70.01451309037054,-17.524083632025203
0.9,-70.01523576757215,-17.494611033348416
0.95,-70.0141165075738,-17.413805681062307
1.0,-69.99384875194212,-17.391249681980096
1.05,-70.01668538860245,-17.380906678550343
1.1,-70.03822754023793,-17.360335085337677
1.15,-70.04175226118993,-17.357275265193195
1.2,-70.04536396502063,-17.388642132813352
1.25,-70.04080305478085,-17.33237109657974
1.3,-70.04654152375076,-17.311292677793155
1.35,-70.05603631219242,-17.267359527919606
1.4,-70.06337959001871,-17.19012563219895
1.45,-70.04371589322201,-17.178401343948334
1.5,-70.0396392888709,-17.145020698833196
1.55,-70.05230455394899,-17.08468703721963
1.6,-70.05015037565761,-17.121815945212095
1.65,-70.07177485341523,-17.039559485687096
1.7,-70.10988001471046,-17.014222091873158
1.75,-70.11750285356962,-17.028946728208695
1.8,-70.12700667983255,-16.98710283318951
1.85,-70.02687165028703,-16.943868763326147
1.9,-70.16725351588516,-16.94861632975485
1.95,-70.55737383102255,-16.682471616754125
2.0,-70.6595255979484,-16.265764331890608
2.05,-70.56757028230538,-16.186786029283276
2.1,-70.69213156812708,-16.215043506502184
2.15,-71.09813319810281,-15.904517737788199
2.2,-71.19462698163771,-16.25187653549583
2.25,-70.90896326955192,-17.17351151552901
2.3,-70.51959093314946,-18.04648916208792
2.35,-70.26594431000964,-18.43215631398748
2.4,-70.0381117996457,-18.888646512276974
2.45,-69.92215226403162,-19.858721101147285
2.5,-69.71003686064357,-20.532353852396312
2.55,-69.75082171803062,-20.26580567409239
2.6,-70.09253625522395,-20.500138403164257
2.65,-69.94203148144403,-21.07624718526883
2.7,-69.50251849513401,-22.11543207693437
2.75,-69.27968029750531,-22.880023548650296
2.8,-69.23506748035088,-23.018201867630257
2.85,-69.16824900720198,-22.745342807201297
2.9,-69.34945347079987,-22.738599535180846
2.95,-69.55696097238798,-22.618357338967762
3.0,-69.63462610129014,-22.616366363165966
3.05,-69.32462261955749,-23.059401980725017
3.1,-68.92601099785374,-23.50772340825058
3.15,-68.76523796288438,-23.633755950627346
3.2,-68.81074579776337,-23.554319372194144
3.25,-68.85472401483301,-23.59582057423868
3.3,-68.83228524206736,-24.055081116662553
3.35,-68.71227704479287,-24.449528663754567
3.4,-68.63824041955732,-24.485891833290353
3.45,-68.5072846343095,-24.44438889723403
3.5,-68.34722153076603,-24.421554596812253
3.55,-68.34114965678252,-24.328759955803022
3.6,-68.4341647282656,-24.306230375380085
3.65,-68.48050996227346,-24.355386287720204
