Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-50.66811872568571,-40.21883855294094
0.05,-50.680729954944,-40.219513174309164
0.1,-50.7023054408408,-40.214243110871195
0.15,-50.732055842915855,-40.17431920582973
0.2,-50.7642691282915,-40.1248980558587
0.25,-50.80265071799483,-40.100923495644125
0.3,-50.82363020947155,-40.06127403209084
0.35,-50.81665315707645,-40.011010963634504
0.4,-50.82933160265614,-39.982619606661345
0.45,-50.84746956690671,-39.95331464861252
0.5,-50.90518050477999,-39.92035471615018
0.55,-50.973640850703475,-39.934529576047964
0.6,-51.03526278569507,-39.92102372303355
0.65,-51.091898392968126,-39.903052932845675
0.7,-51.11441232259558,-39.91358363292266
0.75,-51.13179210761057,-39.930080259405415
0.8,-51.14494993984658,-39.937286765693436
0.85,-51.160518829649064,-39.890835558829146
0.9,-51.181051612833954,-39.87800799840302
0.95,-51.19314571227475,-39.87978354843602
1.0,-51.18620968116072,-39.86999067731137
1.05,-51.162864943485125,-39.842673235559126
1.1,-51.148028627120915,-39.83172682328015
1.15,-51.13854528300367,-39.87423342433016
1.2,-51.1448920284425,-39.89386688558229
1.25,-51.13133989208665,-39.92210591963733
1.3,-51.11722265810354,-39.93461028859116
1.35,-51.112345253517304,-39.92633925554372
1.4,-51.11244147604714,-39.93519654802806
1.45,-51.10916536252708,-39.950675616113216
1.5,-51.07187673005255,-39.98689020553411
1.55,-51.046598865850996,-40.041866143004455
1.6,-51.045191802799096,-40.08610914429106
1.65,-51.04216096622723,-40.058183625862554
1.7,-51.05072986931879,-40.07562971103712
1.75,-51.030086622511234,-40.12130728040052
1.8,-50.981957775266224,-40.171722011860595
1.85,-50.89927596904368,-40.18923216675162
1.9,-50.83259064613109,-40.135905851841656
1.95,-50.726100025516715,-40.1639169912271
2.0,-50.49025630022213,-40.325752275894885
2.05,-50.16772681126849,-40.50088461178024
2.1,-49.72576933979985,-40.36777707820677
2.15,-49.25743162611538,-40.02653756587678
2.2,-48.861562309856964,-40.03237856150359
2.25,-48.47983280319114,-40.03278068706251
2.3,-48.23804524994594,-39.33533084938149
