Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-1.9943902839524899,-0.13216748748042154,-1.802463899197356
0.025,-2.021928207690449,-0.1273417294602105,-1.832121325755238
0.05,-2.0740076059713357,-0.1275533067519949,-1.8780191772472672
0.075,-2.140340060543287,-0.1388757948750392,-1.9312352681677538
0.1,-2.2093437418122663,-0.15915758620026593,-1.9909876021741364
0.125,-2.277668109164042,-0.18333960946230562,-2.0582353019652415
0.15,-2.3442757753113335,-0.208460985360473,-2.128497473328499
0.175,-2.4167275140483335,-0.23340445415775604,-2.195745779179648
0.2,-2.5025856442451424,-0.25479694630698835,-2.2729042660345105
0.225,-2.583428589212284,-0.2749778539831754,-2.3544309844131464
0.25,-2.639630281896478,-0.29409693161501815,-2.4231304107826603
0.275,-2.6784936187727584,-0.31457344372780915,-2.4793157339221827
0.3,-2.710341541625959,-0.3457732199362271,-2.526506964639627
0.325,-2.7470794455948897,-0.38578202198400535,-2.569884932109197
0.35,-2.7992108538332428,-0.426913099731321,-2.6103487862604013
0.375,-2.8577433824456433,-0.46226485123987415,-2.641779920239741
0.4,-2.9099382691443823,-0.4913654637389173,-2.659985268717532
0.425,-2.9528871000756247,-0.51979446929204,-2.6665939730294532
0.45,-2.9916378496960374,-0.5505606807759249,-2.66141386017495
0.475,-3.033211329339995,-0.579657225120744,-2.6472368790766407
0.5,-3.080268336915098,-0.6001352327964197,-2.6284901600765953
0.525,-3.130072586498729,-0.6125585246217149,-2.605665995281643
0.55,-3.1742234837857506,-0.6299258958958435,-2.575731904981482
0.575,-3.19901759550572,-0.6512007234453271,-2.560642058250549
0.6,-3.2067863694428795,-0.6680638558021573,-2.558644955280297
0.625,-3.1984977800554377,-0.6790650795425007,-2.553368653486035
0.65,-3.17390524893014,-0.6879522539542616,-2.5343673347148843
0.675,-3.13682713106656,-0.6994290837730764,-2.4987219439827943
0.7,-3.09273849728556,-0.7119381655661109,-2.4464335855523647
0.725,-3.0432555978270583,-0.7178273808819637,-2.3819476330914755
0.75,-2.9871430988170595,-0.7108551662150862,-2.31322232589866
0.775,-2.924022705640415,-0.6841127007993634,-2.250710146499869
0.8,-2.8553573129058227,-0.6306822936639661,-2.20659973345141
0.825,-2.7728075646867003,-0.5544066910814934,-2.185799139622745
0.85,-2.659766140691053,-0.4686919166172374,-2.1826706173496033
0.875,-2.5123220263409154,-0.38907902278040546,-2.208908652165552
0.9,-2.336931551870658,-0.3544130336097693,-2.2815879750310217
0.925,-2.12831303173922,-0.34379865347484406,-2.439321258974264
0.95,-1.9269132716235151,-0.28865462012514737,-2.6821897003286774
