Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-5.073638119132294,-0.40091450017110536
0.025,-5.103751568085644,-0.33878046945947043
0.05,-5.134843663482408,-0.23916288901532726
0.075,-5.149120935102283,-0.13457036561442753
0.1,-5.143619219465734,-0.04712689104189893
0.125,-5.123588408207368,0.016514611693304475
0.15,-5.098476715802284,0.04418349082898111
0.175,-5.073759459643931,0.028226392258598597
0.2,-5.054476362379168,-0.013713781132284808
0.225,-5.040521972084759,-0.036539908640675904
0.25,-5.028335873340177,0.00165223885444819
0.275,-5.0223637542791915,0.10488022621510334
0.3,-5.02882219070806,0.24356145257456543
0.325,-5.039239733327768,0.3691082644020443
0.35,-5.042358403908416,0.45511104266067487
0.375,-5.037723288962188,0.5104927891269515
0.4,-5.028226799420116,0.5510859171854712
0.425,-5.011981290496298,0.5868567939278828
0.45,-4.98465267950761,0.626200212976245
0.475,-4.945430271159314,0.6623607331842781
0.5,-4.902111908996846,0.6732433988410088
0.525,-4.862719832634247,0.6502396840534731
0.55,-4.823578127626303,0.617929505194976
0.575,-4.777989352062371,0.6051126706745195
0.6,-4.729726092965087,0.6213465781158907
0.625,-4.67909421626973,0.6649970104048792
0.65,-4.624555102073241,0.7286292627814597
0.675,-4.590658340878421,0.7819834797541634
0.7,-4.586752551476095,0.8044517369034633
0.725,-4.619125973356252,0.7816396970255719
0.75,-4.691696861682206,0.7029973243059205
0.775,-4.801596422669252,0.5655332201891687
0.8,-4.964758676363144,0.3603638182561522
0.825,-5.2163232148969385,0.07737326587306524
0.85,-5.600300550140625,-0.27436725877745505
0.875,-6.1562270768576495,-0.7281538752166467
0.9,-6.880862036462429,-1.5180387729681961
0.925,-7.741905672289629,-2.932548477263565
0.95,-8.693931217703144,-4.846253426500983
0.975,-9.664475417613788,-6.770477476715391
1.0,-10.600698167434869,-8.350674298027531
1.025,-11.507335730866684,-9.285923340816012
1.05,-12.42306353948277,-9.165140840561268
1.075,-13.406785315654279,-7.863266121721668
1.1,-14.558897393370325,-5.647355638869181
1.125,-16.01494054725242,-2.507397917035914
1.15,-17.861324755036915,2.0451814302046505
1.175,-20.068538686747157,8.176544977804268
1.2,-22.537018308587815,15.48586786976238
1.225,-25.13784982426712,23.485721629707772
1.25,-27.618701347555096,31.891877662680862
1.275,-29.69918681674789,40.488766087428836
1.3,-31.368161227456326,48.99934180628097
1.325,-32.91953084602401,57.4363841577473
1.35,-34.89470729932346,66.50855327490437
