Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-6.405833640180738,-19.249712296278258
0.05,-6.413543995157021,-19.25190547312177
0.1,-6.416260469667526,-19.19061988420073
0.15,-6.378966776397735,-18.924446041487315
0.2,-6.289112629781638,-18.53675008082382
0.25,-6.157703575880397,-18.090063375595594
0.3,-6.086402757861294,-17.675719528459954
0.35,-6.103654066929738,-17.508775911941807
0.4,-6.096276154429523,-17.241871760489456
0.45,-6.045987212992746,-16.862913099313694
0.5,-6.075473485020535,-16.843816335397925
0.55,-6.081540050497763,-16.573434085851595
0.6,-6.112843221483164,-16.435691337348597
0.65,-6.0769653908351335,-16.26633584320638
0.7,-6.020820952945435,-15.804595573210971
0.75,-5.958561113717842,-15.697142701093215
0.8,-6.2197488990752765,-17.156488751568425
0.85,-7.0826007204667025,-19.819976932086387
0.9,-7.141080489909319,-18.936492045713077
0.95,-5.481679474833328,-15.50802211493443
1.0,-2.3694928212795454,-13.864283469067685
1.05,0.15814465480013817,-13.497468072264715
1.1,0.6325289721345478,-13.560469486494268
1.15,-1.2978718466328636,-13.972087897764451
1.2,-4.354258252900212,-15.025995820988133
1.25,-7.045506826302303,-16.223968962078175
1.3,-9.073582715015595,-17.259852707548774
1.35,-10.159666455248688,-18.23145314127312
1.4,-10.367933496904474,-19.73912267875298
1.45,-10.086418612077631,-20.232023406576612
1.5,-9.733652600503657,-18.819974428830417
1.55,-8.6753007036814,-16.269681688185436
1.6,-6.587861150388775,-13.1508198417879
1.65,-3.4925540493413147,-9.913298135817863
1.7,-0.3648261039442828,-8.106567251150475
1.75,1.1033442520116732,-7.718139901355163
1.8,-0.12337911619997959,-6.9224944400134225
1.85,-3.545336615077236,-6.151373568010294
1.9,-6.947264377225777,-7.1096783096428995
1.95,-8.897645858203138,-9.172866579240848
2.0,-9.321871295412237,-10.405857723889335
2.05,-8.905470237167172,-9.871937235454471
2.1,-8.50175979604161,-8.50284737909979
2.15,-8.90169551859113,-7.654867430402218
2.2,-10.128711218290055,-9.208575079644808
2.25,-11.500720177061115,-13.27544223268698
2.3,-13.196589539758545,-16.53964031046836
2.35,-14.399216289986871,-16.697496859280633
2.4,-14.34078732472737,-14.778203510442193
2.45,-14.11160890740373,-12.39322594373606
2.5,-14.697319727856318,-9.972717290994263
2.55,-15.696635556748427,-8.411611749927324
2.6,-16.469690580569914,-7.886449459025233
2.65,-17.017269027589123,-8.180567018177744
2.7,-17.762176467200934,-10.079095728720612
2.75,-19.331798016184894,-13.877288484362598
2.8,-22.261526232838328,-18.80822264881595
2.85,-25.725820520653212,-22.010518472879106
2.9,-29.05308390876941,-22.849544116674497
2.95,-32.17012450018393,-22.7992590847686
3.0,-37.523713692903385,-19.29895999126908
3.05,-47.676254866935224,-11.926738649373982
3.1,-61.582986851188934,-6.013063658723622
3.15,-76.15747732448203,-3.51340987320103
3.2,-86.77767747480098,-6.172322586463262
3.25,-91.06565884739653,-10.890935027768615
3.3,-90.04286931044747,-14.395681805221049
3.35,-84.03426434526034,-14.708986763114059
3.4,-73.87356046883475,-10.131631821802722
3.45,-61.288323934143946,-3.2205276922870394
3.5,-45.853613324393166,-3.0138983959803984
3.55,-28.49212095246779,-9.007496466845028
3.6,-21.729298792400133,-9.040019086969274
3.65,-21.322804129237223,-3.6658575736077856
3.7,-13.718381281154755,1.0325166420777296
3.75,-10.854676824320377,6.507348555575616
3.8,-10.597297467342116,0.9555363770230842
3.85,-17.92552765330516,-1.0877055795896042
3.9,-24.12850851189815,-10.252179106319588
3.95,-23.775975517306463,-23.147190726918723
4.0,-22.806783707709375,-29.109943160904553
4.05,-19.58603318900131,-29.890288974320725
4.1,-14.90097098883948,-26.735115169088914
4.15,-6.807946588476093,-25.348081358740043
4.2,-0.02927742082097243,-23.843388171521624
4.25,2.0428300725902586,-23.280123182356068
4.3,-1.1472624095551973,-24.229661206488004
4.35,-4.049442318541188,-25.054573309709586
4.4,-6.9067718576696056,-26.026515463070854
4.45,-11.282887556593511,-27.320402822575414
4.5,-16.790542266454743,-25.471633223910025
4.55,-23.619031520998494,-24.559462202911423
4.6,-29.582123974099005,-24.775606696252048
4.65,-33.604970352082745,-26.545736853440207
4.7,-37.16931637644275,-30.590022889872927
4.75,-37.11909190824642,-33.44568580286078
4.8,-27.792985170411942,-34.1993316610018
4.85,-12.26046272737483,-28.807618203006463
4.9,7.141003824364596,-20.28076153864165
4.95,18.461347065268075,-13.680167233861441
5.0,19.801887961777293,-10.490486778961372
5.05,15.997898116697785,-13.982685816839638
5.1,2.6494469732060817,-26.620537459302682
5.15,-14.836288522184542,-41.153602732940435
5.2,-25.426621927505614,-60.82775056815193
5.25,-36.70455837630696,-76.86930199435362
5.3,-50.75225398929526,-87.4455238755547
5.35,-55.42409208254726,-88.61455028301735
5.4,-56.16190087281906,-86.14289834658013
5.45,-46.13143708020282,-72.10180899598613
5.5,-29.36365186504628,-37.771901047876305
5.55,-24.901054406481517,2.361049265716749
5.6,-35.081418554453364,15.499472236652299
5.65,-46.78914035814618,1.3124186483653721
5.7,-60.42502492965853,-6.333306445392806
5.75,-74.87274702719637,-3.409487616809754
5.8,-82.74424781768623,-7.90502482117541
5.85,-77.67898696865124,-17.79135956251487
5.9,-70.67700076366133,-21.245092700527252
5.95,-67.58487234081964,-20.576705948911783
6.0,-67.88457694509407,-8.544131932598805
6.05,-70.57170667633633,3.1356265446439915
6.1,-70.51553473794837,5.533092206363463
6.15,-69.2214060386336,2.5343739358074227
6.2,-71.17193352012556,-0.3045217507973553
6.25,-79.5482973895301,-6.506212078532048
6.3,-83.2615100734577,-14.432008600769985
6.35,-84.458145474373,-24.043851165239985
6.4,-84.16856053683654,-33.105993107397836
6.45,-82.77340640339538,-39.68502246185442
6.5,-79.66314185680959,-42.83958295060124
6.55,-74.50583654444308,-44.91627046658477
6.6,-67.74936083936538,-46.99904998472238
6.65,-59.826854346963756,-42.0322078738132
6.7,-50.389060734271126,-31.89709102404002
6.75,-41.03998108826216,-20.047150472517444
6.8,-31.71703198359964,-8.520026528126474
6.85,-23.30560426917359,1.6930380271434193
6.9,-14.849548263630414,6.6015361311089285
6.95,-7.023474044644759,7.292912856394377
7.0,-2.801715891610412,14.097289368821896
7.05,1.3991149939789005,25.171484801965388
7.1,3.6691003030359255,26.689772933355478
7.15,-0.5003412415653681,23.943161947384024
7.2,-3.378684426066872,18.472015506674843
7.25,-3.9648978592944997,13.848405763552432
7.3,-4.655755032420268,8.808290517554923
7.35,-5.142570202938268,0.8850671717444428
7.4,-5.687696625514088,-8.7096841092002
7.45,-6.4792924646193955,-21.307169910420825
7.5,-7.209275966492333,-31.637811242116488
7.55,-6.313548856958656,-36.66445218716937
7.6,-4.079093904883273,-36.587063608783296
7.65,-1.74377182326926,-36.20057278165501
7.7,0.7447920444794738,-36.74309109911562
7.75,3.8723788863540363,-37.597453943389034
7.8,7.140651833680646,-37.043773290794846
7.85,9.171621282432902,-36.39841156140616
7.9,9.836988330749174,-38.70852797529246
7.95,6.526345554068927,-41.5510298978329
8.0,-3.439665114772849,-43.71514047045049
8.05,-16.341753744203245,-46.440382301342375
8.1,-26.843760989209297,-44.973081067709415
8.15,-29.12480941230217,-44.71362812350766
8.2,-23.534382688429773,-51.70562040215439
8.25,-17.132677254188376,-55.61005969573692
8.3,-9.437261004215731,-52.166162758428285
8.35,-3.3263941635313854,-44.89295975364862
8.4,2.2226997508994217,-41.99151097983401
8.45,8.221764253080217,-39.575637864095086
8.5,12.260436667365752,-35.53955077114997
8.55,15.107430362517643,-34.103315302752605
8.6,13.134321943926059,-36.80756415543023
8.65,1.3630853790454949,-44.08356230017593
8.7,-16.503572226039417,-53.554583088952064
8.75,-35.70826299944639,-56.799384449336934
8.8,-49.473816170711004,-57.915189606185066
8.85,-59.38893230122977,-63.06162541301747
8.9,-63.23033425932669,-64.44218095772378
8.95,-58.871597966049,-60.16537267239389
9.0,-48.66798671527393,-55.77303863826477
9.05,-34.23497206972846,-52.5356876257195
9.1,-18.883953979607984,-48.64661193983678
9.15,-4.934774150652179,-42.68754498605898
9.2,4.333246135005827,-33.444866361266286
9.25,8.863242833852379,-24.022853421774954
9.3,9.664955162437202,-18.26311030026955
9.35,7.330432277382874,-14.449232168088011
9.4,9.34491276720262,-10.765166657105365
9.45,12.129441608381605,-6.128536925989281
9.5,11.365533291725788,-1.2368445837174573
9.55,11.029490657911083,-0.8009089589105055
9.6,12.036530684688028,0.4926206424989374
9.65,14.080821994582408,3.384046121962569
9.7,14.159434411231086,5.015454325663929
9.75,13.61187747096904,1.412057590583681
9.8,14.277488833202872,-3.69716015552324
9.85,16.7567209612916,-6.351109092248963
9.9,19.260844817609616,-5.130978484847324
9.95,21.82064751940332,-5.382442830183243
10.0,23.509001961637804,-6.747410485321719
10.05,23.64648179631357,-9.58535953894848
10.1,22.100589262416566,-13.94592146559875
10.15,20.157064738681314,-18.23577575191677
10.2,19.72974553392307,-20.944863912900757
10.25,20.487523278180696,-21.92650807083474
10.3,20.974789064130402,-19.23332973988468
10.35,21.95879523869287,-16.288783489193374
10.4,22.902578455871385,-12.387605498478145
10.45,22.733376979190393,-7.275236085251547
10.5,22.57036344028148,-5.032438934534759
10.55,22.519338852525195,-4.259312844116705
10.6,21.87226239949792,-3.597836070697112
10.65,21.261195349736024,-3.3554956366708253
10.7,20.887538415577932,-3.23789110418174
10.75,20.72502075322474,-3.4437732735855957
10.8,20.30176900804613,-3.7731565852852564
10.85,19.91884754224952,-4.296277425372399
10.9,19.90099539732471,-5.775243219593367
10.95,19.777590167424496,-6.889884471631894
11.0,19.26344083664614,-7.060347769674333
11.05,19.515998313934244,-7.813047057579165
11.1,19.97508573540349,-8.952661930972916
11.15,19.904480569498325,-9.437718660713449
11.2,19.490496257091337,-9.599236319147854
11.25,19.20174516035766,-10.436942646081032
11.3,19.01772003789024,-10.807364648072076
11.35,18.945899265690034,-10.999289399131444
11.4,19.294956504769512,-11.011218525159
11.45,19.767305113986158,-11.045920799914711
11.5,19.828272600624206,-12.121114355882373
11.55,19.09391665299214,-13.70417011761341
11.6,18.551205329580593,-14.27199299009263
11.65,19.040449428975634,-15.442215536831549
11.7,20.212582809805795,-17.827329166540945
11.75,21.492733948459477,-20.208364958315645
11.8,21.422154718671187,-20.666522721513303
11.85,20.910003312534535,-20.74862853780621
11.9,20.460265293150847,-21.15985881890665
11.95,19.99612997310527,-21.697018219374492
12.0,19.47243209442103,-22.261518044922475
12.05,19.43066588184902,-23.284982174564913
12.1,19.047233449042523,-22.557372268197753
12.15,17.92042830046826,-19.407947469228027
12.2,16.314434040316826,-15.53433803416891
12.25,13.702464715133843,-11.493688530766265
12.3,9.514055726263953,-7.591486969907419
12.35,4.265328428633573,-5.586739624208284
12.4,-1.468578425959495,-6.495301591922431
12.45,-7.54697757175862,-9.820409671584459
12.5,-15.059605936709797,-11.078212846929125
12.55,-22.649170823509724,-12.053678132983658
12.6,-28.512032312268232,-15.31289237901929
12.65,-30.485253426852466,-18.972494493108456
12.7,-27.789408110501196,-18.722942304568527
12.75,-23.806913972137824,-16.671056441056226
12.8,-20.27000933054212,-14.039573014896852
12.85,-18.0315621938024,-11.362048796990283
12.9,-16.959538187719755,-8.351894357504007
12.95,-16.730384330262716,-5.399291951531275
13.0,-17.524665488827225,-3.670313454328778
