Time [s],Anterior(+)/posterior(-) tilt,Lateral tilt left(-)/right(+),Rotation left(+)/right(-)
0.0,-3.852224335207283,-10.744620574550998,1.649714023652997
0.05,-3.7951893158611445,-10.42206309680181,1.5448963878137192
0.1,-3.6992098224964285,-10.061149915982035,1.4132666040207869
0.15,-3.593211940973871,-9.762819349601912,1.27549603362751
0.2,-3.474668241897626,-9.491968202031838,1.1458513407680155
0.25,-3.376908873865559,-9.265887413882814,1.011982523343407
0.3,-3.3259071487204217,-9.041181822743916,0.8917318089212684
0.35,-3.257087364777552,-8.811064907078109,0.824201466655302
0.4,-3.2060576669137295,-8.602161362578288,0.802612000039607
0.45,-3.172884443485794,-8.407378322639714,0.8117947407605179
0.5,-3.1253959594274496,-8.21794833007305,0.8382371991608087
0.55,-3.0952555730311815,-8.028079718447803,0.8630004265524834
0.6,-3.095002805085651,-7.874738671674521,0.8799228432800318
0.65,-3.058711338833626,-7.746299859853389,0.8540225959760518
0.7,-3.0673619623512867,-7.772346340920689,0.8310674769985334
0.75,-3.0683382192151463,-7.781299703869813,0.7971167881072808
0.8,-3.0539625392846284,-7.846056651156568,0.7545212490793161
0.85,-3.0260288487588896,-7.862244929177461,0.7162251575778165
0.9,-3.0139646444684316,-7.93046133578668,0.7021811784414872
0.95,-2.9801504058585477,-8.052015960835158,0.7145089947785342
1.0,-2.9025537804717505,-8.130025883985915,0.7423376209202163
1.05,-2.8375990635857367,-8.217327869772966,0.7777410048970007
1.1,-2.777683693884992,-8.340312363104804,0.8220216207913114
1.15,-2.7912986413292784,-8.497485199116449,0.8603092182159754
1.2,-2.8013298857010036,-8.674185363144275,0.898809549372535
1.25,-2.809857102884813,-8.845139904999797,0.9453691348790969
1.3,-2.799686782451967,-8.978969726255176,0.9820095853829403
1.35,-2.7612874449693616,-9.092956288510134,1.011602386997842
1.4,-2.7367612758087754,-9.180784037855457,1.037157384787724
1.45,-2.729608209929351,-9.269269017985751,1.0687559752362732
1.5,-2.712508094549849,-9.351317571001815,1.1134486888099826
1.55,-2.9272502766194624,-9.932969157879,1.2430842136207354
1.6,-3.4913172820742036,-10.974056364124909,1.572094403203728
1.65,-4.118980952901862,-11.715978706777552,1.9268877687044637
1.7,-4.593170965412076,-12.00840037692793,2.12328379606209
1.75,-4.862456797661751,-12.03087926093697,2.2236288190027276
1.8,-4.701841790215402,-12.000810121280965,2.211662451364224
1.85,-4.309013522616713,-12.240589226068456,2.0931658367782693
1.9,-4.123568044880523,-12.708237199983204,1.9005607931323618
1.95,-4.097703088513905,-13.039687614405343,1.6273431379936558
2.0,-4.076489154798613,-13.24728595019896,1.3586064194512548
2.05,-4.177664483234011,-13.424430940586038,1.150830484905183
2.1,-4.340783716904406,-13.554024928082198,0.9610934804635614
2.15,-4.368154280978886,-13.608099597323928,0.795525982112187
2.2,-4.361755923053849,-13.580623567622506,0.6406748507612204
2.25,-4.386747759914981,-13.501474531955687,0.4820622300326347
2.3,-4.420450923686362,-13.30146623560619,0.2983965737106343
2.35,-4.2307898712925365,-12.621121816211966,-0.11683102357975306
2.4,-3.83089579260503,-11.644935000271047,-0.7769838533910834
2.45,-3.501952136425301,-10.829741668830273,-1.4753838615948116
2.5,-3.3724227043095154,-10.110464709820274,-2.1927242181304365
2.55,-3.383645955036605,-9.437140535875903,-2.83178733485082
2.6,-3.4419023895151244,-9.08159914891201,-3.248378992517994
2.65,-3.5056453215418992,-9.259470827235486,-3.4557171186574274
2.7,-3.562349950941313,-9.928526318142096,-3.6208192350728545
2.75,-3.5082701711706274,-10.907078899158636,-3.89074119880359
2.8,-3.249231619811776,-12.038104492409564,-4.2869111777611835
2.85,-2.906089826056204,-13.494080606700015,-4.754489655568178
2.9,-2.5461753180331455,-15.349374771970204,-5.294424626893761
2.95,-2.0696626167474013,-17.20012356295975,-6.015661407959977
3.0,-1.4133481228677691,-18.650223091481756,-6.907109121754849
3.05,-0.5207790351011945,-19.82790669432036,-7.853455492966808
3.1,0.5445079034326452,-20.86191660072646,-8.794901323607668
3.15,1.5875752750198346,-21.781092502126707,-9.70631764965823
3.2,2.544364454328721,-22.470552240303434,-10.5555357812095
3.25,3.4133260451294247,-22.853192807498477,-11.283329787801762
3.3,4.049864560673802,-22.990309550654075,-11.599769011987137
3.35,4.301758023143481,-22.88120548493381,-11.31626098242483
3.4,4.263132869912637,-22.365078109951458,-10.915188347824962
3.45,4.024111507393229,-21.222548669245224,-10.826462118107722
3.5,3.6213365727599314,-19.677129890115665,-10.762072459967007
3.55,3.2591754366972663,-18.007715382772513,-10.61267951772363
3.6,3.263060127049943,-16.63643522630455,-10.866914224000727
3.65,3.348062051739757,-15.536199928526095,-11.39261323675097
3.7,3.6423432467230836,-14.047403720306022,-11.545655233006327
3.75,4.359588519035599,-12.09204514509787,-11.283225669037039
3.8,5.1518634894757005,-10.162120018363346,-10.920730137831882
3.85,5.749771662349572,-8.40259989782875,-10.843530683290838
3.9,6.2480681699743075,-6.524858470992535,-11.026833559283585
3.95,6.651704682048739,-4.629286091114881,-11.078407997195193
4.0,6.784879838085548,-3.108200196751443,-10.834408423772386
4.05,6.703825964100229,-2.029244209590085,-10.488829656421174
4.1,6.506753666603994,-1.3538606790815368,-10.221538189815272
4.15,6.270857000528667,-1.0807303508084198,-10.011837366297854
4.2,6.108644025542874,-1.0055798909133116,-9.781837488212656
4.25,5.987543155043221,-0.7736604126899038,-9.562350783850729
4.3,5.802650477316539,-0.3463394213367439,-9.245721796018545
4.35,5.654310432273264,0.20740802931054855,-8.50976118245278
4.4,5.638317013807711,0.8057508485168108,-7.531706659973932
4.45,5.548418648328729,1.0916087994912622,-6.925118029589943
4.5,5.1202385753396955,0.9663834302491792,-7.057629959937121
4.55,4.662016093214456,0.7010167342052456,-7.781906825164502
4.6,4.443846195286919,0.5363803022766427,-8.719784343965683
4.65,4.259008795547694,0.1850279451304156,-9.85954657896988
4.7,4.035353965267372,-0.5944556488732085,-11.170951513002537
4.75,3.5929915340518708,-1.7729455851162672,-12.053747888675089
4.8,2.979979579987518,-3.2592360483734057,-12.365344387845386
4.85,2.679135104183912,-4.57381818659659,-12.717612470948437
4.9,2.623824614674421,-5.556558059248037,-13.192954018168871
4.95,2.6575141042319173,-6.262461721930943,-13.699535271177487
5.0,2.891862613700111,-6.668502759740087,-14.178142688330954
5.05,3.011560510673041,-6.937123314028218,-14.37855414419971
5.1,2.8912306796851595,-7.253564820924227,-14.458391278308047
5.15,2.710108004313625,-7.553547865243378,-14.530255208858886
5.2,2.551610441516208,-7.700590564016831,-14.550410603821208
5.25,2.381683472971059,-7.763949775303596,-14.602249708353968
5.3,2.2213947954425084,-7.739970598334683,-14.700109740799311
5.35,2.102089029798002,-7.613174565894482,-14.731386386599555
5.4,1.9599529927655501,-7.442643837105947,-14.66750614260821
5.45,1.7760109060055496,-7.292718380884651,-14.53094156407329
5.5,1.5811454068953112,-7.173233971722881,-14.309752584625558
5.55,1.390161682606694,-7.071710493463774,-14.026969254440615
5.6,1.1954428859085389,-6.9995871969967896,-13.7431451777041
5.65,0.9462072389477342,-6.919105142892451,-13.457458532462104
5.7,0.6567334178129777,-6.810481188815014,-13.170604672697959
5.75,0.37947979662505105,-6.726893581612101,-12.86555285463423
5.8,0.19460238782561579,-6.629421876867605,-12.553898773033739
5.85,0.10533813303541713,-6.436586527479273,-12.318510527081887
5.9,0.09820688386673336,-6.114710685042393,-12.214635319531222
5.95,0.16891014533774942,-5.639103677056643,-12.193336635154441
6.0,0.328082292931639,-5.209027179910092,-12.136800410251645
6.05,0.4561585572031903,-5.081120213247908,-12.056130708857705
6.1,0.4946384933394085,-5.398664738630978,-11.993781958204435
