Time [s],Flexion(-)/extension(+),Supination(+)/pronation(-)
0.0,-32.55886917428635,-42.00380317872433
0.05,-32.554339323760544,-42.03022197846204
0.1,-32.549651143292785,-42.09660729257889
0.15,-32.56723095166625,-42.130000751563955
0.2,-32.58432972625669,-42.13178792650009
0.25,-32.61195436116621,-42.13865753347649
0.3,-32.637746585998485,-42.13493472262547
0.35,-32.672341442116064,-42.128441421392445
0.4,-32.72347749647117,-42.14439495954644
0.45,-32.78766616296593,-42.17333807392503
0.5,-32.822008554120615,-42.20281655252738
0.55,-32.861707418829276,-42.17310274639084
0.6,-32.894161790090365,-42.13180545007596
0.65,-32.91431814953411,-42.12199924291985
0.7,-32.92840961097221,-42.13840408176856
0.75,-32.91330941098962,-42.167384442290995
0.8,-32.912095911077806,-42.16828982423916
0.85,-32.921461596527436,-42.147514600186874
0.9,-32.92307427173762,-42.10374144370004
0.95,-32.92610873569623,-42.02399580797423
1.0,-32.94433105996428,-41.9456714248915
1.05,-32.97501218191021,-41.8925477935392
1.1,-32.98396937697141,-41.85651169022241
1.15,-32.956778275488176,-41.864382714309365
1.2,-32.95102634688097,-41.83507904952543
1.25,-33.02579434162344,-41.74952362639649
1.3,-33.149412790673196,-41.67568081221732
1.35,-33.35652656899558,-41.56539469944622
1.4,-33.58018258818819,-41.4327111096952
1.45,-33.79244277456129,-41.29110388761252
1.5,-34.01126103015982,-41.147591512763945
1.55,-34.23514625151955,-40.98042212177506
1.6,-34.56927973613561,-40.6827166209365
1.65,-35.065684862597294,-40.305763224848334
1.7,-35.68948053307838,-40.120498863489644
1.75,-36.420287884311136,-39.920623892123494
1.8,-37.361269271177385,-39.46831057318172
1.85,-38.70281596755082,-39.18842519744847
1.9,-40.54631883924025,-39.25501465679285
1.95,-42.763365442376205,-39.44204853502877
2.0,-45.08680348254749,-39.89486561854568
2.05,-47.438450159024924,-40.731799978556005
2.1,-49.76710981520858,-41.64323764674103
2.15,-51.81119448181739,-42.35545116966556
2.2,-53.48654160345419,-43.12941679507546
2.25,-55.02773364270326,-44.24128560559698
2.3,-56.728715349618625,-45.68347065530556
2.35,-58.43413780829781,-47.285384802538836
2.4,-59.850244892811546,-48.92436264454409
2.45,-60.69446655343068,-50.427706661170994
2.5,-60.95551284621903,-51.84961947860233
2.55,-60.79888152840724,-53.36478717550441
2.6,-60.330542687149354,-54.98222533222483
2.65,-59.454893163103094,-56.717931003338755
2.7,-58.69544888824599,-58.24551200041676
2.75,-58.09371428065028,-58.825941701448535
2.8,-57.521490997115954,-58.29655576663985
2.85,-57.030442869143045,-57.923455577317185
2.9,-56.37102555724552,-58.20607459808798
2.95,-55.46042774316272,-58.70796675730606
3.0,-54.61468332006751,-59.25287215548674
3.05,-54.00273350729506,-59.01981671255569
3.1,-53.54077168262623,-57.776285756151225
3.15,-52.978820091680255,-57.22262466360017
3.2,-52.56653595824597,-58.60405864794513
3.25,-52.686864208286195,-59.87965463081272
3.3,-53.258263504603455,-59.84522018571158
3.35,-53.96451213728312,-59.73502658425931
3.4,-54.559552842442045,-59.99592165081603
3.45,-54.933362028101875,-60.078184340418304
3.5,-55.2068893714512,-59.828434137947575
3.55,-55.61978050694062,-59.38019628138858
3.6,-56.171455996584385,-58.70457463701227
3.65,-56.70681474920504,-58.192226892337224
3.7,-57.052650990077716,-58.18683279366227
3.75,-57.368795557040194,-58.40719380043905
3.8,-57.79959420520187,-58.461440242135296
3.85,-58.319648573254604,-58.37613548963974
3.9,-58.86945505865094,-58.20426785013583
3.95,-59.292571921382915,-57.98201620832138
4.0,-59.549218368938995,-57.873261362462344
4.05,-59.784998065236394,-57.81070713874113
4.1,-60.13660368047117,-57.688222346350045
4.15,-60.53495656672228,-57.67383166162257
4.2,-60.813404729884965,-57.87709333861517
4.25,-60.92623003302685,-58.18632237999974
4.3,-60.85714900812066,-58.385596417846415
4.35,-60.58846735528184,-58.42613682410263
4.4,-59.989376190357746,-58.464641312373196
4.45,-59.12021527996054,-58.58081281776979
4.5,-58.25546705538903,-58.705026798946854
4.55,-57.52089838932761,-58.70392736101429
4.6,-56.934614921958214,-58.635239366748074
4.65,-56.414979886608734,-58.39851722674982
4.7,-55.94707629251667,-57.82319638581973
4.75,-55.607294435257536,-57.2012287055022
4.8,-55.45210263320146,-56.909721056970135
4.85,-55.488095603285174,-56.78910356170262
4.9,-55.64050222597799,-56.287762963083495
4.95,-56.00105780115437,-55.599907770148874
5.0,-56.49397787044626,-55.0780401627944
5.05,-57.08108426302433,-54.79483996534125
5.1,-57.48230841540589,-54.57781756449298
5.15,-57.57831062010036,-54.695146693491346
5.2,-57.618764568330974,-54.92391282318007
5.25,-57.89986550170612,-54.86610904958529
5.3,-58.30833076392057,-54.77456879211725
5.35,-58.57284805652175,-54.981873145529036
5.4,-58.56279264702414,-55.637201064097944
5.45,-58.6885520444509,-56.386869760714795
5.5,-59.114774056690244,-56.807653038097925
5.55,-59.6690941226045,-57.24512542427702
5.6,-60.06096793415101,-58.053391866812646
5.65,-60.24737263973058,-58.54304371108145
5.7,-59.967186682827155,-58.53266575493118
5.75,-59.19620389653116,-58.534372155717776
5.8,-58.000415645763795,-58.667746062529496
5.85,-56.69368580848043,-58.78399979713002
5.9,-55.336482296839264,-58.42802705242023
5.95,-53.983086284179,-57.91920479684754
6.0,-52.8503531864187,-57.62412916174206
6.05,-51.99695316904272,-57.10625020938345
6.1,-51.47345004764658,-56.369458166664835
6.15,-50.940706379025386,-55.49172990002409
6.2,-50.476943236091195,-55.02743722568986
6.25,-50.45279840554949,-54.79198613874432
6.3,-50.94633131375942,-54.3450061845306
6.35,-51.31501684317023,-53.66114999784953
6.4,-51.29070024519896,-53.462309190180065
6.45,-51.39511156523991,-53.61757489748656
6.5,-52.12124720431042,-53.235039059871745
6.55,-53.25040890772143,-52.687461738535234
6.6,-54.230081868526185,-53.13829283455189
6.65,-54.96173863288823,-54.486232894085305
6.7,-55.93532918614679,-55.72841283448611
6.75,-56.91575715399489,-55.88356031068814
6.8,-57.29365766170372,-56.07336297910568
6.85,-57.11492395622695,-57.0485531969778
6.9,-56.80056138354535,-58.22409675246606
6.95,-56.737787548011724,-59.07555766729902
7.0,-56.997816405525384,-59.55509718332266
7.05,-57.10092458864767,-59.71352461078343
7.1,-56.74263561542711,-59.658903709371764
7.15,-56.198131061856515,-59.294470090185335
7.2,-55.67020254221739,-58.553493936533314
7.25,-54.83398536421668,-57.2773134473317
7.3,-54.104457264949886,-56.49450545980592
7.35,-53.57813200571975,-56.24728052909762
7.4,-52.95646275376862,-56.0032356446495
7.45,-51.85189485149163,-55.87061739452758
7.5,-50.562574340029464,-56.429316521805355
7.55,-49.60577377284308,-57.75835775514546
7.6,-49.21477053962161,-58.715413890762534
7.65,-49.344633066975064,-58.7733036227218
7.7,-49.57073193854594,-58.45304785820665
7.75,-49.621972317030185,-58.331392235780946
7.8,-49.43257130512136,-58.11866112713556
7.85,-49.36908184227477,-57.899766085252075
7.9,-49.35709191496006,-57.28734988584728
7.95,-49.390409002561185,-56.65849692932208
8.0,-49.36814506974657,-56.00191931412988
8.05,-49.36443726416413,-55.500442883280385
8.1,-49.49522974426798,-55.02316779940035
8.15,-50.03345502234655,-54.35043287595968
8.2,-50.71731819198208,-53.57289140877017
8.25,-51.203469645152026,-52.849030430379955
8.3,-51.42457718692887,-52.461160136441464
8.35,-51.66226634985203,-52.377106228224385
8.4,-52.257874526743635,-52.264903894005705
8.45,-53.11131216413488,-52.03323551885501
8.5,-53.93974594982828,-51.9982313893513
8.55,-54.561599542888324,-52.01383530510335
8.6,-54.920235111860904,-52.095124069912565
8.65,-55.14117951135996,-52.611203767968355
8.7,-55.56828886283451,-53.37337099974961
8.75,-56.16953586464078,-53.93688558408803
8.8,-56.80210858808022,-54.54948310367494
8.85,-57.15336484539297,-55.014090579079124
8.9,-57.17140630667067,-55.533723933839454
8.95,-56.88822161934346,-56.01328124014158
9.0,-56.446960430978116,-56.19693875632184
9.05,-55.805061542814954,-56.02808281944291
9.1,-55.05934955521511,-55.90325239666424
9.15,-54.3456440223138,-55.61329209955955
9.2,-53.58588417420883,-55.287514681098486
9.25,-52.68127097175925,-55.474666489123365
9.3,-51.65442552535525,-56.126444298993945
9.35,-50.872532830167394,-56.57603479691934
9.4,-50.58535847759495,-56.080304083470814
9.45,-50.38832566839928,-55.05774740106293
