Time [s],Flexion(+)/extension(-),Sidebend left(-)/right(+)
0.0,-16.178330632283895,-20.96527880545985
0.05,-16.555512363311536,-20.74871109427674
0.1,-16.771800505808052,-20.235186210833604
0.15,-17.281866181691957,-19.464831744279245
0.2,-18.668434773455957,-18.524253392423844
0.25,-20.23963275245993,-17.487834222190497
0.3,-21.66362523296041,-16.582456724165908
0.35,-22.793349004087954,-15.902379932337974
0.4,-23.78122290958333,-15.791531440625759
0.45,-24.57830768597282,-16.11339403120161
0.5,-25.752043124432426,-16.449688346390737
0.55,-27.00272634410916,-16.76881968483066
0.6,-28.58093739525918,-16.876123296430237
0.65,-30.00418534729549,-16.513191903228865
0.7,-31.071429740323634,-15.837704239345788
0.75,-31.878154554045665,-14.856498638536369
0.8,-32.424916133408765,-13.879192346432259
0.85,-32.83125500779037,-12.815500035609798
0.9,-33.28962761390004,-11.776866795536561
0.95,-33.67559008026797,-10.894481242970743
1.0,-33.935964731960965,-9.797370986876732
1.05,-34.1050956335064,-8.521205248098617
1.1,-34.0779936856205,-7.71867555248895
1.15,-33.67580762506911,-7.543704550787032
1.2,-33.048657355241325,-7.3870623533588535
1.25,-32.19703489931468,-7.1337601368422074
1.3,-30.96451594824799,-6.884040658392746
1.35,-30.167598076903946,-6.544704560066798
1.4,-29.657096844808922,-6.420347911208787
1.45,-29.29834970831226,-6.277366199439476
1.5,-29.13979285376795,-6.136982078385118
1.55,-29.243080436121772,-6.2154182579557515
1.6,-29.569863646595564,-6.357581682322935
1.65,-29.833508040320865,-6.372839418786417
1.7,-30.189779983568567,-6.332293606496866
1.75,-30.686008939513286,-6.289364351426978
1.8,-31.24878692685159,-6.189500225279505
1.85,-31.620445600586244,-6.102106882081713
1.9,-32.34814093381553,-6.139553436650983
1.95,-33.41108543043045,-6.212949297015341
2.0,-34.80365446395265,-6.299194940966412
2.05,-36.33416709353414,-6.319413086080837
2.1,-37.89939595151235,-6.188978116247759
2.15,-39.51390095414698,-6.007969341369422
2.2,-41.39604571106242,-5.984022626877654
2.25,-43.343373943185085,-6.152014878940095
2.3,-45.30575274885275,-6.289718345839955
2.35,-47.41421296749552,-6.27753801546341
2.4,-49.52472588651473,-6.089322301157372
2.45,-51.510160154044634,-5.846715429233111
2.5,-53.39192495407301,-5.656059970551261
2.55,-54.9450081535491,-5.620556166698354
2.6,-56.06965453831674,-5.680864519998699
2.65,-56.88258006695146,-5.799170832679559
2.7,-57.234076757240715,-5.927213692387956
2.75,-57.1595431516238,-6.06751535009935
2.8,-56.739781624235796,-6.354855165854701
2.85,-55.77429853697477,-6.7288460629071825
2.9,-54.19049912839538,-7.149955999811312
2.95,-51.851646109571014,-7.624294906199698
3.0,-48.38134245332974,-8.13750958170468
3.05,-43.67643019276983,-8.679345973324638
3.1,-37.93493325459852,-8.93571365573711
3.15,-31.582366230612458,-8.863982745273423
3.2,-25.135836004879632,-8.743254782192238
3.25,-19.814428027822462,-8.791446039846775
3.3,-16.183535774042348,-9.190271765151014
3.35,-14.176229501557177,-9.758902348163634
3.4,-12.803461461543588,-10.187610009779377
3.45,-12.330852476353424,-10.325918607711436
3.5,-12.192865713006398,-10.31736429126574
3.55,-12.21230687976907,-10.320758790336946
3.6,-12.441948895647268,-10.089534458652523
3.65,-12.649349570921574,-9.684641412069803
3.7,-12.662552025590434,-9.45681956529505
3.75,-12.492502129987486,-9.10008567161785
3.8,-12.37314623052978,-8.396021606426235
3.85,-12.433160675963686,-7.36632353538648
3.9,-12.674386928333151,-6.756634456756146
3.95,-13.171820904176167,-6.705392587435225
4.0,-13.655240296346731,-6.75260953901735
4.05,-13.888180389842132,-6.816647728028165
4.1,-14.239021163607745,-6.990118992318631
4.15,-14.920954600865963,-7.040097187425433
4.2,-15.844678869821077,-6.7466978832092
4.25,-17.046380724024893,-6.5716395825238125
4.3,-18.38905339350637,-6.620065675385845
4.35,-19.624686017707663,-6.679952498359104
4.4,-20.882162983359922,-6.730431986183378
4.45,-22.38512471266562,-6.777573563380267
4.5,-24.130251286099522,-6.769243611952329
4.55,-25.744900386953294,-6.7290164919881095
4.6,-27.440977710495247,-6.65500605174045
4.65,-29.098672541573134,-6.456110057481037
4.7,-30.611674448534966,-6.292818104215106
4.75,-31.89681366690231,-6.275426213447448
4.8,-32.99598007010338,-6.360585429462692
4.85,-33.776036456308454,-6.41883169154481
4.9,-34.15309996894176,-6.488668334788594
4.95,-34.217062071205575,-6.4944461429054305
5.0,-34.476139871944554,-6.531579680860239
5.05,-34.86111336837266,-6.594227373092842
5.1,-35.08077807235824,-6.701536381016407
5.15,-35.48092476901743,-6.699935960930002
5.2,-35.990109413072595,-6.546894870924603
5.25,-36.32547532087407,-6.671903632570234
5.3,-36.363078979920786,-7.008556119570462
5.35,-36.197099568227706,-7.4849589119957685
5.4,-36.02169840482938,-7.895803438406886
5.45,-36.02762014453382,-8.120102331670894
5.5,-36.7072866341104,-8.222840170826787
5.55,-37.636427381107296,-8.57322757510479
5.6,-38.315307736723526,-9.363257311916989
5.65,-38.69779166560141,-10.144952122247222
5.7,-39.30352512135324,-10.54373339070786
5.75,-39.719276447660526,-10.748385401123233
5.8,-39.86523707333992,-10.993582448576817
5.85,-39.62326564251547,-11.040241808990015
5.9,-38.97971567266837,-10.961488132686847
5.95,-38.555704453499075,-10.844251930220896
6.0,-38.596027132025036,-10.672816905357882
6.05,-38.79625294673398,-10.395757947788534
6.1,-39.069518971991315,-10.221986994468134
6.15,-39.45196702009095,-10.338661715874046
6.2,-39.77938298555888,-10.517656052202456
6.25,-40.02823381326837,-10.665694764376095
6.3,-40.34909992624421,-10.895171227156794
6.35,-40.807112053602836,-11.146552584534353
6.4,-41.16089862300248,-11.315325187081308
6.45,-40.98594533660287,-11.442486792155183
6.5,-40.6907962801168,-11.48608534382228
6.55,-40.46515781184421,-11.56200065576424
6.6,-40.05608580425944,-11.70701584964602
6.65,-39.63073983982291,-11.809656841284973
6.7,-39.2223917911133,-11.89380930720758
6.75,-38.887960540810646,-11.88846630908084
6.8,-38.436845357146915,-11.879979146223125
6.85,-37.8534303165731,-12.026968019488557
6.9,-37.32057694539217,-12.200550517554639
6.95,-36.97396566382713,-12.46430308650218
7.0,-36.77096323639252,-12.758522413818362
7.05,-36.58558485541533,-12.831416311536538
7.1,-36.22337590624309,-12.793027750366146
7.15,-36.03521281182128,-12.68906005325409
7.2,-36.02437195507011,-12.518788101391658
7.25,-35.99187403020199,-12.353355531125814
7.3,-35.96800099847294,-12.257078353188609
7.35,-36.059670279850344,-12.247116830372997
7.4,-36.06462232023816,-12.256881912297358
7.45,-36.159837484908316,-12.261582505902211
7.5,-36.32864605073908,-12.338195481614477
7.55,-36.404864815683524,-12.367624560391475
7.6,-36.32447178748192,-12.237497272614494
7.65,-36.17556129039701,-11.974434700777895
7.7,-36.33124586312347,-11.660493924962072
7.75,-36.75237412724476,-11.436877659097906
